1_G137.1;4_G189.52;6_G-60.89;8_G43.28;10_G-56.47;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66
27.422709;26.510275;27.573847;26.158604;142.81827;48.72435;29.83045;0.0;25.7697;29.412237;0.0;108.14895;27.301609;27.873297;27.306482;25.439974;24.229483;29.833286;25.68932;31.838327;78.78906;37.612907;25.355629;0.0;66.36394;64.99834;28.454407;137.98161;133.27411;225.04768;26.609955;26.19051;25.615643;25.956608;25.957083;25.60336;154.56451;28.6918;27.209433;183.19958;26.11647;27.289343;25.266304;27.68172;93.832344;35.830093;27.207478;0.0;25.871292;26.495392;35.380665;24.97903;24.78621;28.768915
27.809437;28.110388;29.923153;27.158808;0.0;57.645943;29.80953;27.09055;27.61958;30.213415;0.0;127.60272;29.76955;30.265757;25.600119;27.067871;27.535442;27.362484;28.671793;32.850426;80.63103;38.87283;28.506363;27.767859;74.38028;0.0;30.296513;121.80322;0.0;228.36478;28.772762;0.0;29.171072;30.985477;27.59544;29.351221;159.07065;30.5203;29.613409;190.02933;29.886898;0.0;27.903595;26.943827;99.35134;38.3779;26.453009;26.244156;28.097464;29.440842;0.0;29.915142;26.833538;29.14848
25.60058;22.662624;25.033392;28.050766;133.06885;47.47803;26.93497;24.138575;24.558306;26.907944;81.7464;106.257774;26.394629;0.0;24.038723;0.0;25.214855;26.140802;24.888672;30.636068;0.0;0.0;24.368876;24.828623;63.823017;70.94328;0.0;0.0;115.98419;197.0324;24.644464;21.000523;24.949394;0.0;23.496464;23.771755;140.88763;0.0;26.955606;169.90288;26.428232;24.471527;23.46855;26.681314;89.70703;36.495125;25.486858;26.261745;25.575764;23.923283;34.542557;24.171217;26.082348;0.0
23.287544;23.638674;20.842182;23.115232;0.0;41.23406;21.524212;0.0;22.332258;24.246008;73.69354;91.5793;25.074358;0.0;22.573391;0.0;22.285192;22.757524;20.481562;24.764608;59.897057;33.82591;21.61746;23.180832;55.270424;58.239372;22.931076;104.68345;117.27013;172.51761;22.628326;21.739063;0.0;24.172121;22.776491;21.735712;117.52262;22.773129;22.532661;158.59924;0.0;23.746002;23.008398;21.82255;80.665565;31.579266;20.598845;22.613369;23.685404;21.42384;0.0;20.880186;20.553425;24.242893
22.75549;20.611813;21.947908;23.455256;121.11167;40.34545;22.406044;20.804379;22.8708;20.119703;77.26171;91.73553;20.447296;21.612118;22.774912;19.959084;22.865345;19.820875;21.054049;26.3082;59.45437;0.0;21.783937;21.071135;54.52901;54.20113;21.357876;107.01024;106.708176;164.88109;21.307835;21.34016;20.61615;22.559406;19.617594;22.302658;122.50663;21.51463;20.747555;0.0;21.409374;20.657047;21.505789;24.60878;68.84538;31.144665;22.293262;20.903612;20.43774;22.497484;28.654892;21.636692;0.0;23.210976
24.184696;22.41603;22.852644;0.0;0.0;42.070824;24.5944;0.0;0.0;23.940151;74.02608;101.03842;23.336731;24.10329;25.85116;24.545387;24.287403;23.097378;25.371372;25.824915;75.06959;35.749344;23.475483;0.0;54.604546;58.72212;26.2066;112.42959;115.79122;192.32626;23.993298;24.392021;23.165905;23.97037;22.41586;23.564152;128.3115;24.594461;0.0;167.26126;26.629572;22.737621;24.90231;22.410162;81.77525;34.831432;23.82011;23.9155;24.880535;21.558275;31.871252;0.0;24.91098;0.0
30.363941;31.906702;30.357086;30.591034;166.09113;51.95473;0.0;30.296728;30.709667;29.0892;91.85503;128.68304;27.85426;32.77226;29.637424;27.196857;27.157696;0.0;0.0;36.93113;86.16198;0.0;30.464762;28.474112;74.00068;77.11958;28.085577;138.95161;161.02599;234.89156;28.342554;27.193027;28.301868;27.919888;29.525326;29.244055;0.0;29.397455;33.318184;0.0;27.941483;28.747208;28.763494;31.441153;108.95426;41.010887;0.0;0.0;26.662909;28.47115;39.94698;28.034021;30.69401;27.94073
30.271732;31.593212;30.233856;33.089745;0.0;62.06556;31.46001;29.715805;32.10893;29.013464;105.39351;135.25636;29.516546;35.128822;31.78873;32.177734;29.917877;29.057919;30.335506;0.0;0.0;47.797504;33.96986;33.50059;79.213486;83.571075;32.052345;153.41522;153.02429;245.35764;29.527756;0.0;30.077017;0.0;30.010443;33.10985;170.35779;32.28834;30.02453;203.01617;31.115093;29.417181;31.082575;30.007874;103.323265;42.33534;30.030048;31.376682;28.367935;31.376404;40.687893;28.71337;30.104044;0.0
31.418472;30.32285;33.83809;34.037605;0.0;59.354176;31.272808;29.227581;30.877222;32.324856;100.57277;126.94475;28.13583;32.280144;31.438007;31.917282;30.164845;30.71232;30.644909;37.685863;95.65758;43.98766;34.981056;30.501886;77.205284;73.58297;32.79099;159.67404;155.29753;229.7631;29.27507;29.988714;34.10984;34.531506;30.380407;34.03214;190.52345;27.21549;31.565033;221.17615;31.4905;31.33147;32.59468;32.729366;108.91276;46.837112;30.736576;30.886673;32.059647;34.061493;40.758392;29.24979;31.0513;31.508747
29.736145;31.640377;31.218372;29.576883;165.19467;57.77661;32.777508;33.193123;30.92632;32.730785;96.564865;133.8771;30.93421;32.72242;29.978094;31.977032;30.014313;32.461266;30.307423;38.89115;88.297035;49.279995;29.92857;31.544123;74.66443;78.20132;32.75943;152.63019;154.24902;252.8364;31.277683;31.286306;33.385803;32.33207;32.67866;33.351044;165.45769;34.049362;31.352184;225.60246;31.20094;30.951136;34.418415;33.47761;107.81146;41.265213;32.73419;33.58148;34.788166;32.02763;44.935764;30.191874;33.560524;33.513622
