date;time
2012-feb-4;19:00
2012-feb-4;20:00
2012-feb-4;21:00
2012-feb-4;22:00
2012-feb-4;23:00
2012-feb-5;0:00
2012-feb-5;1:00
2012-feb-5;2:00
2012-feb-5;3:00
2012-feb-5;4:00
2012-feb-5;5:00
2012-feb-5;6:00
2012-feb-5;7:00
2012-feb-5;8:00
2012-feb-5;9:00
2012-feb-5;10:00
2012-feb-5;11:00
2012-feb-5;12:00
2012-feb-5;13:00
2012-feb-5;14:00
2012-feb-5;15:00
2012-feb-5;16:00
2012-feb-5;17:00
2012-feb-5;18:00
2012-feb-5;19:00
2012-feb-5;20:00
2012-feb-5;21:00
2012-feb-5;22:00
2012-feb-5;23:00
2012-feb-6;0:00
2012-feb-6;1:00
2012-feb-6;2:00
2012-feb-6;3:00
2012-feb-6;4:00
2012-feb-6;5:00
2012-feb-6;6:00
2012-feb-6;7:00
2012-feb-6;8:00
2012-feb-6;9:00
2012-feb-6;10:00
2012-feb-6;11:00
2012-feb-6;12:00
2012-feb-6;13:00
2012-feb-6;14:00
2012-feb-6;15:00
2012-feb-6;16:00
2012-feb-6;17:00
2012-feb-6;18:00
2012-feb-6;19:00
2012-feb-6;20:00
2012-feb-6;21:00
2012-feb-6;22:00
2012-feb-6;23:00
2012-feb-7;0:00
2012-feb-7;1:00
2012-feb-7;2:00
2012-feb-7;3:00
2012-feb-7;4:00
2012-feb-7;5:00
2012-feb-7;6:00
2012-feb-7;7:00
2012-feb-7;8:00
2012-feb-7;9:00
2012-feb-7;10:00
2012-feb-7;11:00
2012-feb-7;12:00
2012-feb-7;13:00
2012-feb-7;14:00
2012-feb-7;15:00
2012-feb-7;16:00
2012-feb-7;17:00
2012-feb-7;18:00
2012-feb-7;19:00
2012-feb-7;20:00
2012-feb-7;21:00
2012-feb-7;22:00
2012-feb-7;23:00
2012-feb-8;0:00
2012-feb-8;1:00
2012-feb-8;2:00
2012-feb-8;3:00
2012-feb-8;4:00
2012-feb-8;5:00
2012-feb-8;6:00
2012-feb-8;7:00
2012-feb-8;8:00
2012-feb-8;9:00
2012-feb-8;10:00
2012-feb-8;11:00
2012-feb-8;12:00
2012-feb-8;13:00
2012-feb-8;14:00
2012-feb-8;15:00
2012-feb-8;16:00
2012-feb-8;17:00
2012-feb-8;18:00
2012-feb-8;19:00
2012-feb-8;20:00
2012-feb-8;21:00
2012-feb-8;22:00
2012-feb-8;23:00
2012-feb-9;0:00
2012-feb-9;1:00
2012-feb-9;2:00
2012-feb-9;3:00
2012-feb-9;4:00
2012-feb-9;5:00
2012-feb-9;6:00
2012-feb-9;7:00
2012-feb-9;8:00
2012-feb-9;9:00
2012-feb-9;10:00
2012-feb-9;11:00
2012-feb-9;12:00
2012-feb-9;13:00
2012-feb-9;14:00
2012-feb-9;15:00
2012-feb-9;16:00
2012-feb-9;17:00
2012-feb-9;18:00
2012-feb-9;19:00
2012-feb-9;20:00
2012-feb-9;21:00
2012-feb-9;22:00
2012-feb-9;23:00
2012-feb-10;0:00
2012-feb-10;1:00
2012-feb-10;2:00
2012-feb-10;3:00
2012-feb-10;4:00
2012-feb-10;5:00
2012-feb-10;6:00
2012-feb-10;7:00
2012-feb-10;8:00
2012-feb-10;9:00
2012-feb-10;10:00
2012-feb-10;11:00
2012-feb-10;12:00
2012-feb-10;13:00
2012-feb-10;14:00
2012-feb-10;15:00
2012-feb-10;16:00
2012-feb-10;17:00
2012-feb-10;18:00
2012-feb-10;19:00
2012-feb-10;20:00
2012-feb-10;21:00
2012-feb-10;22:00
2012-feb-10;23:00
2012-feb-11;0:00
2012-feb-11;1:00
2012-feb-11;2:00
2012-feb-11;3:00
2012-feb-11;4:00
2012-feb-11;5:00
2012-feb-11;6:00
2012-feb-11;7:00
2012-feb-11;8:00
2012-feb-11;9:00
2012-feb-11;10:00
2012-feb-11;11:00
2012-feb-11;12:00
2012-feb-11;13:00
2012-feb-11;14:00
2012-feb-11;15:00
2012-feb-11;16:00
2012-feb-11;17:00
