date;time
2012-feb-11;18:00
2012-feb-11;19:00
2012-feb-11;20:00
2012-feb-11;21:00
2012-feb-11;22:00
2012-feb-11;23:00
2012-feb-12;0:00
2012-feb-12;1:00
2012-feb-12;2:00
2012-feb-12;3:00
2012-feb-12;4:00
2012-feb-12;5:00
2012-feb-12;6:00
2012-feb-12;7:00
2012-feb-12;8:00
2012-feb-12;9:00
2012-feb-12;10:00
2012-feb-12;11:00
2012-feb-12;12:00
2012-feb-12;13:00
2012-feb-12;14:00
2012-feb-12;15:00
2012-feb-12;16:00
2012-feb-12;17:00
2012-feb-12;18:00
2012-feb-12;19:00
2012-feb-12;20:00
2012-feb-12;21:00
2012-feb-12;22:00
2012-feb-12;23:00
2012-feb-13;0:00
2012-feb-13;1:00
2012-feb-13;2:00
2012-feb-13;3:00
2012-feb-13;4:00
2012-feb-13;5:00
2012-feb-13;6:00
2012-feb-13;7:00
2012-feb-13;8:00
2012-feb-13;9:00
2012-feb-13;10:00
2012-feb-13;11:00
2012-feb-13;12:00
2012-feb-13;13:00
2012-feb-13;14:00
2012-feb-13;15:00
2012-feb-13;16:00
2012-feb-13;17:00
2012-feb-13;18:00
2012-feb-13;19:00
2012-feb-13;20:00
2012-feb-13;21:00
2012-feb-13;22:00
2012-feb-13;23:00
2012-feb-14;0:00
2012-feb-14;1:00
2012-feb-14;2:00
2012-feb-14;3:00
2012-feb-14;4:00
2012-feb-14;5:00
2012-feb-14;6:00
2012-feb-14;7:00
2012-feb-14;8:00
2012-feb-14;9:00
2012-feb-14;10:00
2012-feb-14;11:00
2012-feb-14;12:00
2012-feb-14;13:00
2012-feb-14;14:00
2012-feb-14;15:00
2012-feb-14;16:00
2012-feb-14;17:00
2012-feb-14;18:00
2012-feb-14;19:00
2012-feb-14;20:00
2012-feb-14;21:00
2012-feb-14;22:00
2012-feb-14;23:00
2012-feb-15;0:00
2012-feb-15;1:00
2012-feb-15;2:00
2012-feb-15;3:00
2012-feb-15;4:00
2012-feb-15;5:00
2012-feb-15;6:00
2012-feb-15;7:00
2012-feb-15;8:00
2012-feb-15;9:00
2012-feb-15;10:00
2012-feb-15;11:00
2012-feb-15;12:00
2012-feb-15;13:00
2012-feb-15;14:00
2012-feb-15;15:00
2012-feb-15;16:00
2012-feb-15;17:00
2012-feb-15;18:00
2012-feb-15;19:00
2012-feb-15;20:00
2012-feb-15;21:00
2012-feb-15;22:00
2012-feb-15;23:00
2012-feb-16;0:00
2012-feb-16;1:00
2012-feb-16;2:00
2012-feb-16;3:00
2012-feb-16;4:00
2012-feb-16;5:00
2012-feb-16;6:00
2012-feb-16;7:00
2012-feb-16;8:00
2012-feb-16;9:00
2012-feb-16;10:00
2012-feb-16;11:00
2012-feb-16;12:00
2012-feb-16;13:00
2012-feb-16;14:00
2012-feb-16;15:00
2012-feb-16;16:00
2012-feb-16;17:00
2012-feb-16;18:00
2012-feb-16;19:00
2012-feb-16;20:00
2012-feb-16;21:00
2012-feb-16;22:00
2012-feb-16;23:00
2012-feb-17;0:00
2012-feb-17;1:00
2012-feb-17;2:00
2012-feb-17;3:00
2012-feb-17;4:00
2012-feb-17;5:00
2012-feb-17;6:00
2012-feb-17;7:00
2012-feb-17;8:00
2012-feb-17;9:00
2012-feb-17;10:00
2012-feb-17;11:00
2012-feb-17;12:00
2012-feb-17;13:00
2012-feb-17;14:00
2012-feb-17;15:00
2012-feb-17;16:00
2012-feb-17;17:00
2012-feb-17;18:00
2012-feb-17;19:00
2012-feb-17;20:00
2012-feb-17;21:00
2012-feb-17;22:00
2012-feb-17;23:00
2012-feb-18;0:00
2012-feb-18;1:00
2012-feb-18;2:00
2012-feb-18;3:00
2012-feb-18;4:00
2012-feb-18;5:00
2012-feb-18;6:00
2012-feb-18;7:00
2012-feb-18;8:00
2012-feb-18;9:00
2012-feb-18;10:00
2012-feb-18;11:00
2012-feb-18;12:00
2012-feb-18;13:00
2012-feb-18;14:00
2012-feb-18;15:00
2012-feb-18;16:00
