1_G137.1;4_G189.52;6_G-60.89;8_G43.28;10_G-56.47;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66
142.554;146.28;145.314;359.145;-1.0;144.9;-1.0;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.88776;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.33472;139.656;144.486;146.28;-1.0;170.177;146.28;143.796;144.348;145.1338;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.89914;145.452;143.796;143.658;143.244;144.9;-1.0;142.278;142.23363;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;-1.0;141.036;-1.0;-1.0;146.28;145.038;-1.0;146.28;143.796;144.348;145.13875;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.11647;146.28;-1.0;359.145;363.285;-1.0;144.762;144.9;144.624;144.348;146.32036;-1.0;143.658;143.382;143.658;145.728;145.452;-1.0;-1.0;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.46494;139.656;144.486;146.28;-1.0;170.177;146.28;143.796;144.348;145.16005;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;-1.0;369.00278;144.9;144.762;144.9;144.624;144.348;146.95229;-1.0;143.658;143.382;143.658;146.07207;145.4611;143.796;143.658;143.244;144.9;142.278;142.10684;-1.0;-1.0;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.50468;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.21992;145.452;146.004;145.038;143.934;143.52391;142.692;143.658;144.762;142.692;145.59;140.07
142.554;-1.0;145.314;359.145;363.285;144.9;-1.0;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.91522;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;-1.0;141.47314;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.2241;-1.0;146.004;-1.0;143.934;-1.0;142.692;-1.0;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;-1.0;143.658;145.88612;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.42325;139.656;144.486;146.28;144.89296;170.177;-1.0;143.796;144.348;144.63863;145.452;146.004;145.038;143.934;143.52;-1.0;143.658;144.762;142.692;145.59;-1.0
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;-1.0;143.382;-1.0;145.93301;145.452;143.796;143.658;143.244;144.9;-1.0;142.278;142.19841;144.486;144.624;144.18762;-1.0;-1.0;146.28;143.382;-1.0;143.244;141.44753;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.1659;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;-1.0;144.348;146.55806;-1.0;143.658;143.382;143.658;145.89665;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;-1.0;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.1121;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.728;145.452;-1.0;-1.0;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.2036;139.656;144.486;146.28;145.038;170.177;146.28;-1.0;144.348;-1.0;145.452;146.004;145.038;143.934;143.55139;142.692;143.63474;144.762;-1.0;145.59;-1.0
-1.0;146.28;-1.0;359.145;363.285;144.9;-1.0;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.87773;145.452;143.796;143.658;143.244;144.9;142.278;-1.0;141.87602;-1.0;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.14517;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;144.82852;145.452;-1.0;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
-1.0;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;-1.0;146.28;354.315;143.658;143.382;143.658;145.90721;145.452;143.796;143.658;143.244;144.9;142.278;-1.0;142.19618;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.11423;139.656;144.486;146.28;145.038;-1.0;146.28;143.796;144.348;145.08618;145.452;146.004;-1.0;143.934;143.52;-1.0;143.658;144.762;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;-1.0;147.14943;-1.0;143.658;143.382;143.658;145.96298;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;-1.0;-1.0;146.28;146.28;-1.0;143.52;143.244;141.036;139.656;143.61537;-1.0;145.038;170.177;146.28;143.796;144.348;144.9;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
142.554;146.28;-1.0;359.145;363.285;144.9;144.762;144.9;-1.0;144.348;146.28;354.315;143.658;143.382;143.658;145.89458;145.452;143.796;143.658;143.244;144.9;142.278;-1.0;142.18974;144.486;144.624;-1.0;350.52;146.28;146.28;-1.0;143.52;143.244;141.036;139.656;144.486;146.28;145.038;170.177;146.28;143.796;144.348;145.03265;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;-1.0;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;144.9;144.624;144.348;146.28;354.315;143.658;143.382;143.658;145.84883;145.452;143.796;143.658;143.244;144.9;142.278;142.278;142.278;144.486;144.624;144.072;350.58408;-1.0;146.28;-1.0;143.52;143.244;141.036;139.656;-1.0;146.28;-1.0;170.177;146.28;143.796;144.348;145.03719;145.452;146.004;145.038;143.934;143.53181;142.692;143.658;-1.0;142.692;145.59;140.07
142.554;146.28;145.314;359.145;363.285;144.9;144.762;-1.0;144.37819;144.348;146.28;354.315;143.658;143.382;143.658;145.87834;145.452;143.796;143.658;143.244;144.9;-1.0;142.05139;141.9123;144.486;144.624;144.072;350.52;146.28;146.28;143.382;143.52;143.244;141.09218;139.656;144.25914;-1.0;145.038;170.177;146.28;143.796;144.348;145.01535;145.452;146.004;145.038;143.934;143.52;142.692;143.658;144.762;142.692;145.59;140.07
