1_C8.98;2_C27.66;3_C67.93;4_C8.98;6_C-299.31;7_C28.49;8_C-36.72;11_C18.52;12_C58.18;13_C139.97;14_C-72.73;15_C130.25;16_C33.58;17_C103.85;18_C92.07;19_C72.09;20_C-104.31;21_C-9.02;22_C62.35;23_C-95.35;24_C-54.28;27_C58.1;28_C76.82;29_C46.38;31_C-88.58;32_C-109.98;33_C151.27;34_C25.79;35_C8.84;36_C-12.09;39_C-119.43;40_C61.2;41_C-21.71;42_C-18.28;43_C93.33;44_C82.18;45_C139.21;46_C-47.62;47_C65.03;48_C139.11;49_C-111.08;50_C-86.08;51_C-113.17;52_C-145.92;53_C8;54_C65.32;55_C120.1;56_C104.48;57_C-100.32;58_C184.85;59_C-66.68;60_C10.55;62_C-42.23;66_C-12.24;67_C18.82;70_C11.92;72_C-2.51;73_C10.81;74_C-48.54;75_C-50.42;76_C-166.11;77_C-38.23;78_C-51.27;79_C270.19;80_C-136.21;82_C13.73;83_C-149.36;84_C-147.04;85_C12.47;86_C-99.66;88_C-0.18;90_C-42.83;91_C-61.37;92_C-202.47;93_C-122.47;94_C17.95;95_C56.76;96_C-49.29;97_C0.01;98_C112.29;99_C143.99;100_C-109.71;101_C-11.73;102_C120.15;103_C-46.97;104_C-5.25;105_C-8.61;106_C-88.77;107_C-44.47;108_C-2.94;109_C-41.39;110_C111.34;112_C-48.1;113_C-43.32;114_C69.69;115_C-105.64;116_C-4.07;117_C-155.15;118_C116.72
24.54943;8.540228;18.62996;17.309162;24.886112;8.737621;11.96493;29.791529;21.20279;16.25551;5.735299;43.033436;11.082979;5.444396;29.945179;19.252377;7.9345217;6.753137;4.9704647;3.2903743;5.738101;29.844257;7.863662;10.369734;19.8034;26.201633;9.501329;27.325668;15.758954;14.434631;12.080829;30.086575;15.24738;45.441254;7.8540726;6.7511735;26.947235;13.06716;16.654842;8.1770735;37.03205;7.3334312;7.876812;8.044359;10.009367;53.40437;31.652231;40.77547;4.906568;5.8202896;113.14835;33.105507;39.149055;18.061909;12.833887;25.967258;5.1045814;2.8297584;30.913769;20.612394;26.529974;27.468018;30.028341;17.356136;76.68713;24.610626;9.183018;4.7178583;9.916914;10.435265;22.42913;70.116295;4.6282325;34.838707;5.6028595;14.019173;21.285385;15.863228;6.807943;16.200247;18.401669;14.795702;9.745928;2.133782;10.948748;18.20363;15.697507;22.467625;20.21812;0.9453133;3.4514203;18.674725;28.306631;2.5376477;3.7195683;10.677594;70.96629;9.1725;13.277559
22.2523;9.248124;17.875984;16.94942;23.550066;8.924787;14.338618;34.63647;21.292013;15.055041;6.2206907;43.878426;12.017374;4.886792;27.825455;18.496113;8.171022;6.766429;5.212658;3.509994;6.043937;30.46745;7.3239303;12.151629;22.42326;27.304972;9.61515;27.948666;15.211202;13.806615;12.774206;26.524014;16.539616;42.248962;8.664918;6.9165087;21.428886;12.928479;17.183455;11.337845;40.220863;8.013245;8.298505;8.906129;10.763385;54.285625;32.390617;40.515415;5.6951694;5.6875887;120.49379;38.429176;39.08144;16.219135;12.760444;28.710602;5.776324;2.8753266;30.896622;18.783154;29.318176;29.16615;35.07498;19.672726;57.429974;26.508163;9.400863;4.757395;11.950658;9.879311;20.147415;75.10265;5.247695;27.877415;5.5567937;14.937792;18.887733;19.158825;6.990592;15.481958;17.881495;17.55007;10.799362;2.4553175;10.597615;18.370672;15.237177;20.253023;23.456814;0.83870536;3.9855022;19.897074;34.666145;2.9339209;3.5045025;10.099839;96.417755;8.720655;15.971675
25.771322;8.470079;18.359543;17.805569;23.212265;9.317307;14.394028;32.819416;21.17209;17.656765;6.478982;49.940903;13.6641865;5.622779;31.576553;20.660728;9.283302;6.05105;5.1083565;3.3957744;6.0452776;31.646042;8.109713;9.972016;19.15526;30.03869;11.1306505;30.474422;16.414488;14.707255;11.582413;31.955679;19.788534;48.591255;10.208395;7.6129074;31.567745;14.168137;16.386242;9.26658;39.030403;8.105436;9.500791;8.513365;10.970129;53.848564;34.547966;42.176456;6.0450926;5.465125;144.6609;37.50526;40.538788;19.012974;13.319183;31.500021;6.4370337;2.9488513;32.158714;21.907642;32.666725;28.401974;37.69678;18.226534;61.399334;26.281107;9.047003;4.5235147;12.6816435;12.006414;23.872988;73.72942;4.4748526;31.837317;5.604633;14.859072;20.78671;17.625763;6.836918;16.708454;21.150496;17.695414;9.662046;2.3593738;10.718735;17.915356;12.566597;20.625828;24.295805;1.0532358;3.9916425;17.477982;34.26876;3.1918333;4.054401;10.623401;90.19958;9.370178;15.154816
24.907671;11.502489;19.655216;18.936857;24.354704;8.481485;12.843767;33.87034;25.996862;17.682407;6.6629653;40.76137;12.1233;5.7867804;26.188251;18.312464;9.3022175;6.7839622;4.510812;3.8939083;6.574313;39.226665;7.6473475;11.75041;23.565683;28.18948;10.306116;29.496027;15.668999;16.435844;13.966158;30.592566;20.331348;50.691578;9.059449;8.547517;26.446438;15.061839;18.243795;9.868548;48.070084;7.7233224;9.799034;8.129003;12.026713;60.23645;27.782024;44.94259;5.913038;5.725028;146.84135;41.74073;38.432686;20.734076;13.3707075;31.7022;6.008879;2.7111118;33.831345;22.661697;34.054615;30.922297;39.789234;17.583622;64.62935;25.45427;7.869725;5.1326647;11.43289;9.693254;23.649849;71.62419;5.3505507;33.701733;6.18631;14.128729;20.573345;18.865946;7.057663;16.663176;19.889538;18.622316;10.053003;2.3683448;11.661083;19.267132;14.380284;25.650585;26.842392;0.896589;3.65622;18.003384;33.637695;3.4956927;4.035138;11.142408;103.2557;10.760252;15.610949
25.39582;11.366477;18.908356;19.223469;29.258234;10.2641115;13.725881;36.227768;24.650911;18.425083;7.098014;44.643913;12.762939;5.075944;28.482569;23.06577;8.702896;8.038337;4.597569;3.7106636;6.3999567;35.29837;8.911287;12.11174;21.83064;31.294607;11.323603;26.362934;17.205006;15.534561;13.876859;33.85004;17.776253;45.52137;8.847117;8.554033;30.038244;13.168219;17.972301;10.804861;42.228928;7.8635635;8.219945;8.837078;12.0364065;61.97416;31.188076;37.480675;5.65538;6.297843;136.967;40.527424;39.722267;19.094048;14.493124;33.671776;5.864737;3.2802246;32.087017;21.199184;31.353786;31.083069;37.42246;18.108948;63.569237;23.521225;10.331223;5.4889345;12.3421955;11.688781;22.051899;83.82073;4.85332;28.797012;5.068929;16.146397;20.61327;16.791227;6.6012993;17.983868;20.600115;18.51736;10.988983;2.1815705;11.433359;16.970196;16.454779;20.152147;25.337894;1.0127246;3.703858;19.198063;30.603632;2.8913455;4.0472217;11.231542;86.41405;10.138708;19.466856
23.09676;8.660621;17.824867;19.115503;22.145142;8.7533245;13.389404;34.181652;21.8394;17.67731;7.081279;42.43734;12.302458;5.0223765;26.564346;23.446686;8.507238;7.074711;4.8436365;3.2544804;5.7282667;30.946476;8.635096;11.328373;20.1226;32.40893;11.887946;28.985027;13.631993;15.187973;15.121056;33.067287;17.520779;45.81604;8.601524;7.6796865;27.802704;13.610243;15.407644;9.930708;43.516518;9.0619545;8.513691;8.445711;10.430628;55.443836;29.039143;38.750126;6.168037;5.6284266;132.85251;34.27491;32.959812;19.724806;12.361147;28.842518;5.7212453;2.8584867;35.043903;20.847462;35.74105;29.264126;40.47071;18.392466;63.873882;23.332615;8.906825;5.525794;9.217047;10.263875;19.969305;74.23625;4.5248675;29.32117;5.52081;14.759026;18.645817;18.334026;6.982175;15.7132845;20.70441;17.492657;9.8947935;2.274378;10.117868;17.732086;13.438368;18.045507;22.659725;0.8806907;3.6512814;18.552708;32.60118;2.5219157;4.7920885;10.516801;91.37125;9.021898;14.646088
24.19433;8.917238;18.106848;18.510136;24.03971;8.110502;13.117121;33.038185;20.151403;15.486954;7.0179276;38.602478;10.795477;5.547152;26.12055;21.920773;8.361969;6.2869105;4.1157737;3.0962281;5.925805;33.3243;7.622823;10.763197;21.47514;27.774353;10.623556;27.16749;13.850424;13.769064;11.354478;30.938044;18.339424;42.765953;7.797943;7.249911;24.440397;12.6754675;14.527263;8.858177;43.23739;7.938199;8.658346;7.5383377;9.917049;50.182213;27.988958;33.421646;4.834268;5.1670713;131.04698;33.41004;38.65284;19.042711;12.366258;29.621899;5.9676313;2.5283263;33.33535;20.079607;30.750103;30.61671;32.336624;15.29127;57.76699;24.897219;9.112435;5.0721884;10.532488;8.120783;21.967447;66.12014;4.825984;27.572504;5.452853;13.149809;20.442762;16.389347;6.629771;14.904902;20.122202;17.70111;9.274847;2.4053798;11.8714695;15.392054;12.9761095;16.869427;22.56784;0.8952758;3.7983165;16.345133;28.44563;2.8174336;3.282137;10.370973;81.318115;8.701417;13.688026
21.624403;8.788557;16.832506;16.16284;21.594461;7.913072;12.475683;31.279373;19.037373;14.073418;5.8048263;36.874107;11.083593;5.017503;23.395432;20.68983;7.82084;6.147444;4.5966234;2.8151793;5.183861;31.262547;7.355466;9.733932;18.714483;25.600613;9.289;22.535547;13.755877;13.875694;11.199145;29.571375;15.54402;37.69648;7.0676017;6.707635;23.075966;11.827066;14.252228;8.768851;37.927574;8.2544985;6.6834755;7.662318;9.714975;48.01611;25.771158;35.587566;4.8906794;4.8319545;103.59761;33.438637;34.15329;19.325172;11.257892;26.359646;5.377177;2.547612;30.565252;21.577503;29.519049;26.568243;32.378098;13.474794;55.646767;26.524334;8.749495;4.7910113;10.2469845;9.708459;20.024557;76.36107;4.2169003;26.414429;5.901345;11.976275;16.595629;14.630092;6.8042116;14.9483385;18.296324;15.784571;10.646074;2.042432;10.0460005;16.347126;12.587224;18.463512;22.760983;0.8987991;3.2646155;18.05429;27.70119;2.4260898;3.4846222;8.750585;70.1656;7.9873414;15.526439
20.756172;8.653278;16.761158;16.19077;22.055544;7.957418;11.015596;29.660236;18.145964;12.866407;5.2907963;36.417503;12.530802;4.2079177;25.467445;17.346395;7.798597;5.6739817;4.131404;3.0719175;5.0227118;31.066391;7.550827;9.432749;19.233213;24.49963;9.746572;27.708353;13.533234;12.885269;11.204516;26.000774;14.667578;37.551178;6.1467705;6.0315714;20.82484;10.39768;15.276182;7.6812506;35.550484;6.0424395;6.8667946;7.899733;9.773;48.43105;27.0267;30.405188;5.08484;4.917529;121.62935;27.105967;34.40469;17.425915;10.985296;28.88293;5.7533703;2.7353365;26.614553;17.888996;29.422306;24.739672;27.871288;16.926584;56.436806;22.351025;8.429911;4.6270657;9.365662;9.934301;20.150341;65.08815;4.233287;23.812323;5.4870443;12.014484;19.347317;17.332531;5.887012;13.709714;19.381062;13.875073;9.720008;2.054068;10.333728;15.203405;12.792883;17.164427;19.6096;0.81937647;3.2093043;17.409866;28.466238;2.4413085;3.2846992;8.43943;73.35093;7.468442;14.424637
22.984241;7.7419586;18.291706;17.34429;26.949162;10.238325;11.406576;31.348059;19.91038;15.982218;6.094533;38.70937;10.112691;4.764788;25.370996;18.283253;7.382151;6.3753676;4.131039;3.4095962;6.395331;31.236252;6.5117464;9.919187;18.803776;27.650524;9.101685;27.406046;13.754542;12.097551;13.184672;29.362314;15.815474;43.95223;7.969261;7.190637;22.206902;12.5235;15.035609;8.816831;37.110588;7.594838;7.3446603;7.989253;10.398426;51.372925;27.225632;41.602245;5.0569696;5.284413;136.52798;32.72144;37.016792;17.376661;11.986266;25.611828;5.4023;2.740333;26.733526;19.036037;32.92661;27.35087;28.135029;16.86961;50.884018;23.8507;8.828696;4.729995;10.258098;9.529946;19.356592;81.06745;4.4846654;28.786503;4.920072;12.525749;17.892065;14.322751;7.16847;14.568575;16.46107;14.935493;9.181839;2.080358;10.955001;16.329079;13.479907;18.244526;18.568104;0.8250774;3.1707468;17.09128;26.165854;2.4529798;3.032212;11.757846;74.98686;9.238845;14.328056
