1_G137.1;4_G189.52;6_G-60.89;8_G43.28;10_G-56.47;12_G-138.89;15_G-27.88;18_G-13.33;19_G63.6;24_G-28.43;25_G-265.65;26_G-244.05;27_G132.01;31_G-30.66;32_G-178.13;34_G-17.19;36_G121.47;40_G-43.05;42_G-25.73;46_G-176.32;49_G46.01;54_G-64;55_G45.55;56_G70.48;59_G103.51;61_G50.5;62_G-171.7;65_G-78.45;66_G-85.09;69_G-241.42;70_G3.61;72_G20.6;73_G-36.11;74_G75.82;76_G-72.67;77_G-136.83;80_G-81.14;85_G144.41;87_G-43.14;89_G65.56;90_G32.19;91_G-78.38;92_G157.57;99_G64.29;100_G36.31;103_G63.29;104_G40.43;105_G-10.61;107_G151.15;110_G-9.47;111_G201.84;112_G-6.27;113_G130.49;116_G228.66
22.547543;24.83906;22.73444;22.562857;130.81653;41.729546;21.647005;24.745455;22.533062;21.137838;74.75225;89.11928;21.381353;28.338394;23.067135;23.06438;22.91676;21.488026;21.656797;29.620447;72.97782;34.70443;23.641565;22.212559;59.38746;56.59211;23.008013;108.40993;111.51723;194.48666;22.865654;22.356665;23.014091;22.340466;22.957886;21.561462;137.67622;24.537098;23.826824;150.98428;26.300024;23.047173;22.802504;0.0;81.04262;0.0;0.0;0.0;23.146423;21.5676;30.722158;23.29181;23.538359;23.250689
23.15147;23.798893;24.293453;26.621399;122.151344;42.69925;21.35857;21.25045;23.129612;22.803686;73.141846;0.0;23.70729;26.303122;22.427517;22.050537;23.670471;23.214079;22.09856;26.676865;71.07005;36.243923;0.0;19.435446;56.304462;57.703228;22.411047;114.22111;113.86861;177.70828;25.183102;22.506605;22.970774;22.62733;22.706268;25.293194;139.58391;21.671635;23.048222;0.0;24.634104;23.32084;22.805553;24.959692;82.22577;36.093544;23.399883;23.612822;23.46524;22.045788;0.0;21.302622;0.0;24.798786
20.621922;20.792759;19.538837;20.722818;105.3751;37.77128;19.186808;18.739664;20.936026;0.0;59.42395;77.34302;19.895157;21.631609;21.102625;21.113375;19.688133;18.689869;20.322042;25.589687;61.768543;29.629583;20.48908;21.57049;50.259922;57.654247;20.80897;97.021255;94.35637;160.16171;17.941399;20.752396;19.969042;20.716862;22.042362;18.688248;0.0;19.51491;19.804602;134.49423;18.906794;19.68327;0.0;17.270443;69.171684;27.488392;18.972239;19.760386;18.624382;19.450924;28.086203;19.116941;19.812824;20.236877
0.0;20.984135;22.62109;0.0;110.25365;32.96897;20.642704;20.055708;0.0;20.83993;62.357708;82.99748;21.044498;20.752825;19.500647;20.607895;20.518826;18.91166;21.588932;22.351505;63.01702;30.403727;21.173126;20.729458;50.258327;54.729958;20.885588;94.22983;0.0;165.31941;19.915218;19.475716;22.50108;21.082901;20.287724;21.064968;0.0;21.000652;21.871962;132.72806;22.08311;19.047596;19.718773;20.09531;79.280945;27.044117;22.129086;0.0;19.070957;0.0;28.137775;18.348629;20.110596;20.647633
17.783506;17.203579;15.941841;19.228014;89.09626;34.902596;17.863533;16.576378;17.190958;17.688646;52.583538;73.460304;15.193194;17.194468;16.868069;16.994217;16.725224;19.481754;0.0;20.900414;53.45152;24.953278;16.810028;17.709751;46.621452;44.17058;17.357979;85.44996;92.09013;126.255325;17.834963;17.724302;17.133863;17.066202;17.187824;17.045332;114.16789;19.14109;0.0;122.448425;17.954105;19.146284;0.0;16.465471;57.982677;24.240856;17.179707;17.87119;16.137568;0.0;22.770845;17.878714;16.620684;17.420649
19.299152;20.860027;0.0;19.524347;109.57866;38.827614;20.381823;20.4337;18.018087;19.598171;0.0;82.76448;19.45963;21.657385;20.1037;20.635912;20.298092;0.0;21.077335;0.0;64.17885;29.264868;20.276146;19.432156;50.837105;51.42237;20.388792;102.6241;99.87733;151.92778;20.239643;21.667892;19.033417;19.812027;22.65227;20.442907;110.11702;21.644299;0.0;138.44244;21.412336;19.624365;0.0;20.646585;74.23108;27.529938;20.712196;0.0;0.0;20.255571;29.209269;22.245495;20.519098;21.405987
23.894659;23.4175;23.770939;22.981995;130.89053;0.0;24.30907;24.83887;24.315275;25.79338;0.0;92.335625;23.254148;25.978754;23.528019;23.72277;23.03957;25.275667;21.468395;26.936148;75.522514;35.850502;25.103668;22.96079;61.23772;61.755413;23.151548;113.6472;118.55387;188.13802;23.24545;24.629648;24.310152;25.80769;21.93475;26.123663;0.0;25.854544;25.499594;178.48257;25.18313;24.944918;0.0;25.32639;83.27956;29.248043;0.0;24.90377;24.375309;25.827236;0.0;24.574749;24.738934;22.155148
25.393429;23.788448;25.437458;26.162464;125.79043;45.77277;25.355543;23.369358;22.218172;24.492231;76.6082;102.48464;22.903841;27.047512;0.0;22.729288;0.0;22.60516;23.050869;28.991323;71.25133;33.73264;25.242527;26.65392;59.008797;61.72007;24.358448;117.60807;121.24186;201.06049;27.890055;27.173895;25.296352;24.157736;23.864428;25.450304;143.35312;25.09505;25.013119;176.13194;25.006323;23.990984;22.86558;22.97374;75.64954;0.0;24.160606;21.89478;21.786057;0.0;33.99003;25.338194;24.768549;22.91418
33.52194;28.185902;33.252647;33.36175;183.39977;0.0;0.0;33.514645;31.773865;32.46804;100.41679;0.0;0.0;36.403458;0.0;30.470419;0.0;29.473248;31.57456;38.250526;101.64286;0.0;0.0;30.863379;0.0;92.88884;34.433105;153.27235;157.4213;248.8262;29.172125;29.784336;0.0;32.874847;30.57457;32.00956;188.9932;31.688482;36.329277;224.09306;31.257868;34.70282;30.99704;34.51841;0.0;45.910362;0.0;30.803232;30.904186;32.265926;46.31575;31.947128;32.082848;30.202032
30.996677;30.204859;28.9164;30.765284;160.64426;56.668236;30.179693;31.16622;32.918438;29.98606;0.0;116.07998;32.15079;31.499868;33.296772;29.937405;0.0;32.605095;28.022827;39.410133;100.26558;40.619457;25.558039;30.108978;77.08693;79.80461;30.317444;157.239;0.0;235.44133;32.06378;30.64533;31.494678;31.135807;32.334435;31.15089;182.33165;28.742416;29.568478;209.94052;30.536346;0.0;30.554285;30.126404;97.13593;41.140495;0.0;0.0;34.501923;30.199772;45.213818;31.38301;27.728848;0.0
