1_C8.98;2_C27.66;3_C67.93;4_C8.98;6_C-299.31;7_C28.49;8_C-36.72;11_C18.52;12_C58.18;13_C139.97;14_C-72.73;15_C130.25;16_C33.58;17_C103.85;18_C92.07;19_C72.09;20_C-104.31;21_C-9.02;22_C62.35;23_C-95.35;24_C-54.28;27_C58.1;28_C76.82;29_C46.38;31_C-88.58;32_C-109.98;33_C151.27;34_C25.79;35_C8.84;36_C-12.09;39_C-119.43;40_C61.2;41_C-21.71;42_C-18.28;43_C93.33;44_C82.18;45_C139.21;46_C-47.62;47_C65.03;48_C139.11;49_C-111.08;50_C-86.08;51_C-113.17;52_C-145.92;53_C8;54_C65.32;55_C120.1;56_C104.48;57_C-100.32;58_C184.85;59_C-66.68;60_C10.55;62_C-42.23;66_C-12.24;67_C18.82;70_C11.92;72_C-2.51;73_C10.81;74_C-48.54;75_C-50.42;76_C-166.11;77_C-38.23;78_C-51.27;79_C270.19;80_C-136.21;82_C13.73;83_C-149.36;84_C-147.04;85_C12.47;86_C-99.66;88_C-0.18;90_C-42.83;91_C-61.37;92_C-202.47;93_C-122.47;94_C17.95;95_C56.76;96_C-49.29;97_C0.01;98_C112.29;99_C143.99;100_C-109.71;101_C-11.73;102_C120.15;103_C-46.97;104_C-5.25;105_C-8.61;106_C-88.77;107_C-44.47;108_C-2.94;109_C-41.39;110_C111.34;112_C-48.1;113_C-43.32;114_C69.69;115_C-105.64;116_C-4.07;117_C-155.15;118_C116.72
32.07963;12.39953;27.302475;24.50209;30.628357;11.256851;19.624329;43.987007;29.84528;23.23168;9.107688;54.793995;15.605209;7.933693;42.92445;28.44197;10.516808;8.485856;6.172961;4.031605;7.5652328;42.993004;10.904156;14.128294;27.077597;36.929935;14.743782;40.765553;21.297792;18.355215;15.750032;45.87852;24.60751;64.20077;11.60722;11.682989;30.034473;15.656733;23.932299;13.728943;55.460197;10.090281;10.870242;11.50569;14.718231;68.78273;39.961163;56.917103;7.2296243;7.5512366;188.8503;54.947266;50.217976;25.76175;16.594406;40.612648;7.3871636;3.9843223;41.330906;30.30486;47.787483;47.259438;43.78826;24.935526;78.929955;38.34983;12.375588;7.116208;15.386922;12.971725;29.494091;106.40993;6.26685;42.81014;8.172799;19.296213;27.947926;18.86551;8.685706;22.604567;29.881811;26.923014;14.037412;3.2619042;13.478701;20.935434;20.556984;28.9811;31.95365;1.1574032;5.7576084;24.150154;49.178253;4.0637155;4.6365385;14.884328;125.17421;11.8734;22.790747
32.32147;13.951582;26.913479;25.989483;36.244816;13.236896;16.445595;46.21588;30.54047;22.367563;8.911084;55.03556;16.24606;6.5691156;39.089714;28.061956;12.2829;10.537088;6.479518;4.6997156;8.8379545;50.87046;11.469645;16.559738;31.56654;42.88191;16.884523;41.331676;21.516354;18.89304;18.187178;42.905968;22.655153;65.99951;11.174804;11.243108;34.543762;18.034542;22.684673;13.180412;60.66181;11.587874;11.720839;10.595425;16.136528;81.279045;36.175213;51.221733;7.943312;8.729851;180.5189;47.767464;53.586327;27.726505;19.239416;38.211433;8.150057;3.7702756;42.887238;32.445576;48.42143;44.602074;44.293068;27.260677;81.07652;37.904736;13.547093;7.0377517;17.691488;12.368524;35.519756;109.108376;6.284832;42.791145;7.6801577;19.671124;28.786045;26.647999;10.18695;27.53573;28.724628;23.846943;13.301943;3.383819;15.390539;25.776358;19.719824;27.881195;35.708748;1.2002318;5.822195;25.724655;44.80212;3.8456821;5.705738;15.191946;119.72002;13.651967;21.623453
34.60276;13.993428;26.87172;25.450527;37.800438;12.766975;17.477089;46.187252;32.495747;26.159946;9.558535;65.02196;15.79203;7.973258;43.744385;31.723303;13.179814;10.375303;6.868497;4.610719;9.5066595;44.32695;10.773437;15.841957;27.214651;40.966537;16.681377;45.915833;20.533812;20.816935;18.610312;44.308727;29.76567;66.69794;11.359827;11.581293;34.211094;19.297619;25.18327;13.058957;63.778553;10.092039;12.245295;12.067455;15.394826;81.604324;39.739883;58.881165;8.3627405;7.7343955;191.392;58.79084;45.282677;29.991276;21.259228;44.015514;8.583547;4.006364;48.859806;34.132114;44.72067;41.346107;50.06406;26.011744;92.01305;44.014465;12.541243;7.204547;15.896471;16.550024;35.602745;100.638565;6.796946;46.097523;8.8659115;19.540422;31.615692;26.083862;10.308764;20.468538;29.71108;27.822275;16.235323;3.36354;14.958859;25.293533;21.469593;31.657078;34.822044;1.3486491;6.0033245;28.806942;43.613243;4.374663;5.9477534;16.01518;134.33174;13.439525;24.513521
36.672234;13.046881;28.464645;27.208424;39.89343;11.322777;20.125072;49.59865;32.334835;24.010756;10.508134;57.405407;17.996296;7.1413016;40.662754;32.33333;11.732141;11.501228;7.2258463;4.7563076;9.123079;49.088715;11.264816;16.132088;27.603088;43.174522;15.647618;41.017338;20.468975;22.318184;17.89634;51.45287;24.87274;70.611046;13.183077;11.131962;39.34129;19.68372;21.841293;12.7081995;57.867836;12.890576;11.425486;11.640966;17.446999;80.33945;41.566353;58.48197;7.8345184;8.549723;206.71819;58.91624;47.84922;29.987162;19.213165;49.230736;7.726304;4.278359;45.707623;32.19186;46.118362;43.38154;48.739822;29.417973;89.888794;33.101433;11.597404;7.959546;16.215382;14.584561;32.972378;101.36766;6.580409;41.389904;8.368145;23.487173;27.782406;27.299042;12.522631;25.406055;28.347849;28.45788;13.059964;3.8819606;15.559489;23.838207;22.3102;28.954361;34.505447;1.3986739;5.586217;27.410923;49.125847;4.486896;5.628885;16.899235;120.97467;13.953316;21.58236
39.995552;14.113138;26.614506;26.187414;36.317726;12.614581;20.470602;50.07115;28.019098;24.423872;9.065737;70.76102;17.716202;7.120883;36.71597;28.997253;12.636526;9.000086;7.20786;4.482399;9.749147;48.156693;11.323961;18.189991;28.28071;39.10598;15.751615;42.486595;26.414404;22.52314;17.648432;46.326;24.349535;61.520008;11.442233;12.034354;34.8744;20.204115;23.38921;14.02047;59.732086;12.9244;11.166499;10.669861;16.059855;71.7162;46.62431;59.553547;9.038915;8.563509;189.82202;54.20453;55.471916;29.311823;18.792402;48.873634;8.849132;4.2117224;42.87126;38.5361;45.708385;44.040604;53.087696;30.355305;92.821915;36.59668;14.604689;7.1305456;17.961628;17.621393;32.479507;122.489395;6.146641;46.093864;7.9434586;22.46954;28.397938;31.769165;9.804283;21.618315;28.872229;27.298603;14.313751;3.6471703;14.476672;26.24676;22.377995;27.650417;33.68653;1.4514761;5.4948306;30.641602;42.7257;4.2714987;5.266016;15.936999;149.11417;14.483101;21.835606
34.39545;15.228491;29.904602;27.71489;34.552784;13.252159;16.594612;50.566463;35.10485;22.345509;10.020934;58.507637;15.3615465;6.9375396;37.108963;27.13148;12.008173;9.869822;6.63349;4.2488246;9.421328;52.05015;11.826711;16.312466;27.767212;40.019863;15.934675;39.62664;23.16198;23.45522;17.884966;41.75032;23.879713;66.626686;12.201216;11.224828;44.437187;17.294846;23.719574;15.274544;62.54895;12.46542;12.896929;12.256924;17.368565;83.82127;44.234062;59.550323;7.8679557;7.9234686;172.25432;54.869965;55.7158;24.48477;20.164392;37.875298;7.1911535;3.9614272;48.47316;30.059254;44.739227;43.415417;49.4601;24.949192;84.16222;30.498026;12.979019;6.6002426;13.869258;15.94018;35.65188;102.43327;6.48901;44.22608;7.645243;19.323507;27.49252;26.634445;10.667013;22.663164;32.907764;24.904732;14.406845;3.5408287;14.770498;26.929037;19.791752;30.635965;30.020687;1.4153855;4.7841945;27.373646;46.283287;4.1151896;5.6536818;12.906057;117.79879;14.219195;23.75874
31.000393;12.254667;24.807413;25.534298;33.347046;12.798806;20.333603;45.662926;24.049572;21.113224;8.646647;56.222237;15.650151;6.61755;33.93352;28.146255;12.620497;8.586621;6.8269486;4.665929;9.379324;46.44439;11.4079075;15.57263;27.28009;39.361855;13.780704;34.014534;23.55828;21.082235;14.248215;45.034576;24.011044;65.303314;12.456046;8.665342;33.86486;15.755124;22.252987;12.556829;51.499535;10.54238;10.6080065;10.42071;14.895139;57.66839;39.1103;49.7012;7.639018;6.5647955;177.35121;53.253105;45.382423;24.93773;19.90598;40.037544;9.128478;3.9210231;39.888386;31.936716;47.32256;33.55292;48.596466;26.004269;95.53561;36.108387;11.956841;7.278791;15.691106;12.774214;33.1728;107.44607;6.355275;42.894184;7.340352;18.98925;31.16354;22.679897;10.475827;21.205044;24.774878;24.92109;15.732617;3.5415573;13.446653;26.175415;19.84526;29.239344;30.260921;1.2111924;5.5363107;24.76571;53.10334;3.8185475;5.0353312;15.381856;106.65729;13.423831;20.54459
32.171303;11.707277;24.329092;23.114399;29.243378;10.590066;16.636257;42.26936;25.435497;21.702702;9.472214;57.081745;12.525163;7.061113;31.95576;28.045261;11.595458;8.201517;5.7342424;4.3651295;8.133209;45.366096;11.936673;14.490494;25.16475;34.250202;13.673828;33.186234;18.943815;18.990139;17.444197;41.62137;23.161877;58.758507;10.985477;9.878254;37.683765;18.368393;20.795511;11.91329;54.81197;10.579902;9.856192;10.94661;12.130503;66.48945;40.078205;54.59957;6.6742454;7.5796556;146.50671;44.978386;52.44987;25.843124;16.286024;47.42855;7.9240785;3.4241226;37.83093;25.450157;42.059402;38.43653;39.570896;25.124504;91.44253;36.97773;13.409116;7.19662;14.036997;11.72787;27.705826;106.44021;6.4699755;35.879017;7.012643;19.44616;24.466053;26.915394;8.799101;20.94964;25.644318;22.268269;13.610034;3.0203624;13.973503;22.72762;17.772903;26.194004;31.803833;1.3803669;5.221925;24.750872;40.920918;3.3061109;4.7815;13.033818;112.75104;10.99082;19.479984
35.61993;12.771577;27.150131;22.601065;25.356314;9.7472725;15.685864;35.195774;28.187906;20.684107;6.9355164;45.818066;13.2707615;6.557814;36.34197;26.583685;12.67762;8.813947;6.229625;4.077116;7.457;46.240158;10.285387;13.275904;25.62849;36.94709;14.620874;35.930824;21.438572;18.454365;16.289404;42.902077;19.932354;58.287773;9.426069;9.421815;29.95164;14.61561;21.338787;13.178984;57.88703;9.35683;10.379976;10.584501;12.726091;63.6096;37.111633;51.194416;6.751261;6.2903423;153.52377;45.358295;39.83825;24.836357;16.938406;39.2756;6.924424;3.6512127;36.94709;25.603748;36.59032;35.660316;47.838398;24.446764;68.74309;34.136547;11.349581;6.135601;14.037016;11.125459;27.02444;109.69635;6.818602;35.685555;6.9355097;16.992012;23.280806;20.799389;9.023175;19.829676;27.104076;24.805271;13.341146;2.8113158;12.565072;23.583385;18.334148;24.38926;27.148708;1.0573219;5.1466265;21.376362;46.066128;3.5922775;4.802356;12.235733;102.58913;13.403662;20.09711
30.356405;11.906836;22.268423;22.859499;32.05524;12.10582;16.738466;43.478584;26.78957;18.024088;8.316796;51.050453;15.695618;6.6949167;34.76567;25.429996;10.991676;9.102165;6.312028;4.2916393;7.9599533;49.53448;9.616507;17.59339;25.212898;41.845146;12.526489;36.351692;18.617517;19.873325;15.860372;36.911552;21.786634;62.915455;10.773389;10.012139;37.18131;17.324324;21.02045;12.312873;58.36247;9.90481;9.388652;9.84928;15.521547;68.408615;38.734535;45.26359;7.588186;7.547807;164.8033;47.684032;51.246227;23.922405;15.594485;39.327324;6.9061875;3.6616223;35.90246;27.630213;42.65889;34.017544;43.5708;23.395552;77.885895;40.169117;12.122808;7.720891;15.834597;12.779355;29.142746;99.2866;5.6712494;38.80993;7.0524597;20.570553;29.338108;23.895372;8.876588;23.424648;25.104477;23.857866;14.307257;3.063908;13.420255;23.206501;18.455936;28.555332;28.150665;1.1114877;4.4773483;24.75278;43.704166;3.4540992;4.4160147;12.324682;116.793846;12.41599;19.015545
