1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
105.95588;104.07139;101.05575;106.62901;108.46622
105.11095;103.79078;101.20276;107.52382;109.07447
105.4175;104.92963;101.06429;107.1472;109.084045
105.0229;104.14902;-1.0;-1.0;110.0378
105.926994;103.67999;101.4766;107.58378;109.45749
105.666306;105.62885;101.01213;107.126366;109.24339
105.31676;104.019775;101.12495;106.818344;108.35234
106.61239;104.11214;100.04432;107.0808;108.39344
104.73843;104.762215;101.35584;107.191795;109.398766
105.857925;103.77366;101.26368;106.64534;108.83243
106.43892;104.06873;99.553986;107.3799;109.72969
106.56756;104.18446;101.1757;107.348305;-1.0
105.7703;104.44564;100.905495;106.933395;109.12703
106.3379;104.29616;100.883705;106.53279;108.1447
106.44195;104.72279;102.45853;107.372734;109.77748
105.40749;104.3885;101.64834;106.55158;108.929016
-1.0;104.11406;101.047554;107.1454;108.92663
106.069214;-1.0;101.25556;105.638016;109.83399
107.155876;105.285;101.10297;107.01793;108.54417
-1.0;104.21875;100.56698;106.434784;109.13182
105.830475;104.612595;101.098595;106.73837;108.464775
106.75509;104.677376;100.73834;106.31008;108.46298
106.6646;105.14989;101.07014;106.139725;109.419174
106.08937;104.774956;-1.0;106.13944;-1.0
-1.0;103.87779;102.69789;106.33268;107.01305
105.401344;104.02156;100.94324;106.78601;108.29594
106.03626;104.716835;100.34144;107.31631;109.55883
106.08522;104.15916;101.72824;-1.0;108.5549
105.47812;103.81892;100.43125;106.67992;108.94409
106.852615;105.6091;101.1693;107.57811;109.210175
106.53316;105.11595;102.00586;107.107605;109.080315
-1.0;104.73853;100.479706;106.71761;107.9293
107.08578;104.89489;100.31746;107.25921;109.201744
106.60795;105.10198;101.218834;106.63277;109.31668
106.27828;104.859604;100.98895;106.61671;109.349
107.161896;104.9853;101.01357;107.03889;108.2934
106.22776;103.96207;101.56443;106.88517;-1.0
106.55918;103.21914;102.18481;107.01056;109.88961
106.38154;104.63527;100.90134;106.54239;109.10652
106.12197;103.84086;101.16935;108.4158;109.84113
106.20816;104.2396;100.81353;106.91946;108.66179
111.28114;108.88505;-1.0;112.072876;-1.0
106.89848;104.31955;101.51023;106.919815;109.4714
105.22903;103.66072;-1.0;107.33094;107.599045
106.390274;104.890335;100.91363;108.507965;108.94931
106.15347;103.96437;100.61798;107.18573;109.6372
105.53759;105.56402;99.625725;106.960304;109.165695
106.0699;104.47306;101.77237;106.770996;108.58504
106.15445;104.29541;101.46979;107.6911;109.89293
107.20683;105.59038;101.684296;106.90546;109.114876
-1.0;103.80031;100.21957;107.51764;109.308136
105.3366;104.35187;101.37037;106.62831;109.536934
105.16914;104.28198;100.77484;106.802574;109.37879
106.488014;103.96982;101.1577;106.65929;108.96027
105.57843;104.122;101.408104;107.368965;109.19183
105.3202;105.46214;101.8041;107.36561;109.20059
106.87478;104.63561;101.16268;107.07748;108.59344
106.152794;-1.0;100.72754;107.02076;109.19856
104.72098;104.21337;101.19087;-1.0;108.70127
106.752914;104.0191;101.051735;107.4011;108.49922
106.84547;103.80067;101.25425;106.82609;-1.0
107.008575;103.88637;100.75873;106.823906;108.675735
106.68089;104.59541;100.74268;107.259766;108.35243
-1.0;103.3814;100.86528;107.22398;108.46382
105.2555;104.04943;100.88279;107.56631;110.349655
105.97556;104.322296;101.43485;106.20141;109.32528
104.93344;104.75612;100.629326;107.34116;110.1005
106.49384;105.71544;100.86348;106.95542;109.526855
105.44691;104.37076;99.82514;106.86875;108.62285
106.1738;104.401215;101.852425;107.26918;108.8265
106.044426;103.90823;100.51487;107.177376;109.74525
106.733635;103.957146;100.37666;106.228516;-1.0
106.08573;105.08241;100.07378;107.219185;108.96349
106.79017;104.437454;100.51414;107.14338;109.01222
105.50848;104.67025;101.3562;105.98514;108.99374
105.702576;103.95582;100.27853;107.51031;108.400185
-1.0;105.07676;101.62034;106.74279;107.77098
105.84201;103.932655;100.78419;-1.0;109.2363
106.30761;104.44536;101.19994;106.504654;109.0592
106.27961;104.90327;100.710266;105.605255;109.9246
105.746155;104.2251;101.34144;107.392044;109.33979
105.78727;104.76792;101.25001;106.6901;108.74351
106.68237;103.633766;-1.0;105.720634;107.9252
103.78622;102.34055;-1.0;107.74457;106.97691
105.74166;103.534904;100.53932;106.50104;108.73491
107.44235;104.23708;-1.0;106.06336;108.508965
106.57285;105.68756;100.442116;106.82362;108.69882
106.04734;104.98083;100.808876;107.191124;108.69669
105.53091;104.30166;100.47295;107.15643;109.87622
105.65847;103.92236;100.40545;108.13635;108.40026
107.1636;104.0094;100.918945;105.71277;109.004074
106.05096;103.69849;100.99181;107.84678;109.8786
106.59545;104.66168;101.26688;106.89012;108.76446
-1.0;103.98203;100.665825;107.5675;108.70473
105.77039;104.90866;99.97752;107.278984;109.44193
106.108185;104.39957;100.08909;106.62482;108.3627
106.42791;104.340965;99.85031;106.3929;108.99257
105.76009;103.54846;-1.0;106.83495;108.98308
106.35634;104.33001;101.203156;106.50285;110.05671
105.35932;104.37559;100.19748;106.99197;108.64929
106.241486;105.329285;100.68464;-1.0;-1.0
105.54098;103.55508;100.6771;106.840324;-1.0
106.672615;104.17212;100.70071;106.92307;108.220406
105.91763;104.20144;100.93481;106.56433;108.69008
105.88383;104.55551;101.546974;106.708954;108.42058
106.03027;104.80689;101.38967;107.8433;109.81269
106.81905;104.51771;101.534676;107.94948;109.22572
105.834915;103.94677;101.14408;106.19407;109.42709
105.240166;104.9565;99.87129;107.34493;-1.0
106.783455;103.104095;102.059395;107.116905;108.746346
106.91185;103.91069;101.484566;106.885;108.95553
106.37974;104.26204;100.64221;107.175064;109.757126
105.71931;104.81165;100.648964;107.85271;108.70636
105.90294;104.62298;101.06294;107.38477;108.41165
106.37425;103.780106;100.29162;106.950905;108.883316
105.50729;104.90045;102.16592;107.65809;108.9839
106.18282;104.205444;100.907745;-1.0;109.34494
105.77585;104.00931;100.427795;106.55446;109.985985
105.94301;105.18115;100.59869;107.44947;109.07509
106.610214;104.89475;102.456726;105.742096;109.8701
106.72072;104.131294;101.16154;-1.0;108.02805
105.69802;104.75415;101.37256;107.771645;-1.0
106.86679;103.608215;101.17692;107.16084;108.81852
106.16891;104.4134;-1.0;105.86221;107.72563
-1.0;104.22994;101.10195;107.14108;109.00496
-1.0;104.974945;101.63496;106.479645;108.38344
106.86515;104.54808;101.09299;105.88539;108.68331
106.26003;104.76297;100.482285;105.70541;109.23668
105.99408;104.41899;101.922226;106.92922;109.044106
105.825294;105.102425;101.65337;107.152054;109.7273
106.19958;105.31102;101.616165;107.08482;108.61492
114.44462;-1.0;-1.0;120.314545;120.05381
105.27839;104.01175;102.191925;107.16559;108.600525
106.10839;104.44591;101.375114;106.44411;109.33012
105.14403;-1.0;100.94664;107.14339;109.90691
106.92155;104.10924;100.63895;106.68253;108.971794
105.58961;104.09614;-1.0;107.37354;108.57745
106.212006;105.089775;101.13401;107.35792;108.5536
105.927246;104.85566;101.38164;107.65455;107.85543
106.949905;105.4463;100.912315;106.74224;109.20843
106.67915;103.956985;100.63849;106.45311;108.2259
106.170364;103.213005;100.99833;-1.0;109.248405
105.57317;104.16858;100.01529;106.40187;109.664925
