1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
106.2173;104.5;101.0;107.0;109.0
106.39141;104.5;101.0;107.0;109.0
106.33033;104.5;101.0;107.0;109.0
106.436775;104.5;101.0;107.0;109.0
106.34569;104.5;101.0;107.0;109.0
106.29071;104.5;101.0;107.0;109.0
106.0;104.02388;-1.0;107.0;108.74356
106.25416;104.5;101.0;107.0;109.0
105.726295;-1.0;101.0;107.0;109.0
106.00956;104.5;101.0;-1.0;108.64807
106.28432;104.5;101.0;107.0;109.0
-1.0;104.5;101.0;107.0;107.901886
106.410675;104.5;-1.0;107.0;109.0
106.06922;104.5;101.0;107.0;109.0
106.13192;104.5;101.0;107.0;109.0
106.14464;104.5;101.0;107.0;109.0
106.35163;104.5;101.0;107.0;109.0
106.28673;104.5;101.0;107.0;109.0
106.25989;104.5;101.0;107.0;109.0
105.581825;-1.0;101.0;107.0;109.0
106.107765;104.5;101.0;107.0;109.0
118.97489;-1.0;-1.0;124.41923;124.33889
106.222534;104.5;101.0;107.0;-1.0
106.48493;104.5;101.0;107.0;109.0
106.56023;104.5;101.0;107.0;107.95142
106.769554;104.5;100.88775;107.0;107.625175
106.79853;104.5;100.53594;107.0;107.62445
110.44257;-1.0;105.247375;113.29408;112.543564
106.82101;104.5;100.79423;107.0;108.094666
106.72632;104.5;100.90295;107.0;107.812126
106.88529;104.813194;101.129036;106.79385;-1.0
106.69229;104.5;101.0;107.0;108.56228
106.474144;104.5;101.0;107.0;-1.0
106.44551;104.5;101.0;107.0;108.46458
106.72638;104.5;100.36579;107.0;107.94142
106.84155;104.5;100.61706;107.0;107.96602
106.726395;104.5;100.80426;107.0;108.19589
106.421906;104.5;101.0;107.0;109.0
106.69258;104.5;101.0;107.0;108.67793
106.523834;104.5;101.0;107.0;108.67421
106.17131;104.5;101.0;107.0;109.0
106.26293;104.5;101.0;107.0;109.0
106.03834;104.5;101.0;107.0;109.0
106.16837;104.5;101.0;107.0;-1.0
106.10461;104.5;101.0;107.0;109.0
105.532364;-1.0;101.0;107.0;109.0
105.71493;-1.0;101.0;107.0;109.0
106.38926;104.5;101.0;107.0;109.0
106.59315;104.5;101.0;107.0;108.32941
106.67639;104.5;101.0;107.0;108.73201
106.67181;104.5;101.0;107.0;108.472015
106.82732;104.5;99.47379;107.0;108.09007
106.776924;104.5;100.52413;107.0;107.88673
106.641754;104.5;101.0;107.0;108.68306
106.74159;104.5;101.0;107.0;108.97612
106.568306;104.5;101.0;107.0;109.0
106.6109;104.5;101.0;107.0;109.0
106.518196;104.5;101.0;107.0;108.86119
106.72126;104.5;101.0;107.0;108.88991
115.39605;113.43045;109.53126;-1.0;115.29685
106.48398;104.5;101.0;107.0;108.84358
106.57379;104.5;101.0;107.0;109.0
106.46576;104.5;101.0;107.0;109.0
106.47572;104.5;101.0;107.0;109.0
106.16828;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
106.03371;104.5;-1.0;107.0;109.0
106.00758;104.5;101.0;107.0;109.0
106.15893;104.5;101.0;107.0;109.0
106.237366;104.5;101.0;-1.0;107.79564
106.42176;104.5;101.0;107.0;109.0
106.40785;104.5;101.0;107.0;109.0
106.3611;104.5;101.0;107.0;109.0
106.2666;104.5;101.0;-1.0;107.26189
106.37264;104.5;101.0;107.0;109.0
106.37231;104.5;101.0;107.0;109.0
106.36746;104.5;101.0;107.0;109.0
-1.0;104.5;101.107635;107.0;109.0
106.33789;104.5;101.0;107.0;109.0
106.29154;104.5;101.0;107.0;109.0
106.51525;104.5;101.0;107.0;109.0
-1.0;104.5;101.0;107.0;108.3079
106.2414;104.5;101.0;107.0;109.0
106.23358;104.5;101.0;107.0;-1.0
-1.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
-1.0;104.5;101.119446;107.0;109.0
106.08052;104.5;101.0;107.0;109.0
106.11719;104.5;101.0;107.0;109.0
106.285164;104.5;101.0;107.0;109.0
106.261925;104.5;101.0;107.0;109.0
106.298386;104.5;101.0;107.0;109.0
106.18962;104.5;101.0;107.0;109.0
106.26199;104.5;101.0;107.0;109.0
-1.0;104.5;101.58452;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.29125;104.5;-1.0;107.0;109.0
106.204475;104.5;101.0;107.0;109.0
106.21655;104.5;101.0;107.0;109.0
106.096176;104.5;101.0;107.0;109.0
106.11319;104.5;101.0;107.0;109.0
106.28902;104.5;-1.0;107.0;109.0
106.04648;104.5;101.0;107.0;109.0
127.9212;-1.0;-1.0;133.59137;133.19768
117.77128;115.80527;-1.0;120.37046;-1.0
106.28161;104.5;-1.0;107.0;109.0
106.12284;104.5;-1.0;107.0;109.0
106.16379;104.5;-1.0;107.0;109.0
106.13087;104.5;-1.0;107.0;109.0
106.0;103.90832;-1.0;107.0;108.57243
132.023;-1.0;-1.0;137.86414;137.40233
136.5359;134.29341;-1.0;-1.0;139.55695
113.08779;110.266975;-1.0;114.96894;114.85554
113.88577;111.190765;-1.0;115.44839;115.53132
136.0146;133.57994;-1.0;139.66292;-1.0
113.7952;110.87852;-1.0;115.86348;115.82567
134.4535;131.9886;-1.0;137.97638;-1.0
108.86956;106.12207;-1.0;110.52723;110.80996
111.21401;108.366486;-1.0;113.33343;113.49713
106.47638;103.83308;-1.0;108.19853;108.309265
