1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
106.349785;104.17667;102.036156;107.91946;108.848015
106.49621;104.763176;100.68152;106.973976;109.87393
106.19652;104.734825;99.96134;108.016426;109.03279
106.26347;104.57738;100.348656;106.259254;109.268196
106.25323;104.389175;101.54855;107.30403;108.322464
106.09742;104.43721;100.76612;108.2946;108.4537
106.21802;104.35996;-1.0;106.38269;107.892586
106.10739;104.35854;100.831764;106.92089;108.196884
105.755066;-1.0;99.32158;106.200485;108.67173
105.25824;104.4807;102.002304;-1.0;108.537605
106.09215;104.65636;101.525925;107.47992;109.84635
-1.0;105.04301;101.387505;106.74267;107.51162
106.11665;103.96971;-1.0;106.61153;109.120346
104.81289;103.84885;101.35686;106.99374;109.04374
104.746475;104.23995;100.64342;107.749176;108.948326
106.05073;104.30585;100.873665;106.80562;108.82196
106.71767;104.685074;101.08071;106.35212;109.11853
106.14224;104.84798;101.051056;106.52045;109.594894
106.49231;104.671196;100.898056;107.08667;108.591515
105.720375;-1.0;101.08457;106.50538;108.44827
106.839096;104.1409;100.08911;106.22612;108.964485
119.1517;-1.0;-1.0;123.8358;124.70227
105.75427;104.54519;101.24804;108.00078;-1.0
107.107025;104.315636;102.21789;106.45322;108.73123
106.852264;103.60238;101.93772;106.492004;108.09481
106.90483;104.801704;100.586586;106.961945;108.107895
107.31201;104.86017;101.6013;107.04436;107.28215
110.66289;-1.0;105.802216;113.69933;112.61457
105.53806;103.58893;101.31624;107.18374;107.84879
107.15386;104.639366;100.91151;106.61767;107.45503
106.647316;106.05324;101.20436;107.1888;-1.0
107.03228;103.966;101.38589;106.93839;108.827446
105.40428;104.15851;100.21513;106.70678;-1.0
106.61542;104.70453;101.01708;107.591675;108.73318
107.50715;104.023476;100.82943;106.67343;108.30003
107.46073;105.43355;100.31914;106.37173;108.249596
106.691826;105.29025;100.75807;107.208336;107.89591
106.98892;105.292694;101.74682;107.33612;108.671364
107.00478;104.13524;100.67761;107.56197;108.1484
106.949745;104.51742;100.21159;108.04764;108.934906
106.6693;104.47481;101.62084;105.78407;108.70886
105.98573;104.76822;100.94826;107.30446;108.84426
105.6628;104.57902;100.66515;106.05342;109.49733
106.30551;104.45752;101.179924;106.83736;-1.0
106.23921;105.22358;101.28069;107.25592;107.668434
105.368744;-1.0;100.90116;107.727356;108.60144
