1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
98.08663;44.858917;31.645885;31.595596;31.21702
111.104004;42.725594;34.292614;34.394505;32.175697
144.1431;63.069195;41.450317;0.0;42.31875
152.09732;0.0;47.118553;43.071693;43.12881
149.4927;72.381836;0.0;49.386005;0.0
105.14862;45.694046;34.518845;34.52439;32.64121
105.29238;46.059113;34.728157;32.58476;35.35288
124.30992;56.09265;37.79111;38.64273;0.0
81.50925;31.36821;23.090275;24.723116;25.087452
86.39803;0.0;27.92229;24.687372;25.45808
66.941055;29.490799;20.64918;24.667233;20.018368
59.37774;23.476948;17.32586;17.775307;18.203001
57.819725;24.140997;19.51112;19.852493;18.336823
65.016975;26.167913;20.20979;21.20876;18.83614
76.22518;34.523014;25.833828;21.561123;24.283072
99.588974;42.548683;31.5292;0.0;27.674362
111.472046;47.61719;34.50591;31.565176;0.0
98.061104;41.685783;29.049906;29.982859;30.540417
100.972916;47.406315;32.254337;30.222996;30.126822
111.01979;43.967197;30.45792;33.35668;31.066849
106.5249;45.596672;32.64376;34.079155;32.73065
99.7173;42.828396;30.434855;30.521893;30.026356
98.987686;36.813164;27.87735;27.54422;29.212717
90.03694;37.129898;26.969746;25.52287;29.070187
96.093796;37.961975;27.457203;28.972849;25.929386
105.85716;45.429237;0.0;32.061462;31.888464
101.03785;43.729893;27.896908;26.375118;29.01234
97.78082;46.09703;30.196436;31.34174;32.003452
88.01088;42.982903;30.07713;31.621353;29.846066
81.107666;36.59626;24.418238;27.567215;24.513964
86.40454;38.850075;27.826868;25.108715;23.241682
82.8602;36.623474;26.803518;24.794628;26.94759
71.07943;30.674585;19.73895;22.874485;21.180376
66.31831;28.15589;20.849396;21.512405;19.229368
65.84997;29.427845;19.388474;21.113577;0.0
61.602394;24.568253;17.157288;17.459942;18.003956
66.37845;26.278046;18.458668;0.0;19.021652
66.21666;32.303;0.0;21.22558;20.420628
76.3313;37.28552;26.908514;26.98313;0.0
0.0;54.040546;40.66082;41.486782;43.519413
80.36775;38.267982;24.160496;26.949438;26.022259
91.274704;38.13596;30.117031;27.491425;28.078665
88.833115;38.30326;30.648382;25.708324;28.469336
103.47633;36.6505;29.80907;27.71026;30.016424
0.0;94.291336;0.0;67.6017;68.400856
89.6263;37.550797;26.208988;26.218166;27.63031
104.77464;0.0;31.168417;32.391243;28.125439
81.164;32.3065;23.500185;26.355707;23.873562
75.00891;33.98275;25.809727;25.429932;26.5224
80.54026;31.867426;22.131962;26.274105;22.772394
89.97997;35.45995;27.041458;25.539204;29.585302
92.21064;38.192207;26.173466;27.524815;28.388721
88.834145;36.864075;25.968908;25.462896;28.728973
83.97536;34.475502;23.616514;23.642565;26.032146
73.60365;33.856583;24.18485;22.535595;24.328316
73.37167;32.935524;22.401745;22.426025;25.242603
97.44871;40.603794;29.841085;29.967686;29.392145
86.32336;35.296772;26.103298;25.902308;25.687748
81.220566;32.358253;25.21164;23.798853;22.806347
71.299934;31.106823;21.745014;21.744768;21.010204
74.29112;28.800388;19.527483;21.151308;21.000257
82.86145;35.09989;23.396154;23.018368;22.429169
90.60454;37.972282;25.051207;25.659342;24.26717
131.26172;0.0;41.781845;40.221455;42.597466
114.292496;49.828632;30.989971;32.920067;32.90883
121.114685;50.13523;36.229424;34.09693;37.710342
123.24819;52.24518;33.614395;32.3001;30.505909
116.86503;50.52986;36.171864;39.02537;41.83265
130.91458;55.78901;46.858486;42.958702;0.0
119.002426;51.254475;33.76294;38.757133;34.84388
0.0;76.3052;59.15371;62.591972;64.19566
127.19452;0.0;40.465397;38.646366;38.817566
94.30336;47.16989;29.35825;26.5516;30.766577
110.46291;44.793922;30.366974;32.114567;30.954233
118.3964;50.577057;37.45942;35.58245;37.16705
114.99198;49.14086;36.80979;35.312675;36.168907
120.991066;58.744305;0.0;35.65995;38.070595
118.83948;0.0;36.30508;34.64911;38.246128
123.07054;52.959637;0.0;38.691772;41.40313
111.1416;41.92498;31.672846;32.012955;30.420826
100.7654;45.087772;35.25454;31.280832;34.039608
95.81931;41.873817;30.159855;30.491526;29.54917
0.0;63.912407;53.423103;44.426453;45.400475
123.097755;48.815727;0.0;0.0;34.314648
81.56056;34.60275;25.608072;24.864046;23.610315
89.549225;37.15156;28.70542;27.003729;27.643219
97.83122;44.348755;29.196354;31.826061;29.545284
130.64938;56.49126;0.0;41.004097;40.483387
122.78023;56.131035;36.13685;39.317703;40.176777
127.92295;53.837517;39.944504;41.841896;40.47585
133.7761;54.444714;44.239384;38.157692;37.87743
142.2839;66.96341;47.615124;0.0;49.19789
133.14519;58.80186;41.780094;41.612484;41.422554
134.11436;60.120888;41.91907;43.550632;43.38993
124.87572;54.111004;40.166645;38.180096;39.1228
122.6794;49.95833;35.52485;34.30547;33.12481
138.65073;0.0;45.990704;45.84959;43.445904
117.70477;50.870857;36.478706;35.55871;36.135185
134.47253;51.033897;37.495323;39.393093;38.34407
137.32349;54.167854;37.6752;38.446953;38.983727
140.20238;63.518593;0.0;42.206078;40.62582
105.87051;44.562332;34.82009;33.43635;32.972294
138.94188;0.0;43.299995;44.236366;46.241203
120.71287;45.830036;36.232155;35.78942;35.036724
105.894165;45.38941;33.70576;34.548714;32.457466
120.925125;0.0;35.621574;32.160194;35.38845
89.88294;41.1239;27.849583;28.656113;26.6047
80.15556;33.560055;25.616343;24.145237;27.412073
90.90676;38.835323;29.396633;0.0;25.67573
110.30013;0.0;31.864697;32.132786;34.032173
95.98722;40.44776;27.590546;27.051098;29.61976
0.0;81.59412;57.40153;52.870064;58.319653
118.52993;51.20577;39.58385;40.35548;34.574154
133.04724;58.889576;38.47099;36.175102;35.97503
134.87495;56.392586;42.081768;41.55899;44.714424
172.06575;0.0;47.852203;54.090446;53.88385
132.12845;55.92932;33.5901;41.092598;38.194244
122.35964;57.588264;36.293037;39.3619;37.389034
146.48119;0.0;46.481045;47.6614;48.77715
117.78508;51.82334;37.280235;36.154045;35.386173
134.99333;0.0;40.49181;37.643944;39.852913
122.209984;52.08396;42.4327;35.61781;37.046993
126.57701;56.338387;40.305916;38.508984;40.90812
130.5386;56.522217;38.989834;36.954514;35.996723
112.534164;50.208546;34.19239;37.679512;34.783123
115.10521;48.130512;34.68668;31.963718;32.92266
128.15695;50.059902;34.288925;35.408176;36.457935
120.519165;53.073708;35.051994;36.166794;35.925137
116.989;46.938534;29.561987;32.213444;31.962185
86.20293;42.938877;30.562399;28.67749;31.903843
87.88311;38.420944;27.10941;24.999233;28.002203
78.05244;32.670906;23.59692;23.47309;24.35614
80.03282;30.965704;22.049166;23.191957;26.00596
86.93932;32.289818;24.559416;22.232471;23.669567
100.239944;38.516712;27.328613;30.407791;29.865423
129.3822;49.696194;36.34759;37.757126;0.0
124.61471;51.181633;37.319405;33.07802;40.667377
130.68884;54.661762;39.978065;39.18847;42.21551
125.0343;51.99296;37.697533;40.785385;39.00744
132.19727;55.84593;34.308216;36.4493;39.04567
131.15428;53.878838;37.881264;39.22367;43.56069
139.14572;53.337135;38.62654;43.2557;38.939682
133.33138;49.79524;34.323715;38.042736;34.62429
142.56651;0.0;39.680134;39.988686;39.08805
113.4905;48.826187;34.034462;33.197624;37.250534
118.28385;50.672417;36.814793;34.720406;35.38241
128.74663;51.157875;37.335762;40.308662;38.250748
133.24088;55.08869;35.97697;36.207966;37.13383
117.01628;51.806206;34.25599;35.526485;34.99358
109.31682;40.53057;31.056442;31.093988;32.53122
113.08174;47.63988;33.846794;35.926895;36.233177
118.84721;48.749535;36.276207;32.66021;35.1817
94.2928;44.084354;30.49208;29.964682;35.93298
91.627716;36.583885;26.766346;28.802984;27.832926
86.661026;37.17498;21.997541;25.161366;25.661331
86.66664;38.897697;26.398785;0.0;28.209309
74.91658;32.34068;20.092335;23.115742;22.360704
84.99516;33.886806;25.3841;23.890137;24.253887
99.85084;39.41805;28.68808;28.31876;24.702887
109.708435;42.604958;32.332535;27.997692;30.062048
0.0;85.81136;58.102165;62.490135;60.929565
129.31323;54.39987;38.804333;38.302513;42.16678
127.63163;50.699844;36.04309;35.569416;37.180656
137.48677;51.131645;36.98584;36.27993;34.20295
0.0;97.74866;61.96911;59.793232;71.15137
118.94563;46.677303;36.72341;36.758415;37.515247
112.5479;45.463234;35.002754;34.533928;32.964558
111.89951;48.471123;35.588924;34.41427;31.005259
124.40031;54.211414;0.0;34.0472;34.804474
110.549255;44.433453;32.515785;31.62383;32.753334
123.29765;51.973003;39.00132;38.058098;33.768017
112.96892;50.471565;39.399315;36.99897;36.166637
112.17006;45.49235;37.52695;34.09894;37.442
126.1664;56.224335;37.086586;0.0;36.15188
114.32076;50.08413;32.05471;32.95025;31.58927
118.32832;50.24105;34.780758;37.041523;33.269814
0.0;78.357994;0.0;57.053436;52.028694
92.41679;0.0;26.9952;27.162119;27.094604
65.95052;28.824427;20.74939;21.229744;19.39736
66.44161;26.46694;19.97071;18.757607;19.787418
0.0;45.779892;33.1884;33.96586;33.883522
77.40095;0.0;23.234394;22.376055;24.178074
86.62001;35.108055;0.0;23.739584;25.224918
82.588875;36.43927;27.34409;25.532427;27.56374
96.31338;40.171867;29.066656;28.831945;28.487335
103.29816;41.439716;28.551281;31.193653;26.888285
128.22086;50.517525;35.221066;34.370663;0.0
97.903984;43.37316;31.072973;30.535192;29.354324
103.0328;46.1887;32.301003;33.832912;32.13839
103.66725;47.913372;33.035442;0.0;34.7339
94.541;38.821083;27.478983;27.344181;28.787632
91.39866;36.38212;25.181393;26.497427;25.205881
82.397484;40.138752;26.804798;26.95522;25.632809
91.701614;38.2151;25.661747;26.839767;24.756866
104.29198;38.55294;30.3456;30.628986;27.828827
102.8324;45.382187;29.449295;31.965582;33.61375
83.69969;35.354774;26.886929;25.719336;27.960367
89.832695;35.356853;26.236584;28.229025;27.603794
95.2782;38.995064;29.005585;28.175577;24.748775
112.56868;0.0;32.25445;35.073807;33.975178
72.64773;26.826105;23.425032;22.802341;21.144543
59.481834;27.653885;19.204443;19.502264;20.403807
65.41548;26.311346;17.639229;19.745237;17.742012
58.893024;24.97681;18.12989;18.799646;16.045425
57.050926;23.539959;16.403652;15.561018;15.786092
59.850628;26.213907;18.872015;17.887747;17.088314
67.298935;28.57522;19.861124;20.1108;20.095821
74.99154;31.754864;23.144608;22.703524;23.336695
86.314995;34.138573;26.495152;25.401031;26.539927
101.838425;39.16838;29.767233;0.0;28.928793
92.863594;40.407543;27.818161;30.187887;26.382685
90.26613;40.710968;27.924397;27.724686;25.33161
93.13373;38.06932;28.30869;31.05228;27.56225
95.77909;39.446312;26.9977;27.79455;28.34257
79.25738;34.036713;26.332478;24.885244;24.40228
95.89853;38.93387;0.0;28.12666;30.239857
84.11206;34.23758;22.81879;22.540955;25.540096
78.51625;34.745136;24.742006;25.491209;24.438292
89.81328;36.856113;26.342297;27.737604;26.921179
109.72121;46.680695;0.0;31.829594;29.453556
92.6534;33.901405;26.043995;26.607721;25.299978
76.48691;31.541172;22.402225;22.893576;23.299046
80.35946;38.77092;24.425968;24.661833;26.298288
80.4485;35.353157;25.877422;27.229849;23.065868
88.138466;38.68891;29.615734;29.292337;29.951015
92.324936;37.281975;28.38258;27.036444;28.228693
78.55473;32.028294;24.279324;23.118704;24.422947
69.06745;34.97132;23.243534;22.610302;22.95093
74.765396;32.59738;21.163527;21.93691;22.046003
78.574905;35.854424;23.727383;23.479246;24.137344
95.62945;38.313015;27.644037;29.902706;25.980246
99.26916;41.178795;29.777735;31.496206;30.568064
110.96659;47.372154;32.663246;35.6231;32.407543
120.69454;48.599087;32.23475;37.47426;35.795994
123.239;50.72658;36.84699;37.45405;37.76058
179.46796;0.0;0.0;52.132965;56.857613
125.99841;50.879837;36.22829;39.693523;38.343113
137.25403;53.318626;38.750698;0.0;41.112827
113.41083;46.08432;31.13346;33.926365;33.55399
107.5777;46.2928;32.449947;33.35471;33.06216
102.62575;47.159622;33.0575;32.35087;31.632944
0.0;78.8242;59.72483;57.656067;58.289898
109.10879;52.99624;38.120224;38.599777;38.13484
135.09888;57.72074;41.97454;42.913548;0.0
114.89851;47.018208;32.830788;33.929947;30.644022
107.64876;49.675476;33.91467;33.06849;34.004673
104.037865;41.349648;31.63767;33.6164;32.993744
99.702034;45.49222;32.70072;30.979773;32.336723
104.25453;43.189075;29.806614;31.990652;30.503529
87.08415;38.920094;28.19571;26.545649;26.133844
93.99599;35.770123;24.219414;26.65861;24.062931
83.32963;36.47027;23.643026;25.870935;25.70087
110.86037;44.828445;0.0;33.618065;0.0
0.0;58.47403;44.358143;42.768093;46.464905
97.4102;43.4038;31.627508;29.79783;31.63477
111.046104;48.15057;32.974293;33.340935;33.448257
119.3925;50.05055;35.23844;36.09809;36.13671
129.7475;56.089703;41.81167;37.093372;41.978966
132.90947;50.55254;38.601536;40.39867;42.765884
147.44319;67.11714;55.2599;46.984943;0.0
142.55153;53.63683;40.265713;39.805344;40.00463
0.0;122.243774;0.0;90.78526;91.33106
130.22212;51.526936;36.86939;38.976044;35.065506
112.84999;51.79728;36.991707;37.916313;37.53919
138.22647;0.0;40.04585;40.147022;46.209282
118.023865;47.205788;33.652832;31.786366;37.728935
127.56691;55.19187;35.70349;36.15028;37.980324
127.10077;54.57713;40.88454;40.032036;42.304817
117.54403;50.993664;34.20936;38.365334;32.91793
109.35976;45.642796;33.956505;32.89215;31.779425
0.0;103.376236;0.0;72.063705;84.40785
107.63147;47.666405;34.314404;34.38306;34.865715
106.33031;46.527313;31.837246;32.936253;33.880592
100.236916;42.606644;31.669891;30.510952;30.144989
115.27718;0.0;32.212143;32.080475;32.251186
73.89192;31.641394;26.64951;22.955881;22.196918
78.65783;36.679146;26.61944;24.712584;23.236853
0.0;64.36743;44.55493;49.13338;43.60398
114.05888;49.26007;30.975895;0.0;31.111805
114.875916;45.92311;33.357353;33.912685;34.314323
158.98087;0.0;41.903797;48.178726;42.750893
131.53201;54.013683;37.087505;36.741188;38.55694
133.80455;61.62902;41.82423;42.37736;44.199333
135.13916;57.810883;40.726505;42.761703;40.30748
128.88782;51.238556;39.41294;38.08836;43.474087
136.67113;51.323864;41.395237;34.539585;35.49086
144.55702;56.20276;0.0;44.14245;40.44178
120.5328;49.07781;33.76448;33.26047;34.92172
0.0;82.15832;63.222015;61.040405;59.904255
116.26449;49.11283;37.30977;32.278065;34.826435
128.5877;54.775475;38.324665;41.339897;35.053917
122.61436;53.432457;35.57728;35.112835;38.88256
122.53844;51.52468;37.63348;41.43303;35.454704
115.97624;46.878334;36.391197;34.151108;35.334328
106.3571;53.44854;37.896908;36.229332;35.232582
114.61607;45.996136;35.21041;33.55704;34.915825
122.172134;47.65381;0.0;37.33756;35.306057
100.9198;43.9598;31.53302;28.502283;31.06287
85.044975;33.21261;27.882315;27.270905;25.35527
80.83825;35.879463;21.444557;23.693184;25.882328
76.995285;31.96635;26.695688;25.080975;25.142956
85.80666;35.13824;25.539288;21.954157;23.01231
0.0;67.96431;48.937218;46.159225;48.26754
108.03026;43.39204;33.94158;33.296303;34.224556
126.22221;52.145885;36.123356;38.28068;35.055992
0.0;81.061165;62.418495;70.300735;68.431725
184.40887;77.62647;0.0;58.315205;0.0
135.44754;60.612877;40.722557;43.9391;38.943623
137.7887;55.16678;35.904957;39.051872;39.229385
126.48793;60.420113;41.90157;44.86625;40.588394
114.1313;47.17841;37.81713;35.125008;37.066345
114.61548;48.17773;30.874044;34.16906;30.472021
117.16634;50.996033;28.929886;31.84813;34.371716
116.704605;51.669792;39.691246;35.303665;38.756313
131.01021;51.410088;36.018982;34.46298;37.44205
122.23;50.14781;37.540077;37.589466;36.726135
111.75973;51.63265;38.871403;35.24809;37.472137
113.41008;49.000683;37.43423;33.702686;31.439295
109.90546;50.125225;36.58805;34.75873;36.391716
115.92777;48.175392;34.23214;34.588253;33.414345
99.34291;43.190636;31.247244;29.26778;32.272106
89.80002;37.104702;25.374;24.886868;26.029491
82.61114;35.964745;24.895073;26.77663;23.90186
75.455696;31.999348;25.18585;26.560324;22.967884
81.28568;30.893097;22.135399;23.28249;22.023392
79.39955;35.332058;22.454716;21.90449;24.279108
94.02808;40.85555;27.574148;30.758427;29.409994
104.94652;44.079433;32.154766;32.12132;30.044033
135.02878;59.9451;41.56194;36.752335;0.0
177.16661;75.19583;0.0;0.0;45.388287
122.531235;59.534813;40.726555;38.87599;43.27397
124.03462;50.77864;39.615532;36.933163;34.588398
121.40749;55.19889;37.76457;39.60609;38.57216
140.69731;60.5744;45.581425;0.0;45.967247
109.89828;46.87497;34.713394;30.788998;37.575947
113.44136;47.97608;34.502632;35.058586;34.246513
103.8094;45.892693;27.801596;29.326603;35.25122
118.40674;52.2323;37.281013;31.800797;34.124878
120.96151;51.66958;35.461338;39.71254;37.935295
138.95459;51.702637;34.875134;36.244835;34.251762
116.173096;45.985462;36.625214;34.29505;34.662056
102.21678;45.47981;30.72638;31.76228;30.872585
108.10454;42.342705;32.27894;32.186676;35.170246
124.36782;52.88783;0.0;35.08516;36.159843
136.19522;0.0;0.0;28.31926;27.895283
89.97752;0.0;31.485672;27.677425;28.241156
98.11667;0.0;20.696249;22.986961;19.768324
89.31326;0.0;19.120066;19.567013;19.40379
90.33867;0.0;20.424885;18.277208;20.207947
97.5406;0.0;20.532326;20.836548;18.941765
107.81217;0.0;21.860739;22.267643;23.920261
128.43549;0.0;25.73946;27.707132;25.919
142.84332;0.0;27.625992;26.080082;27.740839
144.23367;0.0;30.357563;31.352493;29.494205
152.54507;0.0;30.893393;32.838055;30.799374
145.52208;0.0;31.61618;32.43652;32.827003
144.6123;0.0;30.388775;33.68894;32.305122
140.65373;0.0;32.986515;28.28239;30.149704
136.22774;0.0;29.95162;31.625916;31.47171
127.81615;0.0;28.361258;25.740946;28.54779
136.70482;0.0;25.453209;28.372263;28.212109
127.39217;0.0;28.018768;25.881186;27.213558
131.93065;0.0;29.125286;26.335178;27.553364
165.25089;0.0;34.788357;0.0;35.818966
134.89444;0.0;27.689627;27.584824;30.039694
117.70479;0.0;26.720495;27.432486;26.50343
125.42599;0.0;27.240805;27.974909;27.040691
136.12553;0.0;25.063461;27.926785;25.646893
67.50357;31.892025;20.713085;24.81303;21.990221
64.98424;25.903595;19.06796;18.953297;20.945976
62.74006;24.572712;18.27628;16.361067;18.000462
0.0;40.240425;29.494778;31.79931;29.717768
52.213165;23.794445;15.293428;16.889378;15.801602
72.116165;0.0;21.36969;21.72165;25.89241
69.99065;28.858921;20.42179;21.099735;20.296978
77.33833;34.21997;25.062054;23.806364;23.107359
84.71377;34.538643;25.04382;24.773487;24.286695
86.817635;38.685394;24.970425;25.701248;25.821835
84.417046;37.069168;25.086857;25.188139;28.784103
89.60338;35.253506;26.881176;25.7435;26.428432
118.13375;0.0;30.537598;32.686584;33.16977
89.33739;41.607002;24.893644;28.865702;27.762568
82.2835;33.223625;26.4278;26.203299;25.88946
80.228615;32.959324;23.904085;22.544926;23.105684
96.77301;34.848698;24.565697;0.0;27.777676
