2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
15.654288;84.71602;39.82308;5.664453;8.458499;23.279238;6.78848;2.6098788;5.1192956;11.257901;13.103537
17.840593;72.05511;32.884384;5.1964955;10.449886;21.599009;7.1498566;2.8621492;4.1124997;10.694643;11.004693
12.889759;58.53771;33.189426;5.1806974;7.2983317;20.130634;5.9151654;2.538156;3.1379948;8.808795;10.003924
13.549059;52.688396;32.11051;4.645071;7.66657;16.849968;5.5337234;2.078397;3.799786;7.89725;8.46377
11.921933;72.49944;27.700373;4.2846584;6.8683133;18.800364;4.7354536;2.2837877;3.9229429;8.516691;7.560512
13.155729;56.44775;27.89696;4.6588187;7.1376405;19.599873;7.0277743;2.4048877;3.9886756;9.154277;9.7396345
16.50081;71.77395;38.425858;5.287471;7.569657;25.77391;5.555424;2.7891917;4.4099336;8.495967;11.468276
16.438065;73.927765;48.68176;6.1022124;12.117137;22.898973;7.8880105;2.4642549;5.3154664;10.393567;11.821729
19.71318;89.07669;35.62546;6.7849092;11.825603;26.123404;9.019151;3.1714063;5.1624284;12.503878;14.832697
20.428328;77.452515;46.077316;7.4429626;10.882854;25.770552;9.499984;3.5558915;6.825676;12.57458;13.132763
21.61474;91.887955;49.35621;7.017005;11.853777;25.527872;8.411511;3.5058186;6.396626;11.118331;14.124986
18.558743;93.61751;40.56462;8.250419;12.035264;32.460236;8.609857;3.456751;6.4300847;13.3471775;15.410113
21.238775;87.895195;48.99093;7.1182337;11.144772;28.107439;9.414674;3.3553493;7.346929;15.101173;13.917184
22.40694;89.96551;53.906033;6.997776;9.919577;27.484356;9.1214485;3.619492;6.930822;13.022117;12.710186
21.652884;85.5248;52.894688;7.446533;11.559561;29.9835;8.026165;3.25151;5.434337;12.339926;13.958961
20.280819;74.384384;38.290432;6.5138974;9.870288;25.557426;7.3581896;3.0602794;4.946278;12.839542;11.093317
17.636116;81.75912;39.966118;6.559086;10.270401;20.65201;8.479433;3.063744;5.0435247;10.693481;10.322053
18.41248;104.53253;46.976562;6.4816732;8.248494;28.380486;7.3094597;3.494126;4.9617596;13.740572;14.6853285
21.978968;84.307976;39.13081;7.096865;11.614592;31.494001;8.044207;3.3395813;6.265841;14.542945;12.827856
17.553875;90.250206;49.07623;7.88749;10.594152;24.30638;8.34683;3.870989;6.4581327;11.613195;16.605066
20.505402;76.910515;43.79702;7.3822346;12.779063;29.881691;6.712478;3.1805503;6.0816917;10.78334;12.388944
17.173452;74.45093;42.270027;6.880433;9.942058;27.300322;7.1074944;2.8839397;5.310216;11.443472;12.18928
20.50184;88.39652;36.769344;6.3280215;10.479656;24.129946;8.433967;2.6425817;5.2396173;13.418462;13.192064
16.795359;76.19271;32.454582;6.2848024;8.827828;22.42427;8.60689;2.9198663;5.143427;11.893632;13.887125
20.123451;71.02661;35.64333;5.920339;9.163966;24.529057;7.585302;3.1421535;5.192614;11.422118;12.565553
17.394003;70.960556;38.14216;5.8651724;8.800004;20.424576;6.083111;2.7409244;5.2124944;9.662033;11.7502575
14.28147;68.76009;29.981218;4.3965883;6.858937;21.111937;6.640978;2.3054233;3.9964128;10.649752;11.305161
14.055647;68.11132;31.230782;5.06406;7.367214;21.295708;4.7595916;2.0715456;3.9233253;8.669554;10.537739
14.454678;64.45372;30.05919;5.040951;7.626061;17.915941;6.357288;2.414644;4.4868455;8.577122;8.735347
15.558848;68.68443;38.461;5.0796514;7.735483;20.955446;7.57404;2.0835342;3.8754082;8.964486;8.943959
18.370874;80.37818;34.22451;6.0781612;9.113711;23.378073;8.153521;2.45616;4.8555493;10.487309;12.360258
21.238203;75.268265;43.846622;7.903635;10.176727;30.093279;7.907852;3.011957;5.6607594;12.122662;13.504373
24.157139;92.72583;49.950745;7.115247;12.196337;27.041067;9.756884;2.8345294;5.744044;13.722289;11.798795
24.443634;87.237404;49.995445;8.164559;11.465799;33.274097;8.972475;3.8572168;6.5244527;14.724531;16.082296
22.011763;91.66474;54.380615;7.669595;12.13304;33.264606;9.836432;4.037847;5.911761;14.088255;16.474356
21.109392;92.43349;65.06419;9.374859;14.265116;34.716778;8.547256;3.8236039;6.0330963;13.368656;14.75234
18.410099;104.6717;58.879185;8.54851;10.38523;31.267725;11.574398;3.9827886;6.741608;13.437467;17.221031
21.200024;100.29369;52.03911;7.0897756;13.127816;25.760302;8.717776;4.321815;6.1536245;14.052448;16.942913
21.290451;99.42738;56.107674;7.7273946;11.181425;26.76597;8.906649;3.764182;6.7360616;12.343159;15.1483135
22.3982;94.56529;39.62883;7.653729;11.091848;28.769241;9.513416;3.1294262;5.3379626;11.553441;13.489792
21.729485;95.63927;46.406017;7.9880834;10.588889;26.605915;10.223114;2.9806917;5.743835;12.1082945;14.302131
18.915941;91.65364;46.73475;6.9959416;11.128431;31.167564;8.653139;3.3072228;5.2945156;11.252829;14.534644
22.18378;105.27323;44.7148;7.7790394;9.969718;31.862196;10.1721735;4.2133145;6.421955;16.137638;14.601297
