2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
13.090365;18.224285;-3.9631596;1.4871656;7.41544;16.492418;5.5712585;1.914259;1.6650531;5.772374;5.216764
12.898647;20.68602;-4.1330495;1.6271794;7.620301;15.810808;5.606535;1.6857044;1.5572243;5.9526424;4.8187833
11.973312;20.391962;-3.622222;1.6927888;7.154511;18.03511;5.5250444;1.7708182;1.5138605;6.056584;4.7041435
12.8610325;17.85636;-3.8350682;1.3769795;7.4913197;16.709194;5.5969067;1.7542858;1.6429133;6.329696;5.231844
12.582819;18.909927;-4.2257576;1.6547899;7.288917;18.31404;5.8506646;1.7945977;1.6289248;5.778379;5.061525
13.293259;17.724792;-3.7066603;1.7124169;7.2297826;16.588612;5.686457;1.729522;1.6438375;6.028853;5.029501
11.946438;18.99029;-4.2776566;1.5032666;7.041137;16.451447;6.1174994;1.8729231;1.6005356;5.3706675;4.8080606
14.080757;18.054647;-3.8592916;1.593424;7.120091;17.209982;5.7474813;1.8089681;1.5979699;5.4514213;4.8325
13.117474;19.818037;-3.8799438;1.6601543;7.4386153;15.270653;5.492233;1.8885987;1.5348692;5.9436536;5.0805497
13.833149;17.440748;-3.9626408;1.6993753;7.697723;17.24838;5.732981;1.8467282;1.6068419;5.9175067;4.94594
12.848678;19.39173;-4.1287923;1.6844989;7.30568;17.06477;5.9994125;1.7008437;1.687451;5.8883986;5.2784877
13.107267;19.013628;-4.1590586;1.7340733;7.8691854;16.245699;5.8358784;1.8648916;1.7204543;5.9997787;4.7670975
12.866424;20.160318;-4.0951247;1.5821822;7.6373124;15.595328;6.26506;1.7393656;1.8732975;5.769884;4.8574333
12.139403;20.54663;-4.205766;1.7869126;7.034046;16.430677;6.077982;1.8973876;1.6026043;5.9573774;5.0193367
13.401103;18.727358;-3.6421766;1.7036326;7.1236186;18.102219;5.9884353;1.8324423;1.5206954;6.28901;4.9124994
13.232559;20.183031;-4.0655966;1.4083867;7.4099565;15.6580515;5.505237;1.6317098;1.6656847;5.54842;4.976291
12.235509;17.255865;-3.61814;1.5034909;7.1789765;16.543865;5.5732775;1.5675089;1.635623;5.9260616;5.1982827
12.840523;17.417852;-3.8718233;1.6792964;7.3677197;15.350467;5.20444;1.8152373;1.6345237;5.755814;5.1158514
13.39981;18.259047;-3.8895056;1.5512543;7.8184342;17.48788;5.7933326;1.9748509;1.5884879;5.6561418;4.8699546
12.296732;17.823187;-3.8070614;1.5564694;6.9293814;17.03223;5.3605914;1.7791568;1.5430214;5.931854;5.30413
11.900521;19.981457;-4.1589108;1.5117244;7.5408745;16.992985;5.3655524;1.8647919;1.481061;5.7311;5.2261915
11.549218;18.94612;-3.9004452;1.6342883;8.204825;17.272892;5.387819;1.8217131;1.5255998;5.5206513;4.727143
13.356787;18.554426;-3.8267672;1.6337963;7.0654645;16.377546;6.0217943;1.7662423;1.5733995;5.795059;4.7754545
13.277239;20.485361;-4.0242076;1.5296476;7.219832;15.0099945;5.5892596;1.9199495;1.6338168;5.722608;5.0807953
12.832764;17.71426;-4.3401585;1.7099044;6.8914247;15.480339;5.785015;1.8032802;1.4751921;6.2587156;4.996404
12.070027;19.447218;-3.8536441;1.5937966;6.8370004;15.420479;5.4806232;1.72489;1.4775852;5.715611;4.787313
12.502993;17.67217;-4.2785172;1.6598371;7.0099916;17.63437;6.1089735;1.6389236;1.5952649;5.721249;4.974398
11.899298;18.530464;-4.005321;1.4819767;7.1496587;14.492729;5.1679654;1.8308429;1.5950143;5.7139597;5.191755
12.557637;18.58176;-3.873053;1.5697123;7.0960164;16.164127;5.944291;1.7984253;1.5616283;5.137409;4.9405985
12.855189;18.27258;-3.744519;1.3821974;7.7517834;18.176226;5.4445705;1.8109214;1.5669813;6.0776563;5.1820974
12.854091;20.885967;-3.951638;1.5563194;8.37537;15.491057;5.899451;1.6705803;1.6291797;6.0268846;5.242072
12.330546;18.436388;-3.9086802;1.4179976;6.7999754;15.936267;6.1233187;1.9966644;1.7309499;5.9659233;5.087606
14.011769;17.741064;-3.748755;1.593721;7.862324;16.760178;6.114208;1.6887308;1.5875423;5.875022;5.0957413
12.683937;20.64659;-3.8305986;1.6526594;7.4362907;17.81719;5.5608935;1.708402;1.6573616;5.6097803;5.0355716
12.1187105;20.032888;-3.937057;1.7563331;6.86011;16.044876;5.7748675;1.7787856;1.7136078;5.5569;4.956859
12.836354;20.260544;-3.9569209;1.5156945;7.713228;15.8028755;5.922599;1.8385036;1.7055241;6.086868;5.247554
12.24558;20.144667;-4.0194354;1.4311413;7.66503;16.454226;5.726845;1.8395817;1.6200997;5.60109;5.0030217
12.4477005;18.917147;-3.7760406;1.6423779;7.72753;18.601633;5.6964355;1.7301018;1.5774639;5.5719724;4.737817
12.509447;19.473143;-3.8409376;1.4929837;7.7025747;15.300946;6.2024765;1.8971797;1.490584;5.0378304;5.030423
11.922148;18.158045;-3.9177065;1.5851659;7.4648232;16.852762;5.8654666;1.7453855;1.8122694;6.2851133;4.948003
12.6661415;19.111246;-4.040575;1.62702;7.8834014;16.218588;5.9091244;1.81307;1.6926951;5.3554487;4.9155846
13.646791;19.488579;-4.1712303;1.5547445;7.750832;18.227102;5.6360583;1.9432298;1.4534588;6.0208726;5.0932527
