1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
74.60367;31.11591;23.297277;23.215939;22.04601
83.169846;32.518166;25.800976;26.700312;26.354593
95.06727;37.900604;29.67902;30.869522;30.825764
121.59383;51.445747;0.0;0.0;36.88965
87.6614;37.490803;27.64088;27.509792;27.83377
96.9337;40.01929;29.306458;30.333914;0.0
78.142334;35.13699;23.696215;23.857685;27.250607
75.46133;27.711731;22.178814;21.904068;22.12294
87.95285;33.842945;24.272757;25.152866;0.0
92.74043;40.398777;24.611937;29.720724;0.0
91.81403;37.49883;25.678768;26.744991;22.221527
101.929184;0.0;33.159634;32.12277;33.792534
79.16874;29.330282;25.906315;23.094776;25.674305
73.667885;32.039482;23.31682;23.19799;19.591146
89.41358;40.533466;0.0;26.307144;28.093924
81.00261;31.946524;23.990528;26.120941;25.012327
65.058975;28.71583;19.39592;19.037144;20.779497
67.778595;29.478306;22.368538;0.0;21.546707
66.71971;26.226858;17.563942;18.037193;18.861244
0.0;74.54814;50.744637;0.0;0.0
53.645924;22.040562;16.178692;17.549131;15.254079
57.874847;21.570904;17.928562;18.143614;17.749752
85.305534;0.0;23.083384;24.97639;21.574583
76.11068;32.87563;21.46732;20.839846;23.19049
76.06474;32.87462;24.05952;25.44704;24.150341
124.36416;0.0;40.00937;37.937813;0.0
85.51495;40.912426;28.087097;30.010397;24.3375
82.11059;36.168224;26.613626;27.611374;24.812862
105.44957;45.941753;34.46853;32.726357;0.0
88.74849;35.21656;27.427368;28.31665;25.454395
79.2345;33.563354;24.979939;24.761513;24.496922
78.42091;32.64477;22.321056;21.319008;21.294567
0.0;52.84915;40.46064;40.54194;36.60765
99.67891;0.0;28.195318;27.010483;27.594595
0.0;60.846123;43.53318;43.552402;44.629025
88.79477;37.13904;26.49776;28.10018;28.454351
83.63568;33.43347;24.34438;22.768261;26.512228
75.28226;29.292404;20.79848;21.844152;22.187557
82.02336;33.197224;23.076227;22.502184;21.040842
91.02803;41.252083;0.0;28.122076;27.15889
67.19083;27.989624;21.550072;20.876333;22.269464
62.302044;25.174616;19.38518;18.27535;17.296238
54.372906;22.457756;17.550617;17.659737;17.424692
0.0;49.894283;37.4088;0.0;32.243206
58.560802;24.67757;0.0;17.304668;17.068218
0.0;39.269814;28.001637;29.958511;27.996487
66.286224;22.706877;16.80057;18.260576;19.687693
0.0;50.85909;34.680058;42.35648;38.64771
68.74757;34.523537;23.028843;22.132004;23.80242
77.357376;35.682377;24.326231;25.033287;25.171598
81.55406;34.751785;24.069475;25.408192;23.997637
92.89599;36.845463;25.78915;26.476995;26.567005
80.75963;35.906406;27.350231;27.629217;29.25466
87.08812;30.853764;25.183008;23.338203;24.54519
77.03322;34.466965;22.078213;22.555122;22.846556
82.803474;34.419205;26.4605;0.0;23.434574
69.3702;28.202637;20.814014;20.920643;22.193886
75.25746;29.571741;22.392668;23.469652;21.016077
80.72178;33.83912;22.485392;22.646156;23.470432
89.09576;39.80567;28.211227;0.0;27.557678
92.76012;36.61712;25.599375;28.226337;0.0
76.13844;36.552094;24.341572;22.598026;0.0
69.34716;31.044592;21.947876;22.117104;23.351604
79.02564;29.756046;22.935474;22.34933;20.375969
53.86388;24.149508;15.311061;17.25448;16.732113
51.54543;19.55387;14.785751;15.010622;14.116635
55.596344;0.0;16.649057;17.917747;16.63366
41.485382;18.543438;12.951113;12.23118;11.903416
46.356148;17.96764;12.699323;12.094372;12.31675
0.0;31.054422;27.552399;24.54332;24.467888
52.872173;19.801535;14.407265;15.20339;14.85778
57.87105;26.553122;16.759586;17.577097;19.422768
