1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
106.510345;104.54366;101.38296;107.24451;108.80892
106.297035;103.95049;101.16264;107.79043;108.589226
106.48621;105.56517;100.70859;107.34476;109.59789
105.021515;105.10959;-1.0;-1.0;108.78868
105.36194;104.81725;100.61629;105.971664;108.78996
106.232864;103.31876;100.34935;107.55599;-1.0
106.35115;103.49871;100.87088;107.75995;109.44496
106.12953;103.62705;101.21793;107.80889;109.275566
105.593994;103.87541;101.614044;106.89083;-1.0
106.14244;103.62602;100.206345;106.445404;-1.0
106.39099;103.878624;100.52914;107.10926;109.05483
105.184425;-1.0;100.887314;106.935005;109.151436
105.56924;104.03649;101.50668;106.723145;108.87476
105.5179;105.49868;102.627884;107.13123;110.06867
106.04135;104.571304;-1.0;107.616264;109.22524
106.22774;104.94832;101.43644;107.085724;108.67295
105.022385;105.09209;101.63268;107.01533;109.42687
105.58329;104.1189;102.01228;-1.0;109.97082
106.73118;105.180695;102.097305;106.51814;108.68327
-1.0;104.59652;101.7144;-1.0;-1.0
105.161835;104.14007;101.56553;106.74567;109.560234
105.454605;104.37561;101.48271;106.00708;108.53251
104.95922;-1.0;101.44482;107.12939;107.8847
106.24901;104.3652;100.57968;107.11316;108.795784
105.353516;103.56807;102.29849;107.51986;107.69496
104.988495;-1.0;101.25539;107.65998;-1.0
105.38135;104.572365;100.852234;106.62425;108.59117
105.654465;104.26181;100.93923;107.05428;108.97241
106.18858;104.84394;101.501144;107.98939;-1.0
105.54289;104.139725;101.42427;108.28042;109.0011
105.30743;104.634254;101.06567;108.31252;108.25128
105.55695;104.517136;100.45589;106.67889;109.149475
-1.0;104.415886;102.316;107.52783;109.162605
104.69083;-1.0;102.14802;107.24556;108.77947
-1.0;104.39581;102.03989;106.58397;108.78904
105.73819;105.213425;100.69089;107.34977;108.78961
106.607285;103.6852;101.28642;107.043396;109.60248
105.17312;103.55675;101.090195;107.14969;108.42139
105.744514;104.19152;100.404976;106.38268;108.9642
106.59131;103.20635;-1.0;106.77832;109.50508
105.41425;103.763626;101.78531;107.07302;110.12468
105.70905;104.288216;101.55236;106.73441;109.56351
105.36532;104.35877;100.97986;106.985954;109.52497
-1.0;104.25916;103.020515;-1.0;109.586365
105.07575;103.74867;-1.0;107.025154;108.46307
-1.0;104.78278;101.48286;107.22925;109.51922
105.1112;104.10716;101.34732;107.05688;108.78263
-1.0;103.676094;101.59779;107.14659;108.33066
105.74923;104.40092;101.80068;108.3133;109.61707
106.37843;104.26723;100.678894;106.6459;108.96349
106.33482;103.94841;101.79343;107.51578;108.50323
105.78618;103.322495;101.56137;106.97666;109.62819
105.931175;104.093346;101.067184;106.66426;108.95347
105.825005;105.26427;100.37618;107.112724;108.97922
106.40017;104.84218;101.17134;107.51664;108.75516
106.07766;104.95983;101.29213;-1.0;108.89722
104.91622;104.674965;101.84036;106.588425;109.16948
105.30118;104.66229;101.19758;106.978516;108.925606
105.185005;105.122345;102.27858;107.58903;110.072685
105.15039;104.74932;100.592094;-1.0;108.56253
106.486664;104.73935;100.0538;107.84523;-1.0
106.00559;105.06709;100.169;107.04188;-1.0
105.447876;103.91757;101.4235;106.42805;107.35025
106.18168;104.74611;100.936066;106.47639;108.778534
105.85978;104.42689;101.816765;105.95947;108.692505
106.002304;105.60821;102.98294;106.65667;107.9936
104.5536;-1.0;100.33244;105.934;108.122154
105.05919;103.82001;101.561745;106.94284;108.365715
105.803024;103.901085;101.75354;106.996;108.92354
-1.0;104.331764;102.27554;106.11604;108.241646
105.4626;104.49867;102.482834;107.276566;109.18727
106.47165;104.09703;101.871864;106.88844;108.94501
106.77786;104.56305;100.91061;106.81192;109.222984
105.896095;104.09698;101.50632;106.68669;108.42298
-1.0;104.34626;101.626976;106.88411;109.0148
106.36972;104.21634;101.24143;105.98771;108.88812
105.50368;104.15562;100.950424;106.80963;108.74728
104.49268;-1.0;100.213486;106.40163;109.80023
105.973434;105.104904;101.668236;106.79534;109.45117
104.16382;-1.0;-1.0;106.8641;108.96519
-1.0;104.394035;101.809494;106.839226;108.718155
105.015816;103.80354;102.208885;107.61825;108.83993
105.32967;104.67904;102.01194;107.04791;-1.0
106.6941;104.50044;101.18921;106.94766;109.19989
-1.0;104.17029;102.25793;106.123566;-1.0
105.76703;104.459816;102.03996;106.75744;108.59015
106.989784;104.84413;101.26042;-1.0;109.19999
-1.0;104.218895;102.758385;106.180275;108.824776
106.69714;103.80314;101.90717;106.90176;-1.0
105.223816;104.91478;101.12115;106.38924;109.616104
104.26825;-1.0;101.300674;105.82163;109.072075
103.737015;-1.0;99.99883;107.39374;109.51966
105.14462;104.536385;101.6514;105.883995;109.3473
105.92059;104.058105;102.16007;-1.0;108.755196
106.27772;104.16266;101.38383;106.41752;110.06784
105.24819;104.67225;102.31489;106.998085;109.55359
105.96176;104.24137;102.38883;106.755005;108.42751
105.969894;104.95219;101.50441;106.793655;-1.0
-1.0;105.044235;-1.0;106.95218;109.619835
104.78438;-1.0;100.38896;106.91663;108.68818
104.30054;-1.0;101.34429;106.48711;109.36615
106.95114;105.457855;101.40532;106.87527;108.815
106.32514;105.47591;101.05922;107.57035;108.802155
106.55296;104.3589;102.43644;106.62283;108.52601
103.80866;-1.0;100.41581;106.644196;109.15968
106.60754;104.06469;102.1165;107.73395;-1.0
105.33515;104.30457;102.41905;106.88675;109.02474
106.55396;105.80051;101.573784;107.16259;108.85538
104.88253;104.40637;102.8118;106.69915;110.06799
105.23948;103.8589;101.77612;107.57054;109.32726
105.42635;103.6472;102.008965;-1.0;108.627846
105.458824;104.95323;102.983475;106.774124;108.11489
104.85655;-1.0;101.90212;106.83176;109.02497
105.2099;104.455086;102.20015;106.52646;109.34807
106.24697;104.61758;101.45449;107.1906;109.33129
106.28938;104.432945;-1.0;107.287415;109.010155
105.592155;104.88836;102.186295;107.16089;108.41452
105.56621;105.076355;-1.0;106.642715;108.75182
105.71413;104.952805;101.84337;107.37751;109.36334
104.63527;-1.0;100.55594;-1.0;109.35801
105.38713;103.91004;100.92642;106.43193;108.15941
106.541176;103.49095;-1.0;106.75396;109.44389
104.86665;-1.0;100.943405;106.819145;108.96208
105.77738;104.5794;102.32718;-1.0;108.88411
106.11616;104.73557;101.52823;107.23322;108.70275
106.2754;103.116295;100.43687;106.37412;108.445
105.52568;103.83027;100.87126;106.3816;108.80929
105.501686;104.84991;101.56545;107.11908;109.026886
-1.0;105.112175;102.617546;107.19145;107.96093
105.81206;104.34559;101.03597;107.27748;-1.0
106.28141;104.38034;-1.0;107.139145;108.08271
105.42353;103.55517;100.96661;106.497536;109.05457
-1.0;104.1528;102.39189;107.2345;109.31844
105.55284;105.264275;100.45874;106.350006;109.32583
106.09389;104.26786;101.58698;106.63616;107.77312
106.39134;104.43354;-1.0;106.61759;108.478355
103.26704;-1.0;-1.0;106.58383;110.184906
105.37253;105.598114;101.2838;107.924446;109.14401
105.4597;104.46624;-1.0;106.93738;108.54088
106.76057;104.52122;101.61733;106.266365;109.677025
105.89943;104.89552;102.095345;107.83964;109.4399
105.63382;104.23253;101.82774;106.85077;108.86309
105.78666;104.30458;101.52519;107.515785;108.56916
105.807785;104.32949;100.74033;107.22767;108.21626
106.878395;104.15864;101.351524;106.13127;108.785614
105.63092;104.06506;101.0118;106.76815;109.293015
-1.0;104.49091;101.05228;107.28233;108.99435
106.26524;103.90152;-1.0;107.82295;109.444244
104.59997;103.98792;101.43151;106.451965;109.29198
106.02486;104.436584;100.14248;107.12273;109.233406
102.500656;-1.0;-1.0;108.37893;108.49524
105.76147;104.54719;100.422386;107.39354;109.01262
106.42604;105.08005;101.52362;107.293495;108.869934
104.795746;-1.0;100.83139;-1.0;108.94179
105.60932;105.62444;-1.0;106.98758;-1.0
106.81911;105.09359;-1.0;106.23924;109.25733
106.39974;104.018654;-1.0;106.39465;109.24856
106.86509;104.697;100.55987;108.40883;109.274635
104.50258;-1.0;100.781265;107.03321;108.29795
105.43434;104.81279;101.24047;107.90981;109.3275
106.631485;105.12137;101.61336;107.50252;107.96356
106.04685;105.24965;101.547745;107.31114;108.47186
105.531044;105.23411;102.48275;107.734924;108.75574
105.552216;104.73737;101.80122;106.671555;108.80139
-1.0;104.45323;102.39754;-1.0;109.12395
104.956856;104.80741;100.94874;107.03476;109.30719
105.89444;104.80408;102.19469;107.06181;109.17658
-1.0;104.81116;102.32003;107.323425;109.516914
105.295586;-1.0;101.49742;106.69989;108.84642
106.366714;104.11122;99.94286;106.145966;109.376495
105.36665;103.89394;101.37805;106.86595;109.59722
107.39736;105.47172;-1.0;106.71616;108.89348
105.9154;104.99014;100.87185;107.73045;109.170975
105.85401;104.856415;100.91927;-1.0;109.83202
106.18439;-1.0;101.014175;107.32037;109.15127
106.653244;104.18281;101.34863;107.82571;109.1874
105.791084;104.45951;101.55566;106.88573;108.89334
104.03454;-1.0;101.36451;-1.0;109.15462
104.797554;-1.0;100.02177;106.68448;108.21189
