2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
14.404875;57.915108;31.533442;4.7764783;6.444987;19.135403;5.2724686;2.271978;3.9587173;7.6566024;8.887528
14.63344;54.79531;30.84235;4.5792904;7.2556252;19.507103;5.663215;2.3413482;3.803573;9.1148205;10.326807
15.617587;69.5415;33.661922;5.5435915;7.6748414;20.310143;6.50237;2.3533173;3.798687;9.366542;10.653767
14.328563;63.480183;34.413754;4.947995;8.294213;20.246223;6.5588813;2.3397627;4.2015986;9.350054;9.6036
14.615852;55.527405;29.200161;5.0131345;7.3644295;16.455667;5.434877;2.2560778;3.7808342;7.815225;8.694226
14.368533;54.044067;28.070736;4.9070516;7.2770424;21.814589;5.314689;1.9251168;3.8274016;7.5963187;9.256515
12.766546;61.101948;28.326145;4.9122825;6.9347496;22.75725;5.271147;2.3416321;3.8777492;8.615329;8.46665
12.4143505;53.325493;29.082455;5.019862;7.0860734;20.704372;5.3215876;2.2950387;3.7272143;10.431543;8.748819
10.720506;41.278942;23.54131;3.8276165;5.4902296;13.553261;4.008795;1.5507787;2.6245587;5.7455525;6.408525
9.810774;41.447094;20.474947;3.372738;4.1300783;12.800166;4.170324;1.510831;2.4499216;5.0279737;6.6563544
7.4539094;38.7272;18.787546;2.6138058;4.5507565;11.63782;3.6862297;1.3044262;2.4237473;4.9485703;5.023098
7.62501;32.859596;16.256788;2.9301472;4.330825;11.916416;3.5632038;1.2702756;1.9113379;4.6945224;5.212014
7.6946435;32.88166;17.749025;2.9039924;4.270882;9.425774;3.2611737;1.2623032;2.2127752;5.0873284;5.44151
8.140264;41.627617;17.381275;2.502481;4.0973034;11.605588;3.5925097;1.2486033;2.2268405;5.5099626;5.661092
8.659903;40.333847;19.87283;3.3707428;4.6631694;11.4867115;3.8528256;1.6883535;2.3122835;6.4684105;5.8933144
10.81594;49.74786;24.45537;3.844218;5.2766886;14.183664;4.430952;1.5739948;3.1955805;7.666313;7.0739875
12.381969;44.909668;25.643421;3.9855995;5.991759;16.076632;5.08242;1.8040434;3.001228;6.762803;7.256369
12.946875;46.68179;27.47556;5.0160575;6.4321685;15.821093;4.6864843;2.0112321;3.3383431;8.530729;8.352543
13.722898;58.43266;27.915405;4.0399017;5.595443;17.282152;5.219436;2.005767;3.0739799;7.668027;8.954119
12.683658;52.934967;25.340782;4.1841516;6.8087187;18.806557;4.9458;1.7116098;3.4817264;8.061168;8.757242
11.785984;56.900543;28.480642;4.4232454;6.188637;18.235607;4.799388;2.1231978;3.5110214;6.889472;8.790217
11.672736;51.39176;28.183323;4.644986;6.7670074;15.271851;5.1928625;1.9617538;3.7442322;7.194126;8.5783415
11.499338;54.350018;25.473515;4.017858;6.3767166;15.980337;5.0751953;1.7991059;3.1607673;6.931386;7.034925
10.554118;47.391106;24.620314;4.42284;5.448902;15.942349;4.486377;1.8574064;3.1667697;7.3199396;8.218371
10.778396;46.30761;23.828045;3.4985404;4.691013;14.234288;4.178771;1.6140184;2.7956703;6.2477274;8.272744
10.08885;44.162437;25.83497;4.0191684;6.1431427;16.541628;4.164121;1.6602558;3.7206874;6.3665566;7.556569
12.228585;53.022076;27.682941;4.202025;6.535836;16.158733;5.1145077;1.8910837;3.945865;7.6463137;9.051133
13.735277;51.080772;26.571499;4.326144;6.1027093;17.950481;4.837509;1.7909571;3.256145;8.138726;8.645351
12.157575;50.137978;26.501194;4.214717;5.4111185;14.948105;5.031745;1.5857189;3.2887897;7.04591;8.129156
9.841227;46.162426;23.26488;3.3444042;5.9037166;16.09784;3.8530736;1.4650962;2.8916364;6.0936403;6.9852424
11.0022335;52.455647;25.270576;3.5846226;6.2913675;13.548288;5.2002435;1.8642104;3.60709;6.588397;6.990822
10.226837;45.516655;24.45667;3.8669987;6.1471725;14.808289;5.5727353;2.0343819;3.1755066;6.9676065;8.513468
8.383234;40.19954;20.649584;2.984057;4.291787;12.015469;3.7581477;1.4828994;2.8978748;4.953068;6.3407288
7.8326483;36.37042;18.939747;2.9676523;4.1323905;12.066786;3.8988194;1.4130894;2.1253774;5.25079;4.95102
7.527156;29.816761;16.648489;2.7311392;4.196113;11.436887;3.4884803;1.2909566;2.0841377;4.4133587;4.431539
