1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
105.699135;104.28201;101.10595;106.178085;109.30324
107.05195;105.02799;-1.0;-1.0;108.35363
107.1015;105.52694;100.98123;106.922264;109.32417
105.75402;104.76498;101.43801;-1.0;109.21337
105.63432;104.69837;101.44661;-1.0;109.03434
106.375694;103.72303;-1.0;107.256744;108.64319
106.74575;104.99575;100.979355;106.74542;108.64196
105.437225;103.980286;100.69656;107.83664;109.17097
105.90533;105.21836;102.025246;107.7427;108.78354
105.51689;104.05247;101.219635;106.09329;109.80141
105.56965;103.730095;101.83158;106.88522;108.57838
104.94078;105.42948;102.50174;106.58458;110.33846
105.719376;104.09263;101.70248;106.668076;108.247185
105.89846;103.47712;102.01767;106.99081;109.122284
-1.0;105.300476;102.515854;106.40094;109.23279
106.233055;104.068184;101.38483;107.28619;108.8892
105.073364;104.15333;101.4027;-1.0;109.357216
105.67036;105.18534;100.97313;105.66279;108.48836
106.11639;104.462524;101.53076;107.52831;-1.0
106.66972;103.796265;-1.0;107.58255;109.11414
-1.0;104.77599;102.31738;-1.0;108.587135
105.61237;104.78614;101.24741;-1.0;110.14584
106.50977;105.18589;-1.0;106.43015;109.92779
105.81996;103.82979;101.97012;106.74486;107.77689
106.35381;103.888664;102.03825;107.301186;109.174416
105.153725;104.42572;102.04508;106.43807;109.326904
105.3753;104.2728;100.97963;107.25899;108.20219
105.63168;105.094765;101.812874;107.935715;109.205696
105.69374;104.18169;100.5705;-1.0;108.33899
105.978935;103.64022;102.70907;107.67693;108.66776
105.78893;104.00773;-1.0;107.366844;108.73879
105.69613;103.574135;101.841255;107.80651;108.514336
105.39156;103.84712;101.027054;106.60335;108.18201
105.98569;104.17003;101.8984;107.30808;109.40688
105.67415;104.102974;102.867485;107.23849;109.65393
105.40426;104.62996;102.060104;107.27233;109.91728
105.42334;105.02127;102.333916;106.62983;108.55988
104.70046;-1.0;101.990486;106.07243;108.41448
-1.0;105.516815;102.188835;107.17455;108.87613
-1.0;103.997734;101.39507;106.75236;109.02996
104.25317;103.71359;101.36705;106.98874;108.691925
105.40204;104.91205;100.95128;106.8278;108.417114
-1.0;103.49735;102.76067;107.07302;108.98377
105.00536;105.229294;101.41015;107.25352;109.88759
105.059395;104.85901;102.24674;107.27786;109.28639
105.217834;103.95299;102.327065;106.569984;109.40198
-1.0;103.65357;101.348175;106.22603;108.68933
105.51677;104.83778;102.168526;106.991104;109.02345
106.47707;105.169395;101.47148;106.74023;-1.0
104.9202;-1.0;100.834816;107.05953;108.9792
105.73073;103.74494;101.93264;107.24888;109.32406
106.19167;104.270935;100.962875;107.24745;-1.0
105.752815;105.241;101.68287;107.377754;108.43628
106.247765;104.47138;102.27475;106.82805;108.25544
