2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.995501;54.531353;26.809921;3.6849945;6.6808953;16.354118;4.7670507;2.0168424;3.1246607;7.29181;9.163835
10.591864;42.971977;22.464031;3.656651;5.478404;15.241789;4.431184;1.7932066;3.1691878;5.8358674;7.451552
10.130328;41.03478;22.895235;3.2592044;4.642869;11.848432;4.3051186;1.574612;2.7218058;5.920249;6.621956
9.019763;34.262928;20.113403;3.2762005;5.2724886;11.966402;4.012154;1.6122516;2.6810572;5.3950043;5.062215
9.850082;44.130287;20.335758;2.9448788;4.3633714;12.432358;3.5114136;1.5497365;2.4952843;6.642193;6.258485
10.170373;43.09568;22.619331;3.5006986;4.775996;13.240913;4.0063853;1.7773476;2.7454329;6.5846205;7.503956
12.137449;45.003605;29.37257;3.5923672;5.129974;13.043375;4.360765;1.8198255;3.1426513;6.980014;7.448371
12.284593;56.9954;27.935505;4.7349687;7.0802803;17.29148;5.658829;1.9621636;3.2506282;7.417375;9.411718
13.271204;57.0589;28.887356;4.947083;7.5155497;16.165333;6.2895775;2.134751;3.5784183;7.6733804;9.664601
15.552997;61.98168;33.934025;5.699055;7.2226334;21.309074;5.6214027;2.5928175;3.9470932;9.742598;9.284479
16.651209;64.46936;34.11991;4.905705;8.079988;18.426577;6.2371564;2.3099525;4.6411486;8.500608;11.139882
15.98483;60.886444;32.521935;5.705298;7.472603;20.811604;5.9306526;2.4566333;4.1503305;7.8712606;11.237406
16.72227;65.76417;34.395744;5.8917284;8.323422;20.816822;6.8289995;2.556536;4.5233884;9.724166;10.549872
14.691412;70.14022;30.264063;5.449695;8.321095;19.683676;6.3560605;2.2608094;4.135179;9.266841;9.519799
13.974449;61.70289;34.321472;4.596005;6.3256598;18.767773;6.274604;2.1585917;3.9301941;8.069422;8.82498
12.3904705;59.086536;25.64761;4.6315107;7.3315954;16.945332;5.6264586;2.1834338;3.5855465;7.8120246;9.299124
13.304011;58.942707;27.84083;4.5375485;6.760436;17.788048;5.4814024;1.9475596;3.982142;8.019341;8.149689
