2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.523619;17.51544;-4.2282147;1.5844929;7.307957;16.107147;6.0882735;1.8807966;1.5797269;6.063178;5.20156
13.27627;19.496798;-3.4508295;1.7431756;7.555158;17.935884;5.6885524;1.7131362;1.6357452;5.446083;4.825841
12.857346;18.33364;-3.8944724;1.6375272;7.588488;16.62952;5.6489162;1.7223053;1.5288764;6.2256174;5.16123
12.530204;19.234797;-3.7062387;1.5899651;7.3116527;16.375412;6.0569897;1.8687472;1.7494582;5.262856;4.811261
12.506649;17.46111;-3.8533053;1.7454339;8.090081;16.223654;5.947333;2.0143123;1.5893289;5.8929076;4.580644
12.927464;18.814861;-3.8828745;1.6316592;7.6339145;16.86268;6.1317368;1.856036;1.5433327;6.2422976;4.9889507
14.775565;17.995512;-3.9741046;1.5860075;8.249978;16.700565;5.9822145;1.8343542;1.541101;5.884989;5.1838384
11.923467;18.386108;-4.024563;1.6880815;7.823211;16.470991;6.0300164;1.6457068;1.5951691;5.4874816;4.829462
12.503559;19.45196;-4.1702094;1.535801;7.2220707;17.528204;5.4284954;1.8747357;1.5500959;5.980505;4.948929
11.913851;17.531733;-3.849179;1.5295354;8.321206;16.11799;6.1110387;1.7516087;1.7806727;5.285029;4.856014
12.486759;18.04543;-4.1295977;1.7164611;7.693328;16.864477;5.5739822;1.8331227;1.4875705;6.070133;5.1153727
13.146207;18.962679;-3.8286219;1.6158452;7.621755;15.471629;5.900338;1.7020875;1.6413049;6.3266377;4.9589634
12.941549;17.656002;-3.795059;1.757476;7.497011;15.890684;5.918599;1.6028427;1.5191358;5.7408867;5.0168734
13.295182;18.177275;-4.1413674;1.5707545;7.343564;15.401482;6.047006;1.7452608;1.5556817;5.355096;5.2996173
11.95352;18.041878;-4.0282435;1.4776969;7.0656104;16.356192;5.7161503;1.9071673;1.5151823;5.6292167;5.06279
12.50327;20.163118;-3.6694407;1.6297379;7.297536;16.166643;5.523869;1.8512698;1.5449;5.4719367;4.946965
11.928292;18.82275;-4.0197806;1.5691134;6.797721;17.76345;5.6969604;1.8123068;1.5960082;5.6688113;4.819449
12.651546;20.766241;-3.787078;1.6508275;7.3050795;16.989618;5.86768;1.8042248;1.5805672;5.8589067;4.8682685
13.078848;19.956268;-3.8814225;1.6116743;7.724655;16.873035;6.3839383;1.7894298;1.592512;5.706973;4.652602
13.162342;18.654055;-4.047305;1.5726181;7.4402094;16.21849;5.845204;1.7910784;1.4957154;5.7356806;4.584471
13.503242;20.206968;-3.9168334;1.6191608;6.926664;17.112673;6.211404;1.7181783;1.642647;6.198878;5.39857
13.085902;17.94783;-4.1428695;1.7022108;7.3411794;17.965307;5.466456;1.7851119;1.561535;6.0528603;5.3303027
12.991887;19.333359;-3.933518;1.4877592;7.8432198;16.622818;5.6817217;1.8966023;1.5782629;6.3355813;4.35128
14.262106;18.258852;-3.939969;1.5208124;7.4869194;16.219488;5.507783;1.9163785;1.5189749;6.1404533;5.3391123
11.644382;19.413277;-3.958195;1.5585121;6.8346877;15.662381;6.1382933;1.7474985;1.78666;5.9422517;5.264934
14.330964;20.238802;-3.6259513;1.6005242;7.9866433;17.847582;5.4975295;1.8196707;1.7434194;5.657801;5.21366
12.941902;17.776539;-3.9052396;1.5319935;6.9441895;16.344292;5.8277984;1.8863137;1.5721315;5.1583576;5.230764
13.261427;19.979656;-3.8685973;1.7113636;7.7263136;17.5926;5.9480586;1.7417005;1.5551677;6.018181;4.919707
12.859618;19.40411;-3.7973804;1.6183981;7.9486713;16.298502;6.0418887;1.8826469;1.6125021;6.076805;4.883422
12.524792;18.869375;-3.8200526;1.5149891;7.8270316;16.794437;5.704282;1.7954276;1.4659129;5.7273984;5.100782
12.583563;17.762228;-4.0802917;1.6044799;7.8439484;15.76385;6.1313987;1.8846095;1.6645337;6.0613995;5.120457
13.3078;19.469604;-3.5143895;1.5970609;7.4034767;15.1069355;5.7742286;1.8325624;1.5797096;5.778819;5.2457175
12.153188;21.000938;-3.8154404;1.6068157;6.7738824;17.41115;5.2677975;1.8474343;1.5887071;5.518554;5.1278706
12.712039;19.843744;-3.326701;1.6624548;7.3519974;17.677843;6.17982;1.6224027;1.7051121;5.9517293;4.9092126
12.4415;20.55865;-3.9447162;1.7270838;6.5496564;16.017813;5.7058573;1.7349484;1.6410304;5.596034;4.8039536
11.146555;19.156342;-4.1236377;1.6658443;7.9005146;15.721084;5.832636;1.9011163;1.5392916;5.5398393;4.5923524
11.487723;17.137417;-3.7084947;1.4105085;7.5013556;17.929426;5.9303102;2.0016189;1.5356715;6.0786314;5.2392216
