2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
13.116656;19.97752;-3.7246044;1.397234;7.42969;15.478712;5.7322264;2.0024614;1.4604198;5.667609;5.106982
12.970458;17.332912;-3.8471441;1.5823038;7.230625;17.028429;5.915735;1.7704511;1.5584321;5.3871956;4.739991
13.54586;19.630032;-3.7462409;1.5359453;7.4841413;17.097055;6.15653;1.7965472;1.5904557;5.719686;4.7818704
13.010121;19.567617;-3.6617148;1.6228635;7.53973;15.841951;6.0909595;1.7968217;1.5339216;5.5704746;5.2466598
12.384209;19.674105;-3.9624274;1.6982;7.3602667;15.665142;5.9026194;1.7994218;1.7110989;5.6884584;4.656372
12.55475;20.118525;-4.054809;1.700409;7.5871725;17.96172;5.7620125;1.759275;1.4553508;5.6115456;4.7191153
13.174574;17.208736;-4.060601;1.4966437;7.717069;15.713873;5.591369;1.7571332;1.4161025;6.2134943;4.852377
12.8116665;18.406586;-4.300739;1.7817929;7.454187;17.003698;5.4507146;1.7191268;1.6849324;5.848798;4.7582045
12.128919;20.43257;-3.6218832;1.592397;7.633195;16.85126;5.9289837;1.7708437;1.6140723;6.0101423;5.448558
13.5309105;19.535978;-3.9874272;1.6235958;7.6251483;17.1968;5.465121;1.8422582;1.5657153;5.5158114;4.961425
11.895817;19.6432;-4.034585;1.4233894;7.284011;15.996926;5.5588307;1.9375753;1.5730053;6.2079678;5.1519027
13.185894;17.835384;-3.7296445;1.5770457;7.6277304;15.650232;5.4417977;1.916219;1.5662614;5.44402;4.999271
12.82987;19.413733;-3.778122;1.6197107;7.485397;16.430714;5.68834;1.8616277;1.579951;5.537632;4.818028
12.9872675;19.791235;-3.912897;1.6947939;7.3743544;15.451601;6.033637;1.8421056;1.6024652;5.926932;4.983366
11.781408;18.609785;-3.705188;1.6782656;7.1181517;17.879402;5.818008;1.8441262;1.4487802;5.90192;5.1694717
12.74459;18.14524;-3.7701647;1.5522212;7.7654777;17.91478;5.388095;1.9818918;1.8365653;5.9212484;4.947777
12.756368;19.975069;-3.986646;1.650561;7.4365582;18.238987;5.8470855;1.7763721;1.513778;5.535664;5.1278415
12.460538;20.39894;-3.922439;1.5835831;7.8418617;18.460974;5.8626046;1.7796161;1.6497027;5.4491854;4.730169
11.445173;18.723051;-4.0094;1.5981302;7.247939;16.906816;6.0187583;1.8099741;1.731724;5.903111;4.4860034
11.840242;19.420958;-3.5990927;1.6126828;7.4314933;18.129868;5.946689;1.8929399;1.6817338;5.760844;4.8485146
12.422658;18.681078;-3.7832022;1.6088414;7.8996925;17.044632;5.996858;1.675913;1.4983941;6.6511035;5.1646166
12.102298;19.50789;-4.0732007;1.7513957;7.536794;16.875137;5.8695936;1.8265882;1.4548982;6.050935;4.7387033
11.595173;19.360119;-3.917656;1.7933251;7.553844;17.439732;5.6687603;1.8018363;1.6641505;5.697706;4.6587973
12.890462;19.056019;-3.4879978;1.6222922;7.377096;16.625109;6.1968193;1.8032956;1.6649982;5.62905;4.987177
13.0989275;18.252882;-4.021113;1.5079983;7.6406026;17.641262;5.3467646;1.8455075;1.6952645;5.898803;4.974169
12.407129;18.37262;-3.9326403;1.698997;7.7322483;17.053905;5.908237;1.8017634;1.6702058;5.897494;5.421886
12.728817;19.872122;-3.8721387;1.5392635;7.421976;14.716534;5.915123;1.7588046;1.4870378;5.875321;5.1371503
13.262325;19.006304;-3.7265987;1.619153;8.1730795;17.440594;5.7244697;1.6490526;1.7111902;5.8666205;4.9545503
12.500903;19.131212;-3.9928691;1.5708865;7.9672184;17.837141;6.185823;1.9085965;1.485601;5.7727485;5.0196905
12.694882;18.695646;-4.046352;1.565143;7.4770727;16.83068;5.871044;1.7365025;1.8364812;5.474447;5.151532
13.095126;18.958183;-4.322574;1.6158051;7.635312;14.526163;5.884398;1.8434972;1.6486678;5.6313725;4.862405
12.687813;19.067564;-4.037665;1.6143202;8.293359;16.765028;5.9163556;1.7985952;1.6155847;5.8087606;4.9391894
12.141766;19.91068;-4.0213823;1.7188046;8.366146;14.346;5.487245;1.6730691;1.507881;6.009986;4.9971824
12.725875;20.017363;-3.8246415;1.6800903;7.1203895;17.750456;5.673665;1.8506305;1.6755773;6.14759;4.583113
12.261557;18.666801;-4.184044;1.7064016;7.6489406;16.673645;5.6997137;1.8704127;1.4296641;5.712345;4.9645815
13.252751;19.454174;-3.8401082;1.5019952;7.8744535;16.791246;6.4205236;1.6972876;1.7628921;6.0562744;4.8925915
13.197947;18.3322;-3.9154308;1.6180232;7.649994;17.421028;6.2729006;1.7998693;1.5488939;6.327356;4.6842933
13.21141;19.80919;-4.2365065;1.6031584;6.517228;16.496582;6.0224967;1.8460262;1.7103449;5.692565;5.3751826
10.7695;19.28126;-3.953488;1.6585578;7.4179945;15.947379;6.1656656;1.6500584;1.6025164;5.9927998;5.126732
12.823377;17.728582;-3.8319442;1.767663;7.838157;17.08715;5.926184;1.8324156;1.5474678;5.77318;5.225932
12.157339;17.735521;-4.198596;1.6065965;7.8488584;18.14936;5.785776;1.6765262;1.721094;5.812533;4.877827
13.820545;20.694084;-3.884104;1.5730771;7.338086;15.460147;6.005389;1.7600793;1.8425468;5.656843;4.6152167
12.680533;18.844055;-3.9019556;1.6080667;7.063759;16.020592;5.453862;1.7835981;1.640236;5.1945777;5.0999265
12.148945;19.284575;-3.796963;1.5154773;7.7357836;16.727707;5.6045036;1.7115812;1.5305059;6.1564627;4.6155763
14.212379;21.058172;-4.040382;1.7918534;7.029473;16.467154;5.871007;1.7804275;1.6358618;6.690394;5.0759945
12.663023;19.689;-4.2307487;1.4938822;7.52262;16.528437;6.072761;1.7033675;1.5418538;5.768656;4.6757073
12.919456;19.039598;-3.7284417;1.5484685;7.073583;17.918098;5.851601;1.9371375;1.542086;5.694786;4.485627
13.566171;20.070848;-3.9228265;1.5130427;7.2986064;17.486826;5.6558666;1.8014809;1.6906642;5.7212276;5.037602
12.027204;17.385561;-4.12072;1.4789013;7.620172;16.108076;5.27434;2.0007656;1.5741382;5.726524;4.7070265
11.3564415;18.931248;-3.741039;1.7280004;7.217382;15.473159;6.1201696;1.8311418;1.554278;5.5506163;5.1503363
12.897429;20.039267;-3.8658295;1.6960499;7.098382;15.700503;5.751688;1.8412795;1.6206247;5.901456;4.5998106
12.691074;19.2969;-3.8815067;1.6721462;7.330497;17.37595;5.4832177;1.7629043;1.6118605;5.545278;4.962468
12.83327;18.565018;-3.912784;1.5791898;7.0407677;16.335146;5.689527;1.8160951;1.554379;5.661198;4.8120685
13.35822;19.462328;-4.0643983;1.6278715;6.8893366;16.928715;5.726212;1.7280147;1.570602;5.269429;5.081225
12.963131;19.63495;-4.089578;1.565097;7.2389793;18.171505;5.7425365;1.7433027;1.4767144;6.0022893;4.6684923
11.775461;19.080122;-3.7163863;1.5838866;7.368651;16.113346;5.5271826;1.8506281;1.5837955;6.052745;5.2494674
13.444312;17.886316;-3.7583942;1.6650485;6.9580383;17.587135;5.878645;1.9227842;1.6094829;5.994454;5.1252556
13.391628;18.33838;-3.7709095;1.8433154;7.4017215;17.336958;6.0248265;1.7702442;1.6599526;5.2680774;5.0305414
12.048604;17.084522;-4.0194964;1.7989969;7.408546;16.351744;5.070398;1.6457647;1.5594933;5.7589536;4.9166355
13.263141;19.077366;-4.022702;1.5268933;6.842089;14.656247;5.4330444;1.7771951;1.6114491;5.5430045;5.152862
12.539949;18.295424;-3.884334;1.4577768;7.705195;16.688002;6.1634784;1.7098742;1.6240917;5.68193;4.494423
11.722545;18.829727;-3.5658753;1.6518725;7.1533585;16.129528;5.7672534;1.8643823;1.547226;5.5003157;5.3578105
12.450178;19.520864;-3.5680218;1.6206386;8.7410555;15.792819;5.748059;1.7707559;1.4342903;5.9799113;4.9680233
11.294762;19.812773;-3.8337328;1.6897557;7.587738;17.100546;6.1648583;1.8088142;1.6650403;5.8375864;4.8404684
11.921519;18.887745;-3.9930491;1.626834;7.6710753;14.566944;5.522191;1.8792841;1.6348021;5.5558095;5.2757764
13.042092;19.451561;-4.1596713;1.6449964;6.969412;17.06322;6.026584;1.7780675;1.6804515;6.088661;4.9786043
12.8018875;18.184704;-3.8913317;1.5337757;7.2968316;16.666008;6.145994;1.6663226;1.621749;6.1067896;5.521181
13.013943;20.082743;-3.9792063;1.621407;7.6463013;16.347576;5.822112;1.814041;1.7040608;5.4043837;5.0855837
12.594788;16.670284;-3.9883986;1.5920972;6.9820175;16.080591;5.5376763;1.7419412;1.7604988;5.52764;5.456422
12.774676;19.951052;-4.008827;1.5383018;7.401261;17.034416;5.57781;1.7905527;1.7236056;5.900974;5.234271
12.61744;18.935497;-4.1091495;1.6187552;7.7132387;16.862246;5.7113924;2.004581;1.5112392;5.9943743;4.5111656
11.44058;19.996475;-3.8385155;1.4068363;7.785783;17.838331;5.74631;1.9444948;1.5490439;5.445286;5.15547
13.153966;20.31724;-3.8925614;1.6459762;7.139648;16.196917;5.871284;1.720293;1.5490407;6.1008224;5.0364623
12.757636;17.392128;-3.9112544;1.6754566;8.11421;15.3502;5.3314247;1.7241421;1.6806053;5.802914;4.71573
13.196215;17.82411;-3.7433383;1.4661194;7.7114215;15.653131;6.0083637;1.81552;1.684458;5.6371226;5.211412
13.336083;20.511671;-3.8793538;1.4896001;7.66709;17.61568;5.7010956;1.630943;1.5937285;5.1653986;4.54158
13.403292;18.34448;-3.720772;1.6001824;7.6511493;17.19552;5.7195587;1.9115767;1.4312555;6.180686;4.7132025
12.672846;19.479168;-3.9787986;1.5845224;7.1779304;16.238972;5.4623766;1.7193006;1.6563528;6.087099;5.0337014
12.866265;19.129845;-3.7606804;1.4889207;7.438776;15.144584;5.690107;1.847133;1.7250649;5.415126;4.8189507
12.582438;17.171785;-3.7107701;1.6436081;7.3307467;15.20095;6.078883;1.9415879;1.6048571;5.613079;5.1202197
12.458125;19.112759;-3.9038043;1.6493392;7.885691;18.5095;6.19142;1.6843185;1.5507789;5.709963;5.016314
11.918079;19.444717;-3.58207;1.6920295;6.812535;17.800243;5.9655747;2.0604787;1.5648088;5.7717304;4.6833534
12.33184;19.436724;-4.019203;1.6497463;7.6468754;16.25882;5.547404;1.8955383;1.6167786;5.8234205;4.905789
12.772163;18.141516;-3.9048061;1.5294201;6.454808;16.648405;5.5102415;1.7695094;1.6879312;5.6051364;4.844934
13.5941105;20.340687;-3.64155;1.5186864;7.571568;16.704266;5.602272;1.753574;1.6187321;5.7344847;5.0844564
12.033428;18.60547;-4.1796536;1.7540597;7.410922;18.343996;5.314352;1.7347728;1.5435412;6.0998254;5.0833883
12.895626;19.96807;-3.855552;1.5104771;7.6119833;16.274591;6.214588;1.8175627;1.6803346;5.216331;4.6076293
12.428965;18.868652;-3.6579714;1.6275485;6.7407374;17.34598;6.643363;1.8535959;1.6640502;5.676448;4.563223
13.033765;18.533733;-4.140156;1.6121325;6.9809995;17.092018;5.3090444;1.7209958;1.4917984;6.18338;5.006971
12.631527;20.059362;-3.707892;1.6339889;7.4908314;17.123896;5.859188;1.7904024;1.5298883;5.446841;5.2396693
12.826851;20.59264;-3.8747706;1.6776938;7.675554;16.659935;5.9016886;1.8591835;1.6859459;5.7509103;4.9968295
11.685423;18.298105;-3.9105244;1.5541862;7.4888573;15.672753;6.1955705;1.9143442;1.5271013;5.86739;4.9302087
13.428152;17.038088;-3.7982244;1.5788968;7.492416;16.243107;5.5220623;1.7761959;1.6713175;5.7112255;4.8293843
12.0919695;19.167088;-4.121529;1.6712291;6.988204;15.11618;5.6127367;1.7230992;1.6540072;5.963027;4.6019273
12.763911;17.994444;-3.9619932;1.6167676;7.1704288;14.97054;5.961501;1.8827276;1.6115642;5.7794185;5.123883
