1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
106.81605;104.64402;101.98537;106.689415;107.9911
104.80694;105.91166;100.42693;107.09499;109.67631
106.40523;103.22624;101.60567;106.48503;108.915726
-1.0;104.24847;101.44922;-1.0;-1.0
-1.0;104.68968;101.365005;107.41007;109.12103
106.1758;105.06515;-1.0;108.09292;109.64445
106.63129;103.71867;100.83165;107.35413;109.95189
106.2531;104.83387;100.80974;106.55617;-1.0
105.78659;104.71543;101.31948;-1.0;109.327225
103.65482;-1.0;100.66287;106.598816;-1.0
106.83267;104.654816;100.44177;-1.0;-1.0
105.79311;105.0734;101.35289;106.732;-1.0
105.94102;105.32643;-1.0;106.014694;108.607925
106.32498;103.713875;102.03272;-1.0;109.35586
105.98167;105.34511;-1.0;108.16672;109.06198
-1.0;105.42408;100.639244;107.27332;108.70309
105.957596;104.34444;100.975105;107.13413;109.45898
105.36627;104.23648;101.56174;107.71754;109.07559
105.10205;105.178116;101.60609;107.23178;108.80302
105.494835;105.505646;101.46424;107.725105;109.208916
106.03214;103.93725;102.710266;106.88458;109.14533
106.02073;104.62691;101.51186;105.859116;109.34272
104.58599;105.413246;101.89079;106.23093;109.17362
105.109634;103.619316;102.50216;106.286934;109.05987
105.968216;104.34635;100.72896;107.20864;109.10472
107.08571;105.46734;101.02166;107.8047;108.744705
106.970634;104.88602;100.89316;106.4979;108.30131
106.13995;103.62951;102.05753;107.4109;108.87305
107.34924;103.98083;-1.0;-1.0;108.88963
-1.0;105.07268;103.36768;107.170975;108.91937
106.37975;104.36782;100.66267;107.16252;-1.0
105.948;104.643196;100.85029;106.44675;-1.0
-1.0;105.02947;-1.0;107.00856;107.931786
105.62768;104.43221;-1.0;107.63174;109.13366
105.04843;-1.0;100.59498;106.521095;108.94402
105.65693;104.68008;101.91344;106.71381;108.40247
105.98652;103.9596;101.8072;107.53712;109.06421
105.358086;104.58772;102.27326;107.27214;109.18352
102.96233;-1.0;-1.0;107.02393;108.55657
105.01271;103.61325;101.28076;-1.0;109.72028
105.73412;103.96515;102.179115;107.099434;108.35538
105.87587;104.26086;101.0857;107.13839;109.34947
104.47724;104.83879;100.7847;-1.0;-1.0
106.15698;104.57431;102.064064;107.71059;-1.0
105.37981;104.63994;101.53411;-1.0;110.26668
105.46611;104.12739;101.98537;108.40946;108.94884
105.48597;105.071106;101.409256;107.78898;109.6719
105.604065;105.02347;100.848015;106.97753;108.74907
105.43299;103.67153;102.01667;106.25953;109.49671
106.32505;104.05219;100.852806;106.293526;109.638626
105.513306;-1.0;101.298134;107.76486;108.3843
104.94993;103.90042;101.07206;107.81747;109.34396
105.86198;104.733536;101.1032;107.06921;109.37855
106.113365;103.60975;-1.0;106.94761;108.841866
105.50295;104.4795;102.08496;107.03864;108.72273
105.58411;104.7228;-1.0;106.468315;108.56061
105.74846;104.53768;100.85985;107.69209;108.98401
105.92334;104.88668;101.19687;106.93318;-1.0
104.64466;105.35877;100.4817;-1.0;108.869675
106.45397;104.40286;100.62899;105.961494;108.99804
104.2757;-1.0;100.735;106.18868;109.04314
106.58065;104.42934;101.970116;107.263336;108.69305
105.85496;105.49885;101.6791;106.19033;-1.0
-1.0;105.01129;101.31259;107.70507;-1.0
106.168945;104.79033;101.13247;107.216644;108.32777
103.47746;-1.0;-1.0;108.17599;108.74186
105.426575;104.85314;102.782036;107.31561;108.98998
106.0036;105.14016;101.82174;106.535484;-1.0
104.89969;103.958824;101.43207;107.25305;108.822334
105.38857;105.29291;102.22137;-1.0;109.06085
105.061356;104.35967;101.970894;106.85689;109.835625
105.68243;104.36197;102.04844;107.723305;109.61107
105.64892;104.477486;101.75796;106.02523;108.31628
105.92558;104.35896;101.35643;107.284904;109.38934
105.57476;104.529396;101.93702;107.87392;109.25749
105.75279;104.568756;102.16485;107.14663;109.45864
-1.0;105.07211;102.35246;107.010254;109.14371
105.25129;104.83927;101.255516;106.820435;109.012115
104.87688;104.00324;101.67707;107.06406;108.719696
103.823494;-1.0;101.44945;106.5458;108.750885
105.497795;103.54951;102.177155;106.80401;108.13185
105.24499;104.70294;101.817726;106.548515;108.98954
106.15126;105.0572;102.08561;106.121925;109.29626
105.72964;104.2525;101.923965;106.03914;109.11473
106.68489;104.04927;102.104004;107.71934;108.48772
105.49977;104.35893;101.789024;-1.0;108.715
106.68401;103.40699;101.620575;106.60752;-1.0
106.192764;105.514824;-1.0;-1.0;109.21479
-1.0;104.50613;102.82337;-1.0;109.32453
-1.0;105.30316;101.03506;107.07848;109.17785
103.25207;-1.0;101.38491;106.80636;109.80636
103.68942;-1.0;101.74353;107.11995;-1.0
105.98606;104.13662;102.897964;107.18266;109.49147
105.16415;104.35967;101.99303;107.10124;108.994934
105.23817;103.9554;101.56251;106.31814;108.11059
104.99028;104.31968;101.67855;107.62593;109.2296
106.29712;104.83243;101.83877;106.588524;108.94322
106.46396;103.28482;101.9206;105.656555;109.03237
105.607346;104.68604;101.65466;107.14056;109.39355
105.4375;103.62304;102.55112;107.7321;108.12597
106.066696;104.61859;100.88482;107.97178;108.55391
106.261086;105.13047;101.6972;107.09278;-1.0
106.05485;104.61077;102.15406;106.933624;109.43967
106.7116;104.17351;101.591644;106.99885;109.14582
105.743095;104.86099;102.22061;107.58335;-1.0
105.57541;105.24412;101.93691;-1.0;108.87334
104.96601;104.66217;102.290016;106.50335;108.930504
104.636215;104.53619;102.5407;106.61667;108.65658
104.75995;-1.0;-1.0;106.80232;108.78086
-1.0;104.79208;103.15439;-1.0;109.28742
-1.0;104.19332;102.78103;107.1459;109.27052
104.74003;104.29731;102.53439;107.443504;108.93543
104.81529;104.40158;101.47894;106.79248;108.34507
