1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
60.09518;28.20433;18.008707;17.726246;21.313791
59.281452;21.52402;19.84952;19.512737;22.01282
81.492035;0.0;25.887297;26.0783;29.181402
69.01292;32.222897;22.165804;21.206629;23.01612
0.0;40.04041;36.505028;34.550526;31.730558
68.07628;36.766865;21.10927;22.173008;0.0
77.0183;34.699978;19.376667;0.0;22.782883
65.09295;27.826393;23.144201;19.324728;17.569216
57.69921;0.0;16.84147;21.80507;18.158224
60.801113;0.0;16.476643;17.893026;17.899666
0.0;31.453981;25.41219;21.248203;22.05562
39.389378;15.694453;13.523083;9.772341;11.985817
0.0;29.14127;21.890198;22.895555;23.709415
41.247913;16.872355;12.494159;15.729947;17.781368
57.74442;24.510248;14.489209;14.729499;15.728437
64.64499;31.130785;0.0;23.335207;14.775588
62.85145;22.433495;20.152243;16.334589;21.976984
69.90113;31.792862;22.53538;25.414993;0.0
61.70209;27.74875;22.69615;20.977045;19.17257
81.74131;34.437588;24.345098;18.409357;0.0
78.46182;29.204496;0.0;24.466465;24.853893
75.46026;0.0;22.757803;24.024927;20.283215
62.365307;26.714977;20.573149;18.20679;18.621586
54.571682;25.279074;20.18696;16.406239;17.34235
56.494392;20.196957;15.170444;19.965227;17.292135
0.0;43.300865;28.029303;32.152275;29.12237
78.381615;0.0;20.508484;24.740213;16.771467
59.790546;25.24789;17.467363;20.122139;21.288105
60.65607;23.866676;21.779583;22.057686;22.087801
79.55726;30.513315;20.458208;0.0;0.0
60.4472;19.186844;17.01901;18.840477;18.972683
60.14353;27.054989;17.487057;15.578735;19.490402
50.762993;22.82798;13.573998;11.746073;14.805201
42.60653;16.893642;10.495824;12.371698;15.7032175
39.92677;14.724005;11.295899;12.927565;13.045478
40.95802;16.093899;12.094811;9.529606;0.0
33.793762;15.834211;9.873985;10.337004;12.53663
35.63041;16.988571;16.215456;10.246744;10.468719
50.99833;23.076252;17.956121;0.0;14.925417
49.79258;20.86062;17.614315;14.191387;15.622179
56.50043;20.54123;18.769407;18.751255;20.733582
57.5583;23.475471;21.40478;15.694844;14.955014
63.33878;25.119234;20.217237;20.099442;18.505476
57.199158;20.2077;17.492643;15.516507;22.179182
60.419548;28.778244;22.269876;19.157888;20.339106
59.348946;23.136013;17.422672;20.134047;20.881716
46.195812;25.782475;15.99812;11.977319;20.611698
54.965492;19.871141;16.22907;14.517621;17.32131
51.80079;22.657349;0.0;17.087694;14.513311
0.0;46.708508;40.130653;0.0;38.42207
63.68819;29.40634;20.608795;22.435318;0.0
55.94533;24.451149;19.463999;20.150099;17.096228
62.174644;0.0;17.687954;19.337742;18.46605
48.571213;21.87876;16.975735;13.958116;15.236628
55.752743;19.756786;14.852345;16.57603;17.622099
53.58717;17.302637;16.24552;18.11533;17.41047
69.086044;32.58977;0.0;17.458075;21.94192
58.906975;24.588835;17.27895;18.83696;16.56317
0.0;34.11605;26.49856;31.34253;29.417606
57.160385;24.915188;14.820004;0.0;19.16053
51.894268;21.339924;23.293566;0.0;21.128262
75.31727;25.112429;19.373327;0.0;0.0
62.78616;21.993496;17.094713;20.2168;16.575735
69.89034;33.245655;16.631716;21.438566;18.864485
71.18649;24.32252;24.882723;24.045439;23.856041
76.6186;30.13285;20.553741;27.479439;21.663855
80.19538;32.87359;24.037004;22.634119;19.91606
96.540054;41.63406;0.0;31.975754;31.831121
93.38884;37.962143;0.0;28.148129;23.50846
82.35459;29.47965;31.264769;0.0;29.09415
101.69861;40.972424;28.18302;0.0;0.0
66.22144;33.576275;16.086494;25.23345;21.988367
69.205414;30.105505;20.032368;20.519812;20.377884
111.1603;0.0;32.337963;32.167854;0.0
74.18356;30.61115;22.58853;26.524426;21.196362
91.30381;36.455547;29.541018;0.0;27.834158
70.65285;20.591707;18.375475;25.590742;22.2481
75.16137;0.0;22.573956;27.183039;25.354952
71.380844;29.55721;16.52587;21.783682;19.374292
81.092995;38.84001;0.0;22.329071;23.77354
74.83144;31.225807;16.858618;19.941683;27.900772
62.74668;27.334179;24.123165;0.0;20.971922
52.417465;24.443554;18.294806;17.45815;20.44606
56.60686;26.985937;18.84887;15.624589;0.0
52.947655;18.625456;15.541861;17.877249;13.814117
58.071888;22.246355;0.0;19.586956;19.61047
62.383713;27.729502;17.817934;17.876461;25.864206
73.765945;34.517864;20.248857;22.183504;21.292519
86.42631;30.210096;20.652468;25.553434;24.649734
0.0;54.025307;44.387043;46.539703;45.727493
85.803696;31.914885;30.735128;29.658075;21.574183
93.14783;39.902454;21.737284;28.573944;25.019375
95.04187;40.08599;25.432396;22.580713;22.014208
101.4783;41.65963;0.0;32.48759;34.8058
79.46423;29.814339;24.727482;28.767588;28.163431
76.6156;28.59245;22.343424;21.315145;23.944038
99.12638;46.990475;0.0;30.556501;0.0
86.0907;38.797916;0.0;21.991497;24.004976
88.37832;36.694416;0.0;24.810295;26.975542
95.96018;43.504707;33.01977;27.437963;0.0
82.78919;26.945473;24.526175;25.179558;27.51178
78.46847;27.814398;22.648108;21.694897;23.791948
69.09216;32.47113;23.210527;23.892612;24.323269
73.105736;26.240139;22.85784;24.094093;23.32521
105.70957;0.0;30.178644;0.0;31.803284
74.09448;29.397274;0.0;24.73205;16.446566
47.159218;23.170801;15.765982;21.129139;10.934418
0.0;38.33365;30.473627;26.577917;26.01379
49.8817;23.9562;14.149055;16.352057;20.488613
61.60199;25.429504;22.413128;0.0;20.52417
78.77382;0.0;23.467308;21.518167;17.251509
71.92999;30.892372;25.276684;24.455044;21.322514
80.40766;32.54481;22.844063;31.16465;28.551424
85.07836;38.01016;25.737719;23.782707;31.665504
112.48078;0.0;30.476315;37.022217;28.600122
89.43168;37.602005;24.510862;24.05471;28.933311
81.28185;36.7727;27.715328;23.368273;20.459038
85.441574;38.658524;23.818739;25.46053;27.171665
84.898056;34.283375;27.477604;24.099562;26.051992
90.9913;34.88911;27.34678;25.943321;0.0
0.0;97.715546;0.0;0.0;74.58547
91.89946;42.006886;0.0;23.609097;25.630499
0.0;54.306927;40.647648;48.96939;48.460342
96.66395;40.527603;33.67179;0.0;28.172361
109.92622;46.816837;0.0;0.0;30.30097
0.0;48.71858;38.974243;39.08824;36.99223
86.73527;29.199917;18.85242;19.590534;21.156958
74.068474;36.788567;19.812384;23.954796;27.265814
69.758286;29.495094;11.998134;25.228102;18.843842
0.0;42.39204;38.628284;31.45376;31.766235
0.0;53.667194;38.530354;41.45685;0.0
57.666676;20.167503;15.9174;16.103868;13.994731
52.282505;24.488932;15.703914;12.456476;16.775517
55.042713;19.56592;20.735846;15.478947;18.357857
66.53337;30.767225;18.514381;17.392572;23.090723
81.62948;33.37102;28.772314;27.203426;0.0
88.22605;36.383537;0.0;28.423286;26.24202
100.166435;0.0;30.550156;30.968376;31.645184
87.315254;32.877285;28.344301;21.288181;26.019709
115.58844;0.0;41.672558;42.5487;0.0
87.931046;38.81952;27.77773;24.064007;23.265123
78.65074;37.974594;23.989265;26.61599;23.138824
78.12577;29.10442;24.943478;21.667757;21.027603
70.78149;29.109703;24.913593;21.628887;26.30974
89.04892;0.0;27.53901;24.439585;25.140833
74.588005;28.110348;20.93745;19.13669;24.120857
90.25324;38.893772;22.453365;19.245329;19.90417
0.0;77.23425;0.0;60.053696;57.638237
77.09131;32.37615;20.82253;24.563307;21.004044
65.54647;30.553131;22.34682;19.584688;26.77448
89.65095;42.741066;24.700613;27.661682;0.0
83.26216;37.944767;25.468538;0.0;30.0565
65.288795;29.08145;20.525312;21.642078;18.729506
59.145115;24.96549;11.448132;14.884275;15.262712
52.06858;18.138403;16.56837;11.813082;17.160435
55.641838;21.292892;17.800703;0.0;21.49901
50.253963;17.338459;17.438393;13.539872;17.32155
55.168633;24.522812;17.2781;18.84993;16.586288
58.75626;26.965082;13.959663;19.232067;15.911499
68.04159;28.365355;25.613596;29.689497;24.92518
80.12102;31.877495;15.865161;26.297274;22.032764
78.86373;35.37143;26.133722;27.455338;27.109253
83.65187;30.307201;22.724705;28.065804;27.99308
84.75491;32.70395;29.396305;24.278727;23.068888
79.58371;36.494038;25.683153;22.282352;23.90738
78.39063;32.664772;26.577297;30.642282;24.493906
88.634544;38.81183;0.0;23.865795;26.139385
74.368744;31.785236;23.729258;25.488932;24.071207
0.0;60.011448;0.0;51.276524;40.91123
68.22728;36.734554;25.685108;23.157673;22.927803
122.03347;0.0;0.0;30.577942;34.261337
84.30443;35.352604;25.174065;27.349928;23.416773
79.49015;29.751549;24.632858;24.550892;23.715908
69.67939;31.468895;24.13143;21.198734;21.46347
71.164185;29.211952;20.46019;22.388683;26.080828
77.44007;29.510708;23.86899;20.728857;23.061432
63.340485;22.46055;0.0;16.760994;19.24091
49.590763;20.708149;14.238336;13.695815;15.5662565
46.437958;19.906013;12.136994;9.158109;13.999813
45.040894;16.958284;0.0;13.714172;14.016252
38.60234;17.85026;14.216388;14.473169;11.871391
46.905552;20.056786;14.881528;15.207696;12.738261
53.9956;17.943861;12.649292;17.513447;15.739836
57.903896;24.656107;20.038616;12.892535;14.703428
63.990063;26.820244;17.322306;21.140408;23.944677
70.93597;27.41722;22.175026;20.546808;23.706612
84.6115;0.0;26.286158;23.761744;24.735132
0.0;47.15939;32.921276;34.47252;35.03836
80.81902;31.726799;20.718767;0.0;25.051094
60.77838;23.399073;18.903568;16.700258;23.6949
62.831547;26.132278;19.56323;19.63617;17.417522
53.10907;28.818644;24.24067;12.958468;15.672258
52.751488;28.401505;15.064259;14.242153;16.347195
69.32001;28.43331;19.613045;0.0;24.020927
62.153732;29.62988;18.588072;19.498985;18.729687
75.89773;28.126709;23.355616;0.0;23.521547
0.0;41.30102;32.466843;29.201334;34.24656
58.92987;26.15428;17.231195;15.502007;15.046155
58.11771;24.6579;17.617153;22.103777;18.197481
65.691574;32.13175;19.94495;0.0;23.37801
61.566544;24.838717;0.0;15.677401;13.22156
41.23195;17.280304;9.2753935;12.982985;16.255976
39.25535;17.693392;13.080321;13.948902;10.032792
35.420437;12.768435;11.201923;8.455585;9.642899
32.996635;16.953787;10.6382675;7.9890823;10.762976
35.93447;18.12521;7.7228475;6.3954654;9.315424
0.0;28.196642;27.463312;25.747663;26.89891
63.733448;24.641624;0.0;20.624228;19.060934
66.766266;0.0;19.403906;22.678362;21.909222
0.0;39.205803;30.761126;32.481003;28.921412
58.634933;21.864698;21.28451;24.236036;21.675531
63.817913;28.275637;16.071487;16.850119;17.309341
69.83924;29.445498;26.23656;19.257126;0.0
55.017483;24.106543;16.805853;18.255184;20.219284
66.83685;0.0;17.480104;18.653975;16.777018
52.758514;21.760065;18.227404;17.896505;17.140448
61.29218;16.095877;19.655815;17.37378;0.0
55.315243;22.750301;14.498426;10.953348;18.502031
56.040253;20.043653;15.586483;18.203726;20.100653
61.79871;26.65805;18.414743;16.74593;16.504057
52.634445;20.68932;19.734486;15.8662;15.115617
61.19277;26.806812;16.467287;0.0;16.669027
49.90424;22.402845;15.403517;18.0573;19.702282
53.15692;25.512882;17.727034;16.265024;0.0
62.58832;20.418806;19.17967;15.836254;22.651806
55.232;27.516785;7.9101534;15.92739;13.7236395
0.0;38.211845;28.29857;29.00476;29.942545
51.212788;21.590923;13.489927;14.88758;17.99312
52.87939;22.697065;16.27257;15.5164585;0.0
59.55029;23.283937;15.092958;0.0;18.772614
59.236324;27.732546;13.249736;19.014067;15.055921
60.950283;25.5306;19.85566;16.307302;13.720093
77.810295;26.675955;24.032562;16.699148;23.703646
79.64217;30.495451;23.535454;24.81201;25.132864
82.713326;34.748516;23.876814;25.625013;18.70886
95.82255;0.0;31.834246;32.24516;35.05657
100.206055;0.0;24.287722;32.094925;32.344032
74.54217;35.083366;24.102179;24.419708;22.835382
73.920525;33.237022;23.624117;22.27787;21.254103
83.83215;33.69546;24.709713;23.954525;0.0
64.032845;31.091356;19.414145;20.80802;18.894312
69.16873;30.937614;23.457928;21.652716;25.354372
80.531715;37.637104;29.535612;0.0;26.834894
68.600136;32.184013;23.7572;20.693022;25.063795
85.85487;37.017612;0.0;24.596039;26.55706
0.0;50.350533;39.72482;42.477036;31.482075
69.89499;25.600874;18.889776;20.875677;20.163124
77.52057;28.595179;18.96679;22.212078;21.291655
68.29069;25.46354;19.592964;22.529274;25.02764
79.19396;0.0;25.417212;19.071041;27.761631
55.378456;27.500296;14.583611;16.709965;18.517887
61.82934;22.857334;20.014528;21.29972;0.0
48.746284;25.586132;13.100288;18.064465;15.798593
55.81964;26.94001;13.955828;19.237501;20.725142
56.429832;28.436384;19.486216;19.956717;20.652872
104.523346;0.0;0.0;33.196247;34.490295
83.95832;29.80298;25.062565;26.695095;22.400791
82.92253;32.884354;26.37854;25.657608;22.2889
92.69205;35.46101;29.152405;20.894333;24.441538
93.716675;32.95049;25.847704;26.659664;21.563406
95.33332;40.018425;29.13848;24.094624;22.28065
80.75244;34.102757;22.12456;25.738155;25.937544
108.422066;0.0;33.216366;0.0;31.995607
102.06855;0.0;31.793652;40.419727;0.0
74.55642;33.0969;21.255579;22.674997;21.611643
73.67471;35.217743;25.694956;20.938965;21.472395
83.76977;38.260494;26.65751;26.778864;23.24935
98.93591;47.959084;31.811848;0.0;32.65444
0.0;56.71343;42.013527;38.82396;43.155178
82.02763;37.313103;0.0;28.036055;22.75312
84.53552;32.97879;30.8669;21.36428;0.0
107.99662;0.0;0.0;26.334127;31.911802
64.9289;29.122866;21.778757;20.605343;19.22298
63.61427;25.679941;19.508146;18.306871;19.10492
54.149757;26.698088;17.149786;18.082394;16.73495
63.510456;21.439562;15.70179;17.661108;22.538172
61.71335;20.68728;16.115196;0.0;24.503876
70.412834;23.84793;16.161953;18.236639;0.0
64.26059;24.404984;17.452688;19.30814;19.704819
73.957344;27.381668;22.158308;25.03838;18.950663
92.53624;40.515545;25.887611;0.0;26.322208
101.44593;42.112785;30.903612;0.0;29.658173
88.32115;39.180614;24.706066;24.526503;29.820791
0.0;67.364174;52.03059;46.26083;42.160534
0.0;82.555504;0.0;58.79827;62.268433
84.91571;35.746353;25.060268;24.12697;21.005861
77.989204;33.688194;23.593773;27.636032;20.301294
93.74074;33.475136;26.07466;26.306976;0.0
79.86954;37.85808;27.49259;20.533602;22.606106
91.95051;0.0;28.969215;28.897137;33.091007
90.38973;42.315144;26.213608;0.0;26.875443
90.79834;31.647163;25.71275;25.89952;23.61317
99.70846;0.0;33.500263;29.778053;28.830755
70.887184;28.998993;26.162245;18.480347;23.181248
87.852196;31.702982;0.0;25.264477;24.982779
110.291245;0.0;0.0;36.607304;37.777626
69.581184;29.854973;16.528755;19.14645;12.706839
52.593994;28.194357;18.059883;19.040209;18.56592
61.99778;23.818926;21.358042;18.964209;19.891005
52.161186;22.69109;18.901703;12.325182;16.393147
51.77817;22.535894;16.682245;16.757877;18.214964
59.330948;25.974813;16.721989;21.949772;0.0
0.0;38.477306;32.08175;34.005466;36.36322
77.16467;39.52801;22.76457;26.677582;24.12869
83.88774;33.224667;20.945963;25.784435;19.023071
83.51866;33.563847;22.5801;28.120144;22.76685
87.23233;41.526318;29.682129;23.891499;28.40686
84.57206;40.903656;28.604647;21.358414;24.035233
102.87788;37.82021;0.0;33.87058;37.18457
