1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
106.15314;105.06518;101.18543;107.48065;108.53692
105.53144;105.60446;101.680466;108.433174;109.4229
104.3417;-1.0;100.69978;107.41273;108.44301
106.283295;103.37904;100.94713;107.2974;107.9411
-1.0;104.271194;101.14412;107.22956;109.62668
105.90018;105.829636;100.88249;106.69661;-1.0
105.222694;104.24438;101.647934;-1.0;109.28651
105.57796;105.851944;101.42366;107.58653;108.56676
105.24953;-1.0;101.10182;107.3746;108.99174
105.32364;-1.0;100.85217;106.97872;108.86336
-1.0;103.45415;102.01585;107.24255;108.488625
105.09737;104.48369;101.30111;106.86924;108.85727
-1.0;104.52384;102.06762;107.49271;109.21822
106.484375;104.62954;101.78439;106.826805;110.007065
106.63853;104.47687;100.583984;107.43581;109.700485
106.132904;104.33851;-1.0;106.909615;108.59434
105.89239;104.35177;101.534035;106.78999;108.719376
105.408875;103.800064;102.143036;106.53845;-1.0
106.074844;105.01507;102.95434;106.04805;109.33594
105.73391;103.787445;101.28715;107.20766;-1.0
105.97878;103.79548;-1.0;106.53703;108.899994
105.02959;-1.0;100.439316;107.065575;109.02777
104.97278;104.90433;101.033745;107.68365;109.282555
105.680145;104.78437;101.237434;106.51443;108.97153
106.1213;104.59872;102.01585;106.91807;108.677444
-1.0;103.84852;102.045906;106.55099;108.490654
104.60289;-1.0;101.36784;107.40664;108.96605
106.19962;104.05004;101.639824;107.249084;109.1517
104.598045;104.666756;101.078255;108.465355;109.135895
105.63991;104.77607;102.399506;-1.0;-1.0
105.77093;104.26014;102.70674;107.74056;108.85838
106.631874;104.528114;100.83291;107.85161;109.016235
106.49593;104.287926;101.308975;107.37093;109.07254
105.1987;105.15774;102.09842;107.02205;108.051735
105.295906;104.550575;101.85543;107.58003;109.45102
104.91263;103.82184;100.914185;106.65024;-1.0
104.645935;104.642685;102.376305;106.642914;108.90298
105.47883;104.98034;102.736565;107.498146;109.212845
105.83952;104.146576;101.11064;-1.0;108.43541
105.404434;104.56652;102.38092;106.419846;109.95749
105.55197;103.72918;101.34133;107.649025;108.98884
106.14641;105.54331;100.858635;107.03865;109.68861
106.095726;104.992004;101.31775;107.765236;109.025055
106.483086;105.05771;102.5364;106.86887;108.364975
106.2088;104.34106;101.523796;106.7815;109.273384
105.42832;105.42796;102.17952;106.77975;109.43904
105.619545;104.86961;101.873405;107.61444;108.469635
105.151634;106.09564;101.98453;105.98579;109.41544
105.476105;104.93914;-1.0;106.79741;108.13662
-1.0;104.4458;102.27658;-1.0;108.88449
105.85893;104.696175;101.59384;106.29107;-1.0
105.372246;105.53267;101.11331;107.25075;108.27309
104.48613;-1.0;101.198456;107.49925;109.18111
105.334885;104.70964;103.24858;107.337135;109.42386
105.64285;104.44895;101.2197;107.33248;109.58683
105.60184;103.76282;101.75428;107.563774;107.56637
105.65916;104.69969;-1.0;107.40314;108.483185
105.58094;103.817116;101.731514;108.535995;108.49289
-1.0;102.90063;101.74786;107.11194;110.302444
105.88134;103.28233;102.31565;-1.0;108.9738
104.76638;104.4129;101.77283;-1.0;108.28432
105.14873;104.49836;101.85275;-1.0;-1.0
106.10703;104.20636;100.90075;106.70459;108.59962
106.0169;103.7143;101.645905;106.79596;109.48752
105.77665;104.44203;102.412735;106.63783;109.060074
106.09046;104.39745;101.21828;107.07205;108.71938
104.70552;104.7;101.13898;106.878456;108.56384
106.02736;104.80902;-1.0;107.23111;108.41679
106.4305;104.22341;-1.0;107.175446;108.8638
104.905106;103.8569;100.8824;-1.0;109.95725
105.872475;105.04759;101.30191;-1.0;-1.0
105.72563;104.20757;101.36016;107.382614;109.43189
105.85601;103.6464;101.945854;107.080185;108.20625
103.90018;-1.0;100.01123;106.81641;-1.0
105.8208;105.14123;100.48119;107.61207;108.60226
105.89825;104.33963;101.03898;-1.0;109.027885
105.19262;104.852196;100.28106;106.671326;108.3989
104.182655;-1.0;101.18243;107.63579;108.79368
106.33714;104.68563;101.32291;108.61869;109.20079
105.81271;104.38227;-1.0;107.48554;108.45025
105.73554;103.8192;100.67433;106.202576;109.33082
106.21233;104.11774;101.00125;-1.0;108.804756
106.61797;103.69975;100.735016;106.69856;108.35725
105.048584;104.07354;101.617195;107.17894;-1.0
106.0447;103.94289;101.45918;106.992516;108.71237
106.20527;104.376274;-1.0;107.07345;108.71804
105.63626;103.72559;101.39699;107.05242;108.17789
105.93592;104.616135;101.69932;107.85504;109.967186
105.90241;104.65978;100.844505;106.774254;108.78704
-1.0;105.01535;100.82409;107.64372;109.24772
106.09612;104.944725;101.043205;106.24037;109.165596
106.028786;104.75499;101.364975;106.78599;109.10601
105.911415;105.28936;101.28279;106.94619;108.768364
105.33882;104.37581;-1.0;107.19228;108.64922
105.305405;104.05505;101.37085;106.300385;109.465385
104.76156;104.23169;100.08543;107.488716;108.945984
106.33636;104.11114;-1.0;107.01538;-1.0
105.666405;104.60434;-1.0;107.34643;108.84779
105.625244;104.05843;-1.0;106.901276;108.185684
106.306145;104.74841;100.50139;106.26107;-1.0
105.55109;104.09656;102.09814;106.66057;109.03768
106.113434;104.03674;100.801704;107.16124;108.84514
105.61204;103.71084;101.94259;106.496315;108.67692
106.50582;104.286476;100.56048;107.47851;109.0893
104.296646;-1.0;100.63342;-1.0;108.83167
105.16266;105.502426;-1.0;107.36976;108.98879
105.69345;104.24894;102.04272;107.04456;109.45628
-1.0;104.26671;102.75787;107.24662;109.46251
105.46465;105.22444;103.29341;105.7518;109.13067
106.259514;104.426765;102.01818;-1.0;108.528465
105.518456;-1.0;101.040886;106.53269;109.58377
105.722885;105.57771;101.03928;107.39101;108.763176
105.40342;104.66892;100.727455;107.493866;109.33565
106.56719;104.42483;100.96582;107.67786;108.69354
105.78534;-1.0;99.8621;107.01716;108.734795
105.81155;103.775276;100.56347;106.515;109.308334
106.55173;105.07408;100.05792;107.10985;109.39166
105.6939;104.65946;100.57846;105.87258;109.57226
106.28709;105.36725;100.959656;106.70909;109.33323
106.084305;104.656876;100.95599;108.2488;-1.0
-1.0;103.38437;-1.0;-1.0;108.04508
106.655365;103.96308;-1.0;106.301254;109.13947
-1.0;103.88968;101.28641;106.8546;108.93922
105.81218;104.41631;100.772545;-1.0;108.61878
105.78698;105.49545;-1.0;-1.0;109.401924
-1.0;103.86684;102.58845;106.20232;108.352196
106.2436;104.572044;101.40315;106.04851;109.71477
105.782974;104.43822;100.94801;107.65912;108.70257
106.286194;104.152245;100.88176;106.542114;109.34552
-1.0;103.969315;101.564;107.50543;108.6501
-1.0;104.11678;102.260185;107.411736;-1.0
105.01454;104.242714;101.20666;106.81898;109.12159
106.265015;105.58184;101.13193;106.51671;108.687386
104.879135;104.19164;101.04459;106.77117;109.846016
105.43512;104.529335;101.27692;107.32576;109.26911
106.514336;104.65275;100.99622;106.13036;-1.0
106.183945;105.48218;-1.0;106.456406;110.07544
105.142586;-1.0;100.903145;107.33139;109.32091
106.2951;105.21061;102.06941;107.142296;109.341515
104.55725;-1.0;101.327515;106.69702;-1.0
105.826;105.20169;101.13348;106.88831;109.84222
105.05778;104.42865;101.40068;106.01157;108.62795
106.365845;103.99207;100.08254;107.52492;108.13891
106.02794;104.21738;100.456184;106.68137;108.98281
105.08163;-1.0;100.241264;107.56228;109.887695
106.62253;104.994026;100.75266;107.221275;109.003075
106.36905;104.78403;99.88458;105.87867;108.63604
-1.0;103.93127;-1.0;107.032776;109.49574
105.64479;104.36605;102.472336;106.96437;109.45101
105.70804;103.11678;101.37664;106.62805;109.59214
106.6696;104.461685;100.88283;106.513504;-1.0
105.59969;104.538414;100.476456;-1.0;110.23446
104.97794;103.921745;101.84449;107.11035;109.2847
106.1651;104.96616;100.713356;107.310524;108.64326
105.66335;104.79234;102.12593;107.379715;109.45905
105.89284;105.25024;101.910576;-1.0;108.6012
106.04668;104.61431;101.74622;108.4338;109.030716
104.61946;104.96617;101.105896;106.73535;108.96947
105.00115;104.22341;101.72443;106.88929;108.95034
105.37139;105.18715;101.20053;106.85409;109.76953
106.43764;104.45962;100.10655;106.80793;109.27733
105.6393;105.56328;100.90553;106.772484;108.397766
