2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
21.089659;80.0088;40.346428;6.326118;9.677087;26.599075;7.703418;2.910565;5.337386;11.295725;14.450684
18.925884;81.88681;45.75483;7.5107207;10.610517;26.073277;7.6262197;3.1701713;4.62476;12.284089;14.419146
19.745287;87.943535;41.63814;7.340317;9.553093;26.117985;8.084821;3.1653981;5.210012;12.006635;13.665625
23.257473;81.84764;46.76908;6.857171;10.036505;31.618183;7.9341187;3.640288;5.6681967;14.580998;14.808507
18.876945;86.344406;52.635063;6.9480033;9.351143;29.957901;8.40995;3.3731494;6.0461655;13.115191;13.454832
19.20718;101.17525;38.573044;7.373895;9.730102;29.180948;7.5433083;2.8445697;5.107189;11.630304;13.742281
19.269703;77.87541;39.322006;6.5253;9.007182;25.032001;7.3560953;2.939541;5.1812778;11.198316;13.553106
16.3679;83.28822;36.054245;6.349029;9.985055;20.938995;6.736468;2.9203382;5.20116;11.221759;11.020037
17.1541;67.87981;35.33813;5.4061203;9.213366;23.06867;7.719908;2.693582;5.0966616;11.829965;12.250509
15.634806;74.66249;37.784027;6.2924104;9.67058;24.143253;6.8910813;2.8589094;5.5792227;12.11199;11.211804
16.722904;83.73487;44.961708;7.659459;11.4541445;26.219906;8.253228;3.0820174;5.0052853;12.099719;13.4276
22.994633;85.43961;40.680138;7.6299224;10.487055;26.04475;8.494333;3.1512468;5.951743;11.9366455;14.162294
18.417118;81.57419;37.43369;5.919873;10.4099455;26.452723;7.0866823;2.814885;5.0854893;13.208971;10.848295
16.889603;72.99771;39.970833;6.025957;9.637548;22.608353;7.033213;2.8620024;5.6780853;11.175669;10.097879
15.19859;74.936066;45.021793;5.4006333;8.6558895;22.293774;7.0561037;2.9107778;4.9229255;12.051674;12.380281
15.380516;76.81469;42.318287;6.235982;8.299705;24.35928;7.345914;3.1678357;5.1098237;10.921919;11.744775
17.824549;89.9077;42.67518;5.7799172;8.991476;21.87703;6.596742;3.150169;4.531657;12.020258;12.727807
17.610853;78.45362;36.82774;5.858846;8.462847;22.420261;6.640044;2.697746;4.7196465;10.186748;12.262215
16.342764;59.59783;35.636364;5.018904;8.391146;22.603613;5.835721;2.7476313;4.425573;9.779908;10.905856
14.027578;55.166767;30.77012;4.773272;6.7558985;19.245413;5.759789;2.4771657;3.8173058;8.933041;9.461475
14.010649;66.85823;30.81194;5.025544;6.845239;18.559845;5.7316766;2.442944;4.122386;9.269461;8.887888
15.923988;71.734024;33.20247;5.2402234;8.904207;19.434227;6.664927;2.5928936;3.9835534;8.861007;10.593752
14.737282;72.25599;36.53083;6.375173;8.9973345;21.566372;7.047755;2.8833222;4.443639;9.571462;11.924113
21.172758;90.67247;46.658367;6.873323;8.995628;27.935465;7.6753516;3.3874252;5.503147;13.957535;14.01651
20.99312;95.728806;50.233406;7.7013106;10.881496;31.66178;8.63521;3.572575;6.2331696;13.912143;14.509931
24.081337;97.97395;53.445965;8.639441;11.896856;30.929768;8.526933;4.1396866;6.53909;13.964887;15.548717
20.459965;105.82473;50.950554;8.685896;12.572189;33.080807;10.179094;3.8749661;7.30529;13.496168;16.10712
20.421644;90.64185;52.390514;7.689054;11.229468;31.773626;10.060739;3.5050979;6.4211473;14.017116;15.410169
22.677233;80.322296;53.71641;7.9339037;10.682194;36.09126;9.053322;3.7788155;7.4433503;14.145902;19.051414
21.793068;104.44424;47.606102;8.313826;11.008978;26.86291;9.487409;3.4534626;7.5182457;13.760139;15.846632
22.404629;93.00742;52.57384;6.6909256;10.7394085;27.5778;8.571877;3.4395022;5.646491;14.439804;14.323647
20.757618;100.79799;43.22122;6.188;10.716212;29.498837;10.288865;3.116016;5.5853767;12.646414;12.880734
18.789997;77.859825;49.0364;6.758275;8.821264;28.21372;8.010847;2.8532324;4.660615;12.514851;13.828671
19.72423;86.52386;45.626064;6.6284394;9.974528;29.964941;8.743554;3.495414;5.741118;12.930545;15.547136
23.068064;107.08038;44.825737;8.326593;12.113073;31.99697;9.593324;3.6414158;5.6134357;14.081288;15.043726
22.198471;99.80739;47.45466;7.3111205;11.755045;30.122992;8.834858;3.9886444;6.573575;12.94324;14.413641
23.38432;91.2301;44.248913;7.1291595;11.28807;30.783627;8.155804;3.4945076;5.856678;12.005582;14.30031
19.397253;88.23092;48.14643;7.0700707;10.105572;27.870575;8.509106;3.6971478;5.66359;11.665594;12.659753
21.008966;94.5598;43.34385;7.2669015;9.681754;29.951294;7.993852;3.1254714;6.6089287;12.818149;13.40415
20.772911;95.739975;46.266586;6.324992;9.690825;29.967129;8.463217;3.0726638;6.394263;13.886856;13.615091
18.059736;68.59017;37.528214;6.2742276;9.48339;24.264387;7.2969255;2.8689463;4.6652937;10.660991;12.051455
14.945587;79.48667;36.586353;5.053299;8.268721;21.578667;7.7070837;2.614838;4.5599976;9.445131;9.925897
14.329394;70.670784;31.707584;5.096155;8.442987;19.731197;6.1756716;2.4378042;4.803814;9.0391445;10.53849
14.614721;56.242058;26.005804;4.8701267;6.3904023;19.240574;5.7348647;2.2095098;3.324756;8.740597;10.163193
