2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
19.388678;92.80919;41.745552;7.101486;8.9323435;24.269108;6.6404696;3.2506874;4.952254;11.523184;13.494609
20.71714;78.11253;41.488407;6.156438;11.058245;26.729202;10.048064;2.9300523;5.8816133;13.72704;13.020531
20.800922;91.33929;52.4045;7.2281237;11.480859;27.761816;9.233588;3.4165294;5.8616266;12.197369;14.452916
20.118946;106.05168;49.60816;7.456314;11.640135;25.012989;9.572168;3.6375613;6.5319166;13.345904;14.228526
20.40247;82.88142;44.093403;7.4982567;11.039853;27.821814;7.475072;3.4173737;5.6629114;14.50014;14.978685
17.104328;79.78359;39.921413;5.728934;10.154084;25.630917;8.45315;2.8959947;6.2754245;11.950465;12.554636
17.202839;71.9198;44.596706;6.655833;10.466291;25.79303;8.738237;2.829043;5.279667;12.98715;13.672163
19.221512;71.23144;38.29591;6.7296243;11.034254;26.584492;8.925684;3.328174;5.6849937;14.103412;14.260236
20.500483;84.86143;46.11512;7.236496;10.642248;29.033274;7.9375443;3.2351544;5.581052;12.679601;14.474953
19.456224;79.936844;38.706093;6.3341045;9.811793;24.84985;8.388351;2.9692674;5.331794;12.121554;14.238007
18.00195;79.70572;36.620636;5.958986;9.005754;24.437391;6.701917;2.5732207;4.1651926;9.511463;11.846064
14.035136;72.97564;32.035637;5.5254774;7.809999;23.42669;6.500682;2.413072;4.3676043;9.156291;10.659323
14.722122;67.21653;35.522026;6.0038247;8.19166;22.031588;7.4966393;2.55727;4.892546;10.153895;10.655829
15.442499;70.9042;34.345764;6.757577;9.325171;23.46169;6.4496756;3.0333846;4.6549535;9.600763;11.78088
19.55695;79.10638;42.43186;7.5390444;9.562413;28.507847;6.7359276;2.6991699;5.0712385;13.388205;12.796352
22.515478;104.43367;41.80319;8.446975;12.073466;31.121937;8.450335;3.448621;6.194187;14.679949;13.380038
30.212296;97.61717;54.185722;7.3308997;13.081288;30.649988;9.002127;3.7159271;6.7234826;16.98838;14.609197
22.192076;110.54008;62.76106;7.859679;11.872576;34.822487;10.676965;3.9981468;7.593872;17.63425;16.752901
24.603313;119.38149;63.23095;8.607088;14.623583;38.33433;9.755774;4.40943;7.767006;15.700061;18.169647
24.84641;116.63501;52.728455;8.884472;12.843999;36.708405;12.120631;3.7930138;7.1499963;17.132818;18.601948
24.704584;121.38474;59.0081;7.898239;14.031059;33.72179;10.09685;4.436999;6.1661334;17.23457;18.073275
25.37569;113.278404;54.145866;9.3955555;11.440997;36.831223;11.662658;4.8875194;8.130709;15.913739;18.70541
