2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
35.284767;131.29208;65.55676;10.2758465;16.43902;43.307747;12.864566;4.8559537;9.399197;18.581661;23.334696
33.930523;144.76715;74.894875;10.803875;16.631617;44.897987;12.805471;5.585072;8.379237;20.888239;20.54123
32.806854;149.6683;73.04222;14.536346;19.39139;40.805195;13.894773;5.537658;9.335505;23.412867;22.186783
31.840866;158.14647;78.12091;12.318201;15.958966;45.322147;14.575521;5.296264;10.101281;22.379288;22.173428
34.081932;146.74524;75.531555;11.123453;18.03252;53.58958;12.57216;5.016652;9.445032;23.4547;21.733936
31.237284;133.15675;70.45225;11.7802305;16.497627;40.615067;15.290296;4.976299;8.474346;22.430058;21.649994
30.314615;144.09792;69.39708;10.342011;14.584253;38.10774;12.600289;4.6791806;8.986772;18.432583;22.122202
25.408304;142.99744;64.86824;9.541994;14.924639;38.30313;12.646795;4.5615053;7.0876017;17.730093;19.95098
26.634552;127.667015;63.854485;10.530462;13.364697;39.85031;11.175279;4.0616045;8.327066;17.230831;20.035542
27.332006;115.78163;66.84522;10.496283;12.786862;41.546684;13.072164;4.286168;7.6460023;18.568634;20.954165
29.132359;133.93834;65.7437;10.967768;15.593378;40.47541;12.884099;5.294914;9.640944;21.577267;24.86048
33.628147;143.10696;81.05858;12.1749325;17.089382;44.158913;15.182602;5.120397;8.086328;22.28194;23.651043
35.42897;125.01029;65.0453;10.873643;14.157031;43.52824;13.427272;5.0549545;9.192499;19.718645;19.758995
29.803951;122.06124;59.66914;9.767183;14.274213;38.899662;11.932188;4.0937705;7.9274178;17.346914;19.12746
26.700226;126.36825;67.488525;9.819792;13.9305935;43.209064;11.718723;4.503724;8.732163;16.845312;19.52589
28.097956;128.45808;62.18352;9.320753;14.967508;41.475735;12.76821;4.8112993;8.140522;18.545895;22.206074
36.963127;146.93996;75.35231;12.388648;17.858118;48.542267;13.0696535;4.7992897;9.129478;23.209116;20.553972
