2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
36.34102;131.22571;68.82556;11.156116;16.695541;44.266655;13.185572;5.547711;8.672531;18.351416;22.706211
35.066822;141.23634;70.640335;11.015189;17.159264;50.096413;11.7541685;5.531396;8.577776;20.016909;19.995686
28.74876;144.98271;78.69032;13.946319;18.484829;41.079445;14.426416;5.3981214;9.400664;22.546974;20.709738
32.65394;161.9583;74.03113;13.685094;16.16016;41.949875;14.76517;6.0166607;10.324654;21.793686;21.602255
35.385098;138.63478;76.583145;11.188385;18.937716;54.53478;12.971465;5.100059;9.770586;22.461086;21.652122
32.41834;126.440506;74.225266;11.876479;15.800511;39.940624;13.76379;5.082793;7.8241754;20.87611;20.623667
27.705132;150.72272;68.96782;10.387245;14.198966;36.8062;12.062494;4.8425636;9.024151;18.415876;21.206505
24.294409;144.72217;67.25212;10.787833;15.670203;41.661003;13.161301;4.725748;6.7953677;17.549948;18.656483
30.140503;133.51099;61.25109;10.39539;13.405957;39.87431;12.50426;3.8829803;8.014472;14.589941;20.93437
28.824574;116.98525;73.333176;9.595199;12.366155;42.33364;14.164279;3.9992454;7.8395166;18.332914;19.315138
31.90742;138.17033;65.64902;9.732822;14.562657;35.357704;12.628837;5.1464605;10.081196;21.559998;23.934164
36.812305;139.53317;81.78167;12.475457;16.873188;44.17395;13.709892;4.9530077;7.731169;21.02284;23.456402
34.430187;122.28245;66.18096;10.229373;14.709798;43.439667;14.046256;5.2753334;9.539677;20.71383;18.153948
32.549637;128.89157;62.772507;9.488372;13.349919;36.86708;11.732665;3.9207366;8.673319;17.668041;19.632208
23.923433;133.81044;64.45629;9.6839485;13.69855;43.48502;11.511238;4.575469;8.377363;17.641525;20.29489
27.78201;126.71427;63.51355;9.14111;14.821866;40.302094;12.010447;5.021183;7.883517;15.60506;23.481243
37.301537;152.93257;75.49123;12.053407;17.083197;44.68334;11.816898;4.74473;9.527519;21.92324;20.43947
28.56899;143.2577;87.509895;11.268425;17.32648;47.777145;13.666758;5.378898;9.623172;20.358654;23.381016
36.336445;148.21124;71.56335;10.618337;15.046107;36.427746;10.324205;4.253726;9.653344;20.61703;19.037266
32.01926;100.822655;57.216003;10.149486;14.521122;36.376347;12.308287;5.006612;7.6157947;17.629887;16.725761
29.299156;133.0143;52.17417;10.132444;13.352566;33.034195;9.418661;4.5451007;9.362515;16.072332;18.970306
26.551037;116.82935;65.281136;8.933296;16.307972;40.110397;10.235011;5.1552534;7.4675646;19.49861;18.660892
34.57656;129.59619;75.958855;11.51441;19.39413;37.02921;13.480862;4.586114;9.433741;22.78451;18.88747
39.656876;159.32439;73.79219;14.2507515;18.51918;48.633694;16.336185;6.43258;11.59231;25.870712;25.778923
36.45393;163.92418;100.90161;14.484161;22.529034;62.16876;17.34593;6.366532;12.358227;28.014914;29.283508
41.303303;183.39165;109.82511;14.882345;22.857634;66.15722;17.452751;6.8040714;13.955963;24.809793;31.887371
43.92687;200.60512;97.538704;14.639853;27.014603;68.73113;16.665539;7.397268;13.615722;29.56709;31.023401
51.81294;183.16013;113.963615;16.11221;25.120071;51.445362;18.77992;6.222602;12.232103;28.055792;34.60072
51.957836;209.82478;96.52354;15.487828;23.993816;55.39132;17.193739;7.635573;12.352209;28.359715;30.46722
47.0026;179.8469;101.44829;14.935966;21.388163;55.85294;20.130917;8.528131;12.193467;24.70765;30.141745
38.91607;156.56787;90.25916;14.111397;22.95688;56.478535;18.3283;6.4582334;12.806818;24.19987;32.80873
40.854275;184.77647;100.74455;13.682865;23.958523;60.069157;14.861736;6.8244634;10.260645;28.1362;27.70176
38.057407;157.35669;82.396675;14.128253;22.322197;49.52621;15.251072;5.9743805;9.57513;25.037897;26.592016
37.774895;146.80148;90.506004;11.367417;20.131737;68.49104;16.062744;6.456773;11.638605;25.620716;28.816326
40.350662;219.27667;94.62349;16.636011;23.690012;56.370907;18.418364;6.7416787;13.483052;29.151497;26.278126
41.1554;211.46535;108.16384;15.011554;21.198137;62.856224;17.574606;6.3498445;12.308546;29.998686;34.06327
