2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
20.767857;77.62898;44.29515;6.5396976;9.528352;24.622843;8.524744;3.748555;5.034275;12.42788;12.356102
21.743399;82.919525;42.97921;7.0689254;10.841223;25.794079;8.266142;3.427453;5.4414573;12.402669;17.958708
22.66632;109.3236;57.2235;7.203736;12.778808;34.61803;9.779438;3.9223754;6.189154;13.723182;14.120285
22.691778;95.841896;59.4751;7.74059;14.3276205;30.18018;9.733688;4.1418214;6.214302;12.095319;16.220682
25.857023;85.314415;47.280163;9.26672;9.80652;29.45516;9.671875;3.833169;6.874103;16.542622;16.457186
19.042137;98.757645;48.308945;6.7075267;12.63552;25.24926;8.47056;3.044552;5.1090474;12.208232;14.152673
19.611912;109.11902;50.426727;8.054423;9.549876;30.688963;7.473414;3.717469;5.883353;12.975315;15.083382
21.640045;86.088745;46.072914;7.4194574;10.000368;28.09471;7.1123996;3.011362;6.197779;14.342349;14.164123
15.23217;61.123608;36.37303;5.130294;7.556267;21.581846;6.2344403;3.2215126;4.889052;9.248465;11.038865
13.525341;63.694897;26.11527;4.3418474;8.372905;19.18215;6.2130127;2.5974011;4.295679;7.943257;9.459489
15.866118;58.838158;26.087532;5.1850195;6.72247;18.87767;5.075609;1.9879627;3.953168;7.934164;9.717243
12.916063;48.391724;25.455822;4.168898;6.285374;17.246891;4.9369574;1.9592848;2.9222317;6.538488;7.268705
11.871412;50.64891;23.908365;4.1348224;6.740783;16.641632;5.831094;1.9338145;3.4727871;6.606033;7.942482
14.740339;45.185993;23.66348;4.8558054;6.9599104;16.54296;6.211222;1.9439834;3.8957107;8.595856;8.78214
15.932119;71.68043;30.86758;5.4679694;7.8957095;16.86121;5.7139645;2.45028;4.297942;7.6835723;11.3799305
16.899227;74.70644;37.731342;5.7948136;8.529429;23.131361;7.63336;1.9602718;4.809136;9.814964;11.184503
20.176645;88.59109;42.155178;6.312882;7.505056;23.353857;6.762284;2.5657775;4.305355;12.945301;14.687375
19.523735;78.30918;41.965755;6.916893;10.796781;27.544802;9.240706;3.2697554;5.915154;13.155676;14.367053
19.479002;89.04047;43.37032;5.558222;8.723011;27.797754;7.7515306;2.971848;4.646679;11.291676;14.401797
19.074585;107.72786;40.290146;6.222683;10.5444975;27.831282;7.5960193;3.6743279;5.479416;13.764256;14.14573
21.72078;100.442375;50.821144;5.722446;10.909606;25.734926;7.3719225;3.428976;5.8733478;11.046023;16.830389
19.92177;84.75996;40.62218;6.300799;8.876855;26.37578;7.52374;3.241033;5.8806195;11.076971;11.379372
