1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
96.55882;45.149723;32.403778;33.949097;33.79385
115.703995;40.61027;31.98353;31.087519;26.829536
143.41092;64.832115;40.82496;0.0;37.004284
153.1654;0.0;47.429577;48.315662;42.606937
151.22812;73.03565;0.0;49.61307;0.0
105.472565;44.879795;34.865086;36.9255;31.92383
107.57564;47.235928;34.54297;27.775663;38.07186
122.875046;60.951443;40.219612;40.123222;0.0
82.20661;34.518463;18.816126;26.913008;23.302065
89.760376;0.0;26.100595;28.786148;28.237175
68.33086;27.863483;21.874851;24.716223;19.685179
57.0793;21.97928;17.670015;18.287928;17.090273
57.482994;26.544624;18.589169;20.06516;19.19702
63.519398;28.185534;21.11928;21.620583;18.3647
72.13962;33.9026;24.790789;22.47978;23.8225
97.85047;39.95262;31.143126;0.0;28.23051
113.46889;48.25989;31.508146;29.621117;0.0
97.59221;40.44513;26.762638;29.156712;29.520016
99.7551;45.723705;33.420242;29.789839;32.236702
113.9927;43.176323;28.512022;34.33752;31.23901
106.713776;45.692013;29.110703;35.26649;32.330746
98.76124;45.226074;29.341156;30.882235;27.437693
101.18061;36.619602;23.718395;24.29253;29.554674
85.34467;35.99954;26.115387;23.30366;32.877216
96.80332;40.015232;22.978657;25.517906;25.271803
106.45719;46.99944;0.0;33.220757;29.85091
98.424126;49.299614;30.405985;26.109394;29.265745
97.3115;45.53644;29.572193;29.817131;32.817493
87.93644;42.37416;27.579304;33.00537;31.303509
80.40976;34.897827;25.013939;24.67298;22.688158
83.93183;38.871952;28.10783;28.962944;22.591957
81.121765;34.728348;25.305317;22.30819;29.08341
71.37334;34.18752;17.515318;24.043976;20.760141
67.053024;27.830349;23.133718;22.049793;17.18642
63.12576;26.714308;20.58154;24.172373;0.0
53.081665;22.082853;18.96113;16.202187;18.642662
65.86664;23.76357;20.585457;0.0;19.289637
63.64231;31.224712;0.0;22.95343;21.115597
73.151375;36.867756;24.370762;28.425602;0.0
0.0;53.397747;36.946728;38.68254;41.991627
81.37067;40.507236;22.602335;27.194712;28.830246
94.837875;42.63126;27.614317;26.260601;24.845167
83.61778;41.06557;27.879536;25.54154;26.948711
107.08203;36.947346;30.137083;26.229334;31.457458
0.0;97.41696;0.0;69.80912;70.68374
89.42656;35.8889;28.624079;25.645813;28.142826
