1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
106.26661;104.72399;101.25094;107.92063;109.59058
106.845795;104.70904;100.1614;106.71786;108.058624
105.375336;104.13362;101.633064;-1.0;108.51092
106.22359;-1.0;100.975235;107.3948;109.49323
106.135864;103.88381;-1.0;106.86737;-1.0
104.87367;104.67916;100.38276;107.26688;107.91396
106.26895;103.40113;100.79654;107.35016;108.15989
105.887054;104.95683;101.22831;107.31837;-1.0
106.07338;105.53489;100.78373;108.36165;110.100555
105.00423;-1.0;100.60035;107.03004;108.56802
106.20716;106.22563;100.89873;107.14422;109.00917
106.099045;104.778076;101.85615;106.8518;108.6146
104.903114;104.12523;101.99479;107.273544;108.98681
105.57608;104.04574;101.623375;107.311806;109.60494
104.63385;105.31733;100.43117;107.227135;108.321846
105.85972;104.58917;101.44161;-1.0;108.21145
106.27146;104.30792;100.76965;107.28828;-1.0
106.04977;105.64126;101.49996;106.92434;109.48167
105.419395;104.10753;100.25466;108.75047;109.07924
107.06728;103.90408;101.34052;107.5824;109.88438
105.7692;104.56483;101.10506;106.845245;108.96182
105.756454;103.458405;100.64801;107.216644;109.30464
105.658455;104.53305;100.60388;107.618065;109.76381
105.31249;104.4543;102.23856;106.85189;109.322235
105.86305;104.03763;101.58072;107.2113;107.86835
104.674034;104.13874;-1.0;107.63414;108.29847
105.385925;103.63735;100.97807;106.523415;109.27501
105.60343;103.933426;101.03525;106.83262;108.698296
105.96002;105.323074;100.831406;106.65016;108.87124
106.00152;103.91935;101.410515;106.22021;108.77835
106.640625;104.59179;100.82696;107.08052;108.86942
105.67274;104.79676;100.762726;107.23655;109.256645
106.4286;104.55842;101.704666;107.635544;108.0016
105.80479;103.218254;101.64619;108.33852;109.58403
105.84065;105.3964;100.45503;106.95057;-1.0
105.707756;104.32146;100.77523;106.93341;108.37938
105.84708;104.19591;101.10459;-1.0;109.783936
105.57382;104.15137;-1.0;107.42126;108.326416
106.34302;103.85497;101.13766;107.4166;-1.0
-1.0;104.49516;102.32248;107.21692;109.0384
105.8003;105.074356;101.54347;106.46471;108.72956
106.50166;104.69087;100.454956;106.39018;108.20045
105.8841;103.68776;100.86962;107.74847;108.530266
105.83903;104.19111;100.75219;107.0558;110.09002
-1.0;104.63515;-1.0;106.682556;108.62051
106.80269;103.97136;100.902176;108.08491;108.718605
105.60611;-1.0;100.70218;106.57437;109.66346
106.52885;104.32172;100.99328;108.025894;109.147736
106.00521;104.3467;101.08779;107.75857;109.54898
105.81938;103.837234;102.01584;107.79957;110.02653
105.91675;104.36505;101.13725;107.837685;109.82922
105.60711;104.49969;100.214096;108.242615;109.13659
106.55866;104.56089;101.732925;108.02662;109.5672
107.00749;104.93408;101.312515;106.94812;108.30401
105.16733;104.29967;101.8608;106.81199;109.348465
105.80335;105.14181;100.76882;106.9263;109.916794
106.941185;104.37092;100.86372;107.32134;109.60824
105.75222;103.71499;100.9444;106.57614;108.84426
106.235634;104.54677;100.58829;107.7069;109.439835
105.512794;104.813515;101.31749;107.085106;109.19285
106.087906;103.91841;101.081726;107.14094;109.4709
105.93153;104.24687;101.134285;106.69146;109.384445
107.08551;104.868935;100.40973;107.07581;109.507385
105.41302;-1.0;100.6421;106.453514;108.776985
106.2981;104.766785;100.8806;107.09858;108.03474
107.2015;103.85358;100.29474;107.43619;109.82716
106.14668;104.326996;100.556786;107.375015;109.248924
106.08464;103.973305;101.661896;107.09519;109.17912
106.78988;104.67568;100.49856;107.16452;-1.0
105.574295;105.20167;100.077675;107.54299;109.69031
-1.0;104.868576;101.83822;108.01045;109.25899
104.749664;-1.0;100.63007;106.42158;109.889885
106.32652;103.775154;100.364136;107.65724;109.73151
106.35258;103.834785;101.626;106.720505;108.371254
106.50381;103.51059;100.99569;107.68543;108.29942
106.10821;104.936035;100.32476;107.68066;109.26345
105.61819;104.914;-1.0;107.37651;109.042625
105.408745;-1.0;100.2922;107.008354;108.859535
107.08074;104.262215;-1.0;106.29885;109.340096
106.74786;105.16348;100.19136;108.062256;108.29595
106.516396;104.24402;100.359146;106.76249;108.7254
106.626915;104.658325;101.41273;107.43617;108.19693
-1.0;104.54433;101.83787;107.908226;109.228714
106.41864;105.15348;-1.0;-1.0;108.49547
105.55046;104.45185;101.6589;107.801186;108.78649
105.54245;104.37327;100.896576;107.445244;108.65989
105.88044;104.80039;101.03856;107.64514;108.383606
106.410614;105.92483;-1.0;106.88674;109.01152
104.859764;104.402336;101.37709;107.259636;109.314224
106.14947;104.91004;101.10628;107.015396;108.21258
106.060776;104.67711;101.38308;107.32361;109.37308
105.54284;104.41561;101.801506;-1.0;107.929474
105.830925;104.008286;101.025536;107.52329;108.917725
105.98168;103.41329;100.87102;107.32504;110.03051
105.748;105.37604;101.3209;106.58248;110.425064
104.899025;104.701355;100.914986;107.46103;109.51015
105.51601;-1.0;101.64848;107.0257;108.43863
105.30147;104.58763;100.827545;107.36839;109.07601
106.60528;104.08445;101.29475;106.256516;109.021454
105.73587;104.16091;100.29298;106.93549;108.9771
106.570465;105.43881;-1.0;106.412636;109.595146
105.98521;105.145584;101.153656;106.24238;109.43957
105.85516;-1.0;100.796814;107.32396;108.761955
105.68565;104.073845;101.109695;107.48087;109.476494
106.39047;104.69648;100.95153;106.44866;109.15429
104.46282;-1.0;101.21088;106.93615;108.81655
106.0798;104.624664;101.93245;107.299904;108.0869
106.013435;104.86008;100.586754;106.61732;109.29632
106.45457;104.5809;100.89095;-1.0;108.41771
104.64761;-1.0;101.353546;106.85538;109.57872
106.18595;105.39929;101.38398;107.052956;109.535706
-1.0;103.9061;102.1094;107.32798;109.400505
106.31692;104.74602;101.22901;106.70979;108.44533
105.91985;104.62679;100.796906;106.989105;109.09667
105.58992;104.58576;100.720985;107.36704;109.23693
105.816055;-1.0;101.27555;106.79463;109.832344
105.80281;104.807556;100.60422;106.9829;109.243385
105.256386;104.40641;101.45748;108.150024;109.38967
105.26522;-1.0;100.00683;106.70183;108.29801
105.7059;103.90198;100.64284;107.46108;109.07181
106.08655;-1.0;100.48591;107.6079;109.2259
105.971924;104.613594;101.2661;106.58531;109.172005
106.16864;104.64332;102.03576;106.26515;109.29041
105.33649;104.58419;101.17751;107.141785;110.82061
105.53853;104.64968;100.53904;106.33097;108.757195
106.59478;104.31448;101.41301;106.78866;109.18168
105.73614;105.73133;101.5512;107.870514;108.518524
106.18672;104.44162;100.93904;107.068985;108.75747
106.35381;105.410515;100.18833;106.951836;107.87979
105.29939;103.95247;101.24775;107.50878;109.23868
106.33995;105.23465;100.60623;107.09585;108.64642
106.270615;105.141914;101.46407;107.9184;110.21445
106.069534;104.62173;100.29431;106.86725;108.794235
105.91897;104.39911;101.21542;107.51324;109.656624
105.52587;105.64062;100.828514;106.03646;109.058205
106.51046;104.79305;101.389275;107.48294;-1.0
105.670944;105.16776;101.37133;107.31492;109.15423
106.32571;104.545944;99.58898;107.50931;109.316895
106.459885;104.58457;101.929245;106.351265;109.375595
106.990715;104.540306;101.305;107.44623;109.921
106.37838;103.784256;101.50737;107.102104;108.61676
106.48206;103.34263;101.31994;107.05204;108.94711
105.20261;104.31413;100.09874;106.9278;109.725555
105.084564;-1.0;101.94624;105.78543;108.63767
105.26983;104.57255;100.81389;106.41171;109.3866
106.44893;104.255745;102.2084;106.87906;109.67114
106.0159;103.84396;100.55477;107.08093;108.4266
105.401245;105.220245;101.589584;106.58082;109.97049
106.50959;104.75791;101.44505;108.00833;108.61726
106.639145;104.283356;101.996864;106.5706;108.523224
105.06151;104.390526;101.33404;107.129814;108.28497
104.87884;104.37893;101.24025;107.28738;109.33089
105.6948;104.119606;100.62776;106.5595;109.48251
105.38133;104.69825;101.03852;106.60328;109.01701
106.41252;104.21689;100.76711;107.48688;109.053925
