2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
16.511148;83.4249;38.39643;5.643887;8.739983;21.446135;6.3688555;2.607775;4.9729943;10.642016;13.045354
16.580898;69.54805;32.980297;5.0656605;8.907816;21.153149;6.8430495;2.8085837;4.0908194;9.618387;11.0507
13.994162;61.654034;35.217155;5.090259;7.3606596;20.145317;5.4666414;2.3759558;3.712532;8.586135;10.129015
12.988234;55.242676;30.660564;5.0432963;6.8014936;17.509047;5.640848;2.0088887;3.5002964;7.701856;8.812223
11.712918;64.14751;28.774317;4.0642085;6.8245673;17.227777;4.6823683;2.1320577;3.8092098;7.848897;8.200989
13.547221;57.21705;30.32648;5.096565;6.403366;18.863195;6.8531;2.3773196;3.8752913;8.827724;9.768179
15.739656;67.091324;36.624733;5.123718;8.367285;22.344467;6.145173;2.5659227;4.3869333;9.822674;11.266334
16.981709;77.51781;43.954784;5.890961;10.906591;23.72921;8.171275;2.6425216;4.9851475;10.395043;12.738451
20.129696;88.11257;40.28704;6.5357437;10.979284;24.930237;8.652219;3.1973872;5.3773727;11.34422;15.075256
19.748274;80.56541;43.16448;7.0694747;10.654017;27.516926;9.1116705;3.6754513;6.144626;12.3660755;13.129903
23.147831;95.475296;49.239277;7.375901;10.317518;26.483356;8.445859;3.2557015;6.3277802;11.071186;13.974161
20.203266;93.07935;43.49371;7.827099;11.846089;30.724339;9.286497;3.5731225;5.925899;13.639153;15.560277
22.04607;97.31473;52.28901;7.332949;11.360169;27.02901;9.578268;3.6517537;7.2579956;14.3645935;14.4993515
21.596786;86.17626;49.068993;7.078926;10.12884;30.449665;8.92934;3.4322972;6.546735;12.97274;13.483404
20.835499;83.66695;51.928375;7.8714027;11.049803;28.784668;8.262481;3.1109052;5.189599;12.207162;14.001654
19.530062;81.31802;39.587765;6.5336866;9.828281;26.5009;8.03573;3.298455;4.903693;11.711441;12.006365
17.010963;82.85476;40.582146;5.973402;10.721684;23.322472;7.831502;2.9011495;4.999749;9.928094;10.384794
19.240871;93.89357;45.546856;6.3781214;9.0777;27.712498;7.3533325;3.2998881;5.871426;12.82184;14.2932205
21.441555;83.70032;38.63651;6.871724;11.356298;29.357937;7.908567;3.2332988;6.2194767;13.757483;13.101794
18.154139;93.64714;50.463066;7.6995726;9.75192;27.32597;8.496969;3.6549137;6.440777;13.762909;15.149809
19.24331;84.62046;43.2363;6.923603;11.61987;27.485407;6.972249;3.0617633;6.037521;10.967722;13.01588
16.791218;75.28669;42.204876;6.8670983;9.533952;26.699316;7.251876;2.820579;5.5125437;11.099998;13.524115
19.938204;87.27941;37.72488;6.0621963;9.461481;25.631113;8.145552;2.7752852;5.1665115;12.585623;12.444493
18.116093;81.97557;36.69233;5.456051;10.0692625;24.829159;7.985343;2.7984846;5.598463;11.744641;13.337809
18.754509;70.59922;36.91537;5.6780915;8.745027;24.959625;7.4785028;3.104135;5.566436;10.953239;12.501509
18.205929;73.48267;37.68875;5.688899;8.833565;21.001955;6.6961975;2.658091;5.1347365;10.718284;11.396012
13.678133;67.991295;30.522533;4.9731426;6.8849745;20.09323;6.7592325;2.5323784;4.1721873;10.178121;10.24231
14.9626465;65.957825;32.151726;4.865764;7.4829493;20.012651;4.9993076;2.1581562;4.097247;8.8946295;10.435961
14.819247;61.700623;31.05253;4.8862724;7.134351;17.326;6.2749557;2.217527;4.411338;8.649599;8.80575
15.371793;73.46098;33.549057;5.0700645;7.062635;19.528809;6.9320173;2.062619;4.462387;9.366774;9.66619
17.47176;79.24538;35.614853;6.1479626;9.315777;23.638103;7.086573;2.5248938;4.9195905;11.05061;11.797094
20.160833;82.324715;43.30237;7.6145477;10.497973;29.905584;8.762124;2.9509544;6.2459865;12.550448;13.9578705
23.098316;97.244675;47.596004;7.1135736;12.028551;26.563318;9.168158;3.3181522;6.0475345;14.050326;11.389081
23.985859;90.98928;50.291706;8.3234825;11.546818;32.454784;9.251582;3.7434497;6.4243402;13.9596195;16.310184
21.274426;99.19702;53.830547;8.24686;12.195371;30.990366;10.058642;3.7665973;6.070835;14.162036;16.393032
21.464283;91.14713;56.657715;8.142941;13.407588;34.770863;8.625637;3.7279675;6.5879107;14.294049;16.398571
21.496355;99.04449;57.27658;8.068719;11.518313;30.436176;10.008066;4.005076;6.247595;14.242136;16.804401
23.94528;96.69023;56.06143;7.141706;12.703621;27.953506;9.075454;4.130622;6.072257;14.086917;17.03669
22.075266;91.20593;56.49546;8.225564;11.672048;29.029602;8.548174;4.2750916;6.91567;12.131586;16.286076
20.070911;93.034134;40.203068;7.7765093;11.154097;27.924831;9.534441;3.3824596;5.357334;12.274473;12.830274
21.294281;93.30215;39.988136;7.477481;10.521105;29.20074;9.133648;2.838379;5.383777;11.778835;13.801312
19.853853;85.44452;43.844105;7.075114;10.789914;30.49776;8.97453;3.1766312;5.3220325;12.378588;16.693867
21.505241;99.73358;45.905502;7.856414;11.497289;31.25671;10.207041;3.9490962;6.744727;16.860537;14.102163
23.196579;92.45589;48.581078;8.338465;11.084363;32.506218;10.07109;3.4587033;6.9866614;13.298599;13.746562
20.599247;93.58226;46.548035;7.4063544;11.322667;28.053522;8.431988;3.4169204;5.88032;11.972531;14.8745165
19.569307;86.34021;43.97938;6.357901;10.466978;26.587032;8.629439;3.005282;5.703909;13.363024;14.705797
18.664982;88.58345;41.34159;6.42896;10.102961;26.14652;7.5848618;3.3386307;5.687448;12.297981;12.87575
19.86684;87.44719;35.98512;7.0166063;10.109213;24.436003;7.794589;3.5527592;6.0691404;13.661758;12.434326
19.775185;81.97975;45.005287;6.9085846;10.013082;25.384706;7.461001;2.8215823;4.8895583;10.929425;12.072469
17.411013;83.05515;37.881348;5.900958;8.211539;23.297138;6.6687727;2.5524657;4.428488;11.212602;11.255386
14.11647;65.30448;36.13664;6.001054;7.860858;19.004438;6.6688547;2.444678;4.648764;9.588747;10.560146
15.230245;60.257668;30.55325;5.339131;7.2020006;17.55128;5.6432486;2.2119274;4.119669;8.742727;9.445955
15.576372;61.382988;33.036064;4.153647;7.5857406;20.693188;6.0624514;2.260183;4.3832364;10.063337;8.598902
17.08684;67.75343;33.834908;5.3202095;6.9852333;21.376041;6.5990257;2.464482;4.0845814;9.367717;11.412183
16.78019;73.69184;41.45823;6.3220177;10.252623;24.081097;6.47862;2.730394;4.958069;12.041086;12.357315
18.438469;82.84096;38.432026;6.816947;9.699221;28.138432;8.466455;3.0375867;5.304055;11.633547;14.07052
21.664093;89.836464;45.235542;7.328893;10.988635;30.465134;9.241522;3.1507053;6.158121;13.799932;15.741496
21.747255;87.96217;54.397633;7.732044;12.57863;31.846817;8.812522;4.0091124;6.3815165;13.29055;15.505926
27.793888;101.79051;53.683735;8.442495;11.303465;29.827902;9.639363;4.349398;6.4002085;14.396433;15.171521
18.9145;104.319336;45.879482;8.153711;11.261053;36.176414;8.953555;3.482429;5.6326075;17.332561;17.011242
24.485989;83.49447;53.83493;8.45417;10.329391;31.23379;9.203661;3.8539538;7.0051103;13.780312;16.531582
23.085766;113.8772;49.246414;8.217061;13.531209;32.12713;9.281094;3.6928773;6.4128637;15.168394;16.398018
21.067318;94.40407;46.37769;7.047718;11.914731;30.74466;8.533812;3.4698677;5.919501;13.507727;13.058945
18.305906;95.45201;47.201305;6.895106;11.80125;26.275864;9.775053;3.4979446;6.059458;12.900053;13.041769
22.693665;83.8897;43.53304;7.0329237;9.460009;28.518734;9.387658;3.3323162;5.467551;11.711553;14.107855
21.756577;91.18875;44.78305;7.3415184;10.681626;27.570797;8.956253;3.5187573;5.468928;12.22489;12.892036
20.395517;91.35657;49.71628;8.136956;11.559526;27.64302;9.205127;3.4327989;5.624452;15.512568;15.307022
20.061495;105.32994;49.073784;8.950788;11.979462;30.650726;10.4827175;3.383725;8.046251;14.738782;17.06615
22.6034;88.69292;44.358177;6.72465;10.158203;28.516048;8.67101;3.504514;5.3825564;11.711838;14.78417
17.118687;89.56545;47.097485;6.070778;9.622185;28.152973;8.18595;3.1749966;5.2063;11.329439;12.359071
21.151684;90.4095;47.3935;7.585505;10.191941;25.982233;7.7641525;3.0929196;6.106948;12.689291;15.151425
21.006893;89.5827;49.30545;7.0650454;10.054963;26.746456;8.23641;3.236066;6.063951;13.203099;15.02346
18.22953;79.89586;38.47985;6.6088743;8.777698;26.357937;7.2424226;2.9621959;5.454797;10.414559;11.445124
16.224998;74.14505;37.677258;5.6374173;7.951535;24.131617;5.9908643;2.5606897;4.2172275;10.824347;12.121748
15.040293;66.05662;37.076912;4.8900156;7.3343077;24.320599;6.2047286;2.799663;4.1055775;9.478024;10.1365595
16.75191;66.22687;29.404398;5.3206997;8.158522;21.411325;5.979556;2.1881423;4.186656;7.8245506;10.215897
13.615059;59.742535;31.436956;4.3341007;7.1110086;19.034193;5.65972;2.4091473;4.1979275;8.289671;9.190492
14.805217;64.33253;36.8236;5.1956363;9.576118;19.109428;6.3445077;2.3396764;3.9324365;8.616549;9.113518
18.165766;78.0439;33.957527;6.10923;9.674243;22.98418;7.2403107;3.0774016;4.609498;11.971945;11.012317
19.498707;80.87159;44.220398;8.335879;10.952126;26.231003;6.9054785;2.9556143;4.604709;12.922195;13.507446
21.293983;93.61839;44.571907;7.3885446;10.931112;26.301388;8.190451;3.642424;6.740512;13.479773;14.474925
23.408678;102.40184;52.903625;9.745069;11.777943;29.179886;9.409276;3.7752662;5.9237714;13.182405;18.540337
25.57466;121.12246;55.45582;7.7091436;12.231621;29.396814;8.858656;3.791909;6.6211615;13.430662;16.966608
25.002552;101.519455;49.972427;8.530134;11.200762;32.76839;9.704882;4.283698;6.350189;14.81201;17.305605
22.511835;97.84851;51.47649;9.994025;11.243199;32.279156;9.809831;3.8826241;7.0802298;14.043208;14.281871
20.861704;92.97329;50.281162;9.180623;12.633097;32.55526;9.480801;3.7423558;5.8275995;14.181412;16.20525
21.928066;93.93338;48.624645;7.993087;9.565401;28.990551;8.789535;3.8897138;6.695492;13.827097;16.038633
18.32948;96.368416;41.772934;7.114844;10.228523;29.794247;8.769653;3.0079606;5.864211;13.181953;14.122065
20.656803;71.82143;45.769295;7.609565;9.064711;26.710653;8.256075;2.927137;5.811503;13.026606;14.418805
21.471916;88.106224;42.924614;7.182573;10.672637;29.649845;8.58947;3.3592331;5.291408;12.4604645;13.7227
23.99603;92.473015;49.017696;7.8728347;10.526036;33.16685;9.281794;3.7220066;7.5347457;14.784187;15.556714
22.9396;99.61638;45.003014;7.502303;9.988008;29.423264;8.903898;3.3751988;5.8560286;12.157432;14.506119
20.715614;93.26628;48.00195;8.092032;10.909082;30.468658;8.546968;3.5329022;5.4936056;12.457727;14.537662
19.269787;76.10677;42.398838;6.7855773;11.354203;26.255978;7.4502363;2.966647;5.803615;10.849755;12.355162
21.62462;97.79055;41.664036;6.367122;10.77523;26.730993;7.955053;3.541893;5.748235;11.895283;13.740642
18.447691;95.5267;42.29859;7.8616805;10.939541;24.117283;8.236293;3.178484;6.4785714;12.2315445;13.700607
16.991055;71.37137;41.81723;6.2749763;8.692495;26.158752;6.989985;2.7844353;4.769261;10.5018215;12.453283
15.619768;75.948265;39.787548;5.163439;7.9387007;22.114632;6.425251;2.7529855;3.9104664;9.970067;10.864468
13.804791;75.46596;33.743156;5.359887;8.091332;20.308537;6.9242754;2.080845;4.233833;9.298453;9.808838
13.357669;69.523575;28.71665;4.73438;7.240916;18.04756;5.7704425;2.0436795;3.7104487;8.099398;9.982373
13.476499;59.506306;28.40163;4.307832;6.703295;19.112226;5.4576263;2.3202133;3.5108001;8.177715;8.637175
16.198471;64.79469;32.25997;5.5274744;6.8888946;20.534588;6.427073;2.362974;3.9872193;10.100121;9.921217
15.122927;68.13139;38.417168;5.2621994;9.641854;23.759384;7.079493;2.4768722;4.3028994;10.975098;12.644955
21.345818;81.31907;41.89478;6.4629035;10.327513;29.45669;8.260754;3.4343448;5.181329;10.126501;11.890832
20.865896;93.75208;42.532913;6.898841;11.35829;24.895891;8.194263;3.209206;6.062386;12.740063;15.34198
21.384136;89.69711;47.592785;7.2211075;12.381737;30.904682;9.0626;3.5882115;6.138914;12.131605;14.091283
21.54039;111.64899;48.232155;8.611842;11.582298;29.173676;8.687746;4.197077;6.383299;13.329153;14.443721
22.533863;107.66844;50.183292;7.7104096;10.691252;32.813965;9.540513;3.8844235;5.973459;14.095029;14.856054
21.263935;89.398926;51.828613;8.456738;11.222944;29.281464;10.4029875;3.9784024;6.4395943;12.104861;14.397499
22.291552;89.76512;51.2493;7.939626;12.118404;30.676636;9.436155;3.3508751;5.9123554;12.571441;15.552249
20.395008;89.411766;45.12831;7.712655;12.58263;26.37172;8.128348;3.3574855;5.187588;11.772605;13.515654
20.713606;87.799126;43.307636;6.299537;9.669446;25.951239;7.444743;2.9997003;4.6748753;11.229291;13.67153
18.769909;75.73128;44.961212;6.9486933;11.45187;24.725697;8.638082;3.122401;5.271513;10.561645;11.69038
19.62102;88.28221;43.07948;6.5168023;8.748983;24.665022;8.841595;3.4382908;5.372075;13.198837;12.185725
23.897106;92.2564;51.96308;7.677987;11.605291;29.63858;8.960981;3.568747;5.42958;13.21895;16.299952
23.874144;89.750046;43.70305;6.862912;11.2239895;29.931091;7.661653;3.4712224;5.794593;13.108737;16.342335
18.13671;78.96899;46.153328;7.130988;11.045218;25.921284;8.051273;3.0469365;5.7609954;14.584096;13.797842
18.67586;80.224335;41.307076;6.4521036;8.536079;23.738667;7.2597375;3.3310027;5.2432814;11.990243;12.245779
18.271244;81.33848;44.5083;6.591115;10.73905;24.21616;7.3531427;2.987162;5.817246;11.50484;13.032559
18.520716;79.51907;41.136074;6.431253;9.768153;25.80832;7.3836374;3.2112536;5.4499464;11.822061;13.199966
14.4926815;63.75421;29.682302;5.6413717;6.6981344;20.466787;5.9643164;2.9675603;3.9987953;8.456864;10.102109
11.935808;62.77923;28.888783;4.558054;6.171609;20.32826;4.826474;2.185793;3.7275074;7.7147307;10.270323
11.289531;45.42105;28.51651;3.8268173;6.9466453;16.950785;5.5793104;1.8834518;3.4699154;6.670305;7.5714507
12.071268;48.161293;26.17814;4.076204;5.9094896;13.983782;5.18811;1.7440326;3.6475055;6.8992624;7.4554214
11.161264;49.999916;22.599422;4.0702286;4.9034586;13.613144;4.0680037;1.7405962;3.3606682;6.2476583;7.0791597
12.487963;49.19947;27.106033;4.031042;6.4389524;16.477379;4.900484;1.6712831;3.427684;7.7035737;7.7358294
14.380241;63.552094;27.728115;4.5812325;6.8144903;16.1083;5.522033;2.2912278;3.381843;7.8561378;9.317221
15.338356;67.149124;39.41119;6.491193;7.430604;20.346321;6.629512;2.492163;4.2968493;10.405979;9.611588
16.408878;66.46446;38.51315;5.7870255;9.010832;23.529404;6.914743;2.9969907;4.763577;10.247996;11.263741
16.911064;79.60068;36.87153;6.041827;9.436529;24.545916;8.501513;2.6680884;5.169924;10.917906;12.412253
20.029627;78.16673;37.850365;6.7572823;8.401709;25.753712;7.934461;3.3800602;5.4858823;12.093611;12.573951
16.881678;90.86468;42.367027;6.354675;11.553135;26.151926;8.004809;3.2388692;5.590709;11.925871;11.98788
18.751791;85.09059;36.70899;6.6207795;9.181208;22.106985;6.9610147;3.247479;4.830348;11.066724;12.497814
18.913813;78.17246;38.726677;6.2684608;11.268455;24.55412;7.8994017;2.9105437;5.117916;11.775415;12.282238
15.9154415;68.60448;37.925793;6.631944;9.258413;22.735434;6.639013;2.9626834;4.728868;10.170646;12.360757
15.084192;74.973206;35.06752;6.053585;8.455651;20.037083;7.584651;2.6774316;4.861882;8.993291;10.781739
15.040761;68.88737;33.654293;5.535212;7.967201;22.169592;6.521154;2.4704192;4.949649;9.231962;10.988676
15.358543;73.63466;38.367554;5.911329;9.042209;19.594946;6.604228;2.644765;4.337661;10.934088;11.444109
16.596434;77.26397;38.198196;6.4242425;7.715224;24.312557;7.4812303;2.6618428;4.8899784;11.219933;11.886255
16.967693;82.06981;43.041283;5.9811;8.308905;25.46441;6.662768;2.9345088;5.379525;10.341334;12.904251
13.692517;69.34506;42.08945;5.642067;7.8143287;21.288326;6.8824983;2.6122735;4.3301344;8.541626;11.21179
14.698664;65.54235;37.097176;5.765663;7.7289376;21.770418;6.4645967;2.77741;4.1962047;9.614718;10.417803
14.7304;63.93772;32.306873;5.570405;8.565981;20.72015;6.4350233;2.402477;4.6276927;9.559852;9.749743
15.469098;64.44356;37.661964;5.750869;8.61521;21.650476;7.0748587;2.333546;4.6900063;9.276252;11.063861
15.007688;54.707558;26.273947;4.4614735;6.1557536;19.281406;5.602389;2.1853669;3.730285;8.395651;9.336627
12.154522;53.887703;26.282497;3.690211;6.2837877;15.547037;4.9148145;1.7505703;3.3841815;7.825076;7.661725
12.454471;42.21009;22.22331;4.1424646;5.6714363;15.642964;5.1676373;1.758886;3.3998847;6.3328137;7.627352
10.232584;45.06201;22.194485;4.1421423;5.5207057;14.020361;3.9345257;1.4371934;2.5881653;6.3118815;6.9693923
10.809673;45.394054;20.84314;3.7241225;4.816749;14.604718;3.7908707;1.6381449;2.7459638;6.378024;6.3908296
10.842913;44.48193;25.121456;3.7137551;5.516715;14.092366;4.5581317;1.7410295;2.8479788;6.457759;7.6619086
11.172301;55.860645;23.77486;4.1909847;5.800141;16.522305;4.7305017;2.127216;3.4111843;7.370536;8.125271
13.596225;58.48501;28.123356;4.861436;6.845665;17.800821;5.9101048;2.2375555;4.2590647;8.661849;9.158237
15.068248;67.68697;35.7405;5.2751474;8.744635;21.781757;6.442031;2.3041048;4.7870035;9.61409;12.3209715
15.284511;69.78416;32.46393;5.318309;8.486463;21.383667;6.755105;2.7920008;4.4466076;9.083453;10.128691
16.206226;76.0358;34.384712;6.1162863;8.140078;22.499834;6.6930184;2.3289733;5.1429453;9.651559;10.055685
16.621897;66.77649;40.98098;5.570548;8.452684;23.823978;6.449898;2.753684;4.609261;11.126957;12.435845
15.242537;74.78478;39.675793;5.445855;7.9431496;23.071682;7.225702;2.3182082;5.2516246;10.209385;10.063843
16.457342;78.5937;34.89799;5.607831;7.9398146;21.71021;6.983733;2.7690244;4.512843;11.401532;12.603038
15.014636;60.045155;33.368713;5.6809554;8.096699;20.952223;6.542585;2.3539007;4.441551;8.33373;10.11525
13.089727;65.98909;31.896194;5.118112;8.173135;18.718328;6.473161;2.3437526;3.57647;8.1262865;9.944968
13.374483;58.1503;31.385975;5.2511106;7.274254;18.92871;5.531558;2.1560664;3.966175;8.548926;8.590126
15.274916;66.445145;33.89755;5.096122;6.7193804;17.84207;6.0381064;2.194625;3.9391434;9.23623;10.94303
13.844725;72.384865;32.396065;5.524773;7.2167916;23.561848;5.877246;2.5428004;4.1929965;10.654397;10.780774
15.8511305;68.21798;32.373722;5.644617;8.146496;21.709974;6.5437407;2.4429557;4.5218363;10.0046215;9.233116
15.54476;65.9844;32.979595;5.6367064;7.8665953;20.392826;6.431483;2.0843058;4.0902314;8.9993;10.287772
14.473674;59.357094;31.34853;4.863591;7.3685813;18.82573;5.8806252;2.377667;4.446344;8.196962;10.594564
15.814995;64.11416;32.48168;5.588843;7.0903234;17.412958;5.8720355;2.5202944;3.7294114;9.029475;9.137661
15.0481;58.369183;29.10697;4.6401515;6.735589;18.656708;5.951262;2.2350662;4.4245963;9.654295;8.7531185
20.767563;83.79978;38.173176;5.038503;7.9986353;23.494745;7.373561;2.8496184;5.444501;9.678031;10.57509
14.55999;73.38948;33.409153;5.203311;8.318882;21.551277;6.9965463;2.473124;4.107944;9.382383;9.326426
16.024197;58.341816;32.805397;5.65641;6.5250196;18.926525;6.253271;2.2805858;4.037034;8.220413;10.377092
13.094595;52.08689;31.226679;4.594265;6.878093;17.196934;5.4188366;1.9507517;3.3921876;8.510107;8.558652
12.977977;56.1103;31.623978;4.3183703;6.599025;15.950763;5.348158;1.9922655;3.8395538;7.828887;8.808631
12.671788;55.78836;31.35848;4.564681;7.242036;20.295286;5.9351435;2.336848;3.8489716;7.988478;9.187269
15.11127;65.216064;33.238384;6.049268;7.434825;19.71623;6.889205;2.2879546;4.5301237;9.6332445;9.701361
19.975826;86.86094;41.44747;6.865729;10.052031;23.068512;7.460311;2.7540832;4.7807875;10.357909;12.667498
19.815216;86.78715;44.770645;7.400985;9.926535;27.694332;8.658944;2.9972396;5.7166505;12.800532;13.473241
20.428917;82.90477;46.47627;7.3360353;9.559632;24.573757;8.650151;3.5621057;5.6860347;12.37265;14.61678
21.234806;91.5638;47.818127;7.229247;11.446826;29.030512;8.077314;3.380979;6.437957;12.86125;15.236588
21.827824;104.89766;52.97342;7.437036;11.019048;28.661911;10.154406;3.3212895;5.7399335;12.76396;13.859123
21.68076;91.68016;45.634518;6.695817;9.796583;30.420969;7.900589;3.6791286;5.657247;14.403598;15.845522
19.600609;96.0648;42.680695;7.362728;11.263998;27.24177;9.073687;3.51305;5.9530826;14.21386;13.416986
19.621862;87.419525;39.51163;7.1190095;10.971994;29.97768;8.441759;2.7619052;4.9125614;13.281158;14.196132
16.80767;72.955246;40.63019;6.401531;10.404061;25.99473;7.2449045;3.2381446;5.9652534;12.578532;13.996408
17.060223;75.397255;42.510864;6.714392;9.247286;25.562704;7.0781174;2.9949186;4.4451566;9.55334;12.438272
21.58436;90.75392;38.853035;6.026962;9.850889;28.32842;7.7710724;2.730645;5.299969;11.975077;13.387899
18.948593;84.24721;51.92208;6.847586;10.532656;27.499994;8.728384;3.5997157;5.4881353;13.17634;13.595326
21.907278;90.48448;45.90864;8.048998;10.07826;29.613113;8.25128;3.5907555;6.0737963;12.495099;13.407718
20.509008;85.88883;37.54353;6.8000793;10.818861;25.191946;8.081527;3.1544642;5.738545;11.540659;14.659666
18.52489;87.492226;39.63097;5.5283976;9.691004;25.236712;6.990077;2.6400104;5.222911;10.929678;12.45002
18.436642;84.328415;40.94993;6.7680535;11.706212;23.444769;8.514326;2.9327343;4.8065195;11.402713;14.344866
17.674728;86.22354;42.670433;6.162413;10.284487;26.725628;7.4094;3.062664;4.7203035;11.483759;13.640498
18.46502;73.562935;37.218204;6.4179306;9.468316;24.313055;7.4393244;3.0373704;5.2728376;12.701513;13.725401
15.80631;67.75031;39.02492;5.726579;9.163874;23.913385;8.022364;2.8379643;4.471855;11.20275;11.652002
14.834322;69.27441;33.219273;5.3079057;8.353915;24.160841;5.3546133;2.517161;4.4049397;8.625727;10.9342375
14.151764;55.85604;29.519787;4.934945;8.563684;20.995955;5.511955;2.359717;4.5728908;9.629773;9.220011
13.058667;59.30945;29.699167;4.4648094;8.072417;18.973236;5.9188223;2.1449401;3.8486626;8.863728;10.295284
14.907057;72.85803;27.584011;5.1260624;7.2338076;20.55167;5.4463086;2.4220276;4.186066;10.431554;11.008198
18.241863;78.08872;36.55469;5.3233933;8.512895;23.275242;7.6366234;2.70865;4.6785083;11.598648;12.485073
20.50244;84.2997;41.034306;6.3142176;10.2779255;24.625452;7.6350594;2.9932647;5.7105803;12.124543;13.88975
21.955181;92.96916;50.78643;7.580831;11.05841;28.138815;8.269976;3.4586093;5.341347;12.134058;14.669451
19.247795;106.57677;53.81245;8.444056;11.646611;30.601944;9.151842;3.6038132;6.6484957;13.370453;15.043834
21.198452;101.70189;54.528004;9.194866;11.415745;32.546272;10.153803;3.6099448;6.952797;15.846756;14.574533
23.734798;100.406784;50.061703;8.009134;11.36328;33.241196;8.817981;3.4048953;6.9691176;14.833888;15.138428
22.119947;97.962296;47.364124;8.589235;10.056129;34.0456;9.000978;4.035447;6.1444407;14.369186;16.560558
22.956682;116.45315;47.712032;8.842271;12.034995;37.28869;10.706983;3.5354004;6.675611;14.876854;14.983645
21.91962;83.24977;43.594948;7.460818;10.640749;31.965572;8.672056;3.6177914;5.731022;13.812689;14.113907
21.956448;92.20893;44.991566;7.2886076;10.6202135;24.268894;8.53042;2.9980729;5.616019;14.239436;13.551851
19.213636;76.788734;39.66325;7.045514;10.824583;29.668747;7.9852743;3.2860706;5.049896;10.61072;13.259845
21.0387;78.3519;45.47026;7.769731;9.54457;27.017796;9.3477335;3.3970342;6.0432005;13.440718;14.052533
18.811855;98.66082;44.995415;6.8091593;12.186597;33.0243;9.468275;3.919162;6.131067;14.440112;14.742129
23.591251;96.11415;47.59306;8.081768;10.373923;27.029388;9.187224;3.4587917;5.6635756;13.705266;16.844595
21.67673;90.14164;43.10379;7.4033675;9.935181;27.576376;8.466585;3.4642951;5.7431154;13.710292;13.333715
17.881243;79.98213;49.299984;7.3650284;11.588189;24.089767;8.413206;3.1620147;5.2945976;12.6166525;13.733859
21.70317;88.330284;45.711536;7.8545685;10.908409;30.919092;8.570877;3.0337987;5.1714487;12.050803;14.529661
23.100002;85.778946;48.97649;8.078415;11.785967;31.704468;8.677645;3.238295;5.109638;13.034482;13.626276
16.668089;78.85445;43.513252;6.5397058;9.58108;26.583536;7.3497024;2.7140975;5.244789;11.271645;11.161125
18.676409;78.561554;33.659023;6.183208;8.33706;24.855898;6.8306847;2.4392776;4.91628;9.9960785;11.062336
16.075575;68.13605;34.444733;5.284417;8.166411;22.035275;6.648324;2.5712996;4.4205546;10.404187;8.730859
14.170805;56.997204;28.26355;4.6471267;8.305891;18.848068;5.8313513;2.122556;4.0053606;8.386194;10.776753
15.201489;63.00019;35.182827;4.5163546;7.3460875;19.114779;5.687016;2.3876154;4.2554593;8.9859295;10.56139
15.746016;65.91484;34.990314;5.331741;7.219677;21.593784;5.369774;2.6139572;4.085104;8.792877;10.650744
15.481646;81.65094;35.405094;6.8494415;9.012986;21.38812;7.2320623;2.7821999;5.2154417;11.750002;11.659547
19.147713;88.436775;42.91441;6.563005;10.204057;25.365122;7.6444883;2.9012702;6.043314;12.608942;12.410149
21.855394;95.05934;44.041264;6.7477083;10.623498;28.125357;9.054175;3.7352448;5.713296;12.67266;15.20447
23.446379;98.86895;52.579933;8.320703;11.330302;30.294867;9.532057;3.4618564;6.1078925;13.574255;14.181946
23.990734;94.51729;48.647976;8.913903;12.354134;31.73993;8.594118;3.9887466;6.2350636;15.120549;16.58606
23.287306;110.75919;58.461224;8.39606;11.781666;34.310402;9.0908375;3.7219021;6.372665;15.1784315;16.446985
22.93017;105.399216;53.965485;7.4218493;11.4793415;33.450447;10.396265;3.922851;6.322379;16.094275;17.571585
22.215786;94.418564;41.342438;7.3281136;11.545382;30.655468;8.346591;3.8159637;6.5363975;12.878789;17.246632
25.172733;85.70361;44.067165;7.6287208;11.872183;33.478786;8.420481;3.1214507;6.0576982;15.5098095;16.15115
19.803318;88.34236;51.14199;6.619387;12.320215;27.515285;8.501801;3.054731;6.391372;13.957392;14.712629
22.891335;87.43596;47.378784;6.949243;10.113862;28.808079;7.8574495;2.78398;4.834789;13.134859;14.835344
20.99577;94.16518;49.439537;8.130209;12.578938;27.171452;7.634716;3.772866;5.5034947;13.785467;14.4661455
23.360332;102.561195;58.07209;7.897531;11.764201;29.19288;8.166121;3.702193;5.703993;13.939806;17.852665
23.539845;98.889946;50.186165;8.393816;12.127045;33.645687;9.128769;3.4019284;6.229164;14.644905;14.936648
19.297308;83.132706;49.317043;6.7467675;10.370717;30.017008;8.713375;2.8344586;6.3953943;11.53231;13.824303
18.194826;83.14558;49.29366;7.139144;9.804233;26.705982;9.219721;3.59744;5.581272;12.52606;12.581269
21.620352;87.38507;44.82271;7.112282;10.347757;30.268164;8.545658;3.3079352;6.147317;12.00131;13.754207
