1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
106.0;104.5;101.0;107.0;109.0
105.914566;104.5;101.04194;107.0;109.0
104.896996;-1.0;101.0;107.0;109.0
105.78024;104.5;101.405045;107.0;109.0
105.79573;104.5;101.21875;107.0;109.0
105.76975;104.5;101.47127;107.0;109.0
105.98045;104.5;101.11595;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.29286;-1.0;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.402626;-1.0;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.0;104.5;101.0;107.0;109.0
105.24873;-1.0;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.999344;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
-1.0;104.5;102.0595;-1.0;109.0
105.981346;104.5;101.0177;107.0;109.0
105.025536;-1.0;101.0;107.0;109.0
105.85989;104.5;101.13166;107.0;109.0
105.87286;104.5;101.01257;107.0;-1.0
105.974205;104.5;101.0;-1.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;-1.0;-1.0;109.0
106.0;104.5;101.0;107.0;-1.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.01336;104.5;-1.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
-1.0;104.5;101.363205;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
106.0;104.5;101.0;-1.0;-1.0
105.36925;-1.0;101.0;107.0;109.0
105.24032;-1.0;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
-1.0;104.5;101.839745;107.0;109.0
105.82301;104.5;101.33429;107.0;109.0
105.87418;104.5;101.25499;107.0;109.0
105.92769;104.5;101.10188;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
105.27258;-1.0;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.64621;-1.0;101.0;107.0;109.0
-1.0;104.5;101.4278;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
-1.0;104.5;-1.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.15948;-1.0;101.0;107.0;109.0
105.87524;104.5;101.16794;107.0;109.0
105.93738;104.5;101.0;107.0;-1.0
105.85414;104.5;101.33242;107.0;109.0
105.87372;104.5;101.18632;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.0056;104.5;-1.0;107.0;109.0
106.02325;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
105.505424;-1.0;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.352844;-1.0;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.41124;-1.0;101.0;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;-1.0;109.0
106.0;104.5;101.0;107.0;109.0
105.976814;104.5;101.0;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
105.84937;104.5;101.01626;107.0;109.0
105.77407;104.5;101.39348;107.0;109.0
