2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
15.185918;56.621834;32.88983;5.2879324;8.15029;20.513792;5.913441;2.7940361;4.8171206;9.499083;10.614394
15.24729;70.81862;34.350956;5.9428816;7.7210264;22.203556;6.8947744;2.5804553;4.8623843;10.158039;11.257368
16.487095;91.641396;38.440742;5.242867;7.887854;23.3656;7.0273085;2.7356315;4.791826;9.935631;13.373036
15.223616;81.52336;31.742596;6.775122;8.8769045;22.894966;7.9033422;2.7356944;4.566942;9.8238735;12.441201
15.3009615;77.88344;34.840202;6.157401;8.224332;26.048239;7.0370264;2.7748985;4.842648;10.4622555;11.695088
15.638158;73.72517;33.44469;5.523147;8.283041;21.55;6.3062043;2.5374637;4.557513;9.695952;11.902851
14.776367;70.80016;34.384422;5.310864;8.897081;18.181845;6.3168364;2.3049521;4.729558;8.895426;11.133961
14.283289;57.407513;31.969915;5.1477666;8.196705;18.88777;5.952668;2.4255795;4.386189;8.64944;10.115022
16.140642;63.09832;26.08458;5.1601076;7.1568246;20.254251;5.7694654;2.4239326;4.1884747;8.596834;9.6370735
14.710155;72.21828;31.875156;5.0561504;7.7186213;19.932373;7.0394425;2.6203222;3.893066;9.937894;9.227012
14.866364;77.73095;39.74314;5.939358;7.4987593;20.501509;7.0109267;2.5017173;4.330201;9.860972;10.92217
15.638031;74.70231;35.02966;6.7628746;7.853521;23.50658;6.2012453;2.6748233;4.715402;9.913694;11.402935
16.583876;58.08509;35.361084;5.0165997;7.481565;24.05953;6.3866634;2.582458;4.184763;10.558638;10.768811
14.453097;61.14129;32.00628;4.8055425;6.8123274;18.832943;5.6676283;2.4070477;4.5419846;9.019781;10.094105
13.933871;70.29102;32.944344;5.2537208;6.684832;19.135141;6.8689256;2.5240474;4.236164;8.765882;10.255545
14.463144;71.0342;34.46052;5.1067424;7.3781595;20.394371;6.848788;2.349933;4.101289;8.449827;11.042427
14.093536;53.20569;28.778667;4.01321;6.3773284;16.36776;5.7687826;2.2877307;4.0791264;7.3139243;9.105928
12.250751;55.075417;23.134457;3.9137058;6.004783;13.702818;4.99021;2.1999755;3.3981445;6.1965747;8.680929
11.478935;55.124992;25.39574;4.212747;6.144284;18.030218;4.5834236;1.8404951;3.2274647;7.7276726;7.97742
10.43269;46.690735;22.164133;3.6142883;6.104699;14.032288;4.092669;1.7747042;2.63623;5.8803935;6.785769
12.064539;45.548668;22.879284;3.7519798;4.714352;12.948851;3.4371572;1.5457461;3.0787103;6.3479977;7.2161574
11.458628;48.430344;22.057768;3.993256;6.164901;15.029772;4.586402;1.692563;3.197526;7.38231;8.008481
13.577731;52.039436;31.73104;4.1030006;6.9260163;17.04375;5.806975;1.8721793;3.8255963;8.445179;7.7758994
14.533188;64.41823;31.904688;5.134361;6.7535143;18.392643;5.312813;2.632015;4.2966604;8.816111;10.131825
15.944344;58.745995;36.084675;5.0973253;8.364886;22.421373;7.3100905;2.4270854;4.3771825;8.903908;10.814448
14.917836;74.12657;35.77807;6.1242514;8.068094;23.317081;6.0524797;2.392343;4.766272;11.605872;11.274843
19.04267;69.48496;43.264194;5.94106;7.9833136;21.73742;7.051272;2.7156453;4.441837;11.261946;13.186
16.85101;67.759705;38.351852;5.944967;8.176137;22.133213;7.1483946;2.7310815;4.391417;10.004763;11.349347
17.678673;81.571434;37.421696;6.7785263;9.529972;24.294056;7.2475653;2.92492;4.6934633;10.723272;11.712108
16.217495;77.22365;35.408318;6.279355;8.71936;21.016253;7.565924;2.584498;5.234528;10.922277;11.166381
13.912298;61.41084;36.40707;5.3880095;6.8258033;23.022457;7.018134;2.7825236;5.5293093;10.69204;11.716419
13.773564;61.978157;33.05508;5.3958592;7.6235456;19.588852;5.877009;2.3603375;4.242068;9.479334;10.401835
13.917399;62.185547;28.806986;4.780465;6.9323273;21.70351;5.8947053;2.4246671;3.3018348;9.394743;10.385888
16.741255;61.03488;35.334972;5.8857455;6.3490195;22.189583;5.971527;2.2567017;4.5448074;10.429895;9.39072
16.077858;72.728874;33.152977;5.3658266;7.9563813;20.845669;6.8484125;2.3726616;4.96354;9.727274;11.642931
17.091465;71.5828;38.340996;6.1192884;8.926497;25.841019;7.090577;2.842172;4.669848;10.562188;13.077907
14.1996975;64.82106;37.677673;5.259917;8.190907;21.522568;6.9207253;2.4265;4.187442;11.257223;11.740955
14.177562;58.97111;29.227417;4.3738523;6.8951597;21.609417;5.859563;2.3090422;4.1806755;10.411974;9.359458
12.33914;65.29053;34.321064;4.9621077;7.7172575;21.272503;6.381875;2.4539719;4.001375;9.907074;10.731753
14.104634;67.54405;35.14992;4.723607;7.7489142;19.717602;6.419619;2.5862107;4.031743;10.09209;11.935099
12.826605;60.959663;30.22199;4.9172134;6.4908295;16.08703;4.736418;2.2578363;3.3747048;7.736266;8.541605
11.407044;51.697296;24.869055;4.6928406;5.5985045;17.60043;4.8805575;1.8741419;3.4351401;6.828519;8.08165
10.740367;44.825928;25.16911;3.5706353;5.9542947;15.691895;4.4754987;1.6061699;3.1042752;5.7369204;7.4304442
9.275225;44.668953;21.669495;3.6748753;4.972479;13.106117;4.5416512;1.523217;2.9296858;6.2770963;6.404251
10.459124;39.751648;22.526228;3.1968715;4.913762;14.111674;3.9418933;1.488256;2.2922869;5.836318;7.6489754
9.345709;47.70539;24.249962;4.004672;5.1129646;12.2244005;4.015432;1.8353488;2.7292535;6.3434505;7.187133
12.186756;51.322823;26.683771;4.284235;5.9052978;16.405727;4.7091284;2.0374627;3.4383235;7.507476;7.7147856
15.560722;58.373486;30.209217;4.380248;6.8351707;19.824215;5.9956536;2.3705742;4.086034;8.183023;10.021773
14.465361;59.871906;30.231567;4.7610373;7.368411;20.655544;6.317527;2.2966056;4.5709515;9.424378;10.37708
15.921061;66.64637;33.330086;5.389504;9.284767;20.965694;7.238604;2.4744182;4.445729;9.605929;10.018095
17.16917;60.759064;37.470406;5.377866;7.53517;22.883747;7.873591;2.4894352;4.5253325;9.864389;11.462418
16.36539;75.202995;38.64487;5.8877063;8.262735;25.051474;6.9473586;2.7195086;4.2508965;10.468058;11.746796
15.336447;71.3159;38.46819;5.7460938;8.61821;21.731312;6.556903;2.6894486;4.8761253;11.104133;11.971693
15.332807;69.97142;35.91384;5.466401;8.060741;19.840633;6.415847;2.7716537;4.732622;10.177896;9.771611
14.574049;65.03492;31.299286;5.8533683;8.256071;19.295502;5.9329104;2.3734581;4.5751047;9.420583;10.1374235
13.204597;56.787163;30.082203;4.890655;7.606889;19.644444;5.852188;2.1230369;4.2034616;9.207552;11.219644
13.379825;57.338116;30.1724;5.332177;7.502772;17.579317;5.2010074;2.1237328;3.4817233;8.223356;9.401415
15.420102;57.960194;33.699818;5.500098;8.077342;18.374992;5.952594;2.1197581;4.140156;8.781087;9.707348
15.317784;61.743786;35.101063;4.908509;8.500936;21.887646;7.2042365;2.819603;4.5794096;8.583005;10.207819
15.312286;71.10555;28.450138;5.0062304;8.41854;20.530663;7.0155;2.5038724;4.6680427;8.335326;10.628575
13.947784;66.23166;34.837124;5.350342;7.6494856;19.213684;5.9178324;2.4453027;4.0836797;8.977177;11.42661
13.280535;54.048187;31.16264;4.918846;7.4895606;17.686378;6.3107176;2.232452;3.7413661;7.22705;9.255434
13.138281;59.825798;31.790915;4.708045;7.0489097;19.789326;5.8012676;2.0826428;3.5391262;8.836002;9.386179
13.257527;62.58249;33.94757;4.8493752;7.636068;20.13258;5.7202373;2.138044;3.6028137;8.413084;9.961109
