2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.730522;19.722403;-4.0521398;1.5643499;7.743955;16.613916;5.781012;1.6749918;1.5376887;5.895181;5.508775
13.675448;19.700607;-3.8620229;1.7293588;7.3432264;16.91998;5.8333125;1.6990882;1.4939457;5.6648355;4.957999
11.51455;20.616625;-4.045441;1.5875758;7.074833;17.507866;5.3623185;1.7968752;1.6043872;6.1068816;4.625532
12.7373705;18.559713;-3.9032028;1.4703187;8.276496;17.472631;5.23302;1.8126345;1.5622978;6.2330256;4.92378
12.834121;19.284815;-3.8963737;1.5543357;7.437656;15.841622;5.39056;1.8901038;1.4778348;5.593656;4.639623
12.8896475;19.302235;-3.8085473;1.5503274;7.2053475;16.441294;5.609194;1.939298;1.6225162;6.0610595;4.9191275
11.960513;20.27239;-4.062537;1.5639638;7.2180758;18.215902;6.293326;1.7588134;1.5379522;5.0278916;5.1337376
12.352776;19.04496;-4.1377826;1.5997543;7.5232263;18.06248;5.538289;1.7792556;1.6729368;5.5451164;5.313043
12.858473;20.391737;-3.9945998;1.5676517;7.64094;15.697736;5.574077;1.9386663;1.5678276;5.924938;5.1997776
11.782823;19.471125;-4.00401;1.7051432;7.3696156;16.27494;5.3440104;1.8143498;1.5593498;5.3016353;4.997056
11.906076;19.631546;-3.7835467;1.6775268;8.038938;17.319378;5.158248;1.9841385;1.5604451;6.070083;5.2879295
12.189753;19.767904;-4.077009;1.6366256;8.196054;16.66252;5.1833463;1.7293683;1.7241303;5.6756105;5.1923614
14.003876;18.800606;-4.0924306;1.6053189;7.172133;16.102913;5.7442217;1.7331783;1.6257657;5.9871016;4.8271375
12.339589;18.204462;-3.7489314;1.6986082;7.7246566;17.415672;5.87608;1.8392106;1.6596459;5.891157;5.054802
