1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
69.870766;28.448597;21.81017;21.6227;22.28191
99.14799;38.035255;0.0;0.0;28.95455
80.773796;34.333733;23.104603;25.375034;23.871832
91.14647;35.23208;27.874752;0.0;26.14378
76.6887;33.47599;25.405844;0.0;22.539225
81.967926;32.456642;0.0;23.291496;23.242006
72.65557;29.29209;21.08347;21.956593;22.34441
68.989174;28.252308;20.956839;21.94685;19.774267
49.467712;22.400074;16.016092;16.243382;15.624222
46.19319;20.893932;14.842278;17.000858;13.869522
42.054283;18.191761;13.137103;13.907518;14.67586
36.88053;18.332058;12.662266;12.931044;12.43756
40.34327;16.045332;12.011687;12.446819;12.057856
44.33079;18.989523;13.179474;13.965712;14.020514
0.0;31.783367;26.047277;25.808933;25.325012
57.12565;23.946983;16.737377;18.390892;17.37306
65.189545;28.371664;21.285645;0.0;19.498798
59.511658;27.758759;18.674335;18.719707;18.00182
80.941345;30.593302;20.9779;23.787724;0.0
69.67998;31.871176;0.0;23.919569;24.378702
0.0;62.985462;47.556503;0.0;42.285995
74.04527;27.880838;21.513746;0.0;22.962347
69.565384;31.85203;0.0;20.645748;21.761536
56.253345;24.619488;19.12861;17.64259;17.051716
54.045067;21.686209;17.240604;17.674446;16.97354
55.54853;23.075674;17.344404;17.994467;17.505344
59.42207;29.00676;20.602196;20.344784;19.56239
61.82027;28.265497;19.779621;19.812984;18.238598
66.606476;30.329681;21.532076;0.0;21.55695
53.891064;22.607147;16.16787;16.285458;18.120424
68.868576;27.462246;0.0;21.63042;20.45236
56.4367;24.306522;17.388313;17.883383;16.547443
47.687447;19.084833;13.313116;14.353746;14.471588
42.187035;19.798288;13.081713;13.01092;12.679258
39.322556;14.956159;11.116498;12.144847;11.192763
37.340473;16.38854;11.582666;10.953039;10.985452
34.381367;15.372995;11.709448;11.50877;11.54342
47.248444;0.0;14.306213;15.623906;14.896131
0.0;30.898733;23.123293;23.565094;22.234932
0.0;35.490337;25.370752;27.21239;26.531597
57.250538;23.261173;17.714823;18.532778;17.402252
57.20992;27.467026;18.13335;17.692007;19.10098
0.0;41.316452;34.507084;29.630848;28.863415
60.326862;27.476765;18.054485;18.168297;17.258766
57.22984;23.2013;17.740704;17.092125;17.710646
52.68656;25.18671;17.485523;18.898798;18.07603
0.0;37.82729;30.096966;28.516901;28.809753
47.824966;21.774784;16.81332;15.516233;16.66155
54.900837;25.635574;17.200062;18.130543;0.0
62.56249;0.0;21.381916;18.585947;19.01593
55.70028;23.643496;17.645298;16.692825;17.654436
66.041794;27.22548;22.195135;20.838274;0.0
52.33085;22.506008;17.833435;16.72952;15.955673
49.135094;21.13675;14.836794;13.92222;15.825569
57.664146;23.033552;0.0;19.03104;17.643501
56.9233;23.82795;21.046978;18.79793;0.0
64.52858;25.371695;20.715162;18.842382;18.31275
53.08902;24.776659;16.256016;17.142834;16.644558
0.0;35.05201;27.9501;25.40809;27.39101
61.89635;29.101187;22.061325;0.0;0.0
47.667286;18.090523;14.381618;14.08239;15.205234
46.904785;19.806911;15.933599;13.150373;13.694493
64.870926;0.0;22.099789;19.935272;17.902561
64.06077;27.823154;19.714779;19.581404;19.644196
113.80011;0.0;30.100372;29.2924;0.0
75.99398;32.339245;22.62835;21.514599;21.780525
72.40643;36.077286;23.895987;24.791157;25.23683
78.41921;33.023994;25.464636;25.9219;24.381546
73.01515;33.06048;22.804691;22.490223;24.664246
75.75415;31.179646;22.978449;22.314625;21.851753
103.538864;43.59096;30.58103;0.0;0.0
67.51001;28.796524;22.780619;21.084345;21.985525
75.228134;28.97792;0.0;20.93694;22.647064
62.516987;25.190052;18.92657;19.123299;19.010038
0.0;105.90267;72.46802;0.0;0.0
95.222755;0.0;29.435429;29.165335;26.985117
72.494736;29.332174;20.153475;21.806587;22.95287
78.59274;29.762173;0.0;21.443768;24.524988
73.58734;32.48897;22.167938;24.533072;0.0
0.0;63.014183;44.23964;0.0;48.135128
66.433395;28.229198;21.633797;21.254196;21.290281
60.483955;24.686102;17.820635;18.931181;17.603115
84.33233;0.0;25.946903;0.0;24.569141
48.050453;20.493479;14.880323;15.078525;13.967311
47.827187;23.380125;15.99711;14.570223;16.608433
57.666267;23.723267;17.64233;15.0583725;17.570982
62.827442;27.801376;20.31818;18.338224;19.6414
66.46785;29.031872;22.668514;20.535093;19.643848
88.85237;0.0;29.26267;27.879608;28.316502
75.90269;32.324657;22.427576;22.817045;25.35001
88.8055;38.65662;27.886486;24.605854;27.587536
93.86549;36.003292;25.676563;24.731092;24.356627
81.473724;37.124664;23.73473;25.545122;26.565638
111.77122;0.0;31.551386;28.785618;30.872395
96.14126;40.23423;29.35701;0.0;28.156897
87.10115;34.16449;23.735611;26.207514;0.0
0.0;48.313866;40.66241;38.18884;35.73452
67.518715;33.13646;21.888466;22.203102;20.56768
94.22963;34.588783;26.339828;0.0;28.922358
74.1746;36.450462;26.44844;25.24797;25.080723
86.85526;39.59394;0.0;24.32573;25.104843
0.0;48.891098;41.210175;35.80078;41.03523
0.0;47.05033;39.791298;36.34619;37.142494
83.48671;0.0;24.107416;25.92454;27.986973
77.64399;0.0;24.453064;22.983112;24.00726
58.96834;24.295954;17.640526;18.315151;17.836142
52.29075;21.40482;15.076971;15.201505;15.273784
50.592342;21.343494;18.702229;15.373299;14.936365
0.0;37.357315;28.687283;26.123026;27.309662
50.303307;23.381874;16.575653;15.977737;15.151273
61.341896;25.725271;16.681042;19.21092;18.275738
74.32422;29.392157;22.401428;22.145685;21.36765
71.03771;35.54958;22.661047;23.27325;25.823294
0.0;77.831184;0.0;53.86617;57.250507
82.475365;38.546463;25.36869;25.993488;27.122875
149.54443;0.0;0.0;41.754337;0.0
0.0;61.232124;43.741737;43.80056;44.538513
124.29286;48.17103;0.0;0.0;32.35794
93.99816;0.0;30.924747;29.294168;27.720694
87.72447;35.919746;24.79669;0.0;25.0287
77.4227;30.318335;22.53297;22.511246;21.792343
71.687485;32.076164;20.758924;23.125425;20.90717
77.73357;33.06109;24.313349;21.341784;25.46123
77.249695;33.45411;24.774633;25.71723;25.770666
69.45232;30.395777;22.501871;21.777937;20.89391
78.7376;31.53779;24.508038;0.0;23.042553
71.091774;28.631805;22.93761;22.330437;21.69785
72.80664;28.62146;22.810612;21.213852;21.179585
68.34723;29.45576;21.328014;18.939577;19.153791
56.64815;26.101776;17.82968;19.061663;19.243376
0.0;40.678772;27.188278;29.434452;29.006927
52.485798;20.71476;15.156748;15.778981;15.628774
48.89466;20.90144;16.55098;16.810356;16.62663
68.340225;0.0;20.611282;21.241678;18.577515
61.221233;25.043295;18.13871;17.643719;18.671211
68.76226;30.233181;22.187632;24.41778;25.982843
76.54871;30.961994;21.154522;24.060095;20.68948
88.71878;34.92537;22.3087;22.714046;23.389786
103.05454;42.8123;29.25651;30.35381;0.0
91.437515;37.61301;26.718258;26.887745;28.317799
97.191505;43.683228;0.0;29.878971;27.846775
81.25335;33.589718;24.85272;23.313591;24.147526
87.36738;31.847998;22.882366;22.86196;23.166908
73.674065;31.346775;22.981165;21.567907;23.426874
102.874344;0.0;29.13259;30.243597;0.0
86.23263;33.673832;24.716259;25.457043;0.0
76.02347;33.459057;24.74775;23.669722;25.53957
76.75993;32.044884;25.450275;25.223213;22.13626
71.54538;34.364895;23.869488;23.3108;23.671064
73.54926;30.498764;23.114222;21.12783;20.174644
85.477615;0.0;22.02604;26.45368;24.69536
67.59498;31.507181;21.473413;24.586094;22.228626
73.0553;33.006954;23.270939;0.0;23.099394
72.27605;0.0;21.15258;20.82366;21.118242
64.89009;26.049128;17.972855;0.0;18.177406
48.387257;20.77155;15.534971;16.294533;14.932742
49.92865;20.062185;16.63687;14.720602;14.894768
48.052017;21.306091;13.745091;16.624289;14.704892
61.45349;27.990875;20.209381;19.562994;18.380934
74.609184;28.953451;19.471992;21.123936;18.873486
66.9514;30.930426;22.643953;21.727188;22.395779
77.32013;35.222904;23.691853;24.295994;23.23519
85.840385;34.633556;24.096247;24.051376;25.280563
90.44499;34.119278;26.887396;24.446941;25.374228
0.0;55.025208;39.932228;43.46153;44.698128
81.945854;33.00847;23.191814;23.829073;24.419617
75.70075;30.627407;23.837257;22.252125;22.49018
91.59225;30.343609;23.642328;20.911177;0.0
81.128525;33.953423;25.496952;0.0;23.965603
72.6104;28.615168;21.942278;20.794079;20.215008
79.000595;33.676918;25.754684;23.475307;24.77911
90.70781;37.571724;25.79093;0.0;26.915487
94.89582;0.0;30.702343;0.0;30.569565
0.0;46.918953;39.54811;41.1834;41.277813
67.94438;27.010025;19.858263;20.011084;19.622482
70.00609;28.166636;20.677582;21.734547;20.995865
60.59652;23.332726;18.785751;0.0;15.886188
46.349895;22.414427;14.869719;13.38518;15.142031
44.91169;18.649559;14.3667345;14.000078;13.886807
44.019867;17.97063;11.899216;13.824448;13.035069
37.12626;16.648106;11.760689;11.099432;13.2474165
44.660866;19.938576;13.262999;14.394968;14.018675
50.169014;20.328403;15.445921;15.064268;14.253049
55.176796;24.571863;16.57618;16.675755;17.342348
74.08532;0.0;21.344418;22.116482;20.592657
77.11406;29.643503;21.868975;22.760258;0.0
0.0;44.819347;35.89824;33.810192;35.411877
61.09262;28.956207;19.54822;18.826674;20.675528
63.576294;31.491589;19.216022;20.985987;19.452877
69.25281;27.17847;18.980083;22.04054;18.144085
70.67156;27.449139;19.603312;21.272282;0.0
60.088573;24.320675;16.29862;18.37979;17.830929
0.0;38.17728;29.744656;30.166409;32.120895
59.33795;25.116425;19.05521;18.777521;17.67182
65.79591;27.691944;20.91094;19.631338;23.190617
63.382305;25.780981;18.236814;19.065678;18.348299
59.376453;26.09464;17.085442;18.523241;16.401005
0.0;37.301132;29.612057;28.12113;28.087765
61.192055;31.0218;0.0;18.764578;18.588167
55.243397;23.095356;18.357761;16.83989;17.688759
47.167973;20.131117;13.962987;14.643539;14.684927
51.11688;22.080696;14.935473;14.296921;0.0
36.854893;15.514969;11.392412;12.170418;11.992416
36.113365;15.309969;11.943272;10.829131;11.550333
42.401226;16.971165;12.34321;12.935667;0.0
37.85593;14.335775;11.673619;12.078733;11.306605
44.585266;15.646085;13.590118;14.19639;12.22703
55.215687;22.955784;0.0;17.96229;17.672686
52.5532;21.668438;15.502983;14.936419;14.480944
0.0;59.87501;37.52193;0.0;36.03694
56.933125;26.130661;16.84077;15.982648;18.11342
72.81919;0.0;23.160526;22.911335;22.893028
89.8867;0.0;0.0;29.309673;26.28037
53.807396;23.059338;16.145441;16.288294;17.783321
52.959248;23.507076;14.200114;16.205517;17.064123
72.99101;0.0;23.24915;0.0;23.332735
48.923824;21.56622;15.123332;13.440356;14.47035
53.984974;21.651173;15.661717;15.5370455;14.334864
58.261536;23.478188;18.237078;17.767012;17.318596
70.34301;0.0;21.877638;21.804583;22.80144
55.536938;24.952856;17.097496;16.875744;18.81793
49.28852;20.709644;16.400728;14.639498;14.302061
53.408367;20.15411;15.645556;15.723938;15.51087
0.0;36.625786;26.408825;28.57816;25.181591
