1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
64.99009;24.308552;16.730358;25.098314;18.65284
60.651203;29.40127;18.388031;18.657843;0.0
50.589993;25.881155;15.398396;10.669234;13.570862
0.0;43.064827;0.0;31.461365;32.614937
51.08361;13.973386;20.224422;15.470078;13.433612
65.7265;0.0;16.238434;15.359619;18.723898
85.4723;35.030052;0.0;0.0;23.916216
0.0;47.45521;35.83648;34.908436;34.024216
69.151886;28.950119;20.13109;22.267078;21.622889
90.66966;35.134487;25.864328;28.275606;0.0
80.58091;34.97191;26.445375;24.462927;22.589539
85.614334;42.100994;27.841486;0.0;27.008358
94.94971;39.245243;0.0;27.335459;27.843506
0.0;69.44276;0.0;54.35652;51.90734
72.35648;31.054228;19.42006;19.103367;20.132215
76.34795;27.026161;20.86385;19.445011;18.285376
66.75813;32.687748;15.311078;20.164179;18.758282
67.147156;27.211626;17.356037;21.389345;21.155312
72.50727;24.12889;24.817963;23.574759;20.302177
74.33612;34.130352;25.217796;21.879274;27.358929
79.40343;34.232113;0.0;28.823109;25.246662
71.41556;32.135616;20.874279;21.092335;18.33828
0.0;47.824207;39.160854;39.17862;32.353508
87.094284;36.44268;0.0;0.0;33.67074
68.47227;30.617338;18.528961;17.704744;18.251366
64.650055;26.141403;16.734634;23.614706;21.435843
97.92115;0.0;23.725393;0.0;26.036102
49.09636;22.071169;11.2451725;13.893996;13.778004
50.452507;22.991776;12.300042;15.928863;11.8689375
0.0;52.931458;34.842594;0.0;42.566223
59.691544;22.799103;23.18024;25.261753;21.462994
0.0;64.04631;50.66247;49.161488;0.0
0.0;62.14051;43.85565;42.545406;46.58511
72.9827;34.89934;24.429117;24.421158;27.439627
102.102905;41.662937;33.774975;30.675047;0.0
95.10624;42.666473;29.419537;0.0;30.137213
84.41729;38.032024;28.369963;26.701426;28.460285
82.42158;34.7518;24.114437;23.164274;24.162674
116.714775;0.0;36.46466;0.0;40.352325
101.40276;0.0;39.95977;0.0;34.635918
0.0;96.348145;0.0;73.53507;0.0
0.0;72.89209;51.617825;54.522594;0.0
92.91544;41.703976;27.226109;0.0;28.0366
82.18389;37.115005;30.291842;25.095598;23.15166
89.46837;39.42592;28.981607;0.0;22.654776
87.987785;31.085745;22.372292;24.87285;0.0
74.50081;32.093296;20.751617;23.642511;21.393183
68.26588;28.609457;21.418383;18.675335;23.084286
97.94242;0.0;30.381939;33.652676;0.0
73.49358;0.0;19.86296;24.724455;21.261515
65.40482;30.465458;20.978739;0.0;20.308744
54.687603;21.71068;15.724129;16.904501;15.052888
71.299255;0.0;24.318045;0.0;28.568926
53.075886;23.35381;18.244612;16.721817;17.984867
59.04266;28.165827;19.978249;19.804434;13.256506
80.0079;32.056694;27.540344;22.253115;0.0
75.66905;34.47806;27.32416;16.921858;23.15314
94.534485;42.527157;0.0;22.8435;27.85354
78.01649;36.103218;28.830254;26.760378;23.831215
96.443665;38.618496;28.70354;25.582155;0.0
94.67387;45.31857;28.99288;32.497223;0.0
79.0921;35.703823;23.62497;25.135323;26.947243
89.09868;39.324398;28.749754;27.897179;0.0
0.0;65.328545;51.68357;0.0;54.904484
79.58006;34.508865;19.33315;25.187489;23.67134
69.32146;28.732597;20.839684;21.517843;15.444944
91.66978;40.980408;0.0;28.515793;27.061289
89.95106;32.874004;31.625048;0.0;31.720974
63.705547;32.158203;19.429863;25.730667;20.402845
61.568516;29.626074;17.011646;18.260687;24.254822
86.75888;29.765461;24.496817;0.0;24.3216
88.51943;0.0;28.171583;30.068329;28.750341
69.79791;27.842115;20.15071;20.462044;21.015312
0.0;45.313766;33.125866;33.36677;30.752428
53.691513;22.301912;19.951914;17.11141;15.730658
58.29169;19.797512;17.221579;15.031096;17.132954
52.68412;20.337173;15.050237;19.030462;11.632944
49.609974;20.203074;17.262726;17.180443;15.241565
63.109043;24.44648;15.778704;15.165826;20.22041
66.52741;28.34876;18.486565;21.344957;18.856106
0.0;58.05662;40.304844;46.37896;50.294792
79.32567;32.805813;25.50477;24.840544;26.486795
99.13607;44.409122;0.0;27.826649;27.084976
89.19003;36.33631;29.221926;28.883;21.907194
85.26716;37.227806;28.238653;21.365534;22.378925
0.0;52.065125;45.454227;38.45357;44.808678
82.74119;36.751976;21.749651;26.870527;25.38621
85.03165;35.91338;28.186258;0.0;24.805765
76.992645;33.01439;26.679888;0.0;23.279753
73.17221;32.801746;26.615656;26.706985;20.328632
78.56791;32.15846;22.41152;22.505272;28.217535
79.184654;32.02068;21.607119;20.730963;23.584887
105.60092;0.0;32.874676;0.0;33.36189
69.20664;25.937342;23.37804;21.01782;24.021152
67.36633;27.471947;22.829615;18.367104;24.635761
68.055695;25.97928;17.924517;20.238146;21.33486
64.26877;22.57718;20.084417;21.820417;21.736088
67.91284;29.416086;0.0;21.372097;24.642029
63.50937;21.55023;18.337784;0.0;16.324135
48.08777;20.411835;16.412228;15.227764;16.518326
48.949856;19.26805;12.604812;18.851978;15.244357
53.98427;24.791487;21.66363;18.071455;18.082644
68.69916;31.682102;0.0;9.911682;23.638336
67.2202;27.11793;22.800917;21.854303;18.704563
78.50395;38.906075;24.14938;25.782318;23.571798
77.591255;35.756855;28.413696;24.268414;24.672031
81.26654;33.13802;28.20669;25.505234;25.613207
85.457344;36.045105;28.542208;28.154884;23.105158
79.19426;35.320633;26.165022;25.924463;26.469284
84.20126;33.869377;23.434475;19.898802;24.435959
76.35602;34.238613;23.32584;20.688114;17.724342
63.594975;31.54803;24.892614;27.553787;23.084454
62.76194;30.689972;17.366508;16.600922;16.974852
86.41341;39.769447;0.0;21.351475;21.898394
80.86445;35.222332;0.0;24.442062;23.283255
85.20956;30.793694;25.828857;24.337563;17.69229
65.870155;27.297976;20.826786;22.275867;22.347393
64.736664;30.278751;19.208721;24.417404;23.651361
99.48597;0.0;33.78461;0.0;28.388285
65.32728;27.533825;24.29212;25.880863;23.16934
48.253178;20.46071;14.665114;17.249094;11.51573
55.389954;0.0;18.366236;14.776532;16.87823
40.901943;18.849482;14.966296;18.767893;0.0
39.477093;15.647036;12.598836;13.354963;10.235774
37.66275;15.304587;9.218283;13.764906;14.619715
43.54098;18.601397;9.007879;13.984492;14.532132
46.419212;21.032368;17.324467;17.907763;9.753541
51.474693;24.955276;18.619476;23.974218;23.276552
73.15667;28.5989;29.989132;21.894299;0.0
58.537174;26.07182;17.694496;19.964;21.44206
64.193275;33.06365;17.515894;24.776903;25.47809
61.223328;27.65551;16.64102;20.06074;22.040298
71.023994;32.25812;21.470049;21.393251;16.861126
64.67988;24.622173;16.329216;17.33874;21.692564
64.226494;22.371668;20.06392;16.27272;17.67282
59.310574;24.40256;17.754465;11.000578;23.35472
53.36366;23.344929;20.997046;17.58661;13.235778
63.565872;26.790329;20.97568;18.032175;0.0
83.2254;40.886517;29.765354;0.0;0.0
62.71121;31.280888;17.369501;19.116625;21.182447
64.8827;24.937784;26.111094;16.408611;20.270664
55.102398;20.25653;16.010048;20.388746;15.029431
66.65278;0.0;22.476843;23.841427;20.029926
55.94427;26.894655;20.049795;20.441195;15.108969
0.0;39.35795;33.115288;35.957767;0.0
41.36713;16.147598;12.781618;17.349323;14.203299
39.21244;14.909773;10.904438;8.289437;13.523521
40.44137;16.950834;15.532274;0.0;11.846428
30.945591;12.467965;7.0057774;6.0731783;12.785058
33.87145;14.128337;8.324551;11.947631;3.8432703
55.576878;25.11805;0.0;15.946283;14.024408
52.395985;27.152285;12.168305;17.761295;0.0
51.285625;21.332438;16.782938;17.744413;12.08321
67.24125;32.027462;21.728178;0.0;17.014984
52.050774;24.38302;15.149066;13.082135;19.675392
60.56613;24.447067;14.843597;16.5672;13.827987
59.26751;22.99719;17.799095;19.98171;15.14263
52.764996;25.327543;19.557695;20.32247;16.086739
56.870045;16.570478;16.226751;18.646515;15.158293
50.929092;20.849707;17.41127;11.575188;18.305067
0.0;31.989431;23.93333;24.364487;26.450026
67.35421;28.19886;15.598002;0.0;0.0
60.13318;26.664148;17.211048;18.601492;16.405453
50.718857;20.48503;12.148921;17.458536;15.461882
56.538155;19.759098;12.901539;11.822603;19.466978
49.054935;21.26567;17.163588;13.5505085;17.145683
63.22424;22.586523;0.0;18.061266;14.142153
0.0;32.040333;26.622824;22.022161;23.108337
64.799034;20.776066;19.510159;21.361706;23.131813
52.763767;23.675879;12.465938;22.192757;14.682175
55.7507;23.20297;13.085611;17.339397;14.978345
50.24358;16.764736;20.411232;16.78098;17.874641
46.86952;17.791939;18.024822;14.740564;13.32603
50.59135;19.904222;11.820001;19.026014;18.420555
56.382523;21.238554;16.39774;17.282894;20.387703
77.91604;28.226955;22.920483;22.832073;0.0
73.40436;27.256697;20.889221;26.466404;20.184107
75.17058;31.199587;23.49771;27.889034;23.96992
