2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.632036;61.251575;28.871616;4.7836766;7.0674505;17.622414;5.3137712;1.8108269;3.5117557;7.402476;8.10374
14.333223;63.473198;30.977589;5.1578364;6.927369;17.928684;4.9180775;2.1541512;3.7007365;9.990056;11.016984
15.927609;61.423645;29.739666;5.101528;7.3972297;19.577303;6.330495;2.1545756;4.194896;8.538359;8.912564
14.859167;67.70328;34.651302;4.797969;8.2898445;17.688137;5.6087184;2.3434658;4.120983;9.047374;10.26094
13.450267;63.44007;29.511978;4.811002;7.8864374;21.343838;5.2993526;2.2409494;4.1312156;8.346749;10.401922
15.553889;69.44416;28.396046;4.7837706;6.306379;19.285734;5.8419027;2.1839714;4.0600615;8.972663;8.989344
13.906563;70.1476;30.773117;4.862563;6.2365294;19.514065;5.9481783;2.0070071;3.6103368;8.540081;9.380145
12.874575;58.296417;27.290945;3.9569767;6.627703;16.50403;5.2020674;2.1427114;3.4955273;7.3326454;9.377826
12.064979;49.642384;26.76582;4.736514;5.8290615;17.568237;5.2664003;1.9895195;3.2459476;7.7409844;8.886354
13.23306;53.764393;28.907425;4.51569;6.535351;16.01923;5.153139;1.990166;3.560339;7.1011834;9.571207
12.6116905;60.181396;28.473791;4.8561254;7.860999;18.451685;5.3830185;1.8932669;3.899159;9.777819;7.70522
13.303345;58.14804;33.33968;5.0149803;7.2848387;18.606594;5.6327443;2.5023704;3.4038491;8.700684;9.344368
13.214534;58.749855;29.283916;4.230508;6.171174;17.219135;5.2213755;2.040749;3.3712838;7.739985;8.70998
11.944642;58.27619;28.783314;4.5495315;6.650889;14.864695;4.708784;1.803745;3.5787354;8.727902;9.050301
12.649476;55.85781;27.5722;4.4122458;6.237995;17.413683;4.803993;2.0229275;4.045704;7.3824015;7.9669685
12.979083;60.50011;29.031307;4.1850576;6.612532;15.265646;5.263993;1.872791;3.876779;7.236459;8.027699
11.475327;51.085625;24.416773;4.06227;6.129043;18.79897;5.0252905;1.6341171;2.9482617;7.327771;8.460962
10.466585;44.599953;21.478716;3.7905357;4.8864603;15.145473;4.551574;1.7619871;2.9738946;6.650155;6.3656297
8.456027;42.8295;23.133;3.419719;4.69832;12.7060175;3.780455;1.6475366;2.7950578;6.0515833;6.420953
9.085537;36.917805;17.908512;3.0879698;4.1192193;11.942886;3.7617424;1.3363208;2.603167;5.283555;5.3910894
9.328132;40.74052;19.704103;3.2232177;4.33837;12.784365;3.386497;1.5030005;2.13464;5.447363;5.9750776
9.356192;38.624416;18.753765;3.304192;5.175803;14.281633;4.2819643;1.591512;2.6021895;4.9849443;6.588355
9.904665;47.118793;21.342571;3.4470677;4.7708406;14.334226;5.1694126;1.7165196;2.774551;6.493075;7.280196
12.357971;51.36623;26.564936;4.3859386;6.6295877;17.205515;5.067397;2.0666003;3.4588323;7.672025;8.186654
13.417723;62.430916;28.693766;5.313458;6.4347177;17.632626;5.542131;2.0999541;3.405852;8.978321;8.078279
13.414787;57.507454;31.290949;4.803916;7.482625;17.10283;5.49588;2.2199214;3.9087892;8.667233;9.49948
13.1909275;67.9685;31.687115;4.4699893;7.465104;17.92687;5.9943023;2.0983026;4.0312634;9.985414;9.48881
12.89393;64.533066;32.54139;5.5144324;8.285532;20.177422;5.390861;2.521965;4.06379;9.587407;9.0035305
14.221655;67.2977;28.313904;4.8509974;6.393022;21.685783;6.27532;2.345924;3.983104;8.959898;12.204981
15.47755;63.029472;31.231411;5.143476;7.8097243;19.151066;6.561001;2.1928225;3.5624702;9.347344;9.015032
12.930334;56.092125;27.313593;5.1113005;6.79606;17.933979;5.9153233;2.1525111;3.4404883;8.688632;8.660368
12.387709;51.98697;28.50443;4.043677;6.132747;16.20177;5.4117327;1.9862175;3.607885;7.964799;9.165096
14.699957;52.49592;23.943674;4.4624147;5.3711457;16.486635;4.9270916;2.1678765;3.28026;7.1181746;9.33547
12.068446;56.026222;25.29443;4.0276823;6.5034065;17.053585;4.9503617;1.885042;3.6484578;8.398227;7.8726997
13.238546;55.693657;30.357792;5.2049103;6.9618707;17.627796;4.8407674;2.2910662;3.9680564;7.887118;9.070365
15.806926;56.67462;30.413162;4.859972;7.8071394;19.17005;5.4243956;2.318152;4.3764286;9.959003;9.469197
13.263667;51.54397;29.048885;4.322506;6.5815926;17.54522;5.189061;2.2557464;3.281144;8.305245;9.432801
12.665521;50.202087;27.791462;4.5213914;5.32891;15.91404;5.399247;1.6569107;3.657877;7.3110023;8.066657
13.864797;48.69761;27.266613;4.209506;6.32557;17.369608;5.8813033;1.9744552;3.317171;7.232325;8.510137
12.163118;46.230225;26.346378;4.5621395;5.758653;16.354465;5.2413106;1.9026436;3.2876487;7.0102997;8.177137
11.136931;44.257805;25.203999;4.0314903;6.1213193;14.624008;4.3437905;1.6776012;3.0199857;6.6358747;7.6178923
8.540568;43.356007;22.008606;3.2692208;4.633594;12.886915;4.2820683;1.6008688;2.8898718;6.464161;6.4040236
8.803833;39.36312;16.773106;3.1215951;4.685168;11.734094;3.5941577;1.4443382;2.6696048;6.1849785;5.5958858
8.883445;38.235344;19.945753;2.618385;4.274062;10.981465;3.2003055;1.4908223;2.478683;5.127845;5.470972
8.718023;38.73046;20.40665;2.959793;3.829925;10.986373;2.951389;1.3949845;2.3867488;4.7183986;6.0169034
8.881505;44.610283;19.211384;3.4904747;4.4763746;11.641416;3.9005249;1.344525;2.4579308;5.6413307;6.2574253
10.103617;46.46352;21.372028;3.189493;5.0296726;13.693433;3.9231696;1.6747624;2.7694945;6.6690474;7.2536774
10.674733;49.473213;26.007473;4.1020913;5.910321;16.430872;4.6211495;2.0086904;3.33369;7.048114;8.120483
12.66474;49.385902;28.988745;5.230367;6.252751;18.747448;5.5354114;2.1586637;3.5038066;7.9623017;8.568689
13.922224;57.75478;27.471256;4.561255;7.298655;18.328655;6.014702;2.1354356;3.861712;7.919978;10.108901
14.989861;57.869728;27.923954;4.6033063;6.764777;18.230719;5.2036633;2.2258325;3.6938546;7.560795;9.433555
14.988878;63.822674;31.537464;4.839324;6.7947817;20.235271;5.5709295;2.3769717;3.6039188;8.331623;9.197411
12.852246;52.348877;33.479103;4.9094996;6.518786;19.229115;5.4194937;2.5262446;4.108148;8.986522;10.330001
14.178797;51.631756;28.531757;4.7743025;6.430641;17.914536;5.284522;2.011479;4.002945;8.785591;9.184943
12.352415;57.220978;26.712036;4.5592976;6.7395926;15.354721;4.889219;1.9502016;3.8192723;6.996974;8.541775
11.78456;43.609566;31.898544;3.9985993;5.738335;16.919125;5.5995936;1.7517229;3.2718644;6.6609917;7.9311805
11.633056;49.7675;28.170185;4.0299854;6.581651;14.123568;4.793375;1.809933;3.6027863;7.680701;8.552887
12.010507;59.850533;24.678877;4.131576;5.9385467;15.785868;4.9191008;1.8884456;3.3073757;6.8297033;8.842513
12.690326;61.490295;26.912464;4.6474056;7.4758315;17.214949;5.4408655;1.9981458;3.9429436;9.106825;8.276507
12.106734;57.17854;27.68164;4.693072;6.703161;17.086426;5.1985097;2.1554823;3.8413353;9.240709;9.507389
11.754122;46.16495;25.734867;3.5947425;6.474885;14.708403;5.007964;2.04645;3.5508282;7.529645;8.781845
11.203078;49.32956;25.197231;3.5739627;6.1920533;17.922623;5.331896;2.0302103;3.4269862;7.6608133;7.8380356
12.50382;50.824097;25.787716;4.42776;6.221939;15.728589;4.842969;1.8410858;3.1893342;6.7321115;8.175371
12.647225;57.041218;24.372517;4.516083;5.6717434;15.810663;4.895451;1.8249466;3.8731651;6.26064;8.744107
7.9391785;41.31443;19.266497;2.9099708;4.8421717;13.2287445;3.6723258;1.5502661;2.4189978;5.743616;6.152312
8.633365;31.694668;18.447605;2.6426053;3.7435925;10.897749;3.5224319;1.201895;2.5005307;4.629846;5.70576
7.543518;36.30898;16.880507;2.5984225;4.556518;12.008443;3.1612432;1.2533154;2.1672883;4.682441;5.4671817
6.9575224;31.59998;15.400686;2.2075639;3.8684437;9.172058;2.7496824;1.0032141;2.2498293;3.8966389;5.044842
7.6217027;31.237026;14.885549;2.3000429;3.2513561;9.821878;2.952581;1.1927449;1.8032458;3.9066234;5.4002085
6.2318974;31.116577;15.13415;2.321016;3.4652162;10.931332;3.3857617;1.1198249;2.1210322;4.641889;4.836236
7.9544625;38.440514;18.077269;2.8621802;4.7120676;10.303567;3.609428;1.3642195;2.3381903;4.9520154;5.849139
8.234036;37.08239;21.326742;3.2857795;4.687295;12.914396;4.0199504;1.4951881;2.4864058;5.6679955;6.7288675
10.908944;44.847565;20.81953;3.7884796;5.3600006;13.045337;4.2418704;1.5968416;2.8838344;7.126391;6.786105
10.451646;53.815205;22.437395;4.22032;5.6985536;14.165106;4.5209045;1.8312613;3.217853;6.2863145;7.9354734
11.878964;51.0241;25.973927;3.7111602;5.780467;13.753511;4.9424453;1.7268734;2.967807;6.7671432;8.337708
13.4728565;41.355576;23.259462;3.849589;6.2545085;16.132647;4.7649336;1.8263636;2.8216307;7.683957;7.672222
10.9376955;49.03435;23.494947;4.294839;6.0512094;15.399988;4.55805;1.9863157;2.5183861;7.714817;7.016366
10.391941;44.74488;27.415257;3.7922683;5.351556;14.841212;3.6949143;1.5984092;2.9843974;6.2330017;6.7061224
11.601863;46.49827;21.044353;3.7830296;4.878304;14.594347;4.4200487;1.500098;3.1753337;6.5875235;7.6537223
9.357452;47.48546;20.19804;3.042566;5.1875677;13.149445;4.5048223;1.5209376;2.8100543;6.0308256;6.6610336
9.569166;44.22759;19.827328;3.152379;4.508936;12.831795;3.951688;1.4965032;2.500339;5.992554;6.053555
9.070542;44.108677;21.2169;3.5459259;4.9710793;13.304758;4.56549;1.7779229;2.859658;6.191407;6.5183983
10.294191;52.147285;22.055767;3.8169124;5.295422;13.0058;4.3120427;1.6997458;3.0041301;5.8747067;7.522264
10.836603;49.694733;23.022432;3.6509826;5.4225926;15.665922;5.101007;1.534176;3.2160034;6.312396;7.115678
12.150457;42.67952;24.919641;3.6184726;4.7790794;14.232735;4.4139967;1.5880185;2.6633477;5.7006025;7.6810822
9.130701;42.682056;21.374214;3.3642533;4.631173;11.905781;4.340873;1.4009095;2.6232686;5.9951453;6.286643
9.44776;43.655163;20.450157;3.3478894;5.143512;11.1956005;3.6162682;1.4671401;2.545719;5.9693546;6.555195
8.776387;40.51788;20.436054;3.6514678;5.442994;12.843364;3.9483247;1.5250528;2.58111;6.3723764;6.9217787
7.847467;35.727688;17.486563;2.6627097;4.1047263;9.059819;3.3520882;1.146315;2.1432562;4.834753;5.232566
6.69847;32.138916;15.9429655;2.2779403;3.8851516;9.738178;3.212134;1.0548536;2.0774808;4.505378;4.9040337
6.854894;30.03782;13.820926;2.4992228;3.6380756;7.9259768;2.675191;1.0883554;1.8316939;4.386601;4.869364
6.0814095;27.405628;13.386035;1.926301;3.046437;9.276024;2.8018222;1.0313262;1.9253991;3.917024;3.9772468
6.2130594;27.81655;12.979991;1.9616314;2.934508;7.871291;2.286695;0.91141176;1.5319916;4.1040735;4.072253
7.1992455;30.023172;14.327319;2.0364876;2.9718184;8.499426;2.6872528;1.0519048;1.6666762;4.647103;4.461492
7.3568716;29.685543;15.338905;2.7954657;4.36003;10.762294;3.0661247;1.1541475;1.922993;4.5435967;4.9550734
9.140832;38.560917;17.26007;2.7928271;4.6604314;10.570559;3.5475368;1.5148816;2.528624;5.5224404;6.301032
8.851862;38.77463;20.433224;3.742064;4.8216305;11.428539;3.5631988;1.3563235;2.5006895;5.877871;6.229454
10.61828;42.51141;23.277445;3.278321;4.6554775;12.93502;4.023275;1.6199236;3.145388;5.305316;6.1181955
11.026761;45.55626;24.035341;3.224646;5.024026;13.595488;4.493802;1.5596821;2.9744658;5.750704;6.4823685
10.723081;47.782322;22.303183;4.100753;4.779496;14.65609;3.9799755;1.7131008;2.752903;5.743546;7.1853867
10.124991;42.87208;21.119362;3.611457;5.0661826;14.452097;4.3255777;1.795528;2.707315;6.5602355;7.504606
9.954279;44.295216;22.178967;3.6773942;4.224682;14.326523;4.428257;1.603796;2.621105;6.7801294;7.027663
9.56279;40.13528;18.139324;3.162104;5.390814;11.944872;3.7278972;1.5372527;2.4699662;5.4016213;6.5033197
9.121866;35.779617;16.619078;3.3346972;4.396369;11.716381;3.6994102;1.5410697;2.7285209;5.1668463;5.503153
8.432339;36.910576;17.965227;2.9201455;4.8307066;11.71179;3.6141295;1.4326322;2.476315;5.577017;6.108197
8.469434;35.679924;17.967241;2.9962242;4.378505;12.603355;3.838367;1.4766266;2.22181;5.6319027;5.988214
9.089422;36.970493;21.953205;3.471379;4.911452;14.325147;4.366492;1.4982563;2.4571533;6.4218736;6.1426716
10.485883;47.87381;22.931208;3.7858982;4.8807883;14.389712;4.156621;1.6703911;2.8924794;6.3497844;7.0284257
8.703985;34.917248;18.726936;2.7675135;4.1929293;13.730005;3.5264516;1.5808086;2.428041;5.798377;5.7002583
8.38975;32.79898;18.242933;2.9975648;3.9855762;11.632802;3.490493;1.3775525;2.3263922;5.448183;5.392576
