2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.22115;56.68011;26.417353;4.735416;7.1821437;15.563491;5.564651;1.7451317;3.5682237;8.584831;8.515288
15.157806;61.951508;35.56875;5.4711676;6.2419715;16.638824;4.7903357;2.4088383;3.4187732;9.410877;11.293308
18.243294;56.602764;31.118383;5.0830855;7.280842;19.728819;6.7458873;2.3816638;4.6381636;8.094975;8.171771
14.28115;69.22715;34.06486;4.737366;7.417469;18.159931;5.685155;2.285309;4.0221167;9.140538;9.915557
14.071656;62.119267;30.62614;5.1316876;7.413983;21.24179;4.828453;2.1519756;4.4563966;7.274143;9.5997305
16.360107;70.14546;28.80795;4.6641965;6.5039096;19.552017;5.959794;2.3078244;4.367623;8.187142;9.030711
13.876046;74.487114;31.200567;4.899801;6.2246842;19.480112;5.9642324;1.9871303;3.805229;7.7077374;9.674183
13.4373255;57.31054;25.9111;4.1086206;7.4593773;15.111859;4.9899473;2.1583912;3.2694314;7.132359;8.507849
12.007116;56.080296;30.024626;4.8611674;5.44107;18.594276;5.4805;2.2364244;3.18234;7.443498;9.027339
12.509985;55.674393;28.448338;4.8859625;7.2025084;16.594412;5.2335877;2.1289928;3.804917;8.6193;8.857927
13.195296;56.966957;27.190834;4.949873;8.307945;19.259333;5.5619664;2.023491;4.0662885;9.490825;8.132486
14.025747;57.14159;34.164818;4.6697564;6.903557;16.55229;6.389143;2.4466422;3.314205;8.423241;8.464086
14.252588;57.275295;31.359005;4.4385633;5.658938;16.221445;5.185517;2.19825;3.4532566;6.7697773;8.653634
11.849393;60.25655;31.214527;4.5376086;7.045482;15.061848;4.56951;1.7811888;3.6120791;9.464323;8.214492
12.6669445;57.954384;28.48714;4.7632627;6.271975;17.96054;5.3781104;1.9896817;3.8624098;7.2455916;8.59467
14.110436;61.136642;26.280313;4.611657;7.402355;14.549914;5.3226886;1.6917503;4.067387;6.6940856;8.374922
12.2741165;54.455803;22.005777;4.094577;6.0827394;19.906467;4.897398;1.6771938;2.7166924;7.29982;8.059398
