1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
69.208;28.544739;23.469578;19.514393;21.489609
79.9687;32.858356;15.277573;24.366875;16.428589
74.90219;31.068892;24.44983;22.16747;21.262527
0.0;110.57455;75.69306;0.0;0.0
0.0;59.567226;33.158592;39.81682;37.34522
87.87543;37.591145;0.0;27.066265;18.866163
75.134476;34.69936;22.27452;25.388964;25.970219
80.78739;34.534;26.494982;18.896961;0.0
73.41108;31.053572;24.772238;0.0;17.238174
94.351295;0.0;30.35593;29.661146;0.0
94.18806;43.617603;27.741465;0.0;0.0
78.17855;37.57529;22.984669;29.376448;0.0
80.51898;30.177423;0.0;23.65409;27.218027
74.46139;31.078535;21.162004;0.0;21.549265
68.08123;33.163467;0.0;24.834866;22.253883
0.0;48.44766;42.063;34.63694;35.822422
65.65714;26.208477;14.150311;21.207241;16.555817
55.31958;23.61717;18.819149;15.628797;19.809748
46.688046;19.864098;17.414377;13.033555;19.619444
44.52909;20.642385;14.723619;13.72745;13.365742
50.13982;20.386147;11.05307;16.484138;13.063997
50.43417;20.795149;12.39086;6.856757;16.571558
50.482777;21.42863;14.808129;13.86728;18.305317
61.41855;24.04599;19.268929;17.834328;20.249422
70.10484;32.17969;20.937704;24.158516;22.550602
71.934715;28.120594;19.875751;18.883081;20.714289
77.09086;34.233154;25.37361;23.504417;22.043835
76.94857;34.087185;22.375376;26.61605;22.37353
104.07227;43.507225;0.0;0.0;35.065754
0.0;52.340885;38.67155;35.16298;42.48552
73.16743;37.981804;26.6045;22.345781;0.0
74.13735;28.622784;18.974916;25.002895;0.0
0.0;62.43268;0.0;39.686146;40.725838
75.755264;32.308598;0.0;22.3502;20.942064
83.813354;0.0;29.789568;28.121313;21.581219
82.23098;29.964338;17.203857;19.405645;24.7356
66.304;26.641935;17.88085;21.087223;16.578064
62.87166;28.05201;22.224512;18.008162;20.478836
87.47972;0.0;0.0;32.22227;31.206694
67.327484;31.047659;15.216412;0.0;20.6061
52.143646;30.41418;18.358883;16.144659;17.118479
47.734257;17.857306;17.476036;13.897196;13.324775
62.648357;28.704472;20.550694;0.0;0.0
52.92631;22.152346;15.077993;22.130129;0.0
51.820564;24.370274;16.104475;0.0;12.830408
50.310394;20.936504;20.128826;11.501645;17.15385
56.668465;19.39111;16.009062;15.640937;18.38113
63.224846;25.974632;16.839413;18.892921;19.953505
62.61251;27.202246;17.160042;19.327387;23.26653
68.19496;27.97808;24.60289;23.559425;21.237621
80.76129;0.0;23.755558;26.754702;21.406061
68.712326;30.031752;20.889511;28.50653;23.919073
68.37683;27.015224;20.538933;19.649258;21.52472
74.68256;30.886972;0.0;28.741322;19.132223
66.884186;27.298624;22.857464;16.765507;22.142174
67.54675;26.90666;0.0;20.746725;22.282785
61.727726;26.816908;17.707302;17.520416;19.964819
76.2075;28.172857;23.137812;20.96511;0.0
77.32497;36.480106;23.115286;0.0;20.668695
68.23541;29.603905;21.668966;13.956888;20.723246
75.41814;0.0;22.867838;19.184582;21.798622
59.70602;23.143864;19.356579;18.82838;16.744068
76.20187;34.686043;16.967648;23.57828;0.0
0.0;61.136185;42.438713;46.97651;0.0
47.692417;21.96995;15.056814;13.132251;11.661447
56.445816;0.0;0.0;17.852293;17.028172
41.71715;19.748306;10.218423;13.933816;13.459322
43.509518;15.817257;13.217776;7.5986004;0.0
34.220013;14.859015;11.305325;9.736619;10.484087
40.796665;20.57371;9.774211;0.0;9.505064
41.983097;22.917837;9.181367;13.586928;13.882714
48.184963;25.039288;18.796787;11.883243;18.510954
55.499203;21.335478;19.337343;9.937915;14.39445
61.693367;23.835793;15.791868;18.735443;15.098034
64.181496;21.629246;16.193422;19.476799;17.517048
50.93563;24.341558;15.282753;13.419433;16.799583
0.0;37.53139;33.95596;29.17453;28.406204
54.600277;24.8109;17.213232;19.449263;20.044472
57.667446;21.786926;22.52065;17.377214;20.148443
59.45509;0.0;21.049105;22.046406;15.65033
51.66138;17.67493;13.4311075;15.417478;14.611122
48.99055;25.119091;18.964674;18.745707;17.029034
56.730663;25.666178;17.776707;17.671421;20.396194
54.192814;22.379662;16.163109;20.095253;23.628683
50.803368;22.667929;17.229317;17.38997;19.408377
58.93513;22.847183;12.441035;0.0;17.520523
54.723785;20.605698;13.352687;20.327135;0.0
68.58165;28.812578;0.0;0.0;22.702415
0.0;37.931393;27.305712;0.0;34.683372
0.0;26.123367;18.810251;18.310507;20.553335
39.036022;0.0;9.42862;9.733675;10.601096
42.15991;0.0;17.050566;12.309997;0.0
36.165577;12.94921;6.814028;8.935225;7.9024296
33.45985;17.954418;7.0275126;10.399599;10.848333
40.111813;17.162123;12.680861;9.55722;11.9949665
43.801453;19.952477;16.938578;10.011708;10.825534
45.123276;18.158916;19.382055;16.710472;17.939663
52.794453;22.51741;8.435156;12.99085;12.716456
53.495502;20.724665;12.374806;22.622444;14.827133
56.32014;30.653776;15.329299;22.863625;17.933037
53.981277;19.300705;16.567822;14.512876;18.013453
62.676018;29.445621;14.755262;17.609863;0.0
44.870476;19.4638;14.5086975;14.1331835;12.81556
42.44404;15.877891;14.88826;13.629139;12.271708
45.591194;22.729568;15.464771;18.747175;0.0
44.30046;23.913033;16.776855;0.0;13.67373
50.38906;18.630407;12.663297;15.301221;15.820879
53.1633;25.022137;21.390863;15.217187;17.058502
60.190334;0.0;0.0;17.571981;20.086294
0.0;39.637115;26.828482;0.0;22.20855
0.0;36.128258;22.442863;23.23588;26.458475
45.070263;21.527641;11.862628;12.844412;14.575598
48.32277;22.179537;15.305405;17.06362;12.345449
56.402008;28.166962;22.511084;0.0;18.715229
49.291523;22.735558;0.0;16.575596;13.1877985
39.270466;18.962345;13.556565;10.106344;17.261444
36.52169;12.411237;14.304733;12.259674;13.219966
49.1003;21.467377;14.021458;14.89288;11.798464
51.073254;22.194042;17.847462;15.555805;15.650104
59.58462;19.69221;14.851505;17.719925;16.479559
71.503006;25.970203;17.254131;15.447957;17.60026
70.575294;27.819878;0.0;27.393541;25.919065
64.179794;28.650667;21.722113;20.306381;21.041922
79.19239;30.583122;0.0;23.714819;23.443348
64.21037;27.373074;23.222383;18.44668;17.532135
69.70846;29.061958;23.090584;20.903261;24.20614
64.53933;28.691803;20.319204;21.503086;17.591743
0.0;42.152775;34.308914;32.139038;33.22401
0.0;38.005272;30.031446;26.567413;27.217884
77.92253;0.0;23.215147;21.813046;25.431358
62.575745;29.30797;23.043962;19.027662;22.668161
65.151566;24.283628;20.368835;16.951859;19.682987
67.01271;25.263023;0.0;19.92527;21.982573
69.46895;24.923464;0.0;19.184002;22.838226
74.35912;32.605083;21.3766;20.831448;0.0
66.39314;25.219124;18.732214;18.943094;20.56351
50.67705;19.293787;16.316412;17.903648;17.36702
76.76842;35.00054;0.0;18.035358;0.0
53.065712;17.58432;14.961219;17.432945;13.86658
43.68783;21.631432;18.545109;15.551141;18.466864
41.18366;18.58202;14.889746;7.540985;15.207405
58.571823;20.650602;12.683359;0.0;17.689241
54.591766;16.846312;16.168575;15.696817;14.372745
59.92196;23.897089;21.476961;18.187536;17.818312
102.071785;46.324062;0.0;29.249157;0.0
69.41932;27.088167;17.864067;26.159092;23.216364
73.402016;29.930704;18.673954;24.851076;22.009178
104.22823;46.35247;0.0;28.237381;0.0
100.03067;0.0;33.774746;28.053421;24.89766
70.50173;25.450651;21.084715;25.002121;25.604765
64.34504;30.53372;22.988316;20.270618;21.49013
72.14725;28.24492;0.0;26.311089;22.04136
85.87625;0.0;23.940535;28.951384;0.0
60.623337;22.276396;14.931352;22.176104;20.458607
73.19107;29.042091;26.428688;19.984413;21.054838
70.95722;28.432543;21.723726;22.366863;26.585901
59.945286;26.59235;22.086006;15.526406;21.202414
63.877262;21.859262;19.502651;16.803387;18.17423
0.0;43.005028;28.123713;31.94543;30.806181
58.715282;26.023008;17.543385;19.00837;15.984044
68.44761;0.0;27.443615;23.650467;19.114574
0.0;32.70541;31.235226;25.004576;27.11009
48.163445;19.81969;11.144551;14.564224;14.75493
62.132137;22.88888;22.1599;0.0;0.0
48.153786;23.566301;17.099115;10.79392;11.032958
0.0;47.562485;0.0;34.08575;35.561565
53.865543;22.483923;12.664776;18.734482;12.475662
61.820026;31.106434;19.95627;14.439439;16.508768
77.78829;30.546562;25.657804;0.0;18.462566
83.3144;0.0;30.43044;27.542551;26.78802
76.534225;28.661514;22.012371;23.07687;27.680353
0.0;51.75253;36.76954;37.47134;33.65751
73.984276;33.423603;22.752623;21.561752;23.659597
72.34239;34.95329;21.131079;17.664913;22.012257
64.91921;27.058634;17.70548;22.63692;20.845675
68.17114;29.230034;22.922457;17.484713;19.124443
95.15469;0.0;0.0;28.359978;28.201572
59.82231;28.476757;18.811274;16.905088;19.061565
78.28886;33.96334;22.548515;19.377985;0.0
75.95302;28.813915;26.053555;30.887686;19.223585
0.0;43.49538;34.00376;34.452816;34.212788
69.290695;31.814272;15.888624;19.299927;21.294489
66.44076;26.963776;19.046722;22.542849;21.247803
63.25102;29.730402;17.157084;24.928064;20.321768
