2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
13.004774;19.239569;-3.8178618;1.693009;6.529204;17.174921;5.899391;1.7816004;1.6047083;5.8288083;4.762436
12.47676;17.91079;-4.0731144;1.5477511;7.411278;16.458048;5.839511;1.8531263;1.6311586;5.9610004;5.2199173
13.147102;20.739035;-3.7521975;1.6568631;7.986127;16.436132;6.0850115;1.8827823;1.6883304;6.25243;4.5065947
13.946562;18.294662;-3.6048682;1.6210481;7.44992;16.052294;5.426305;1.7301699;1.6000384;6.126755;4.3101497
11.263079;19.332375;-3.950241;1.5864589;7.695063;16.452196;5.576358;1.6205716;1.6334431;5.63592;4.7711163
13.06736;19.527153;-3.8345463;1.5261252;7.0002513;15.237635;5.261576;1.7266905;1.5364912;5.960617;4.9572234
13.046457;18.881886;-3.790282;1.6180967;7.2265506;16.998497;5.6158566;1.9018214;1.6468542;5.606047;4.953563
13.142528;18.76834;-3.8096108;1.6262605;7.235864;16.565466;5.0455194;1.9743387;1.5702488;5.924908;5.0823793
12.888433;20.458647;-3.9329953;1.5552522;7.6457677;17.158066;5.9028115;1.7719431;1.596332;6.194004;5.1493044
10.970187;19.448126;-4.057279;1.714763;8.254374;15.322138;5.835105;1.7603079;1.5738196;6.0974526;4.938605
12.946241;18.064978;-4.205468;1.5956264;7.4763746;16.085667;5.4077406;1.8645786;1.6895611;5.9416146;5.3609324
13.3470335;18.944233;-3.8427563;1.7241964;7.4442077;15.555236;5.5913715;1.9153363;1.6844722;5.832413;4.7331886
12.976901;19.886406;-3.7840812;1.7619452;8.50221;16.000513;5.2188253;1.8052294;1.5995014;5.7045875;4.951778
13.059985;16.944883;-3.8655493;1.5890667;7.626718;15.786427;5.6416025;1.8936586;1.6167235;5.8612676;4.698019
13.330825;20.224775;-3.7526135;1.5525728;7.8587384;16.568714;6.1161685;1.8938334;1.6534615;6.1242557;4.9691195
13.441246;19.516754;-4.1392655;1.6825101;7.689647;16.765411;5.7998605;1.7871928;1.6065321;6.2726855;4.9310184
11.65428;18.052238;-3.8549564;1.681481;6.874435;17.351488;5.849812;1.8089564;1.5910717;5.6017866;5.379477
12.203434;20.612669;-4.1589518;1.668608;7.7819176;15.480339;5.6154804;1.7648232;1.612342;5.9886894;4.713373
12.432886;18.060415;-3.8881743;1.5504259;7.5532093;16.24425;5.9201436;1.7938962;1.7244065;5.997703;5.264759
12.034531;19.51637;-3.9551103;1.5727113;8.25337;16.569063;5.5977726;1.9027445;1.559648;5.7387395;4.9323316
11.470559;19.53176;-3.5997143;1.6350987;7.0362983;15.844142;5.9067326;1.7150129;1.6683214;5.2031355;5.664847
13.267549;19.565754;-3.747141;1.680026;6.9740386;16.928053;5.8891654;1.9505713;1.7033167;5.1116586;4.8808365
13.2332;18.69766;-3.9170325;1.6338843;7.1393886;18.712408;6.298105;1.7492161;1.710446;6.321217;4.738658
13.315273;18.760727;-4.0158095;1.6376257;7.7609878;15.919617;5.417734;1.9068836;1.5711251;5.979541;5.134079
12.354023;19.053408;-3.6943245;1.6391457;6.952062;17.46126;5.6835394;1.89377;1.5516615;5.6558433;4.8581133
12.308197;20.57523;-4.096139;1.6705033;7.312708;17.566801;5.901371;1.8570689;1.6780162;5.749292;4.786646
12.587743;20.245226;-3.774029;1.5715206;7.8262215;18.014002;5.560266;1.7936944;1.5408447;5.5813046;4.9525003
12.784299;20.099236;-3.8288503;1.4197987;7.45543;17.47361;6.1157465;1.9043996;1.5747448;6.721644;5.322552
13.482663;19.864836;-3.8577278;1.6824175;6.8564606;17.84048;5.9207993;1.8709584;1.6557933;5.7388964;4.8107004
