1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
106.053116;103.72689;100.94345;106.74894;109.40445
105.477356;104.81604;102.4469;107.4492;109.34361
105.96506;104.41845;100.78719;106.723206;109.29023
105.3704;105.05145;100.7754;107.24211;109.051605
105.53585;104.68351;101.19395;106.8038;108.49805
105.4002;104.65429;102.334625;107.59048;108.90616
-1.0;105.21284;102.15396;106.91528;108.49327
-1.0;104.82365;102.47894;106.21044;109.11405
104.21988;104.8782;101.02306;107.9002;109.74912
106.87542;104.83763;101.023315;106.872345;108.36293
-1.0;104.483864;101.321075;-1.0;108.7445
-1.0;103.47189;-1.0;106.640305;108.39472
-1.0;104.28364;101.47682;107.433586;109.201
105.659676;104.96256;100.35748;106.10443;109.162155
105.168045;104.26591;99.934685;107.031395;109.1634
105.60191;103.94345;100.21814;106.53653;109.69617
105.80684;105.64396;101.34933;107.11598;109.60685
105.47964;105.125755;-1.0;106.44564;-1.0
105.53609;104.20597;101.551544;106.33227;-1.0
106.494415;103.81749;100.61257;106.72914;109.06313
104.984375;105.19493;101.60042;108.12011;109.09854
106.55275;103.91951;100.957565;106.87792;109.229805
106.155396;104.05303;101.4382;106.31393;108.18102
106.20582;104.22675;101.2301;-1.0;108.77749
105.864586;103.44638;101.08789;106.81201;109.38242
106.31132;105.317474;101.42186;107.16431;108.952255
105.87684;104.19571;101.12214;107.81474;108.70624
105.539505;104.95526;-1.0;107.470055;109.28168
106.47532;105.78153;101.29721;106.68219;108.74754
105.88281;105.11153;101.00726;107.80526;107.900116
104.74193;-1.0;100.7233;108.02597;109.281685
104.625755;-1.0;100.917496;107.5674;108.316124
107.046844;104.140076;101.19678;106.30589;108.83142
106.057945;104.87568;100.96144;106.6864;109.09646
-1.0;105.149605;101.512764;106.89711;108.89153
105.2745;-1.0;100.293144;106.617836;109.82614
105.844635;105.67419;100.78326;106.78069;108.824745
105.43487;105.033554;101.51877;106.81331;109.28194
105.490036;104.971504;101.16415;-1.0;109.0476
106.19716;103.81388;100.99109;106.45657;108.86232
105.16653;104.66895;101.58912;107.59504;109.39437
106.60085;104.84204;101.25844;106.01503;109.896286
106.30041;104.49708;100.543434;106.30694;108.81296
106.43819;104.92533;100.59399;-1.0;109.55448
105.60554;104.58095;101.73222;-1.0;109.52081
105.86427;104.16142;101.76336;106.94527;108.42577
105.73878;103.89379;102.36899;107.09766;109.005196
106.08565;105.102684;100.538445;106.75864;108.61936
106.62552;105.58986;101.45965;106.934494;-1.0
105.91551;103.30426;101.620346;107.05764;108.86791
105.57317;103.99958;101.63519;105.971306;107.661736
-1.0;104.38291;102.11896;106.380684;108.86412
105.63205;104.98198;101.26272;106.784584;109.018684
105.66714;104.80799;102.25685;106.60332;108.95117
106.262924;104.94;100.41272;108.153755;109.09137
106.225685;104.74197;101.66989;107.16665;109.12367
106.708725;104.536766;100.3102;106.43683;109.09799
106.69499;105.24861;100.84592;-1.0;109.28733
105.59213;104.735825;101.22568;107.25447;109.67331
106.04174;103.71961;-1.0;106.31481;109.89781
106.62123;104.784805;100.954544;107.27436;108.65557
102.08994;-1.0;-1.0;106.747604;108.518684
105.09125;-1.0;101.69586;107.16142;109.24036
105.96137;104.34899;101.841156;107.041695;107.88322
105.50378;105.189476;101.63584;106.674835;109.59483
105.77523;104.96182;100.62258;107.59981;-1.0
-1.0;104.1351;-1.0;106.72205;107.91672
105.42142;103.15914;100.88457;106.3603;109.79389
105.90263;104.00084;101.670105;-1.0;109.19147
105.86669;104.56112;101.03665;107.48729;108.78754
105.18739;-1.0;99.969696;106.467735;109.03259
106.18148;103.31338;100.516495;106.31576;109.31029
106.07118;104.754555;101.7763;107.17485;109.50688
106.41768;105.39578;100.73905;107.04717;-1.0
104.69061;-1.0;100.00359;107.52429;109.78241
105.639854;103.08634;101.90101;106.99005;108.59623
105.40951;103.907104;101.56549;107.354706;109.01555
104.35703;104.751785;101.30054;106.35549;109.157486
106.11489;104.40473;100.536514;107.52009;108.99799
107.10478;104.41867;100.64439;106.24528;108.52191
105.49336;104.60318;101.08873;-1.0;108.18475
106.35668;105.05559;101.00889;106.857994;109.39864
106.38983;104.68261;-1.0;106.19418;109.33985
105.9927;-1.0;-1.0;110.61178;112.426926
-1.0;104.791595;101.0203;106.61866;108.50999
105.23021;104.3327;101.4012;106.94706;108.66952
105.44529;104.937874;100.74065;106.635895;109.05101
105.475204;104.39549;101.59782;106.827835;109.757385
106.423645;104.53905;100.38232;106.85072;109.03439
106.61065;104.70159;101.02216;107.30082;109.19439
107.14015;104.23101;-1.0;107.21791;108.29414
106.21464;103.84012;100.405045;107.480354;109.89031
105.72963;104.75521;101.957565;107.7396;-1.0
105.76055;104.80735;101.24275;106.297485;109.94022
105.72691;103.864494;100.78751;106.692406;-1.0
105.941956;104.05717;100.27896;106.51722;107.88555
105.48733;103.69602;-1.0;107.75445;109.00595
105.78859;103.57609;101.208;107.47918;108.55299
-1.0;104.46132;100.25302;107.55382;-1.0
106.00606;104.16912;101.20791;107.18193;-1.0
106.33974;104.831795;100.5572;107.10875;109.34215
106.206276;104.60083;101.0976;106.94209;108.48156
105.466095;104.769745;101.84083;107.729614;109.38787
104.81068;104.84299;101.13971;105.91468;108.98538
106.6285;103.830315;101.05607;106.45634;108.8879
106.43173;103.663414;101.36764;106.59493;109.43613
106.55288;105.343735;101.067085;-1.0;-1.0
106.521965;103.86552;101.59886;107.29476;108.420204
106.291046;104.07202;100.86021;106.97279;109.252594
106.114075;-1.0;100.68289;107.236725;108.79231
-1.0;104.01725;101.36192;-1.0;109.22491
106.08503;104.711945;100.8121;106.9072;109.41069
104.760155;104.68606;100.70895;106.762924;108.13655
106.01723;105.346176;101.54177;107.95244;108.27129
106.19617;105.20525;99.63425;106.70784;109.48964
104.72237;105.04373;100.72181;107.62501;108.972084
106.035934;105.16079;101.08163;107.35934;108.68653
106.01325;103.83388;101.40231;106.50256;109.49154
106.01311;103.88762;101.34496;106.36529;108.64642
105.49841;-1.0;100.80873;107.013756;110.053665
106.44002;104.467316;100.9679;106.05583;-1.0
