1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.92776;104.5;101.07942;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
106.0;104.5;101.0;107.0;109.0
-1.0;104.5;101.33399;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
105.94282;104.5;101.3314;107.0;109.0
105.79627;104.5;101.46306;107.0;109.0
105.88538;104.5;101.107666;107.0;109.0
105.93785;104.5;101.0;107.0;109.0
105.95488;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
-1.0;104.5;101.11908;107.0;109.0
104.01796;-1.0;101.0;-1.0;108.03534
106.0;104.5;101.0;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
-1.0;104.5;101.61904;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.92258;104.5;101.11597;107.0;109.0
106.0;104.5;101.0;107.0;109.0
105.98805;104.5;101.0;107.0;109.0
105.76857;104.5;101.512535;107.0;109.0
105.78039;104.5;101.32487;107.0;109.0
105.90578;104.5;101.18562;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;-1.0
106.0;104.5;101.0;107.0;109.0
106.03316;104.5;-1.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;-1.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
106.0;104.5;101.0;107.0;109.0
