2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
20.984282;94.12841;39.962246;7.3685374;9.125573;24.929056;6.1848044;3.3032253;5.09626;11.383908;14.375237
21.226559;78.981316;39.26429;6.2205834;11.652474;26.199194;9.776684;2.9945045;6.243945;15.274623;12.749899
21.143986;98.602585;51.97777;6.6978145;12.451127;26.152401;8.318805;3.2232482;6.4513273;11.24162;15.435233
20.121956;117.240265;51.205475;7.3550205;11.69711;26.437374;8.620553;3.511721;6.1066327;14.438233;13.907784
20.513506;82.92044;43.614178;7.5103283;10.251248;29.396723;7.979284;3.535481;5.421139;13.574945;14.272775
17.986712;81.872925;35.783436;5.597033;10.222928;25.539701;9.156376;2.6579542;5.8811736;11.338696;12.096388
18.362919;65.13959;42.623894;6.9703813;10.683537;26.470919;8.494415;2.7121084;5.1752114;13.9984865;12.927331
20.441147;73.92607;38.577766;7.000565;11.450688;26.798595;8.026981;3.4196987;5.5842395;15.150013;13.457759
22.910961;83.25815;45.071068;7.347699;10.707873;28.775196;7.6812363;3.250597;5.7674427;11.109747;14.879675
22.048914;81.93576;39.408436;6.1648917;9.370992;30.02361;7.68041;3.25346;5.488327;10.875036;14.025957
18.275957;84.015465;38.072327;6.067329;9.461301;24.69825;5.550675;2.8244843;4.1785192;9.403851;11.239528
13.486488;75.12859;32.70275;5.7841773;8.469847;22.156649;6.3327627;2.682936;4.2165427;9.197872;10.5926075
14.027068;65.58872;36.42079;5.7372966;8.271209;20.422422;7.5449376;2.7493033;4.9630513;9.897861;12.071753
14.18936;74.26957;34.056675;6.5759387;8.240185;23.54158;6.1064205;2.9340937;4.5939803;9.55992;10.944453
18.589298;74.55146;44.72383;7.5751925;9.50316;31.959986;6.808407;2.7644036;5.2194505;12.809521;12.746356
22.881487;115.198784;40.976654;9.811699;12.083077;27.80106;8.463566;3.357142;5.997862;14.644301;14.950108
30.20929;110.50948;55.229412;7.517444;14.657124;28.904734;8.770856;3.4567;6.557194;19.51302;15.27446
21.490778;107.094406;64.551445;8.412405;12.094613;37.28251;10.027543;4.32473;8.0012;18.718616;16.751007
26.215647;120.0872;60.73488;8.527399;16.20133;41.57549;10.719452;4.583609;8.355713;16.984081;16.893627
22.672867;119.208984;49.98029;9.2538595;12.908435;37.22984;12.518696;3.6872702;6.9861293;16.832897;17.346523
24.576641;109.49446;48.10845;7.567359;13.953783;31.476715;10.0270605;4.689759;6.067334;14.960591;17.341606
26.025496;115.1372;54.55146;9.507514;10.345155;39.315804;12.311724;5.023848;7.3748803;15.297973;19.777006
19.710794;103.374886;48.684418;9.257594;11.27947;35.259773;9.994168;4.169221;7.184232;13.995633;16.554646
20.417818;109.78887;52.019894;7.378985;12.131019;30.142698;9.499184;3.393434;6.698398;14.115793;14.445609
23.33228;88.44392;44.86645;6.999429;11.963383;28.954355;8.898783;4.413635;5.8115973;12.462703;14.153246
22.213581;87.96371;52.60868;7.395125;10.450087;28.64335;9.54137;3.8309424;6.321432;13.213329;17.089708
29.932579;102.389824;48.93609;8.125523;10.5318575;37.87333;10.433673;4.8167806;7.2625976;16.908188;16.588984
26.439922;132.10695;58.09974;8.224835;12.567875;33.805878;12.210198;3.9446886;7.915266;12.874842;17.074833
23.853312;87.09457;52.88104;9.219436;13.416533;35.148712;9.429423;3.8188272;6.310416;14.856998;14.98697
23.666838;92.02205;40.78963;7.550483;10.460014;28.881023;8.938606;3.1968026;5.533674;11.709881;16.43585
18.764364;105.34254;55.05566;8.032792;10.321607;31.736391;9.496139;3.6122491;6.3976502;13.1660795;16.77399
21.82519;96.868065;51.320374;7.6258125;11.76495;34.066635;9.813009;3.8730989;5.8766613;12.730322;15.583195
19.779154;71.8206;40.201237;5.8599205;10.237506;23.4356;7.2568755;2.7557015;4.9943733;9.572419;11.361615
16.28463;63.56085;35.142216;5.2206383;8.931203;19.625187;6.153987;2.7959647;4.670613;9.848914;9.83988
14.827899;71.034775;30.977873;6.083957;6.252066;22.910933;6.469081;2.536713;4.1005335;9.098065;11.760486
13.569099;59.19938;35.441063;5.0299067;7.443746;21.282764;6.6031923;2.0378063;3.9298465;9.810166;8.851178
12.892589;60.33704;30.903059;5.1904488;6.252338;18.478775;5.4342303;1.8702016;4.270839;7.3737626;8.513938
15.296192;64.60976;31.671284;4.547353;6.6967454;25.757341;6.2865257;2.4406948;3.8918817;11.248896;10.909217
15.247892;70.65457;38.916077;6.036968;9.23468;27.218338;6.633;3.146401;4.1331496;11.033403;12.558201
20.485064;80.94885;42.034153;7.82385;7.5655503;28.164406;8.624424;3.355042;4.525878;13.246544;12.286362
18.766413;95.42132;47.59225;6.6673517;10.333506;26.252916;10.4429655;3.5147178;5.309566;12.936099;16.166115
22.922688;90.008835;51.113087;6.953471;11.15508;26.784786;11.046052;3.2168195;7.2702684;14.918983;16.047283
23.39251;105.40283;54.1901;8.371131;11.294612;28.767597;9.613006;3.8001156;5.494789;11.584599;16.903519
20.950487;98.213165;53.913025;8.05229;11.45876;30.17576;9.350439;3.3503513;5.616999;12.867498;13.468977
24.24122;101.420586;55.78382;7.9566016;12.174696;35.02889;10.268417;4.0874887;7.262547;13.8592;12.18902
24.783424;104.31011;40.495747;7.381614;13.03207;32.168446;8.051825;3.3321884;6.7788744;13.741084;14.087342
17.720362;88.44116;48.639297;7.1795664;9.618909;31.037085;8.323132;2.8640199;6.5258245;13.090768;15.307838
21.570154;104.4539;42.27179;6.8310223;9.097988;26.99492;8.253459;3.2099466;4.98416;12.132121;14.82088
21.321241;103.77603;38.396782;7.245483;11.010378;23.875307;9.860403;3.0152526;5.116543;10.9779215;14.737685
20.086023;84.361946;45.64129;7.9326453;10.488404;25.930367;8.139066;3.5383759;5.062613;12.317887;13.280038
24.186697;90.974884;50.594044;7.454497;12.737809;30.540081;9.719792;3.643946;5.7421503;13.8865595;15.763668
19.702541;92.5236;50.917652;7.734693;11.871472;29.874699;9.223054;3.0863125;6.0382767;13.940931;16.683651
20.139893;82.90665;43.884045;7.4057293;10.147142;27.529585;8.08508;3.3813183;5.409962;11.467764;14.802687
20.398853;70.235374;40.847298;6.6691756;10.553331;28.775957;8.841529;3.0208974;5.4138584;10.152108;16.034061
20.01987;95.9315;37.691833;8.43599;9.72342;28.359152;7.060889;3.4810913;4.8259873;10.311754;14.312888
18.469254;95.23781;43.40718;8.076134;11.694515;28.905123;6.8063755;3.4975288;4.682033;14.042102;12.80468
22.980595;109.59972;59.33181;8.032633;12.008948;30.86612;10.309813;4.0146804;6.6836967;18.159977;14.126573
23.318495;102.87271;50.961018;7.3297544;11.986304;33.047012;8.960567;3.0954597;5.5814047;14.034275;14.102341
19.811184;86.28241;43.293644;7.850642;8.915568;25.170301;8.285645;3.2407403;5.9435487;12.112392;13.972843
19.01904;71.17186;38.82643;5.8596425;7.9626336;22.879183;8.852794;3.1022677;6.1552043;12.037271;11.962132
19.8452;78.08334;37.706165;6.896338;9.577188;25.32895;7.9741945;3.6101456;4.9837985;11.86567;12.266813
19.71756;74.262085;36.969227;7.117951;9.940693;28.534853;7.3583307;3.4238164;5.6026735;10.097523;15.133863
26.350233;88.36617;48.514458;9.268693;10.472969;30.530003;8.821029;3.70931;5.7193685;12.8942795;13.756435
27.537237;115.74811;56.655865;8.847019;13.582413;35.382965;11.35641;4.9548116;7.3362265;17.759932;17.788744
27.812387;120.35147;64.83836;9.190337;13.012693;38.824413;11.514642;4.801554;7.779279;15.710086;21.438253
27.996214;144.87967;61.700256;11.413713;15.592447;42.911655;11.869997;4.935881;8.490561;19.635984;18.49216
32.47378;123.03368;59.165134;9.954137;17.807047;40.469555;13.138569;4.7657385;7.7297907;20.522137;21.363127
32.203266;150.38054;82.98387;11.4000635;15.400845;42.424988;14.724201;5.278066;7.7854767;20.077969;21.467667
25.420033;145.17625;68.76358;10.94159;17.066238;45.145035;14.331236;4.7436647;7.7446575;17.399971;22.878998
26.380335;154.32147;59.88522;10.737701;13.603251;43.346428;13.023259;5.236461;8.267816;17.94879;24.631916
29.72747;133.25984;63.168392;10.242963;13.496577;42.075302;9.78915;5.512476;8.125402;16.88663;20.499033
26.435806;104.13814;58.052685;9.088061;15.8199;34.38606;11.438605;4.7152486;7.968793;15.322679;18.28434
26.33148;116.26811;58.25928;9.531739;13.213256;28.84126;11.064984;3.83027;6.572628;15.404877;19.352936
27.388435;110.42389;57.70452;9.967807;12.649154;34.887417;9.838757;4.0140295;7.1124315;17.20916;16.727806
25.321238;127.936584;61.570866;9.236392;12.581772;42.96288;13.695673;4.8100924;8.880554;17.485302;20.668926
39.981613;111.33778;61.351513;12.247747;13.52428;40.390785;13.47227;4.401524;9.02816;17.475939;18.4663
33.160156;121.45687;69.55935;9.291498;14.117582;39.083977;11.686774;4.602022;8.042233;18.20733;18.716028
28.236643;114.136215;56.67211;8.848409;14.554495;33.628952;9.958647;4.2230067;7.6212063;15.4115925;19.581388
29.151426;114.34789;52.91894;8.816425;13.79688;38.804203;10.742637;4.4460216;7.750665;14.793237;19.48054
30.136255;123.00924;54.625248;9.399765;14.495153;36.679714;11.931063;4.2659216;8.843911;15.9929;17.209492
24.07017;116.93692;55.388416;9.368313;13.056484;35.574684;10.331974;3.427895;8.040189;15.081825;16.841034
25.76981;100.73002;51.685566;8.680254;13.567754;33.458637;10.794397;4.2973266;6.2630706;15.267691;17.653553
21.329939;89.393684;55.149406;7.58439;11.917218;29.720457;9.913852;3.9807339;5.9934096;13.457525;14.431836
20.502209;84.82671;47.101814;7.7064395;10.80152;26.082157;7.508465;3.8406906;6.0307746;13.727101;12.510693
20.784094;91.888374;35.739372;7.618109;9.999273;31.634096;8.343526;3.246647;5.6479435;12.46212;12.061893
21.992537;94.839966;50.043255;6.0216584;11.242276;30.150352;8.090054;3.1895864;7.071453;11.014498;13.577467
22.980736;94.18139;50.75416;9.204235;14.45842;38.980686;9.417386;4.8477187;6.537133;17.452797;16.301592
30.092531;115.553375;57.11395;7.8970785;14.129675;38.944584;10.518225;4.635288;9.104146;15.103589;18.301128
30.151419;126.138824;61.54778;10.963254;14.236322;42.059364;12.576279;5.3897176;8.325279;17.887264;19.482298
27.857588;129.92752;67.17904;12.262378;14.536827;41.699867;12.429889;4.941679;8.273265;18.519213;20.038448
31.031532;144.2008;76.43951;11.208201;18.515581;44.088814;12.694781;4.2929096;9.115682;20.182926;24.796465
35.32089;134.52814;73.35243;11.706396;16.3351;45.37922;12.302841;5.5042796;9.210991;19.823233;25.773394
33.886997;158.33673;93.716385;11.470635;17.304623;39.790718;15.214404;6.431331;8.877259;21.644348;23.295399
33.080727;124.47237;73.55818;12.171488;19.573515;39.385498;14.8857155;5.3308043;9.514328;21.032454;23.067858
33.3735;129.51508;60.731224;9.737886;14.113426;52.708645;12.683741;3.9572244;8.014595;20.333012;23.036118
31.61555;146.31311;58.902752;8.547632;11.642938;48.27992;10.717383;4.8220124;8.421658;19.220036;22.611368
25.740185;120.69018;58.45621;10.405398;14.8951025;36.898926;13.741153;4.0255866;8.061695;16.118261;19.096163
29.517092;131.37868;60.23746;8.995839;19.672308;38.26544;12.507664;4.34558;7.9143343;18.33435;19.62255
27.471392;130.33632;78.940384;11.963018;16.036154;41.481052;15.427061;5.5996866;9.726904;18.443106;24.787804
33.292572;150.01617;80.11129;10.86002;15.942309;46.39406;11.28395;5.216204;9.887651;21.150137;24.960403
30.860096;114.02205;68.42265;9.616474;12.701583;42.81195;12.567188;5.4357166;9.264616;21.145624;21.10529
26.745478;121.92855;57.978424;8.727222;13.503095;41.11705;11.452063;4.9313273;6.6387978;17.100018;19.219664
24.539423;122.2028;64.45234;9.532912;15.857106;42.858913;10.866553;4.7267003;7.4194517;17.796797;18.793566
23.23283;128.80621;69.941414;9.929325;13.925939;38.356495;11.639564;4.8733335;6.712815;17.932337;18.149643
27.767242;97.12312;67.55125;8.669469;14.389411;41.25229;11.6601305;4.1810765;7.541575;16.525583;19.178015
22.608946;112.646645;52.41513;8.864123;11.143502;30.571848;11.025415;3.9434443;7.216667;13.651572;16.756676
20.923264;84.71192;54.645824;8.957544;9.836764;27.573372;7.36813;3.4435582;6.1066475;14.392985;16.043383
20.9669;80.45124;49.57281;7.5198703;9.85033;31.71761;6.9788527;3.0094357;5.247928;13.1093645;12.979211
21.403858;81.68016;38.635555;7.0566664;10.025324;25.519554;7.065416;3.247809;6.0434628;11.649469;12.609694
21.542248;110.521385;53.472088;7.041616;11.305603;27.016174;9.767151;3.1641552;5.5801983;12.413686;11.893217
22.377344;97.15805;62.049397;8.451093;13.039855;28.063969;9.835166;3.757131;6.8125033;13.421596;16.01583
25.298483;140.09047;67.56497;9.565918;15.176025;41.453182;11.002204;4.7121024;6.5469756;18.55948;20.538324
28.584423;109.96668;70.18262;9.910456;14.483294;50.520752;12.018382;5.1198015;9.214859;16.300144;18.246113
31.657648;138.33998;71.279564;11.081849;16.3212;46.593933;11.872299;5.325211;9.141724;20.01744;21.09205
36.50384;140.7344;75.42858;11.70299;18.274681;43.773136;13.216583;4.7334275;8.856603;21.41657;20.482237
38.544;145.82584;69.54;10.570852;19.939844;43.30861;13.491021;5.7710824;8.974732;24.43837;22.41377
33.09737;137.78006;67.610176;12.0568695;18.890276;52.91856;14.271947;5.2518053;10.416461;19.136995;23.87822
32.480843;151.59468;82.54942;11.755471;14.073431;46.716434;13.473154;4.69578;9.616984;20.300156;21.785154
32.752857;124.431946;70.81679;10.725871;17.033457;37.273922;12.701621;3.967927;8.627001;17.714863;22.67901
27.660234;127.91396;66.49802;8.582825;15.052403;41.84551;11.76311;4.540459;7.329769;13.979009;18.405893
