2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.88855;19.886694;-4.2719636;1.4818468;7.5185595;16.112833;5.7164745;1.7003943;1.5418977;6.035729;4.8841925
13.513278;19.77758;-3.6043;1.6337621;7.3582788;16.812174;5.317767;1.702876;1.638903;6.154568;4.956796
11.478893;20.300653;-3.747473;1.5899432;7.363387;17.21049;6.2145085;1.7269185;1.4988759;5.9805093;4.132108
13.839567;17.265787;-3.8297596;1.5666069;7.293527;16.480623;5.842679;1.6328952;1.449326;5.9594393;5.113742
11.817044;18.952702;-3.8230214;1.6040968;7.4613495;17.42016;6.0371146;1.9386044;1.7408003;5.5525556;4.932321
12.1912565;19.602057;-3.2487075;1.6643137;7.751982;16.202509;5.5620284;1.831055;1.4908798;5.4313164;5.302155
12.044386;19.568724;-4.1888742;1.506601;8.120188;15.971941;5.478059;1.8230351;1.6490573;6.221341;4.9330487
12.650763;17.895178;-3.5682268;1.5646638;7.1154366;16.64136;6.0929914;1.9470216;1.5087066;5.685776;5.095841
13.082393;18.171185;-3.8844626;1.4940181;7.4125776;15.962601;5.845201;1.8491813;1.6252335;5.6577854;5.326398
12.713691;18.465578;-3.8503263;1.5550237;7.455134;16.935019;5.6010947;1.853988;1.7051907;5.65547;5.2571297
11.992639;17.736832;-3.7308326;1.5918947;7.6256833;17.701252;5.896438;1.7182977;1.8062;6.035115;4.784231
12.612051;19.451014;-3.8837204;1.5930716;8.072592;16.268358;5.8277273;1.8322232;1.5415323;5.784661;5.4288116
12.1511755;18.038332;-3.9164975;1.6119316;6.7752666;17.833958;5.3278203;1.7902128;1.549291;5.7363024;5.0445933
13.532605;17.834501;-3.9204571;1.7000446;7.7760887;17.813322;6.0394173;1.8590028;1.7116389;5.7559447;5.3053007
11.84603;20.15653;-3.8937757;1.6353866;7.8391848;17.196959;5.766516;1.8575972;1.518178;5.356167;5.1052527
12.578836;19.6461;-3.7989156;1.7754468;8.706168;15.763545;6.213854;1.7621099;1.6103784;6.081414;5.0630326
12.212029;20.356888;-3.7346396;1.562174;7.12406;18.10794;5.6541395;1.7168242;1.4793715;5.941925;4.873252
12.344106;19.301697;-3.8335056;1.4888921;7.3430505;16.39196;5.8217845;1.8081925;1.6352978;6.064198;5.5434914
12.64766;18.625011;-3.9251442;1.5502818;7.151138;17.967308;5.9294844;1.8015709;1.6155729;6.134491;4.5071893
12.933646;19.817831;-3.6454248;1.7221818;7.7219934;17.686247;6.205953;1.8412272;1.492836;5.4213586;4.5797515
14.454999;19.146309;-3.8513265;1.5709109;7.3451867;17.89407;6.00298;1.8850446;1.6793884;6.466881;5.100022
12.747007;18.54548;-4.4658403;1.6235173;7.296208;17.82721;5.6563053;1.7167311;1.5735271;5.645241;4.9513655
13.157302;19.035574;-3.6946473;1.6807342;7.422233;17.359308;5.845818;1.8053585;1.6579192;5.872664;4.802931
12.782892;20.49866;-3.7378595;1.5903862;7.807103;16.770874;5.749091;1.9227307;1.5471096;5.8696713;4.4035163
13.219435;18.297495;-4.026521;1.5708964;7.311703;17.045376;5.9940085;1.8554006;1.6258504;5.9164553;4.9398594
13.31224;16.786575;-3.7269428;1.6420474;7.478074;17.521454;5.27834;1.9031268;1.6844639;6.0296793;5.306563
13.227245;18.683521;-3.9134684;1.6679591;7.7747455;17.811018;6.0121098;1.7212485;1.5348053;5.911895;4.96713
13.0337;18.089264;-3.9165359;1.6193193;7.493743;16.968752;5.5769506;1.8949713;1.5988339;5.4931293;5.073049
12.597384;19.132881;-4.128487;1.6722535;8.057885;17.14187;5.609775;1.7581148;1.8443606;5.5444555;5.0639253
12.371511;19.401983;-3.6859882;1.5742934;7.500495;16.72678;6.089983;1.816546;1.5814937;5.5552597;5.0391793
12.519952;20.255829;-3.7423544;1.6180854;7.0397677;16.68512;5.611247;1.7324663;1.5998524;5.5671554;5.0324144
12.977485;17.152975;-3.8065498;1.4834834;7.3697643;16.390738;6.1284256;1.8345201;1.6526368;5.605995;5.052393
11.746533;18.981848;-4.042181;1.6389447;6.4413023;17.37545;5.728361;1.7841952;1.7079035;6.340192;4.9533105
12.705459;18.550362;-3.876898;1.6584411;8.200834;19.278557;5.759082;1.7808474;1.5263996;5.879073;4.782539
13.227372;18.77904;-3.9168892;1.6856574;7.456239;16.43294;5.905203;1.8231465;1.5016284;5.9448304;5.3053184
13.366368;19.260159;-4.0700636;1.5790597;7.391561;17.625917;5.754092;1.8796314;1.66747;5.6303315;5.3073106
11.842197;17.782377;-4.141405;1.6652592;8.231077;15.70963;5.900653;1.710034;1.5748029;5.4986258;4.5349917
12.595449;17.57938;-3.8557045;1.551827;7.3860207;16.125422;6.368821;1.7534578;1.6531409;6.0431304;5.107196
11.968956;19.23447;-3.5488052;1.55536;7.5028906;17.370316;6.0603538;1.7833079;1.6205527;5.9225864;5.1353016
12.614657;18.632603;-3.8724666;1.6229417;7.8415728;16.33966;6.1327014;1.9079765;1.5391252;6.127779;5.107636
12.809554;19.798237;-3.8966618;1.5042315;7.031523;16.217064;5.4865603;1.8614905;1.5257666;5.9246783;4.7180934
13.575976;20.075537;-3.7853084;1.6569422;7.823736;15.914274;5.8930793;1.817328;1.6661183;5.86887;5.092324
12.622841;16.615986;-3.632034;1.6240252;7.4141817;15.327781;5.329504;1.6839007;1.4961417;5.8853574;5.2317276
12.972558;20.644974;-3.7746003;1.508021;7.823712;16.174435;5.8076825;2.000981;1.5143595;5.543081;4.934377
13.690377;20.40968;-3.7633448;1.7479957;7.2970963;16.246527;5.689052;1.769707;1.6428894;5.7623277;4.9195065
12.813901;18.553728;-4.1322217;1.608522;7.91198;18.941462;5.9247866;1.9038694;1.5619692;5.5654697;4.66655
12.548512;18.81958;-3.78762;1.5790738;7.258423;17.370274;5.8006277;1.6770705;1.7208147;6.144696;5.018651
13.585451;18.237034;-4.046101;1.5639048;7.788626;17.538303;6.183432;1.8430569;1.5544207;5.6556845;4.958692
12.573524;18.80143;-3.915808;1.5649302;7.4926815;17.15039;5.545399;1.9209567;1.6633209;5.789635;5.333197
12.3310175;18.153034;-4.150576;1.5747845;6.671477;17.56892;5.5354786;1.817493;1.5136364;5.8848968;5.195913
12.935496;17.299608;-3.903244;1.5770473;7.0802855;16.758888;5.554355;1.7680887;1.5159018;5.830182;4.5402284
12.708298;20.226776;-3.8819473;1.5194556;7.4120283;17.577368;5.55443;1.8211415;1.5831294;5.958771;4.8814974
14.2412405;17.86678;-3.9325986;1.5397006;7.6904864;16.0999;5.62829;1.8526177;1.7275413;5.890149;5.491235
12.911868;18.987005;-3.9181042;1.5231985;7.640029;17.06288;5.547795;1.9232687;1.5179617;6.031192;5.2154875
13.260975;20.277575;-3.9287422;1.6656287;7.224677;17.239843;5.8035865;2.0039518;1.6297636;5.429234;4.8898077
12.713226;19.504324;-3.7021613;1.6414936;7.343908;15.193034;5.664961;1.9120182;1.5956843;5.9369664;4.6641297
14.047047;18.421238;-3.834888;1.7257034;7.364312;17.578634;5.8207936;1.7972226;1.589938;5.264533;4.7931247
12.37924;19.338041;-4.0060887;1.5386572;7.4470677;16.853476;5.789367;1.6700622;1.5529246;6.2464933;4.6989326
12.388476;18.116476;-3.9105847;1.6083181;7.567444;16.209827;5.876327;1.8408335;1.624548;5.7113023;4.5783563
12.928437;18.259432;-3.854649;1.5300206;7.315073;16.609154;5.2411666;1.8290722;1.5027313;5.914688;4.783826
13.392263;20.255579;-3.55582;1.5462708;7.2085032;17.280647;5.525369;1.8365244;1.6838266;5.9634323;4.8733234
11.98683;20.190365;-3.9156418;1.5277566;8.024604;15.640591;5.803391;1.8020018;1.5784267;5.682215;5.0223455
11.966568;18.059437;-4.079737;1.7501978;7.37076;18.200495;5.978656;1.7566708;1.6532468;5.659831;4.672217
13.4133625;19.175406;-3.9626486;1.7004641;7.643756;16.35484;5.788262;1.6885651;1.6784835;6.0766225;4.9746766
12.777256;19.286879;-3.9478004;1.6477603;7.201024;17.066824;5.7252483;1.8158133;1.5532546;5.826499;4.8325067
12.239421;19.064856;-3.8086104;1.5767981;7.427672;17.455921;5.318891;1.8100266;1.574514;6.312517;5.209952
12.138498;17.691486;-3.9384289;1.5519909;7.512773;16.694365;5.3097672;1.8649265;1.6561003;5.515026;5.1575885
13.614492;17.761356;-3.6239736;1.5647948;7.390196;16.670298;5.3478546;1.6681889;1.5980593;5.785733;4.930592
13.198048;19.093197;-4.3196096;1.6527653;7.6013246;18.464655;6.1298504;1.8549433;1.6181414;5.7940865;4.8517766
12.452898;18.166576;-4.016416;1.5344826;7.255082;17.18687;5.8132677;1.7125149;1.6404811;5.742254;4.930977
12.160102;20.107292;-3.9574971;1.7802178;7.2907376;17.495531;5.605796;1.8313994;1.599143;5.73089;4.959747
12.388499;18.951385;-3.7598236;1.5673525;7.4527955;15.739853;5.9017215;1.6923164;1.6865069;5.8962784;5.109981
12.854764;18.34708;-4.0356436;1.5328109;7.805962;18.774298;5.5584173;1.9077436;1.466534;5.970103;5.303505
12.881388;19.026384;-3.6771579;1.5521734;7.2704897;14.647163;6.146409;1.8018886;1.6923751;6.341797;4.9764457
13.55452;21.34615;-4.0760345;1.6851113;7.533044;15.887817;5.1972117;1.8065889;1.63402;6.178714;4.98384
