2_C151.15;3_C-9.47;4_C201.84;7_C-6.27;8_C130.49;10_C228.66;12_C-138.89;14_C-27.88;15_C-13.33;16_C63.6;17_C-28.43;18_C-265.65;19_C-244.05;20_C132.01;21_C-30.66;23_C-178.13;24_C-17.19;26_C121.47;29_C189.52;30_C-43.05
20.572502;2.4625447;7.7258377;22.175304;31.819372;5.0977674;10.622341;5.9233623;7.4486365;3.3808384;8.487585;3.1390152;8.943861;2.292513;21.021164;3.3298576;7.6727343;3.3070366;2.1304843;12.444157
20.66074;2.0473266;6.7035446;18.91169;25.73059;5.3059225;9.270481;5.6622133;6.891262;3.1199107;8.532788;2.6614544;8.304995;1.9428303;14.5014515;2.6633391;7.3330545;2.8833604;2.1352391;9.905958
17.113592;1.8858744;5.5588408;18.119267;24.701042;4.6097956;8.394911;5.0443044;6.7246733;2.9975576;7.1411376;2.8434062;7.6782427;1.8392779;15.24603;2.7049541;6.7205725;2.8274186;2.1317601;7.022729
16.79462;1.6523899;5.2767854;20.804348;23.375296;4.4352374;8.847911;4.823884;6.2134805;2.730488;7.166304;2.6991181;6.914256;1.9020717;14.171916;2.4261577;5.94068;2.5859265;1.8639195;8.107714
14.978259;1.9494225;5.79449;17.112545;22.013165;3.711457;7.631068;5.4976726;5.7202477;2.8742957;6.87722;2.235438;6.277856;1.8195966;14.362613;2.5294163;6.364922;2.4359853;1.7347279;8.433081
14.506175;1.8269243;5.74594;18.299227;25.82665;4.9285507;8.824705;4.439072;6.5679064;2.8654666;6.898369;2.3501692;8.605533;1.6932507;14.779724;2.541788;6.922634;3.2698853;1.846216;8.224713
18.020159;2.071379;6.2806406;19.985132;27.466778;4.795635;11.850656;6.48437;8.429118;3.1867192;8.0921;2.669778;7.9715295;1.9994888;16.324717;2.6864345;8.654275;3.3811882;2.2360759;9.579837
23.219028;2.222553;8.126497;27.130749;31.73498;6.1262007;12.30745;6.334979;9.057968;3.2583556;10.255035;3.2550302;9.890451;2.0704703;18.874378;3.0167367;9.738625;3.5845382;2.3986173;10.465745
21.884083;2.7903905;7.4892836;29.078485;34.61598;6.819233;12.855574;6.4690084;9.246527;4.4307823;10.763517;3.5305343;11.754425;2.277812;19.103905;3.685442;9.750737;4.3707223;2.6313639;11.700651
25.997501;3.0497253;9.480958;24.72508;36.501965;8.271633;13.369482;6.75467;10.155024;4.3576717;9.813921;3.9424083;11.665784;2.8253617;24.18033;3.9578567;9.724772;4.1548743;2.8519628;12.237498
