2_C151.15;3_C-9.47;4_C201.84;7_C-6.27;8_C130.49;10_C228.66;12_C-138.89;14_C-27.88;15_C-13.33;16_C63.6;17_C-28.43;18_C-265.65;19_C-244.05;20_C132.01;21_C-30.66;23_C-178.13;24_C-17.19;26_C121.47;29_C189.52;30_C-43.05
25.230444;2.3723397;7.9148726;24.29545;32.95838;6.7989416;11.286365;6.446847;8.095787;3.6280816;8.889381;4.003867;9.706187;2.4373202;16.973055;3.3231018;9.506789;3.815667;2.6456466;10.789607
21.542355;2.0089242;7.290265;21.624027;29.235052;5.0908823;10.699929;6.528075;7.2724204;2.8588746;8.863976;2.9417968;8.471907;2.1038806;18.315493;2.9751053;7.662706;3.2938278;2.3484452;10.435795
17.620848;2.1280522;6.380125;20.9194;24.91114;5.0591154;9.008277;5.5157175;7.4973373;2.9916682;8.425989;2.7324219;8.433263;1.778039;15.296956;2.8194714;6.962683;3.3354774;2.200596;9.593371
19.782831;1.936209;5.696357;16.90849;24.031021;4.5686235;9.531034;5.1924286;6.6277723;2.84923;7.441598;2.2820086;7.8293333;1.9191288;12.779414;2.4071298;7.7897735;2.701538;1.8520296;8.472448
16.057226;1.754422;5.525939;16.13021;21.512196;4.439561;9.397195;5.3687925;6.560464;2.6268601;8.173653;2.6002498;7.645047;1.9364178;14.691322;2.4689443;6.885176;2.8239822;2.1156673;8.727529
18.844772;1.9585485;7.6164107;20.40884;28.336552;5.1703362;9.298945;5.505668;7.4487123;2.8045735;7.748473;2.8178964;8.191618;1.9055126;14.736302;2.692679;6.2455025;2.9487188;2.0421135;9.776926
19.596958;2.428066;6.7552137;24.026554;27.81567;5.7758965;11.987178;5.363511;8.882659;3.7061558;8.773377;3.2398114;8.671919;2.1984236;16.58815;3.8564782;8.056295;3.5316186;2.6205664;9.777894
23.947624;2.761887;8.440358;25.60727;32.37148;6.990281;11.734001;6.8591523;9.279029;3.8074868;11.363062;3.7888255;10.841372;2.2249837;18.388424;3.7541542;9.507997;4.2640686;2.7798214;10.940082
27.61402;3.292956;8.325331;29.470968;35.595234;7.3798265;13.155283;8.206158;10.835901;4.400911;10.320925;4.3125963;12.0267725;3.0768635;22.337332;3.6399486;10.48488;4.5345893;3.386105;13.659717
25.68543;2.910855;9.919243;30.82305;37.39258;7.451001;13.4686;7.9388876;10.347799;4.2402163;10.243547;4.118903;12.389882;2.8617356;22.980434;4.295749;12.2002125;4.631204;3.130403;14.077228
25.531956;3.3699157;10.05462;30.209784;37.62022;7.4840026;16.19365;7.9883842;10.816864;4.611741;11.647274;4.519326;12.349619;3.134688;23.139055;3.7208931;10.918764;4.376287;3.1388717;13.374127
35.9625;3.2855637;11.550161;34.931206;41.929096;7.7475877;15.2771635;8.289546;10.765002;5.0515494;11.258965;4.3788657;11.998395;2.7548976;21.413452;4.2076783;11.453292;4.741561;3.0171468;15.207156
27.891766;3.1219137;11.802352;28.97855;40.782234;7.733593;15.748355;7.581559;10.974165;4.432977;13.018141;4.2584853;12.104429;3.292897;26.04985;3.7728984;11.576992;5.0061674;3.4926739;13.082853
30.60198;3.45225;10.893386;27.605011;34.94633;7.5307374;14.513407;7.5091286;12.830203;4.40767;12.131674;4.1931963;11.716658;2.7261147;22.918041;4.227756;11.48834;4.6564536;2.8456295;14.266866
26.810638;2.6860073;8.6112385;28.922709;35.881798;7.7548113;12.865003;7.953308;9.408667;4.0765276;9.892206;3.819491;11.969824;2.5741704;22.276142;3.8125339;10.613985;4.8630114;3.2626882;12.702135
24.77077;2.814001;8.694217;22.658386;29.512243;6.4712844;10.907621;6.8520226;9.946928;4.0658884;10.387932;3.200412;10.987921;2.7004318;17.912958;3.5010324;11.392363;3.4517312;3.0782995;10.912944
26.25356;2.6510758;7.9170785;27.684027;30.231754;6.7041655;12.142317;6.261243;8.283595;3.8247218;9.430866;3.6430485;10.799241;2.6645331;21.074749;3.5153973;9.300356;3.879343;3.0667684;12.529966
25.051828;3.005018;8.319704;29.226368;35.076946;7.3019805;12.123838;8.117582;10.35991;4.1272626;11.588546;3.764543;11.388014;2.2187977;20.459476;4.431449;9.527938;4.2408967;2.9683862;11.101587
26.139263;3.039536;8.394545;32.813957;39.726658;7.335923;13.776903;7.8969927;9.891025;4.440129;11.615627;3.9817271;11.721922;2.608193;23.028528;3.922418;11.056608;4.89982;2.8479328;13.626093
26.831198;3.164683;9.242952;28.3553;40.974957;7.7580733;14.502945;8.870714;9.948435;4.094889;11.359213;3.9927757;13.450203;3.2990184;20.202007;4.0588336;11.143656;4.6090455;2.8208125;13.226634
25.600718;2.8192692;9.090672;26.134272;37.671604;7.075554;13.251834;8.294257;9.900624;4.2636075;10.36349;4.086658;12.392458;2.3593059;18.89195;4.03826;9.6516905;4.1967254;2.7117977;13.20679
25.19963;2.5677807;9.605599;23.41722;36.368397;7.1022353;13.578085;7.011598;10.117483;3.8192706;9.521027;3.6897569;9.368473;2.50672;18.78626;3.3064084;10.00172;3.8949966;2.7716882;12.146456
23.37374;2.8117473;9.937839;30.441517;35.547417;6.941654;14.136569;7.047122;9.507528;4.3266582;11.153507;3.8566017;10.4681;2.261086;22.402283;3.8699698;11.073633;4.4495206;2.6872833;11.7153425
25.315405;2.5621166;9.432364;28.688396;33.4121;6.3697987;12.738886;6.91502;9.487024;4.1197877;12.028133;3.9070163;11.079811;2.428836;21.872799;3.7980728;9.809431;4.08777;2.5356908;12.047611
29.638311;3.2829068;11.349801;32.05799;45.803596;8.402946;16.200377;8.409517;10.128376;4.945085;11.910286;4.4224677;14.200351;3.6092796;27.207148;4.877514;11.410148;4.888768;3.5083623;16.241924
25.751211;3.3275733;9.720836;33.596382;41.538265;7.063924;13.011685;8.426157;10.413778;4.4082747;10.703944;4.087037;12.481664;2.577727;22.988453;4.1661434;10.020582;5.112443;2.6631885;13.756727
25.745361;3.1993372;9.324645;29.915186;32.416176;6.936452;12.139517;6.058421;9.312722;3.8900256;10.548979;3.8808994;9.688766;2.597141;19.764889;3.6779163;9.874517;4.7677736;2.6825638;13.617999
23.1366;2.762939;8.215054;22.347391;35.712395;5.298827;13.233943;6.9108214;8.717319;4.1541758;10.258588;4.0663033;9.91131;2.53166;16.762892;3.784659;10.667428;4.0079308;2.4487088;11.674029
24.578165;2.681725;8.441191;25.782425;36.669018;6.485597;10.923114;6.8141036;7.682068;3.3386273;9.543098;3.5638394;9.724369;2.076324;19.223532;3.7123082;9.496587;4.047709;2.845884;10.194504
25.71759;2.6244378;8.396936;26.725834;32.621086;7.374957;12.678998;6.1930785;10.148726;4.1544595;9.858746;3.7186863;10.948111;2.53224;18.48074;3.8607907;12.875302;4.092457;2.953432;11.938115
25.592508;3.4058616;10.574672;29.05133;41.325554;7.582251;13.765915;7.9793406;10.888491;5.0536814;11.859245;4.6683764;12.825127;2.6682448;21.323849;4.59241;11.633231;4.5205116;2.917066;14.427722
27.803143;3.9293847;11.48863;33.847942;46.2405;8.637822;17.310827;9.409551;12.54793;5.5967064;14.732556;4.975396;13.687558;3.4445682;27.024998;4.6744347;11.73379;5.387782;3.3157177;15.906778
37.69624;3.799289;12.90311;36.080784;48.63527;8.623854;18.047;9.730341;13.84403;5.808432;13.794009;5.1423545;14.677179;3.7369943;30.985554;4.9933195;14.636658;4.964306;4.794488;19.201605
37.622547;3.9763713;12.032304;35.55802;43.757793;9.353296;17.52333;9.100565;12.362779;5.9682994;15.930148;6.198586;16.906235;3.3136342;31.551727;4.9788995;14.76174;5.4194574;3.7931316;16.75264
29.165405;3.497282;12.049025;34.76647;45.5447;9.468943;18.942276;8.376181;13.45464;5.5233765;15.947586;5.0703583;15.566676;2.9398494;24.928291;5.037792;12.798122;6.435289;3.8686473;18.19651
34.1751;3.7533212;10.57242;29.924953;48.03915;9.323072;17.642424;9.842191;14.133449;5.364142;12.760105;4.7321143;13.63475;3.2787762;24.39127;4.55344;12.155403;5.6583304;3.5467923;16.069551
36.215935;3.5866675;10.190805;37.887127;47.276325;8.781428;17.664848;9.8719425;12.018268;4.5633674;14.213208;4.711263;13.658903;4.133215;26.821146;4.406725;13.686308;5.062519;3.7216141;16.356274
40.265266;3.8162239;12.621218;39.50617;43.79304;9.688899;18.34949;10.16503;13.744444;5.428994;15.251909;5.4427958;14.544482;3.8341699;30.046728;6.162448;15.723726;6.321555;4.1036234;18.993725
28.19719;3.6099324;11.573291;38.00303;51.249207;7.9587593;16.21253;9.136234;12.995125;5.758785;14.64863;5.0809164;14.448122;3.3767815;29.545132;5.2420845;14.222476;5.4829626;3.3939774;16.49491
27.937326;3.789327;11.444961;33.31944;42.259308;9.062536;19.12727;10.536247;12.66451;5.6372538;12.595774;4.6723185;13.4636965;3.1167257;25.963474;5.1326346;12.349247;5.518925;4.4088926;16.252243
37.070812;3.6033387;11.6908045;31.865046;44.626717;9.765154;16.723112;9.726798;13.165647;5.177671;13.206001;4.6363354;15.107745;3.1631174;26.020819;5.1961527;15.137639;5.868646;4.2095256;15.585895
35.583935;3.3677578;12.543815;31.723969;46.26586;10.449154;17.138931;10.514718;12.30444;6.1081705;14.086667;4.919128;14.035253;3.236119;27.176739;5.9411144;13.601048;5.5971384;3.7203898;15.933306
30.489965;3.350119;10.197416;33.287285;38.879456;8.52367;16.7473;7.729966;11.294206;4.611594;12.224928;4.178109;12.2504635;3.2223468;21.11501;3.977187;11.47543;4.9174247;3.6217952;13.380588
24.203897;3.0400548;9.41844;28.121227;32.972515;6.290208;12.765289;5.916851;10.346908;3.8030384;11.76332;3.934873;11.631125;2.3491623;20.511618;4.363363;10.893209;4.1135297;3.0396087;13.362814
28.117428;2.7465756;8.94095;26.133846;33.175293;7.6284804;11.458677;6.7555985;9.773982;4.031141;10.035723;3.5699959;11.772527;2.3146808;21.448727;3.9163604;9.382431;3.838838;2.671964;10.327285
22.888115;2.3832307;7.80607;21.989706;32.61333;5.9359264;12.016375;5.938573;8.6343355;4.019153;8.55282;3.551825;9.826849;2.49557;16.655117;3.1239934;10.3227825;3.939782;2.2765167;10.717964
20.997778;2.4676824;6.645665;24.346638;31.755932;5.486567;11.456568;5.8341575;8.67975;3.6082177;9.232277;3.6611607;10.983198;2.4219213;17.207912;3.3795578;9.135946;3.7602024;2.3458889;10.846769
22.507366;2.6802695;8.483908;25.333792;32.26745;6.1926765;13.207251;7.472168;10.191329;3.7493558;9.452235;3.3895302;9.577669;2.8104527;19.363382;3.254493;10.34564;4.2614083;2.9489887;12.014891
27.07161;2.7717004;10.332758;29.343853;39.92459;7.2733674;13.826297;7.2427583;10.1638565;4.13445;11.837937;4.160517;11.95648;2.6474566;24.502241;3.9413574;9.894067;4.551014;3.3667374;13.993962
34.100292;3.285415;10.932757;33.48705;47.478794;8.698095;16.539742;8.73837;12.298778;4.9367723;12.9512615;4.6962624;13.65357;3.3212478;23.40718;4.504112;11.12064;4.7793336;3.031535;14.987074
31.08018;3.9131615;10.3831625;31.021109;47.54445;8.786837;18.680397;9.074043;14.06943;4.7594037;14.216715;5.0262585;15.830423;3.5192478;28.829021;4.8571424;14.029821;5.6649637;3.5705757;17.367996
37.14205;3.609541;12.264303;41.16749;47.15566;9.606069;19.464481;9.759013;14.394386;6.589232;13.308322;5.5809712;16.021145;3.6753666;26.99497;5.0388136;12.654801;6.0673723;3.773312;17.901806
38.131752;4.071273;12.03724;38.00477;49.367172;10.614691;15.077547;9.248522;13.130572;5.9601116;14.689471;5.089587;17.357046;3.6433377;27.023808;4.833876;13.253543;5.478318;3.4798927;17.009247
35.47242;3.6871772;11.818241;36.790657;44.082306;10.4447;17.510366;10.851957;13.328337;6.2423525;14.810697;5.4560976;16.043446;3.7359529;27.459732;5.01894;14.742856;6.452306;3.7889123;19.070242
33.41074;3.9877975;12.687128;39.478436;46.185204;8.179545;16.878117;9.6927395;14.133566;5.77417;14.083285;5.7423787;15.6604185;3.4440646;27.857788;5.092576;15.303365;5.371984;3.8233268;18.804934
37.881325;3.959037;11.696966;33.6726;48.258705;10.148352;19.228079;8.831068;12.369469;5.0091653;13.509458;4.778659;15.860242;3.5800335;26.193354;4.75171;14.791449;5.131966;3.9917502;17.402878
33.547417;3.620336;12.005874;35.127094;40.526814;9.035763;17.642012;8.782259;12.836215;4.546628;13.733035;4.6528525;14.408545;3.0730443;23.935572;5.299735;14.427881;5.0032635;3.8812892;17.326157
30.43758;3.193014;10.843628;37.2121;39.756603;8.139565;14.586233;9.403886;11.473059;4.9551787;13.484457;5.1543875;13.352732;2.8662486;27.781635;4.7449317;11.057385;4.735001;3.6523376;14.656177
28.290787;3.5568287;10.785404;35.794556;42.36717;8.914551;16.555727;10.123679;13.23546;4.9542847;16.214287;4.252244;15.03167;2.836285;28.043402;4.5029645;12.554423;5.1244364;3.2887523;16.406717
39.113968;4.1556773;13.813829;33.533657;46.11535;9.113093;19.14967;10.440683;13.356595;5.551458;14.246727;5.2563944;13.666441;3.6153374;29.131113;4.8726034;13.185475;5.985515;4.1088753;14.253433
38.38424;3.7422605;12.272093;32.428642;46.10083;10.015574;19.541265;9.337026;13.089155;5.487161;12.991922;4.893823;16.67979;3.257029;25.892279;5.8324018;13.654782;5.5857725;4.081002;18.08954
33.158047;3.4602077;11.104164;33.858677;44.32376;8.96712;16.457327;9.365931;13.229886;5.1615205;12.123156;4.772363;15.026975;3.2777183;29.77326;4.9514775;13.525053;5.5418253;3.497821;18.778637
32.179554;3.526734;10.3411255;30.712818;41.336067;9.141154;17.832499;9.027073;12.552164;4.806106;11.695391;4.84698;13.834631;3.029115;23.508028;4.525273;12.219515;4.6562123;3.6130614;15.507879
30.89776;3.3786902;11.324308;32.17162;46.962105;10.4182415;15.03892;8.584222;11.04839;4.9738913;15.9578705;4.169476;15.39799;3.4309928;25.406971;4.977065;12.9496;5.31361;3.6722443;15.105766
29.712992;4.222805;11.953798;30.650349;48.390266;10.007768;16.075489;8.327014;11.3649235;5.35638;13.736972;4.7004976;13.258032;3.3631203;28.545425;4.734166;12.657343;5.7645764;3.7498028;15.970816
20.266354;2.7759328;7.4626036;26.986547;33.16436;6.67422;13.445276;6.5344834;8.626485;3.9023032;11.107786;3.5726345;10.232831;2.3145442;17.47034;3.988566;9.284886;3.805735;2.6262403;11.286943
23.26882;2.2415516;7.7129974;19.377934;30.342218;6.345895;10.449062;5.7949533;7.653594;3.3986886;8.736364;2.967341;8.86783;2.2281787;16.767864;3.1970673;8.265391;3.472533;2.443877;10.031608
20.764172;2.4340723;7.6363044;19.916264;26.57308;5.1219473;9.69439;5.856477;7.4243493;3.1148007;8.145564;2.9181097;10.204897;1.9267315;16.101501;3.1676824;7.76394;3.1160092;2.0440593;9.471816
18.45498;1.9543474;6.1495233;20.89097;27.055439;5.044582;9.840667;5.335925;7.2816596;3.1691778;6.9533615;2.755658;7.6682014;1.9650663;15.161049;2.619816;6.851886;2.879242;2.1106296;8.990805
18.305965;1.8838089;6.706052;21.278362;25.03181;4.6359367;9.709119;5.073341;7.7385187;3.0438113;8.199461;2.548133;9.071879;1.771542;14.30748;2.8850815;7.4607735;3.1308172;1.994241;7.7825174
19.96471;2.1162074;6.9300995;19.793447;26.450064;4.6694055;8.935209;5.754009;6.9188833;3.2499976;7.929104;3.1467326;9.05627;1.8216641;14.779248;2.9049459;7.847583;3.1123204;2.0665271;9.105862
22.674341;2.1080365;8.116079;23.80994;31.804546;6.3390527;12.591337;6.483999;8.200571;3.6286037;10.291979;3.2561848;10.987207;2.1581495;18.098734;3.5123239;9.03747;3.5359032;2.3748448;11.083601
27.171799;2.5042517;8.86941;25.087698;39.40777;7.139188;14.072954;6.973194;9.713258;3.9367073;10.955568;3.4948678;10.291072;2.3824427;19.074497;3.9430032;9.9066;4.0015125;2.8487842;11.994924
29.189281;3.10126;9.281278;28.240086;39.375153;7.6791487;12.605857;8.180905;8.92156;4.5188584;11.786515;3.798777;12.384523;2.864884;25.016106;3.844579;10.723872;4.4350214;3.121661;12.593307
27.102652;3.3566995;9.27966;32.83368;35.555313;8.670688;14.488843;7.9864607;12.108332;5.2156725;12.581842;4.3281245;11.93857;2.829366;23.563318;4.728002;12.787294;4.361263;3.264197;14.779859
31.94256;3.467936;12.323336;28.79301;45.912483;8.73364;15.319484;8.310191;11.732915;5.1139393;13.326358;4.3991175;13.453275;2.7107813;26.546848;4.639115;12.202663;4.361167;3.2635536;14.56487
30.408438;3.0800583;11.162018;28.71816;37.58384;8.7232275;16.637575;9.010218;10.993818;4.7955904;11.500645;4.2864428;14.237203;3.192022;23.374695;4.4945993;13.5377655;4.2511487;3.1906934;14.378258
28.442013;3.1920657;12.477274;31.488897;38.909523;7.5929346;16.46079;9.063477;10.397481;5.156566;12.733969;4.639732;12.433931;2.964854;23.753641;4.3309145;10.571877;5.083268;3.2381673;14.281781
29.523846;3.4336772;10.77419;31.070099;37.93316;8.135809;13.270831;8.57346;11.62728;4.8730574;11.198244;4.03675;11.583392;3.0111492;21.616627;4.508035;11.539034;5.0835123;3.3130717;14.736778
25.078104;3.1426127;10.328233;27.886967;36.17144;6.8555107;12.802389;8.475965;10.245796;4.737525;11.974474;4.2878437;12.440578;3.121736;21.094177;4.0716157;10.746757;4.744853;3.0330892;12.863154
