1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
132.57;132.165;-1.0;139.3184;138.51;137.16
132.57;132.165;-1.0;139.47777;138.51;137.16
-1.0;132.165;144.315;141.52542;138.51;137.16
132.57;132.165;144.315;141.39403;138.51;137.16
132.57;132.165;144.315;141.32352;138.51;137.16
132.57;132.165;144.315;140.77475;-1.0;137.16
132.57;132.165;144.315;141.09201;138.51;137.16
132.57;132.165;144.315;140.95952;138.51;137.16
132.57;132.165;144.315;140.79274;138.51;137.16
132.57;132.165;144.315;140.42586;138.51;137.16
132.57;132.165;144.315;140.35484;138.51;137.16
132.57;132.165;144.315;140.83931;138.51;137.16
132.57;132.165;-1.0;138.53922;138.51;137.16
132.57;132.165;144.315;140.75713;138.51;137.16
132.57;132.165;144.315;140.59433;138.51;137.16
132.57;132.165;144.315;140.90958;138.51;137.16
132.57;132.165;144.315;140.92828;138.51;137.16
132.57;132.165;144.315;139.87592;138.51;-1.0
132.57;132.165;144.315;140.48901;138.51;137.16
132.57;132.165;144.315;140.83401;138.51;137.16
132.57;132.165;144.315;141.03093;138.51;137.16
132.57;132.165;-1.0;139.29915;138.51;137.16
132.57;132.165;144.315;140.67719;138.51;137.16
132.57;132.165;144.315;140.61751;138.51;137.16
132.57;132.165;144.315;140.08646;138.51;137.16
132.57;132.165;144.315;140.59161;138.51;137.16
132.57;132.165;144.315;140.85909;138.51;137.16
132.57;132.165;144.315;141.22011;138.51;137.16
132.57;132.165;144.315;140.96437;138.51;137.16
132.57;132.165;144.315;141.05238;138.51;137.16
132.57;132.165;144.315;140.72585;138.51;137.16
132.57;132.165;144.315;140.17986;138.51;137.16
132.57;132.165;144.315;139.61984;138.51;137.16
132.57;132.165;144.315;139.47173;138.51;137.16
132.57;132.165;144.315;140.38054;138.51;137.16
132.57;132.165;144.315;140.50856;138.51;137.16
132.57;132.165;144.315;140.23969;138.51;137.16
132.57;132.165;144.315;140.043;138.51;137.16
132.57;132.165;144.315;140.11;138.51;137.16
132.57;132.165;144.315;140.28072;138.51;137.16
132.57;132.165;144.315;140.35075;138.51;137.16
132.57;132.165;144.315;140.26462;138.51;137.16
132.57;132.165;144.315;140.6822;138.51;137.16
132.57;132.165;144.315;140.74579;138.51;137.16
132.57;132.165;144.315;140.02252;138.51;-1.0
132.57;132.165;144.315;141.11673;138.51;137.16
132.57;132.165;-1.0;139.3388;138.51;137.16
132.57;132.165;144.315;140.9613;138.51;137.16
132.57;132.165;144.315;139.94783;-1.0;137.16
132.57;132.165;144.315;140.39908;138.51;137.16
132.57;132.165;144.315;140.24995;138.51;137.16
132.57;132.165;144.315;140.17891;138.51;137.16
132.57;132.165;144.315;139.9655;138.51;137.16
132.57;132.165;144.315;140.28305;138.51;137.16
132.57;132.165;144.315;140.00256;138.51;137.16
132.57;132.165;144.315;140.0915;138.51;137.16
132.57;132.165;144.315;140.91891;138.51;137.16
132.57;132.165;144.315;140.18703;138.51;137.16
132.57;132.165;144.315;140.08408;138.51;137.16
132.57;132.165;144.315;140.139;138.51;137.16
132.57;132.165;144.315;140.15884;138.51;137.16
132.57;132.165;144.315;140.27155;138.51;137.16
132.57;132.165;144.315;140.54877;138.51;137.16
132.57;132.165;144.315;140.1389;138.51;137.16
132.57;132.165;144.315;139.75221;138.51;137.16
132.57;132.165;144.315;140.91978;138.51;137.16
132.57;132.165;144.315;141.0973;138.51;137.16
132.57;132.165;144.315;141.36131;138.51;137.16
132.57;132.165;144.315;141.32782;138.51;137.16
132.57;132.165;144.315;140.92473;-1.0;137.16
132.57;132.165;144.26918;-1.0;138.51;137.16
132.57;132.165;144.315;141.1009;138.51;137.16
132.57;132.165;144.315;140.75911;138.51;137.16
