2_C151.15;3_C-9.47;4_C201.84;7_C-6.27;8_C130.49;10_C228.66;12_C-138.89;14_C-27.88;15_C-13.33;16_C63.6;17_C-28.43;18_C-265.65;19_C-244.05;20_C132.01;21_C-30.66;23_C-178.13;24_C-17.19;26_C121.47;29_C189.52;30_C-43.05
16.49086;2.076922;6.0163016;17.533356;26.179972;4.6856985;8.247099;5.016618;6.862174;2.715327;7.6353836;2.4164596;8.248129;1.5049883;14.630569;2.8653378;6.738743;3.0570724;1.8370823;8.4337015
20.740255;2.2877996;7.32071;21.977146;31.938654;5.430304;9.44327;6.1135874;7.339755;2.9483612;7.9311914;2.633808;7.6749067;1.9723116;14.995175;2.876749;7.382825;3.3375854;2.0670853;9.444066
20.830112;2.004374;6.2274904;22.191402;27.644598;4.568656;9.949853;5.324515;7.1125536;3.4930127;8.108095;2.5164342;8.111856;2.2999806;14.857523;2.5632672;8.18101;2.8189347;2.4056494;8.371321
16.254322;2.0521052;6.369953;19.462605;28.770855;4.7428527;8.76557;5.7459555;6.9656763;2.7338283;6.9771714;2.5281897;8.69106;1.948714;14.020923;2.7087626;7.5532646;2.4942393;1.833915;8.220235
16.993086;1.9087584;5.914157;17.345137;23.842426;4.7127314;8.96197;4.4220657;6.911563;2.7357554;7.013234;2.4455945;8.04639;1.6038154;13.9555025;2.5118947;7.4436083;2.9749084;2.1621585;8.515818
17.646397;1.7621958;6.7380934;19.20184;25.308123;4.3821073;8.42045;4.9385347;6.7746415;2.3894799;6.517456;2.3034592;7.390418;1.7340019;11.954157;2.7915509;6.763917;2.7046535;1.811256;9.343012
17.728334;1.8662472;6.7539215;16.704435;21.376925;4.415822;8.457684;4.708148;6.9856668;2.653185;6.8884873;2.626186;8.011832;1.6391344;12.795929;2.7311563;6.971354;2.6936069;1.845947;9.118243
17.699251;1.7882435;6.359927;16.970041;22.030497;5.0994167;9.539804;4.9688673;8.332422;2.4553275;6.963524;2.497165;7.862157;1.6982775;13.04565;2.5505266;6.7810965;3.048843;1.7193692;8.459623
15.121248;1.7404187;5.958679;15.682681;22.349749;4.152751;7.8938255;4.3739147;5.6082315;2.4224148;6.3115396;2.2849169;7.052079;1.7891346;12.971977;2.161795;6.088622;2.6972575;1.7153507;6.956495
14.439749;1.6112955;5.254545;16.257914;21.170437;4.1906686;6.9609785;3.7998543;5.626008;2.2290254;6.420386;2.0727644;6.2696667;1.563566;11.819513;2.2428987;5.1437006;2.0518956;1.6462479;6.5247507
10.750093;1.4237918;5.121638;12.681654;17.713343;3.7865021;6.9783273;4.1537614;4.85483;2.0523877;5.3808208;2.0613575;6.897685;1.3630811;9.839168;1.9199175;5.4096117;2.122451;1.5189848;6.3280926
13.786797;1.4471256;4.814785;13.835615;18.782879;3.2229233;7.5607224;3.246767;4.8195925;2.2937613;6.1426444;1.764344;4.970475;1.3761222;9.757052;2.0142894;5.296428;2.0037878;1.5164446;5.8209434
12.402598;1.4934993;4.885505;14.05894;19.365221;3.3910015;7.4510818;3.789687;5.8034887;2.4275017;5.8740363;2.2546499;6.624881;1.5645505;11.965993;2.289207;5.5956025;2.1618435;1.7424062;6.672087
15.578415;1.6377077;5.4895697;16.203579;22.872635;4.212832;8.827944;4.3256807;6.174962;2.7974305;7.5660324;2.647199;6.219678;1.9000776;10.951861;2.2338512;6.3993096;2.6180289;1.5166991;7.784752
18.514544;2.0743227;6.541304;20.280968;24.464973;5.4416556;9.102171;5.3352914;6.2660303;3.1879013;7.551773;2.8030324;7.818998;1.763908;13.48353;2.619431;7.723272;2.9942386;2.0569944;9.007078
19.080965;1.9973907;6.5832763;18.966158;26.356373;5.0178785;11.5803385;6.2943726;6.6648955;2.9231904;8.802839;2.7339554;8.158172;1.9705648;16.136213;2.685948;8.70417;3.1301122;2.3159156;9.842663
23.044695;2.2101672;7.719905;22.398144;29.075653;5.070608;10.834249;5.8262615;8.225645;4.0027366;8.223258;3.1998277;8.776931;2.1260145;16.962349;2.9867077;8.619398;3.418705;2.050239;11.5720625
23.707157;2.4832253;7.3431473;21.739658;30.494709;5.7543488;9.622215;6.1925025;8.145791;3.3327355;9.064691;2.9630182;8.918299;2.43008;20.471127;3.2236705;9.16286;3.8625405;2.5450702;10.199946
21.559538;2.208294;7.807575;22.544552;25.949871;5.935322;11.4941;6.860263;8.629246;3.549892;9.095537;3.0953994;9.624163;2.2264066;17.231369;3.404908;8.311345;3.5078835;2.366768;10.178801
20.060457;2.4382234;7.9743147;24.025688;33.040318;5.8400097;11.122877;6.761083;8.604833;3.8118033;9.149195;3.114076;8.716764;2.174664;18.009525;2.9870372;8.879469;3.7475479;2.5388908;9.572227
23.018616;2.316991;7.486975;21.445835;29.41392;5.6288595;10.421372;5.995671;8.121327;3.6793964;8.506566;3.183466;9.209334;2.2229252;15.985736;3.6579328;8.385843;3.4196243;2.5712612;10.360822
20.20722;2.2803338;7.190149;25.091894;27.311504;4.6868944;11.829359;5.5814238;7.6871195;3.6219833;7.720343;3.0125217;8.426122;1.9244086;16.054808;3.140688;8.289821;3.3002746;2.0368285;10.290847
17.722551;2.2206187;5.890684;19.325333;27.489359;4.6692657;10.231872;5.318049;7.7139616;2.7169132;8.289667;2.9840047;8.039293;1.8547146;14.286161;2.8164408;7.802204;2.9086063;2.1906362;8.314286
16.484226;2.102893;6.6781416;17.469212;25.0415;5.2989645;8.8475;4.821173;6.993238;2.9915009;7.259593;2.7187653;7.3445907;1.9960394;14.815976;2.6114202;6.770589;2.9596248;2.0474992;9.383156
18.693165;2.0249317;6.665899;23.04958;26.032028;5.0677013;10.72468;5.236084;6.832919;2.960507;7.623314;3.028082;7.1860647;1.950957;17.093594;2.7540543;6.683079;3.0203059;2.1359832;9.295924
22.29843;2.754863;7.570891;21.999565;28.33916;6.1379313;10.1001;5.4417286;8.704557;3.641946;9.478411;3.1006303;10.535118;2.1664326;17.375357;3.1651218;8.521973;3.523124;2.2385888;9.439348
