1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
132.57;132.165;144.315;140.67886;138.51;-1.0
132.57;132.165;144.315;141.07437;138.51;137.16
132.57;132.165;144.315;140.46915;138.51;-1.0
132.57;132.165;144.315;141.35248;138.51;137.16
132.57;132.165;144.315;141.49335;138.51;137.16
132.57;132.165;144.315;141.59215;138.51;137.16
132.57;132.165;144.315;141.42491;138.51;137.16
132.57;132.165;144.315;141.57233;138.51;137.16
132.57;132.165;144.315;141.50775;138.51;137.16
132.57;132.165;144.315;141.55724;138.51;137.16
132.57;132.165;144.315;141.71843;138.51;137.16
132.57;-1.0;144.315;141.74164;138.51;137.16
132.57;132.165;144.315;141.6363;138.51;137.16
132.57;132.165;144.315;141.50679;138.51;137.16
132.57;132.165;144.315;141.46887;138.51;137.16
132.57;132.165;144.315;140.49841;138.51;-1.0
132.57;132.165;144.315;141.13594;138.51;137.16
132.57;132.165;144.315;140.88979;138.51;137.16
132.57;132.165;144.315;141.02766;138.51;137.16
132.57;132.165;144.315;140.91794;138.51;137.16
132.57;132.165;144.315;141.18884;138.51;137.16
132.57;132.165;144.315;141.15176;138.51;137.16
132.57;132.165;144.315;141.31036;138.51;137.16
132.57;132.165;144.315;141.46298;138.51;137.16
132.57;132.165;144.315;141.09416;138.51;137.16
132.57;132.165;144.315;141.04964;138.51;137.16
132.57;132.165;144.315;140.98633;138.51;137.16
132.57;132.165;-1.0;139.45918;138.51;137.16
132.57;132.165;144.315;141.24681;138.51;137.16
132.57;132.165;144.315;141.09935;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.25896;138.51;137.16
132.57;132.165;144.315;141.60162;138.51;137.16
132.57;132.165;144.315;141.60446;138.51;137.16
132.57;132.165;144.315;141.5181;138.51;137.16
132.57;132.165;-1.0;140.12697;138.51;137.16
132.57;132.165;144.315;141.7809;138.51;137.16
132.57;132.165;144.315;141.34972;138.51;137.16
132.57;132.165;144.315;140.87979;-1.0;137.16
132.57;-1.0;-1.0;139.21042;138.51;137.16
132.57;132.165;144.315;141.13487;138.51;137.16
132.57;132.165;144.315;141.16911;138.51;137.16
132.57;132.165;144.315;141.21706;138.51;137.16
132.57;132.165;144.315;141.15553;138.51;137.16
132.57;132.165;144.315;141.15479;138.51;137.16
132.57;132.165;144.315;141.28725;138.51;137.16
132.57;132.165;144.315;140.70625;-1.0;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.29416;138.51;137.16
132.57;132.165;144.315;140.96155;138.51;137.16
132.57;132.165;144.315;141.2179;138.51;137.16
132.57;132.165;144.315;140.80246;-1.0;137.16
132.57;132.165;144.315;141.30215;138.51;137.16
-1.0;132.165;144.315;141.40161;138.51;137.16
132.57;132.165;144.315;141.26584;138.51;137.16
132.57;132.165;144.315;141.4938;138.51;137.16
132.57;132.165;144.315;141.62425;138.51;137.16
132.57;132.165;-1.0;140.09996;138.51;137.16
132.57;-1.0;144.315;141.66473;138.51;137.16
132.57;132.165;144.315;141.72372;138.51;137.16
132.57;132.165;144.315;141.6779;138.51;137.16
132.57;-1.0;144.315;141.32498;138.51;137.16
132.57;132.165;144.315;141.46054;138.51;137.16
132.57;132.165;144.315;141.3026;138.51;137.16
132.57;132.165;144.07027;-1.0;138.51;137.16
132.57;132.165;144.315;140.98384;138.51;137.16
132.57;132.165;-1.0;139.50989;138.51;137.16
132.57;132.165;144.315;140.97113;138.51;137.16
132.57;132.165;144.315;141.20512;138.51;137.16
132.57;132.165;144.315;141.22891;138.51;137.16
132.57;132.165;144.315;141.27321;138.51;137.16
132.57;132.165;144.315;141.42064;138.51;137.16
132.57;132.165;144.315;141.27742;138.51;137.16
132.57;132.165;144.315;141.21106;138.51;137.16
132.57;132.165;144.315;141.26373;138.51;137.16
132.57;132.165;144.315;141.13731;138.51;137.16
132.57;-1.0;144.315;141.41594;138.51;137.16
132.57;132.165;144.315;141.26645;138.51;137.16
132.57;132.165;144.315;141.18869;138.51;137.16
132.57;132.165;144.315;141.4776;138.51;137.16
132.57;132.165;144.315;141.54851;138.51;137.16
132.57;132.165;144.315;141.70036;138.51;137.16
132.57;132.165;-1.0;140.292;138.51;137.16
132.57;132.165;144.315;141.69588;138.51;137.16
