2_C151.15;3_C-9.47;4_C201.84;7_C-6.27;8_C130.49;10_C228.66;12_C-138.89;14_C-27.88;15_C-13.33;16_C63.6;17_C-28.43;18_C-265.65;19_C-244.05;20_C132.01;21_C-30.66;23_C-178.13;24_C-17.19;26_C121.47;29_C189.52;30_C-43.05
16.340307;1.9603214;6.0444536;19.319288;25.411642;4.7429323;8.161754;4.8737893;7.0010414;2.6886113;7.33078;2.7693431;7.6102667;1.8805164;13.56573;2.6076207;7.7733536;2.968758;1.9272352;10.044447
22.138767;2.1521115;6.721067;19.135134;27.254538;5.5132804;10.937798;5.141338;7.678726;2.9686365;7.350339;2.576887;8.0965805;1.8572695;16.467693;2.9508097;7.5744696;3.5475879;2.267841;10.313421
20.303951;2.183263;7.320694;20.503069;26.342443;4.717809;9.620883;5.23114;7.6300178;3.3053288;7.6314864;2.7798345;8.418204;1.6512997;13.908979;2.8908772;7.1673646;3.2391732;2.3047147;9.412512
17.88966;1.9649175;6.2237406;15.9271755;22.90313;4.9376855;8.289016;5.167492;6.906142;2.6101842;7.8960776;2.785616;7.684662;1.6690266;14.638428;2.4697883;6.738814;2.8599284;2.0646505;8.136011
17.748741;1.8399785;5.347474;17.366673;23.6273;5.004249;9.261309;4.6808643;6.8300643;2.6707294;7.5518203;2.404622;7.9938912;1.6599602;12.913752;2.6915944;7.1154146;2.78561;1.8075352;8.366918
17.819477;1.8797795;6.19736;17.140774;23.774296;4.623063;9.618834;5.044814;8.097658;3.128249;7.0485854;2.277099;7.8807616;1.8413327;14.323593;2.6492593;7.439139;3.0223954;2.0883021;9.36035
17.997892;1.81239;5.576827;17.534687;24.392244;4.5657835;8.99762;5.463317;7.1951995;2.8105762;7.11098;2.6240277;7.566124;1.6950871;14.099144;2.8354971;7.153151;2.890166;1.8675184;7.9780645
17.751736;1.7495455;5.47149;19.12802;21.286882;3.9171517;7.4082184;4.490526;5.9886827;2.3825307;6.7895226;2.6534936;6.8017097;1.6603081;12.82958;2.4177217;7.00167;2.8143845;1.7198092;7.315654
13.529599;1.6659877;5.18403;14.019788;22.221424;4.1508055;7.2224336;4.1953955;4.7307806;2.436058;5.8424845;2.1104958;6.17014;1.4920392;11.297189;2.0614843;5.6591897;2.3246205;1.6845499;6.7409234
15.076222;1.5229769;4.57953;13.603162;19.475382;3.7095833;6.5913672;4.1038847;5.2842145;2.0873663;5.381278;1.9511096;6.058906;1.4368818;10.796913;2.093352;5.180963;2.1265018;1.4772751;6.315726
11.898058;1.5408869;3.943493;12.394064;17.958752;3.4192493;5.405243;3.4156716;4.8675117;1.7290566;5.355976;1.9470136;5.4413733;1.2585962;8.588059;1.8377135;5.4853487;1.768136;1.4692624;6.800293
12.598267;1.3169355;3.847247;12.729047;16.814226;3.2134483;5.637863;3.5816665;4.648686;2.3423686;4.972385;1.928401;5.4378023;1.5112758;9.575358;1.6656742;5.065535;2.035862;1.3473783;6.184901
11.878849;1.4048698;4.379903;13.8758335;19.1492;3.6495757;6.7642517;3.784797;4.3633046;1.9636343;6.1209297;1.9395825;5.6161833;1.3029855;10.051871;1.7484398;5.550257;1.9968014;1.5089673;6.8691125
14.981003;1.481117;5.8351917;14.721506;21.132952;3.4502006;7.038066;3.963143;4.612953;2.5245593;6.4904885;2.0529583;6.269815;1.7718418;12.750897;2.3693283;6.216709;2.61276;1.7948405;7.085312
16.14104;2.0462863;5.461825;16.853704;23.58314;4.8689137;9.900713;4.837014;6.5578413;2.6137555;8.132282;2.4670825;8.081716;1.6001632;15.107229;2.242361;6.506587;2.7427588;1.7031071;9.324303
22.133667;2.1354296;7.500258;20.131039;25.240417;4.42237;9.639605;5.91558;6.273933;2.8477883;7.905394;2.862171;7.9607553;1.8706344;13.564786;2.666429;8.036029;3.0025082;1.9369688;8.571718
19.730816;2.144415;6.99344;18.86857;25.528643;5.2605834;10.056259;5.450952;7.3061934;3.166242;8.282996;3.1259131;8.308421;1.7791698;15.64817;2.560412;7.118551;3.3160605;2.1760478;8.77169
19.490238;2.1447818;7.1776795;21.236666;25.921087;4.9400635;9.841324;6.5882545;7.770137;3.138042;8.014417;2.9265213;8.916955;2.3420196;14.959221;2.8603234;7.800219;3.2544436;2.4330232;9.7135315
19.328777;2.0953252;7.01616;19.454449;28.137455;5.5054045;9.957531;5.568518;7.816194;3.2033486;8.786675;2.9827418;9.993012;2.160688;17.003891;3.0174594;8.495689;3.3692174;2.4089496;11.071155
18.410414;2.3538632;7.4026327;23.98269;26.903387;5.028394;10.844762;5.9242268;8.831248;3.4808342;9.197939;2.8223126;7.567027;1.8454902;16.438938;3.043177;8.769643;3.0413144;2.234585;8.907489
19.205837;2.38166;6.4831553;21.845737;29.414902;5.464451;8.897423;5.4565988;7.239184;3.3294895;8.415345;3.0489469;7.800615;2.2428637;15.527768;3.17135;8.178803;3.5824134;2.1174664;10.089834
18.844725;1.9419445;5.995642;21.629776;22.434185;5.3051867;9.837269;5.193488;7.0591936;3.01442;7.815801;2.7440662;7.963156;1.8083775;14.582092;2.6894069;7.48048;2.980823;2.0498364;9.925715
20.357426;1.8528996;5.749112;17.991934;24.550243;4.556464;9.513248;5.1462545;7.079187;2.6290414;6.879737;2.4155867;8.18763;1.8495632;14.40359;2.4798284;6.992343;2.8488348;1.9185139;9.000856
21.022564;2.0668263;6.2844915;18.59121;24.094437;4.719653;9.5436;4.962646;6.415113;2.6876898;7.549455;2.3140023;8.003054;1.6571224;11.608418;2.56031;7.1910543;2.7786734;2.0263402;9.188831
18.060465;1.9703538;5.19977;18.796854;23.099035;4.712018;10.026861;5.018789;6.828656;2.9836278;7.536319;2.4928596;7.4746237;1.8473918;14.01499;2.7537754;7.03649;3.2229543;1.9259937;9.804845
20.926373;2.074002;6.628946;21.56582;29.400955;5.71058;8.964169;5.1765637;7.862664;2.7440643;7.531615;2.6952672;8.182118;2.0111935;12.185191;2.9624958;7.4658647;2.806623;2.0618305;10.184517
19.540241;2.3974023;7.602487;20.652182;28.579288;4.733467;9.338249;5.5707984;7.490102;3.1189082;8.534399;2.7947998;8.610623;2.1200945;15.763693;3.3530586;8.20593;2.9533963;2.0770307;10.237703
18.082466;2.2463908;5.6019764;19.357367;23.252117;4.8527646;9.43062;4.992358;6.876911;2.9763;7.0600357;2.4849842;9.416072;1.8740718;14.647623;2.7656977;7.905425;3.165257;1.7708155;8.751004
17.61162;1.8090572;6.5004663;17.070602;23.725395;4.5758495;9.928192;4.5600867;6.427321;2.8278537;6.860836;2.5838108;8.808589;1.689511;14.057413;2.4166658;7.490987;2.962794;2.163408;7.949703
17.83071;1.9036785;5.9241853;17.480473;22.758894;4.611214;10.317051;4.665431;7.0091324;2.5354276;7.1518908;3.0588918;7.2089972;1.5564674;13.414945;2.4526308;7.556449;3.1440425;1.812183;7.891585
17.377163;1.7563236;5.4806037;16.938276;26.067093;4.1557517;8.987333;4.532488;6.391343;2.6652045;7.0952086;2.8959396;7.756198;1.5148962;13.522656;2.3400838;6.5605326;3.2558732;1.8981966;7.592073
15.982719;1.8394734;5.4759665;15.706271;19.388647;3.8152137;8.535552;4.37078;6.0418935;2.6884937;6.377282;2.005019;6.9365892;1.5173514;11.288897;2.2660139;6.851316;2.3891957;1.7759655;8.14641
12.08536;1.499104;5.00489;12.348796;20.200474;3.5175757;7.3847246;4.3192725;5.4670434;2.0370796;5.1364036;2.0301223;6.4196024;1.3983767;10.721579;2.1651487;5.5979085;2.2130795;1.540467;6.701364
11.870262;1.5439825;4.038392;12.646323;15.642726;3.6055317;6.5242815;3.6785953;4.923185;2.270214;4.8265123;1.9395485;5.3264422;1.277324;10.373061;1.6788845;4.927;2.1080105;1.3527243;6.8394423
11.923254;1.264911;3.7550836;11.613249;15.697322;3.3836503;5.7978992;3.766436;5.2899213;2.097647;4.8209414;1.761693;4.640261;1.2163035;9.2018385;1.8885624;4.9650445;1.9446045;1.1929185;6.284298
12.704885;1.3516508;3.9956982;13.021373;15.512072;3.1620646;6.75242;3.1478388;4.65635;1.7579467;4.5129275;1.7012905;4.8655095;1.1046629;9.200874;1.7551746;5.104552;1.8450972;1.3811529;5.4699736
12.154288;1.4917156;4.1813416;13.473355;18.530468;3.6835766;6.722663;3.7506676;4.2738757;2.050924;4.5647;1.9188763;6.172831;1.3282056;10.186281;1.8703794;5.3465075;1.9818821;1.3698903;6.893035
13.594688;1.6488202;4.990884;15.239612;18.786373;3.861927;6.503985;4.287793;4.770321;2.4122503;5.84269;1.9568669;6.64734;1.280587;10.688601;2.0534723;5.2115755;2.364587;1.580116;6.88387
13.970224;1.9752413;5.401439;16.195078;23.776524;4.728054;7.0327845;5.1640024;6.33232;2.3948407;6.578032;2.2862103;7.0043297;1.6286179;12.381651;2.403438;6.720525;2.4982514;1.9355196;7.8333335
16.047815;1.9751472;6.5328994;21.328745;27.839838;4.656495;8.637029;4.2135572;7.463816;2.701474;7.2649946;2.6709802;7.396431;1.7264011;13.3103485;2.5073724;7.48852;2.4335852;1.8268772;8.330355
19.66879;1.9121796;7.1896772;21.026575;27.848444;5.229895;8.980883;5.606304;6.521508;3.107428;9.191063;2.6440415;8.397963;1.9105434;15.514989;2.6693654;7.0042367;3.226223;1.9862484;9.114802
18.68162;2.0868585;6.3956537;20.923845;24.550613;5.41289;9.759264;5.1755414;6.6217256;3.220105;8.207808;3.1287012;8.678526;1.8344454;17.10883;2.8938146;6.7063646;3.02483;2.0488887;9.001689
20.868086;2.2598586;7.595086;20.687809;27.215656;4.473286;10.560884;5.470214;7.8639765;3.0758846;10.598977;2.7835882;8.457045;2.1270742;15.405615;2.7688496;8.309614;2.815003;2.284111;9.5352545
22.374166;2.0542207;6.28719;21.060398;26.860632;5.256461;9.381286;5.923497;7.3007364;3.166705;8.67451;3.2165494;9.960393;1.9930861;17.617153;2.6319287;7.0652833;3.0503597;2.1338048;8.992037
17.127827;2.1140208;6.1967664;17.398388;21.87132;4.691556;10.469396;5.424704;7.4872284;2.9284918;6.852697;2.6038585;8.770758;1.870031;13.801813;2.9359221;7.5756836;2.7544098;2.3615546;9.51722
20.627825;1.9123485;5.6090765;19.075716;24.541462;4.7239475;9.373452;5.166493;7.1096015;2.7709136;7.046544;2.9111195;6.8231063;1.9541384;14.403232;2.5809598;6.96085;2.728499;1.8861716;8.839958
16.333023;1.9183786;6.3598776;15.793675;30.14632;4.48878;7.4951363;4.99985;5.593519;2.433786;7.3169785;2.3789244;7.4669037;1.93101;11.445471;2.4630332;7.1135035;2.2395422;1.8973064;8.620839
16.789198;1.7502018;4.802718;15.984693;21.77509;5.0172205;9.023676;4.8570123;5.5930133;3.0107865;7.332991;2.6373005;7.137702;1.5029132;13.0506315;2.5712717;6.3569703;2.7095764;1.6600622;7.2730813
17.204159;2.0790412;6.0268164;19.1716;24.772556;4.8115377;8.465413;4.801519;7.0061417;2.7762809;8.025719;2.696438;6.786177;1.8554842;12.748335;2.7206645;6.6328382;2.6326675;1.8152828;7.939267
18.94935;2.1274586;6.5206656;20.448729;24.40638;5.570138;9.618915;5.202364;6.9251723;3.2009501;8.070702;2.824262;8.268633;1.7720572;16.188206;2.6532679;7.0281763;2.791038;1.9355437;10.442784
19.50524;2.1921935;6.0540357;17.48052;22.530054;5.091197;8.837332;5.0065985;8.057512;3.0839431;7.918659;2.5523868;8.442936;1.8439575;14.445636;2.876141;6.6801896;3.2977176;2.2074704;9.33133
14.923111;1.8279583;6.2149525;17.899557;23.681282;5.2044687;10.138124;4.215931;6.80256;2.7323334;6.462474;2.4872355;6.7437944;1.9820172;12.979935;2.3751538;6.5226393;2.7370288;1.9927654;8.808876
16.234089;1.7262833;5.3428273;16.133827;22.234476;4.464802;7.942067;4.9628944;6.1398687;2.4625447;7.0775003;2.5207486;7.413245;1.5717369;13.288188;2.459417;6.0582;2.675231;1.7946241;8.26316
18.670918;1.812392;6.191015;17.09814;22.305166;5.362252;8.314215;4.4705877;6.1605663;2.8143234;6.668519;2.7517045;7.7756166;1.7447569;15.450094;2.487576;6.343753;2.6871324;1.749403;8.118162
16.952488;1.7593981;5.7321553;17.830748;20.90752;5.0889587;8.042715;4.783758;6.1791954;2.4581676;6.736769;2.5483794;7.9330034;1.6078955;13.81362;2.128137;6.455678;2.5763047;1.5889109;8.84249
12.523259;1.4596208;4.454234;12.1359005;17.906258;3.321851;5.834629;3.1518734;4.9956903;2.1546385;5.7972846;1.5841211;5.187691;1.2437124;10.181491;1.7970893;5.4325275;1.9004749;1.4179295;6.1690035
10.699797;1.38325;3.7523537;11.110121;16.921566;3.2055016;5.528079;3.4275594;4.707082;1.8053768;4.836292;1.7931753;4.518506;1.1481521;8.939741;1.6626123;4.954791;1.7210591;1.1907141;5.6515937
9.104823;1.160411;3.356797;11.092495;14.778191;2.752511;4.94567;3.0018377;3.5353322;1.6151745;4.4127283;1.5637801;4.6799383;1.0999752;7.9022856;1.5348778;4.536376;1.8104784;1.1040581;5.1352777
7.9058714;1.2129495;3.455815;9.146443;13.343794;2.9247773;4.483552;2.7305532;3.9104335;1.6308304;4.0276995;1.3461238;3.9168777;1.0095859;7.2937393;1.2679298;3.2742221;1.3829433;1.0267336;5.078177
9.855482;1.0096875;3.4139245;10.333545;15.372658;2.5686474;5.586137;3.1970668;3.871778;1.3660642;3.9676278;1.5473421;4.6306796;0.99175054;8.207876;1.2554481;3.9789333;1.3484914;1.1053725;4.4807806
10.900376;1.0298582;3.5029087;9.939101;12.220143;2.6779077;5.1714063;3.290348;3.7278488;2.092084;4.4648023;1.6228876;3.9645748;1.0644872;8.291609;1.4040382;3.6699548;1.568795;1.0946126;4.948204
13.223239;1.2925577;4.021817;12.815961;17.344162;2.9567673;5.4075723;3.482943;4.1774817;2.3142433;4.8707037;1.7814481;4.9706593;1.1985018;8.913086;1.7098551;4.9916186;1.7964957;1.3909452;5.89547
13.161087;1.4731916;5.063395;13.479459;19.285166;3.241544;7.3133135;3.761518;5.018174;2.125481;5.865474;1.9238344;5.156852;1.4525021;9.338585;1.9157451;5.051498;1.9018452;1.383899;6.464228
13.337332;1.7471323;4.8564405;16.90052;22.01221;4.2105756;7.282546;4.4005013;5.144564;2.4550052;5.9942145;1.9398882;6.798814;1.5761381;12.007798;2.0421891;5.440016;2.5438483;1.494399;6.850718
15.015821;1.8285503;5.7213664;16.42075;19.938328;4.0875597;7.363579;4.3851633;4.9022226;2.2817671;6.8236403;2.074425;5.6848955;1.7012236;11.197817;2.2830992;5.5418663;2.6155407;1.8145685;8.478161
17.005234;1.7130378;5.554911;17.355343;23.093887;4.605235;8.654783;4.242797;6.453036;2.4566562;6.458519;2.8001885;7.38252;1.5667528;13.937314;2.2396598;5.7714295;2.2910118;1.6765368;7.486252
15.273741;1.801039;5.8045053;16.329876;23.177502;4.208954;7.2684975;4.558925;6.370839;2.4827359;6.5335402;2.5635269;7.4268165;1.6112773;13.999741;2.1958556;6.485977;2.7498004;1.917135;8.18986
15.541405;1.8340019;5.249528;18.239262;23.23682;3.582526;8.961515;4.758358;6.1121116;2.4469688;5.8818293;2.5384521;6.9090705;1.6019895;12.486702;2.4238377;5.003545;2.6487756;1.7935841;7.0871534
16.10269;1.6390293;5.8621287;15.991732;22.922958;3.910302;8.263942;4.257895;5.9553385;2.1450596;7.040844;2.2596033;6.044982;1.5132377;12.054392;2.4193141;6.0755944;2.5302663;1.6502225;6.491163
15.749911;1.6968874;4.8198214;14.748032;19.263674;3.7524307;6.501443;4.074769;5.384883;2.2999976;6.450589;2.0208924;6.2295036;1.3350065;11.954708;2.0703354;6.151585;2.895609;1.4860262;6.9109206
12.832155;1.6929715;4.37313;14.0562105;20.101978;3.6857994;7.246145;4.2820287;5.702442;2.2530675;6.114009;1.9217469;5.8895974;1.5795425;10.179796;2.0936306;5.008548;2.3784068;1.5921602;5.825701
12.834348;1.4163774;5.0111322;13.086919;20.335913;3.6694572;7.19612;3.8120766;5.277603;2.0583181;5.1729155;2.0099108;5.6285014;1.379184;10.950328;1.9621128;5.5271096;2.1601136;1.3407867;6.111216
14.61087;1.628388;4.9777784;14.531491;19.23736;3.7363029;7.2466974;4.640742;4.910577;2.4348783;5.6800036;1.9862072;6.530402;1.4528757;10.176176;2.0306087;5.317899;2.262775;1.6393001;7.033933
15.426279;1.8126109;5.748603;15.261633;20.838028;3.6680763;7.371473;4.415966;5.441508;2.3182895;6.2441626;2.2850995;7.04688;1.8101267;10.650631;2.273434;6.0861406;2.6913712;1.7115551;8.296095
15.202944;1.7360626;5.100573;17.868328;19.458973;4.228883;8.36129;4.5570025;5.50714;2.6644816;6.1995544;2.2687078;6.6787577;1.3929129;12.142992;2.0792418;6.5879784;2.3467517;1.7439426;6.0750723
14.911563;1.5598686;5.1891127;12.668592;19.553202;3.7443225;6.5005813;4.5710015;6.119687;2.0547805;6.3489275;2.2586315;6.6448736;1.4259924;11.393947;2.1013713;6.012384;2.3085883;1.5369693;6.643336
14.008029;1.4598485;5.223005;14.061539;18.118275;3.7440467;6.5586905;4.193158;4.72713;1.988999;6.147234;1.9852991;6.4627213;1.4293547;11.874525;2.0060885;4.592248;2.175286;1.3759427;5.8558393
13.18338;1.5557758;5.15159;13.900914;18.239126;3.9944694;6.959001;4.1182504;4.888763;2.3856418;6.1976404;1.8587132;5.64297;1.3449628;12.318774;1.8824565;5.6099143;2.277017;1.6588724;6.0915284
13.021456;1.5330282;4.5918493;13.089134;17.695484;4.276497;6.550706;3.8819969;4.781139;2.1119838;6.2876935;1.9376482;5.793849;1.3778363;13.407573;2.050076;5.359967;2.1662426;1.6762083;7.223349
11.044779;1.3730688;3.7848625;10.9382;14.230963;2.8867173;4.8063765;3.1479313;4.0126953;1.8564173;4.413966;1.7141558;5.1236944;1.1158429;9.119719;1.6639287;4.1886606;1.7033741;1.0343554;5.7898693
10.278395;1.0829738;3.1618032;10.700295;12.409979;2.6543517;4.8791833;3.0550482;3.8307629;1.5981961;4.486085;1.3978812;4.0150867;1.0004725;8.171565;1.5252055;4.1720033;1.6927595;1.1073889;5.448939
9.12133;1.1230963;3.457332;10.781624;12.037142;2.664865;4.6296296;2.4203258;3.3374825;1.3936837;3.7655587;1.394767;3.61385;1.027304;7.7649336;1.3363373;3.5747871;1.8089678;1.0110657;4.6380253
8.264066;0.9701006;3.155816;9.31649;11.082029;2.2107835;4.580572;2.4689426;3.3609958;1.5516133;3.3410382;1.2511992;3.7086322;0.8526434;6.9313216;1.0877097;3.5514271;1.3767958;0.99877375;4.5368466
8.880592;1.1548067;2.6379085;8.459572;11.404787;2.1074557;4.683118;2.3900952;3.685244;1.2588243;3.829535;1.2169493;3.756181;0.79229677;7.9318037;1.3718526;3.3788257;1.5814106;0.8088309;3.7638428
9.593206;1.0663054;2.884027;9.842113;12.862717;2.5690134;4.7899776;2.1135678;3.3908343;1.5395348;3.9075425;1.2960991;4.130634;0.88526;8.231208;1.3242843;3.527102;1.5182058;0.9964964;4.7368727
10.635793;1.1258503;4.5398383;11.473816;15.454015;2.752977;5.336299;3.0309062;4.2937913;1.679376;4.378156;1.3256452;4.4239373;1.0704038;9.0812435;1.715798;4.3575263;2.0273998;1.0561999;5.1729774
12.942862;1.3774549;3.9517689;14.391596;15.10761;2.8766646;5.7687054;3.5613751;4.380023;2.1742136;4.685504;1.8565807;5.1459556;1.1423607;8.023399;1.6816101;4.289823;1.847832;1.4254473;5.8632607
13.810232;1.4693289;5.0203924;13.122259;18.450851;3.7484612;6.9020185;3.0864563;4.880788;2.2702134;5.1939993;1.7362753;5.9242544;1.1778443;10.51276;1.817548;5.047927;2.1639729;1.4972054;6.5947943
