1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
132.57;132.165;144.315;141.78487;138.51;137.16
132.57;-1.0;144.09161;-1.0;138.51;137.16
132.57;132.165;144.315;141.69655;138.51;137.16
132.57;132.165;-1.0;139.38177;138.51;-1.0
-1.0;132.165;144.315;141.3237;138.51;-1.0
132.57;132.165;-1.0;140.0849;138.51;137.16
132.57;132.165;-1.0;140.12189;138.51;137.16
132.57;132.165;144.315;141.90172;138.51;137.16
132.57;-1.0;144.315;140.93605;-1.0;-1.0
132.57;-1.0;144.315;142.10373;138.51;137.16
132.57;132.165;144.315;142.03874;138.51;137.16
132.57;132.165;144.315;142.09172;138.51;137.16
132.57;-1.0;144.315;142.14081;138.51;137.16
132.57;132.165;144.315;141.79309;-1.0;137.16
132.57;-1.0;-1.0;140.2565;138.51;137.16
132.57;132.165;144.315;141.80005;138.51;137.16
132.57;132.165;144.315;141.88443;138.51;137.16
132.57;132.165;144.315;141.85068;-1.0;137.16
132.57;132.165;144.315;141.8106;138.51;137.16
132.57;132.165;144.315;141.80562;138.51;137.16
132.57;132.165;144.315;141.80956;138.51;137.16
-1.0;132.165;-1.0;140.38394;138.51;137.16
132.57;132.165;144.315;141.89738;138.51;137.16
132.57;-1.0;144.315;141.38138;138.51;-1.0
132.57;132.165;144.315;141.96494;138.51;137.16
132.57;132.165;144.315;141.73859;138.51;137.16
132.57;132.165;144.315;141.96468;138.51;137.16
132.57;132.165;144.315;141.6334;-1.0;137.16
132.57;132.165;144.315;141.83028;138.51;137.16
132.57;132.165;144.315;141.8518;138.51;137.16
-1.0;-1.0;144.315;142.05055;138.51;137.16
132.57;132.165;144.315;142.02164;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;142.0212;138.51;137.16
132.57;132.165;144.315;142.10493;138.51;137.16
132.57;132.165;144.315;140.95323;-1.0;-1.0
-1.0;132.165;-1.0;-1.0;137.91782;137.16
132.57;132.165;144.315;142.06503;138.51;137.16
132.57;132.165;144.315;141.99535;138.51;137.16
132.57;-1.0;144.315;141.90752;138.51;137.16
132.57;132.165;144.315;141.7035;-1.0;137.16
132.57;132.165;144.315;141.84444;138.51;137.16
132.57;132.165;144.315;141.27304;138.51;-1.0
132.57;132.165;144.315;141.23137;138.51;-1.0
132.57;132.165;144.315;141.90778;138.51;137.16
132.57;132.165;144.315;141.83214;138.51;137.16
132.57;132.165;144.315;142.01117;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.96797;138.51;137.16
132.57;132.165;144.315;141.86153;138.51;137.16
132.57;132.165;-1.0;139.53679;138.51;-1.0
132.57;132.165;144.315;141.94319;138.51;137.16
132.57;132.165;144.315;141.99226;138.51;137.16
132.57;132.165;144.315;141.94585;138.51;137.16
132.57;132.165;144.315;141.978;138.51;137.16
132.57;132.165;144.315;141.81526;-1.0;137.16
132.57;132.165;144.315;141.95499;138.51;137.16
132.57;132.165;144.315;141.92847;138.51;137.16
132.57;132.165;144.315;141.97827;138.51;137.16
132.57;132.165;144.315;141.44124;138.51;-1.0
132.57;132.165;144.315;141.96745;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
-1.0;132.165;-1.0;140.34866;138.51;137.16
132.57;132.165;144.315;141.67418;138.51;137.16
132.57;132.165;144.315;141.7956;138.51;137.16
-1.0;132.165;144.315;141.71614;138.51;137.16
132.57;132.165;144.315;141.74718;138.51;137.16
132.57;132.165;144.315;141.71805;138.51;137.16
132.57;132.165;144.315;141.57338;138.51;137.16
132.57;132.165;144.315;141.47153;-1.0;137.16
132.57;132.165;-1.0;140.22617;138.51;137.16
132.57;132.165;144.315;141.86398;138.51;137.16
132.57;132.165;144.315;141.80559;138.51;137.16
132.57;132.165;144.315;141.72717;138.51;137.16
132.57;132.165;144.315;141.8092;138.51;137.16
132.57;132.165;144.315;141.71219;138.51;137.16
132.57;132.165;144.315;141.88574;138.51;137.16
132.57;132.165;144.315;141.84425;138.51;137.16
132.57;132.165;144.315;141.24367;138.51;-1.0
-1.0;132.165;144.315;-1.0;138.51;137.16
132.57;-1.0;144.315;141.83995;138.51;137.16
-1.0;132.165;144.315;141.92247;138.51;137.16
132.57;132.165;144.315;141.30124;138.51;-1.0
132.57;132.165;-1.0;139.79048;138.51;-1.0
-1.0;132.165;144.315;142.03377;138.51;137.16
132.57;132.165;144.315;141.93098;138.51;137.16
132.57;132.165;144.315;141.74716;138.51;137.16
132.57;132.165;144.315;141.72351;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.39726;-1.0;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;-1.0;144.315;141.6749;138.51;137.16
132.57;132.165;144.315;141.67673;138.51;137.16
132.57;132.165;144.315;141.66205;138.51;137.16
132.57;132.165;144.315;141.77658;138.51;137.16
132.57;132.165;140.3904;-1.0;-1.0;137.16
132.57;132.165;144.315;141.79478;138.51;137.16
132.57;132.165;144.315;141.72154;138.51;137.16
132.57;132.165;144.315;141.69096;138.51;137.16
132.57;132.165;144.315;141.24289;138.51;-1.0
132.57;132.165;144.315;141.8061;138.51;137.16
132.57;132.165;144.315;141.7278;138.51;137.16
-1.0;-1.0;144.315;140.07787;138.51;-1.0
132.57;132.165;144.315;141.82172;138.51;137.16
132.57;132.165;144.315;141.9053;-1.0;137.16
132.57;132.165;144.315;141.89691;138.51;137.16
132.57;132.165;-1.0;140.38113;138.51;137.16
-1.0;132.165;144.315;142.13922;138.51;137.16
132.57;132.165;144.315;141.78854;138.51;137.16
-1.0;132.165;144.315;141.79561;138.51;137.16
132.57;132.165;144.315;141.02048;138.51;-1.0
132.57;132.165;144.315;141.63998;138.51;137.16
132.57;132.165;144.315;141.18312;-1.0;137.16
132.57;132.165;-1.0;139.98192;138.51;137.16
132.57;132.165;144.315;141.57817;138.51;137.16
132.57;132.165;144.315;141.56842;138.51;137.16
132.57;132.165;144.315;141.03673;138.51;-1.0
-1.0;132.165;143.91937;-1.0;138.51;-1.0
132.57;132.165;140.57352;-1.0;-1.0;137.16
132.57;132.165;144.315;141.70044;138.51;137.16
132.57;132.165;144.315;141.65848;138.51;137.16
132.57;132.165;144.315;141.6084;138.51;137.16
132.57;132.165;144.315;141.7666;138.51;137.16
132.57;132.165;144.315;141.46854;-1.0;137.16
132.57;-1.0;144.315;141.80634;138.51;137.16
132.57;132.165;144.315;141.79175;138.51;137.16
132.57;132.165;144.315;141.75674;138.51;137.16
-1.0;132.165;144.315;141.93805;138.51;137.16
132.57;132.165;144.315;141.86435;138.51;137.16
132.57;132.165;144.315;141.85959;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.99835;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.64832;138.51;137.16
132.57;132.165;144.315;141.65393;138.51;137.16
132.57;132.165;144.315;141.604;138.51;137.16
132.57;132.165;-1.0;137.12148;-1.0;137.16
