1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
132.57;132.165;144.315;142.0048;138.51;137.16
132.57;132.165;144.315;141.99768;138.51;137.16
132.57;132.165;144.315;141.99596;138.51;137.16
132.57;132.165;144.315;141.95107;138.51;137.16
132.57;132.165;-1.0;140.46463;138.51;137.16
132.57;132.165;144.315;142.01175;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;-1.0;144.315;141.88074;-1.0;137.16
132.57;132.165;-1.0;-1.0;137.08545;137.16
132.57;132.165;144.315;141.988;138.51;137.16
132.57;132.165;144.315;142.00986;138.51;137.16
132.57;132.165;144.315;140.94997;-1.0;-1.0
132.57;132.165;144.315;141.99948;138.51;137.16
132.57;132.165;144.315;141.94342;138.51;137.16
-1.0;132.165;144.315;141.94041;138.51;137.16
132.57;132.165;144.315;141.48405;-1.0;137.16
132.57;132.165;144.315;141.76456;138.51;137.16
132.57;132.165;144.315;141.66515;-1.0;137.16
132.57;-1.0;144.315;141.69681;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.77379;138.51;137.16
-1.0;132.165;144.315;141.72302;138.51;137.16
132.57;132.165;144.315;141.8223;138.51;137.16
132.57;132.165;144.315;141.869;138.51;137.16
-1.0;132.165;144.315;141.88518;138.51;137.16
132.57;132.165;144.315;141.88208;138.51;137.16
132.57;132.165;144.315;141.50682;-1.0;137.16
132.57;132.165;144.315;141.83386;138.51;137.16
132.57;132.165;144.315;141.72711;138.51;137.16
132.57;-1.0;144.315;141.17676;138.51;-1.0
-1.0;132.165;144.315;141.87944;138.51;137.16
132.57;-1.0;144.315;141.07991;138.51;-1.0
132.57;-1.0;144.315;141.85066;-1.0;137.16
132.57;-1.0;-1.0;139.30972;138.51;-1.0
132.57;-1.0;144.315;142.01698;138.51;137.16
132.57;-1.0;144.315;141.98885;138.51;137.16
132.57;-1.0;144.315;142.11147;138.51;137.16
132.57;-1.0;144.315;141.98708;138.51;137.16
132.57;-1.0;144.315;141.7324;138.51;137.16
132.57;-1.0;144.315;141.69646;138.51;137.16
132.57;-1.0;144.315;141.61531;-1.0;137.16
132.57;-1.0;143.87277;-1.0;138.51;137.16
132.57;-1.0;144.315;141.5052;-1.0;137.16
132.57;-1.0;144.315;141.68318;138.51;137.16
-1.0;-1.0;144.315;141.43565;138.51;137.16
132.57;-1.0;144.315;141.69339;138.51;137.16
132.57;-1.0;144.315;141.88675;138.51;137.16
132.57;-1.0;-1.0;-1.0;136.1165;137.16
132.57;-1.0;144.315;140.99063;138.51;-1.0
132.57;-1.0;144.315;141.74416;138.51;137.16
132.57;-1.0;-1.0;139.74045;138.51;137.16
132.57;-1.0;144.315;141.88412;138.51;137.16
132.57;-1.0;144.315;141.76015;138.51;137.16
132.57;-1.0;144.315;141.79161;138.51;137.16
132.57;-1.0;144.315;141.84648;138.51;137.16
132.57;132.165;-1.0;140.35254;138.51;137.16
132.57;132.165;144.315;141.92311;138.51;137.16
132.57;132.165;-1.0;140.38123;138.51;137.16
132.57;132.165;144.315;141.929;138.51;137.16
132.57;132.165;144.315;141.97556;138.51;137.16
132.57;132.165;144.315;141.9394;138.51;137.16
132.57;132.165;144.315;141.83368;138.51;137.16
132.57;132.165;144.315;141.78418;138.51;137.16
132.57;132.165;144.315;141.5696;138.51;137.16
132.57;-1.0;144.315;141.6665;138.51;137.16
132.57;132.165;144.315;141.67339;138.51;137.16
-1.0;132.165;144.315;141.76292;138.51;137.16
132.57;132.165;144.315;141.63116;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.67238;138.51;137.16
132.57;132.165;144.315;141.7628;138.51;137.16
