1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
26.999924;26.338787;12.900334;16.087708;9.720079;17.923405
35.893047;31.109268;0.0;19.997822;11.571442;21.274796
27.103985;28.0676;14.582748;15.797628;12.641261;17.814426
27.523563;27.01889;13.487155;16.299166;9.8967;18.59278
25.22371;25.285976;12.348669;15.929489;9.048022;16.9208
24.006697;24.073124;12.940584;14.9563265;8.60386;18.117699
25.549044;22.471859;11.255623;16.88696;8.599379;16.879234
19.933086;22.877226;11.973993;15.450859;8.628198;15.857831
27.478937;0.0;14.102823;16.93192;10.388628;18.874332
20.503515;19.367859;9.41981;12.790088;7.588221;13.350619
24.064571;0.0;11.241156;14.236659;8.693547;16.701351
20.164072;20.161152;11.648854;0.0;7.716989;15.321599
18.525864;20.398563;9.607607;11.646724;7.3318343;12.9160595
19.855307;20.572824;10.973342;15.239111;8.0441265;15.594546
29.964031;29.826511;14.588491;17.801624;9.882026;0.0
0.0;38.919544;19.033005;22.80242;13.789828;23.929949
27.661978;30.864294;14.622701;16.923172;11.042741;21.100576
43.562874;38.558746;0.0;26.034933;15.989973;0.0
33.406437;32.51114;16.929817;19.344555;0.0;22.791851
45.918293;39.793537;0.0;25.555367;15.948337;0.0
39.462093;34.86753;19.826618;0.0;0.0;27.195093
28.993805;25.396973;14.035794;17.927477;9.784299;20.029093
26.361261;30.252619;13.546564;16.950756;0.0;19.014437
26.139673;24.247087;12.779466;16.17381;9.50977;17.681377
32.734108;28.861383;14.93104;18.935623;11.701145;0.0
30.580982;27.150396;14.53182;17.032204;11.009356;18.517513
29.235865;27.659607;14.222876;16.965244;10.8588705;19.670315
41.372772;0.0;21.9897;0.0;15.355952;28.23199
41.367104;0.0;0.0;26.339859;14.76547;27.066082
31.375559;27.977448;0.0;16.760204;10.957333;19.761068
22.842411;27.76508;13.690552;16.343473;9.187221;17.352451
23.07457;22.41965;11.327071;14.754456;9.177742;17.657856
21.317123;19.718235;9.771105;13.408524;7.628778;14.465495
19.450315;20.925484;10.513908;13.22114;0.0;14.49424
21.007536;20.306982;0.0;13.545502;7.6925063;13.33604
0.0;22.576015;12.6871195;13.917883;9.228335;16.947012
19.557035;18.886715;10.261816;11.927832;7.219906;13.859045
0.0;0.0;0.0;33.44875;21.122852;35.83573
23.655094;22.343338;12.616193;13.955829;10.544828;17.349339
29.441132;26.37708;13.559708;17.089945;10.515999;19.129293
33.259026;32.416203;16.176449;0.0;13.341784;25.314983
0.0;48.45052;23.806515;0.0;18.270512;32.656475
31.361383;33.098686;17.10545;20.137974;0.0;22.941425
30.868952;28.503601;15.41983;17.39776;10.903758;20.057825
28.915257;30.375668;14.372477;17.567095;11.172963;21.160688
29.957666;34.357735;15.636502;21.748203;12.32881;0.0
0.0;31.79107;16.037863;20.287357;13.127149;24.939991
24.716587;28.2282;12.70397;15.890607;9.614217;16.81217
32.492294;30.896744;15.087751;0.0;11.593178;20.790867
28.715637;29.459051;13.392896;17.977722;11.286589;19.335032
29.64508;26.938324;13.52077;18.656242;10.524247;19.49841
27.311193;26.722324;13.180666;16.650572;10.094954;18.17406
23.959665;24.049753;13.014618;16.465878;9.697473;16.312862
26.620966;25.311008;12.329978;16.786232;9.446141;16.949583
0.0;32.078648;15.610291;22.588547;13.014262;24.23924
21.653759;21.66138;10.873521;14.451749;7.872245;14.269076
22.385141;23.274998;0.0;13.628969;8.530146;16.445017
25.440365;0.0;12.958928;16.641842;9.0718975;16.58054
20.153843;19.952608;9.634913;0.0;7.0129232;13.227301
16.464214;17.96818;8.887288;10.137354;6.3501787;12.430483
18.11495;18.143421;9.270063;11.220769;6.9450064;12.573866
19.85371;19.503841;9.963627;13.414984;8.792589;13.048015
23.545742;23.803425;13.508835;15.108084;9.202021;15.908201
0.0;34.5433;16.392506;22.637163;13.129443;24.847092
31.799023;31.849731;15.414981;21.353214;11.861656;0.0
29.02472;28.955072;13.807747;19.950708;10.880453;19.06545
27.933386;27.866669;15.231191;18.272774;10.804586;19.567495
34.221134;35.0326;15.794148;0.0;12.421324;22.735401
28.714142;26.32137;14.047911;16.529465;9.837269;17.781506
32.230194;32.436287;17.639204;19.888992;13.000351;0.0
25.23555;25.71496;12.388308;15.59996;9.225621;17.401041
22.359566;23.401209;11.828605;14.297586;8.864557;16.440235
29.566446;28.680227;14.293739;0.0;11.076603;20.912735
27.73173;27.670315;14.26237;17.965864;10.490489;17.54636
30.729055;34.03887;16.627079;0.0;12.718752;20.97758
27.655466;31.179525;14.854559;0.0;10.530833;20.431967
23.0879;22.679195;12.14786;14.97526;9.519194;17.861147
24.269646;24.643497;12.375776;15.730982;8.780634;15.790019
0.0;38.10486;20.816597;27.02457;15.674672;0.0
21.743458;19.348898;10.145597;12.311249;0.0;14.01727
19.252262;21.055588;11.185278;12.402396;7.5907393;0.0
15.119621;15.344676;8.040386;9.893013;5.513854;10.778007
15.607592;15.636841;0.0;10.23464;6.346782;10.746061
0.0;18.70704;8.781885;11.514882;7.075319;11.528943
16.713354;16.851059;0.0;10.37724;5.645338;11.698765
18.326399;17.9662;9.406826;11.910954;0.0;14.233938
19.632193;18.006912;9.5649605;10.92885;7.010295;12.042231
22.17531;21.899067;10.599146;14.036455;7.555964;14.912168
22.626534;21.35636;11.765056;14.126253;8.592269;16.275364
23.530588;21.82723;10.297155;14.07928;8.541796;15.913275
23.47317;22.967972;11.788454;14.356717;8.482003;16.628387
26.079966;27.88417;14.086833;0.0;9.935181;19.59741
24.371075;24.644995;12.572118;13.843214;0.0;16.913683
22.133753;23.941147;0.0;15.388257;9.454847;16.922691
21.526876;22.08574;11.418684;14.02342;0.0;14.145212
19.605165;17.739025;10.721549;12.615332;7.8556376;12.972239
20.283396;20.79531;10.644377;12.667283;7.754018;14.085086
0.0;0.0;21.41845;27.601181;15.221697;29.254572
28.805897;27.221445;12.622749;16.3665;9.281441;0.0
19.202168;21.149906;10.320961;13.096944;7.9121375;15.049484
18.198544;21.359016;9.497854;12.447115;7.424958;13.183589
19.127518;19.098436;10.793173;13.171536;7.097078;13.126048
20.876827;19.855112;9.821188;11.625313;8.525862;12.865694
22.00712;0.0;10.197397;13.65843;8.442372;15.059317
19.559193;0.0;9.350009;12.751111;7.3146706;12.691148
16.590456;15.747783;0.0;9.607253;6.0803943;10.741732
15.997124;0.0;8.829274;10.615834;7.0838547;10.93017
12.350281;12.501125;6.7252073;8.145186;4.4273853;8.542273
15.960783;16.00622;7.4633584;10.2549925;5.961662;0.0
0.0;0.0;25.567225;0.0;0.0;37.220013
19.289158;22.377945;10.057782;12.943842;7.978251;0.0
0.0;25.98331;11.870282;15.650223;9.14776;18.425749
19.221434;21.201517;11.169324;12.146524;7.1155996;13.0082
33.817932;0.0;17.682957;0.0;13.675375;24.532198
19.527212;19.645584;10.427641;12.877413;7.70777;15.470766
31.960896;30.390162;0.0;18.325241;11.651904;0.0
23.49508;24.55241;12.866148;0.0;9.299787;15.721011
0.0;23.815933;12.540788;14.833893;9.743522;16.816832
16.68739;17.56479;8.770826;10.6849165;6.753048;12.418748
0.0;23.355337;12.572218;13.70458;7.9518356;16.823322
22.288273;0.0;12.716257;14.954733;8.387423;16.927973
19.35448;18.889088;9.487953;12.637807;6.9350786;13.294853
23.32074;22.772669;0.0;13.740343;8.529543;15.822047
18.212328;18.9939;8.5487;11.594501;6.861673;12.841713
20.247513;21.474276;11.008742;12.14673;7.509717;0.0
18.06683;17.732283;9.294313;10.337071;5.947039;11.865938
17.982033;17.819317;8.58793;10.926334;6.2581735;12.580839
0.0;33.900703;17.712318;0.0;13.008051;24.501436
21.0772;22.085848;10.968779;12.040747;0.0;14.7799015
19.780544;20.995352;0.0;12.755156;7.7703295;13.028516
15.959824;15.826413;8.268926;10.014252;6.0483594;12.500623
24.436577;0.0;12.998041;15.929941;0.0;17.205845
