1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
132.57;132.165;144.315;141.71765;138.51;137.16
132.57;132.165;-1.0;140.08804;138.51;137.16
132.57;132.165;144.315;141.57365;138.51;137.16
132.57;132.165;144.315;141.63814;138.51;137.16
132.57;132.165;144.315;141.77577;138.51;137.16
132.57;132.165;144.315;141.80396;138.51;137.16
132.57;132.165;144.315;141.94226;138.51;137.16
132.57;132.165;144.315;141.90591;138.51;137.16
132.57;-1.0;144.315;141.86935;138.51;137.16
132.57;132.165;144.315;141.94508;138.51;137.16
132.57;-1.0;144.315;141.97336;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.92282;138.51;137.16
132.57;132.165;144.315;141.94966;138.51;137.16
132.57;132.165;144.315;141.26248;138.51;-1.0
-1.0;132.165;144.315;141.75641;138.51;137.16
132.57;132.165;144.315;141.55118;138.51;137.16
132.57;132.165;-1.0;139.20215;138.51;-1.0
132.57;132.165;144.315;141.30624;-1.0;137.16
132.57;132.165;-1.0;139.22443;138.51;-1.0
132.57;132.165;140.36145;-1.0;-1.0;137.16
132.57;132.165;144.315;141.63823;138.51;137.16
132.57;132.165;144.315;141.56355;-1.0;137.16
132.57;132.165;144.315;141.75293;138.51;137.16
132.57;132.165;144.315;141.07585;138.51;-1.0
132.57;132.165;144.315;141.67311;138.51;137.16
132.57;132.165;144.315;141.64702;138.51;137.16
132.57;-1.0;144.3145;-1.0;138.51;137.16
132.57;-1.0;-1.0;140.01642;138.51;137.16
132.57;132.165;-1.0;140.12798;138.51;137.16
132.57;132.165;144.315;141.79788;138.51;137.16
132.57;132.165;144.315;141.77324;138.51;137.16
132.57;132.165;144.315;141.93985;138.51;137.16
132.57;132.165;144.315;141.8687;-1.0;137.16
132.57;132.165;-1.0;140.4744;138.51;137.16
-1.0;132.165;144.315;141.97379;138.51;137.16
132.57;132.165;144.315;141.90456;138.51;137.16
-1.0;-1.0;-1.0;137.87796;138.51;137.16
132.57;132.165;144.315;141.67152;138.51;137.16
132.57;132.165;144.315;141.731;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
-1.0;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.38841;-1.0;137.16
132.57;132.165;144.315;141.64293;138.51;137.16
132.57;132.165;144.315;141.59346;138.51;137.16
132.57;132.165;144.315;141.21182;138.51;-1.0
-1.0;132.165;144.315;141.77094;138.51;137.16
132.57;132.165;144.315;141.68933;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.64728;138.51;137.16
132.57;132.165;144.315;141.67946;138.51;137.16
132.57;132.165;144.315;141.6459;138.51;137.16
132.57;132.165;144.315;141.82912;138.51;137.16
132.57;132.165;144.315;141.78787;138.51;137.16
-1.0;132.165;144.315;141.90532;138.51;137.16
132.57;132.165;144.315;141.9215;138.51;137.16
132.57;132.165;-1.0;140.34773;138.51;137.16
132.57;-1.0;144.315;142.0431;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.94943;138.51;137.16
132.57;132.165;144.315;141.98152;138.51;137.16
132.57;132.165;144.315;141.92754;138.51;137.16
132.57;132.165;144.315;141.75052;138.51;137.16
-1.0;132.165;144.315;141.79442;138.51;137.16
132.57;132.165;144.315;141.21584;138.51;-1.0
132.57;132.165;144.315;141.74258;138.51;137.16
132.57;132.165;144.315;141.63092;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.66637;138.51;137.16
132.57;132.165;144.315;141.04274;138.51;-1.0
132.57;132.165;144.315;141.73218;138.51;137.16
132.57;132.165;144.315;141.80559;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.75633;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.74133;138.51;137.16
132.57;132.165;144.315;141.83577;138.51;137.16
-1.0;132.165;144.315;141.50085;138.51;-1.0
132.57;132.165;144.315;141.768;-1.0;137.16
132.57;132.165;144.315;141.3918;138.51;-1.0
