2_C151.15;3_C-9.47;4_C201.84;7_C-6.27;8_C130.49;10_C228.66;12_C-138.89;14_C-27.88;15_C-13.33;16_C63.6;17_C-28.43;18_C-265.65;19_C-244.05;20_C132.01;21_C-30.66;23_C-178.13;24_C-17.19;26_C121.47;29_C189.52;30_C-43.05
9.4415;1.0815408;3.649633;12.619276;14.532649;3.2251198;5.5548697;3.0580611;4.319049;1.7591568;5.227063;1.6258281;4.6049237;0.9987009;9.282376;1.5241349;4.9136133;1.7349672;1.2566941;5.130421
11.090741;1.4265045;4.050483;12.874242;15.481852;3.1989427;5.384972;3.2586532;4.643186;1.7612025;4.996953;1.926111;5.2194314;1.2164613;10.01053;1.8667568;4.9293337;1.9461349;1.2593534;6.1978884
11.761322;1.2949705;3.9478562;12.447054;18.001354;3.374578;5.830352;3.159766;5.0335026;1.8637002;4.933952;1.894405;4.8601265;1.225457;8.595388;1.50143;5.130038;2.007256;1.2920557;6.1019793
11.065458;1.1892341;4.1567106;12.677684;15.102977;2.9113805;5.4007154;3.1053655;4.1919837;1.7671163;4.6946583;1.6016881;4.540928;1.0858824;8.864073;1.6782602;4.9501085;2.0889585;1.1529515;5.2558737
10.09435;1.0368512;3.6941543;12.263205;14.37115;2.930427;5.707456;2.7833014;3.6076941;1.8765625;4.1200204;1.5452573;4.5307045;1.1499155;8.137819;1.5367315;4.150897;1.7022288;1.1184671;5.408794
10.218054;1.1291208;3.7819953;10.645879;13.742841;2.521078;5.1379843;3.19058;4.339584;1.7650188;4.4962225;1.5777112;4.9326725;1.0755391;8.850208;1.526398;4.4734693;1.3918765;1.2047516;5.090237
10.524855;1.0885212;3.7067482;10.096889;13.125188;2.8047557;5.087042;3.335076;3.9661593;1.6843395;4.649836;1.5182742;4.210148;0.9444071;8.675542;1.4708903;4.477334;1.6394653;1.2096415;4.8239756
9.069932;0.9391038;3.4794838;10.85696;12.223509;2.4087334;4.541433;2.6281896;3.353099;1.6044353;3.7216449;1.2841856;3.839637;0.90085256;7.4220467;1.4443505;3.6851096;1.6897141;1.0683881;4.949887
7.837416;1.0221493;3.0215356;8.801473;13.947212;2.044896;4.639208;2.4401128;3.432143;1.3068645;3.5570607;1.2058156;4.038447;0.81292665;6.815038;1.3774669;3.9574707;1.2751181;0.8756506;3.7237713
8.087351;0.9198561;2.3320775;8.288262;10.224596;2.0631;3.9226174;2.281155;2.992805;1.32347;3.2827594;1.0327078;3.404162;0.7774152;5.785224;1.0823171;3.3376014;1.2229685;0.84068286;3.466165
8.288844;0.7305008;2.9298477;7.429082;9.912171;2.0017238;3.6085;2.30631;2.651559;1.1561534;2.88157;1.0100181;3.261367;0.789364;5.5215564;1.040015;2.9979594;1.2710708;0.7802731;3.8820472
7.6172247;0.77170956;2.7023427;6.828212;8.695708;1.767198;3.7509003;1.8264084;2.6602693;1.0660198;3.2148833;1.0787963;3.0169835;0.8097211;6.0258384;1.0299251;3.1320078;1.2270349;0.77671593;3.425614
7.7136126;0.85685045;2.799921;8.0455675;10.510887;2.3013072;3.6520743;2.5095577;2.5818994;1.353849;3.4802577;1.239388;3.151154;0.72921884;5.6837564;1.2484572;3.021877;1.2314047;0.8235053;3.628804
9.238091;0.92305696;2.6640859;9.616669;12.045179;2.4095283;4.2015676;2.500753;3.4147992;1.2892294;3.6008334;1.4953802;3.311479;0.8090868;6.581481;1.4263563;3.39055;1.4234426;0.933936;4.367014
9.904108;0.96848315;3.446972;10.192211;14.3973875;2.7287846;5.292205;2.7828786;4.046172;1.4789609;4.27495;1.494678;4.2575254;0.9563295;7.4717393;1.4588673;3.9973595;1.6737314;1.175517;4.81091
9.858064;1.177886;3.6072764;10.888613;16.300585;2.9972897;5.6451488;3.3974915;4.26703;1.9397964;4.367063;1.5378461;4.8712454;1.1340364;9.485958;1.4726398;4.3716407;1.6496537;1.271867;5.5627007
11.815936;1.3989977;3.4983392;11.718309;14.482346;3.4218655;6.5150146;2.8420835;4.6463904;1.8078197;4.485675;1.5989764;5.0334616;1.2412006;9.31692;1.5460322;4.565331;1.8787886;1.3949437;5.3600116
12.109915;1.3304132;3.8174968;13.396942;15.756816;3.2403119;6.878476;3.4539375;4.5482826;1.9077212;5.519341;1.7250458;4.9554205;1.0944885;9.728743;1.6028172;4.616418;1.7623581;1.314227;5.1501627
13.168157;1.3460861;3.8447819;12.110025;15.727638;3.451297;6.0320177;3.7722602;4.4475927;2.0515065;5.3706217;1.9549303;5.0570574;1.2540454;9.382689;1.9015461;4.6202097;1.8779154;1.3104908;6.207934
11.30081;1.2352896;4.107867;12.071135;16.211895;3.0132797;5.6852813;3.3574777;4.138923;2.0026708;5.255784;1.7351046;4.89075;1.1778963;9.152638;1.9178562;4.693639;2.005729;1.2576209;5.8128357
11.71303;1.1498938;3.9695847;12.2915;15.256128;3.1184025;6.3019705;3.371882;4.364055;1.7979867;4.7604413;1.5964257;5.132734;1.0798733;8.5304365;1.6523244;4.664886;1.8325866;1.2783309;5.3004427
10.885521;1.2242239;3.1361148;11.648531;17.765522;3.4960911;6.098586;3.379477;4.70402;1.7513363;4.2968845;1.618652;4.481187;1.2342541;9.110964;1.4895979;4.5076485;1.6626987;1.1321962;4.8695774
10.800501;1.1900818;3.6373227;10.783101;14.218483;2.7145102;5.231883;2.7484965;4.0915704;1.6480906;4.7838526;1.4322516;5.014312;1.0393381;8.090479;1.604298;3.833669;1.6012424;1.0933392;4.91595
10.982666;1.121795;3.3294785;10.1634035;15.013657;3.0883327;5.1422935;2.8339741;3.7892406;1.6237377;3.862217;1.4041066;4.0422087;0.90705365;8.174194;1.3427936;3.9060307;1.5227623;1.0921103;4.9351435
10.309816;1.135169;3.550507;9.978113;14.605945;2.8212638;5.53312;3.066007;3.6926284;1.5733721;4.206256;1.7212296;4.5221534;1.0494107;7.869773;1.4401141;4.34756;1.8348539;1.115201;5.3684893
