1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
-1.0;132.165;144.315;142.05894;-1.0;137.16
-1.0;132.165;144.315;141.93294;138.51;137.16
132.57;132.165;144.315;141.90407;138.51;137.16
132.57;132.165;144.315;141.81454;138.51;137.16
132.57;132.165;-1.0;-1.0;137.05043;137.16
132.57;132.165;144.315;141.87161;138.51;137.16
132.57;132.165;144.315;141.91893;138.51;137.16
132.57;132.165;144.315;142.02411;138.51;137.16
132.57;132.165;144.315;142.07904;138.51;137.16
132.57;132.165;144.315;142.0622;138.51;137.16
132.57;132.165;144.315;141.55919;138.51;-1.0
132.57;132.165;144.315;142.15387;138.51;137.16
132.57;-1.0;144.315;142.09138;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.96985;138.51;137.16
-1.0;132.165;-1.0;-1.0;137.6706;137.16
132.57;132.165;141.03963;-1.0;-1.0;137.16
132.57;132.165;144.315;141.87827;138.51;137.16
132.57;132.165;144.315;141.93251;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;-1.0
132.57;132.165;144.315;141.94962;138.51;137.16
-1.0;132.165;144.315;142.02322;138.51;137.16
132.57;132.165;144.315;142.02786;138.51;137.16
132.57;132.165;144.315;141.94365;138.51;137.16
132.57;132.165;144.315;141.9407;138.51;137.16
132.57;132.165;144.315;140.67516;-1.0;-1.0
132.57;132.165;144.315;141.9721;138.51;137.16
132.57;132.165;144.315;141.95154;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;142.04628;138.51;137.16
132.57;132.165;141.28026;-1.0;-1.0;137.16
-1.0;132.165;-1.0;137.92471;-1.0;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;142.04848;138.51;137.16
132.57;-1.0;-1.0;-1.0;-1.0;137.16
132.57;132.165;-1.0;140.41554;138.51;137.16
132.57;-1.0;144.315;142.00435;138.51;137.16
132.57;132.165;144.315;141.88953;138.51;137.16
132.57;132.165;-1.0;140.39014;138.51;137.16
132.57;132.165;144.315;141.67561;138.51;137.16
132.57;132.165;144.315;141.65121;138.51;137.16
132.57;132.165;144.315;141.66753;138.51;137.16
132.57;132.165;144.315;141.11235;138.51;-1.0
-1.0;132.165;144.315;141.64021;138.51;137.16
132.57;-1.0;144.315;141.67906;138.51;137.16
-1.0;132.165;144.315;141.82039;138.51;137.16
132.57;132.165;144.315;141.76927;138.51;137.16
132.57;132.165;144.315;141.73656;138.51;137.16
132.57;132.165;144.315;141.81032;138.51;137.16
132.57;132.165;144.315;141.13477;138.51;-1.0
132.57;132.165;144.315;141.7357;138.51;137.16
132.57;132.165;144.315;141.79486;138.51;137.16
132.57;132.165;144.315;141.74017;138.51;137.16
-1.0;132.165;144.315;141.87924;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.48639;-1.0;137.16
132.57;132.165;144.315;141.81851;138.51;137.16
132.57;-1.0;144.315;141.97713;138.51;137.16
132.57;132.165;144.315;141.9911;138.51;137.16
132.57;132.165;144.315;141.93266;138.51;137.16
132.57;132.165;144.315;141.89334;138.51;137.16
132.57;132.165;144.315;141.89903;138.51;137.16
132.57;132.165;144.315;141.83548;138.51;137.16
132.57;-1.0;144.315;141.50348;138.51;137.16
132.57;132.165;144.315;141.06824;138.51;-1.0
132.57;132.165;-1.0;-1.0;136.34619;137.16
132.57;132.165;144.315;141.53088;138.51;137.16
132.57;132.165;144.315;141.58614;138.51;137.16
132.57;132.165;144.315;141.59714;-1.0;137.16
-1.0;132.165;144.315;141.80438;138.51;137.16
132.57;-1.0;144.315;141.62666;-1.0;137.16
132.57;132.165;144.315;141.87317;138.51;137.16
-1.0;132.165;144.315;141.8584;138.51;137.16
132.57;132.165;144.315;141.63594;138.51;137.16
132.57;132.165;144.315;141.57642;138.51;137.16
132.57;132.165;144.315;141.17213;138.51;-1.0
132.57;132.165;144.315;141.76974;138.51;137.16
132.57;132.165;144.315;141.23286;138.51;-1.0
132.57;132.165;-1.0;139.377;138.51;-1.0
-1.0;132.165;144.315;141.87347;138.51;137.16
132.57;132.165;144.315;141.89561;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
-1.0;132.165;144.315;142.02466;138.51;137.16
-1.0;132.165;144.315;142.11325;138.51;137.16
132.57;132.165;-1.0;140.4406;138.51;137.16
132.57;132.165;144.315;141.25359;138.51;-1.0
132.57;132.165;144.315;141.89224;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
-1.0;132.165;144.315;141.77422;138.51;137.16
132.57;132.165;144.315;141.64746;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;-1.0;144.315;141.64069;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;-1.0;140.1781;138.51;137.16
132.57;132.165;144.315;141.70367;138.51;137.16
132.57;132.165;144.315;141.73584;138.51;137.16
132.57;132.165;144.315;141.70949;138.51;137.16
132.57;-1.0;144.315;141.66348;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
-1.0;132.165;144.315;141.97371;138.51;137.16
132.57;132.165;144.315;141.78218;138.51;137.16
132.57;132.165;144.315;141.71269;138.51;137.16
132.57;132.165;144.315;141.68436;138.51;137.16
132.57;132.165;-1.0;140.25414;138.51;137.16
-1.0;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.93254;138.51;137.16
