1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
29.859884;28.184753;14.212271;17.6055;10.654757;19.58378
33.60488;36.39028;19.28783;22.219706;0.0;24.713848
35.444904;33.95711;16.312613;21.296896;13.178317;22.728153
36.65142;37.008335;18.313866;0.0;13.222773;25.335194
32.545185;31.882156;14.873423;19.591412;0.0;20.22223
0.0;38.036945;18.602745;25.21732;14.357739;25.52358
33.352203;36.607628;17.839573;0.0;12.593296;25.04595
35.164925;0.0;19.082243;27.143692;14.34651;27.43362
33.569157;36.414043;18.612453;22.237305;0.0;0.0
28.268902;21.888968;12.106691;14.540334;9.402585;15.664757
26.133942;27.715815;13.805964;16.0137;9.82946;0.0
21.71968;20.412542;11.753176;14.371396;7.9756155;14.199425
28.037842;26.331928;14.518575;18.423666;10.491877;0.0
27.44698;25.311161;14.34512;16.216808;9.815569;20.412497
0.0;43.626335;19.31663;24.830374;15.342318;27.68565
0.0;50.42861;26.238052;30.233807;0.0;38.655678
37.396095;34.6891;17.082691;22.96959;13.6445465;22.794743
36.303196;36.857674;18.521967;23.963066;14.318164;26.454693
37.190727;36.333744;16.902187;23.587326;14.184645;26.407978
37.55191;38.24743;18.948729;20.384348;13.862732;23.580917
38.477055;32.625862;17.051517;21.75361;13.182283;24.931866
35.683285;34.36794;16.759972;21.797415;11.979303;23.008757
30.048283;31.64809;16.020987;19.872044;13.246956;20.83355
38.42796;37.353508;20.06493;23.340069;13.40375;0.0
33.199474;30.730371;15.756943;20.292276;12.712704;23.774202
35.085308;32.11306;17.751013;20.442438;12.274351;23.98379
0.0;50.43271;22.219784;28.972942;17.348759;31.332264
32.29052;32.72036;17.729752;20.347507;13.24118;24.872753
32.9011;37.18096;0.0;23.005955;13.648582;23.272871
39.007572;39.052414;18.771439;25.451948;15.170317;0.0
30.245747;35.926308;15.97421;19.30495;11.901274;21.345804
30.32893;30.502613;16.333044;21.807663;0.0;22.35396
34.764095;32.792084;17.311617;18.75903;11.626558;0.0
22.497463;25.641546;11.310156;15.863958;8.989067;16.785557
24.525904;23.865957;10.074202;15.380831;8.755183;14.860535
20.942356;21.0993;11.210001;14.479395;7.7805777;16.210484
26.696095;29.448288;14.080752;0.0;10.4116535;18.846342
27.777496;29.393814;0.0;21.389893;12.184496;21.246145
34.18047;34.527798;0.0;21.314978;12.025148;23.87504
51.038994;50.146713;24.349092;0.0;20.25401;0.0
33.88427;35.17939;17.93168;23.61341;13.231206;24.36729
50.787476;56.630455;0.0;32.660534;18.876633;0.0
38.56351;39.53015;19.478283;25.105051;0.0;29.101177
45.492065;43.677704;22.907883;27.842876;15.995798;0.0
58.1597;0.0;30.817453;38.25865;22.878963;0.0
41.032314;44.775684;0.0;26.86504;0.0;31.20575
33.931377;35.01885;17.322475;21.699697;0.0;24.945782
41.35218;0.0;20.379045;26.956675;15.674639;28.845722
31.26503;31.447407;15.995822;20.761127;12.143703;21.542416
37.502068;38.332794;18.91278;20.72847;14.200412;24.1806
40.830925;42.969402;21.421574;28.620672;16.026028;0.0
36.84632;41.821075;19.513351;25.23914;14.149467;0.0
29.587976;33.36358;15.920145;20.477493;10.81829;22.373262
39.644962;36.146076;19.622131;24.617655;14.71046;0.0
32.635204;29.712765;16.048477;19.484066;12.3302145;23.16197
39.61159;0.0;17.59013;22.833382;14.891896;24.93136
26.932575;25.23209;13.041348;15.86228;10.405965;18.577728
24.494726;24.880302;11.835625;15.197726;9.459424;18.031816
22.296219;22.22956;10.899663;14.847023;8.754039;15.9529295
20.981619;22.022844;11.493658;15.421608;8.375956;14.805527
31.37742;26.514551;12.846852;0.0;10.6599045;17.917278
28.88302;27.210346;13.464086;16.891977;9.496882;19.509924
41.437916;41.61136;0.0;0.0;15.536601;31.684078
35.109905;36.467815;17.900496;19.857988;12.443141;24.263416
32.99347;38.022285;17.053082;21.634655;12.760164;24.936653
52.026012;0.0;27.580515;33.07899;0.0;36.94113
0.0;56.737587;0.0;36.451996;23.008467;41.077766
51.401592;0.0;24.592916;31.55607;18.065548;33.099236
37.752945;34.203804;15.882327;21.973492;12.431527;24.404497
35.778084;32.250637;17.129364;22.574251;13.507181;22.920618
29.223028;28.553532;15.8088045;22.466524;12.58814;23.639473
37.37257;36.393898;0.0;22.767376;13.039108;25.079391
31.008158;33.9646;16.271503;21.360327;13.154233;22.029552
32.182465;36.17095;18.184319;22.09677;14.523703;23.99842
0.0;49.062183;22.060112;26.643574;17.317738;31.204779
33.158226;33.541904;15.676145;19.607296;12.3738575;21.889515
38.125385;0.0;19.704037;26.221096;15.560074;29.857193
36.393562;36.774757;17.99526;0.0;14.513751;27.983547
