1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
132.57;132.165;144.315;141.63159;138.51;137.16
132.57;132.165;144.315;141.25192;-1.0;137.16
132.57;132.165;144.315;141.45181;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.51076;-1.0;137.16
-1.0;132.165;144.315;141.8523;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;-1.0;144.315;141.82072;138.51;137.16
132.57;132.165;144.315;140.38348;-1.0;-1.0
132.57;132.165;144.315;141.72348;138.51;137.16
132.57;132.165;144.315;141.23346;138.51;-1.0
132.57;132.165;144.315;141.89793;138.51;137.16
132.57;132.165;144.315;141.25298;138.51;-1.0
132.57;132.165;144.315;141.65576;138.51;137.16
-1.0;132.165;144.315;141.67078;138.51;137.16
-1.0;132.165;144.315;141.32773;-1.0;137.16
132.57;132.165;144.315;141.39226;138.51;137.16
132.57;132.165;144.315;141.34659;138.51;137.16
132.57;132.165;144.315;141.40681;138.51;137.16
132.57;132.165;144.315;141.23853;138.51;137.16
132.57;132.165;144.315;141.45355;138.51;137.16
132.57;132.165;144.315;141.47945;138.51;137.16
132.57;132.165;144.315;141.6035;138.51;137.16
132.57;132.165;144.315;140.9139;138.51;-1.0
132.57;132.165;144.315;141.53595;138.51;137.16
132.57;132.165;144.315;141.47305;138.51;137.16
-1.0;132.165;144.315;141.58374;138.51;137.16
132.57;132.165;144.315;141.37038;138.51;137.16
132.57;132.165;-1.0;140.03741;138.51;137.16
132.57;132.165;144.315;140.95131;138.51;-1.0
132.57;132.165;144.315;141.46817;138.51;137.16
132.57;132.165;144.315;141.51889;-1.0;137.16
132.57;132.165;144.315;141.00424;138.51;-1.0
132.57;132.165;144.315;141.85376;138.51;137.16
132.57;132.165;144.315;141.92918;138.51;137.16
132.57;132.165;144.315;141.89171;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;-1.0;140.37411;138.51;137.16
132.57;132.165;-1.0;140.03554;138.51;137.16
132.57;132.165;143.784;-1.0;138.51;-1.0
132.57;132.165;144.315;141.51514;138.51;137.16
132.57;132.165;-1.0;139.03848;138.51;-1.0
132.57;132.165;144.315;141.02335;-1.0;137.16
132.57;132.165;144.315;140.67574;138.51;-1.0
132.57;-1.0;144.315;140.6454;138.51;-1.0
132.57;132.165;-1.0;136.78203;-1.0;137.16
132.57;132.165;144.315;141.34671;-1.0;137.16
132.57;-1.0;144.315;141.57243;138.51;137.16
132.57;132.165;144.315;141.61436;138.51;137.16
132.57;132.165;144.315;141.17175;138.51;137.16
132.57;132.165;144.315;140.95528;138.51;-1.0
132.57;132.165;144.315;140.97597;138.51;-1.0
132.57;132.165;144.315;141.6063;138.51;137.16
132.57;132.165;144.315;140.91647;138.51;-1.0
132.57;132.165;144.315;141.57472;138.51;137.16
132.57;-1.0;144.315;141.54942;138.51;137.16
132.57;132.165;144.315;141.64084;138.51;137.16
132.57;132.165;144.315;141.73;138.51;137.16
132.57;132.165;144.315;141.86137;138.51;137.16
132.57;132.165;144.315;141.94121;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.68143;138.51;137.16
