1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
132.57;132.165;144.315;141.51166;138.51;137.16
132.57;132.165;144.315;141.45154;138.51;137.16
132.57;132.165;-1.0;139.77986;138.51;137.16
132.57;-1.0;144.315;141.3551;138.51;137.16
132.57;132.165;-1.0;139.98793;138.51;137.16
-1.0;132.165;144.315;141.61339;138.51;137.16
132.57;132.165;144.315;141.53857;138.51;137.16
132.57;132.165;144.315;141.63272;138.51;137.16
132.57;132.165;144.315;141.62961;138.51;137.16
-1.0;132.165;144.315;141.2009;138.51;-1.0
132.57;132.165;144.315;141.74995;138.51;137.16
132.57;-1.0;144.315;141.14302;138.51;-1.0
132.57;132.165;144.315;141.57422;138.51;137.16
132.57;132.165;144.315;141.3602;-1.0;137.16
132.57;132.165;-1.0;139.84729;138.51;137.16
132.57;132.165;144.315;141.34593;138.51;137.16
132.57;-1.0;143.02818;-1.0;138.51;137.16
132.57;-1.0;144.315;141.02469;138.51;137.16
132.57;132.165;144.315;140.44916;138.51;-1.0
132.57;132.165;144.315;141.17079;138.51;137.16
132.57;132.165;144.315;141.23921;138.51;137.16
-1.0;132.165;144.315;141.48431;138.51;137.16
132.57;132.165;144.315;141.25066;138.51;137.16
-1.0;132.165;144.315;141.65024;138.51;137.16
132.57;-1.0;144.315;141.34915;138.51;137.16
-1.0;132.165;144.315;141.23347;138.51;137.16
132.57;132.165;144.315;141.26016;138.51;137.16
132.57;132.165;144.315;141.21396;138.51;137.16
132.57;132.165;144.315;141.50552;138.51;137.16
132.57;132.165;144.315;141.30222;138.51;137.16
132.57;132.165;144.315;141.39175;138.51;137.16
132.57;132.165;144.315;141.53954;138.51;137.16
132.57;132.165;144.315;141.63892;138.51;137.16
132.57;-1.0;144.315;141.76654;138.51;137.16
132.57;132.165;144.315;141.90439;138.51;137.16
132.57;132.165;144.315;141.8005;138.51;137.16
132.57;132.165;144.315;141.7858;138.51;137.16
132.57;132.165;144.315;141.69562;138.51;137.16
132.57;132.165;144.315;140.96977;-1.0;137.16
132.57;132.165;144.315;141.46523;138.51;137.16
132.57;132.165;144.315;140.80865;138.51;-1.0
-1.0;132.165;144.315;141.30824;138.51;137.16
132.57;132.165;-1.0;139.47443;138.51;137.16
132.57;132.165;144.315;141.37799;138.51;137.16
132.57;132.165;-1.0;-1.0;135.40378;137.16
132.57;132.165;144.30212;-1.0;138.51;137.16
132.57;132.165;144.315;141.58687;138.51;137.16
