1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
55.54777;0.0;0.0;37.8982;20.271175;41.688683
37.991447;37.792194;19.394894;24.486914;15.729088;29.287714
40.685528;37.298847;19.098856;26.222233;15.111908;25.66694
0.0;51.01293;23.647253;28.921576;18.0334;31.010885
37.45395;40.90507;21.102768;0.0;17.98907;28.072124
35.477047;35.58123;16.398157;21.773952;13.739248;25.190891
46.276;0.0;24.550964;29.218603;18.37398;31.569134
40.07204;36.811054;19.68468;24.363209;15.29852;24.467607
34.34741;35.224792;17.649961;21.67519;12.997812;22.454594
34.42883;32.856518;0.0;22.094517;13.053148;24.475979
29.934708;27.144226;15.739871;17.96224;10.23527;18.375366
28.393269;25.937277;13.791689;17.349667;11.435927;19.99209
33.593315;31.486599;16.300547;22.519672;0.0;22.500385
33.904194;38.153313;16.590683;20.546257;12.205674;23.406189
41.524853;38.550255;20.4724;24.326176;13.87991;28.223389
40.904217;42.053673;21.090841;27.132772;16.441526;30.81511
44.30443;49.24372;23.617283;28.70759;17.712729;32.21955
46.888348;46.529594;24.077042;29.557568;18.333704;29.960333
50.402775;49.470695;22.690239;29.18335;16.94968;32.50325
45.992073;45.86747;23.70496;30.558142;17.868813;31.903797
44.218994;48.090813;21.578068;30.787868;17.04946;31.491755
53.535614;0.0;28.930136;38.21531;24.158375;38.123875
44.659904;41.93676;22.929836;24.847872;15.626099;27.876072
40.268993;39.550163;18.796476;23.963932;14.8403015;27.346424
42.53562;42.91876;19.64678;24.515312;15.930676;28.395636
0.0;59.36786;29.680353;36.930065;23.267618;44.070206
44.71043;45.73514;23.496891;27.956186;16.931835;29.4059
55.21419;0.0;25.273355;34.851612;20.729416;38.786827
41.299107;39.637913;18.215326;25.482561;13.629013;27.64188
39.417885;42.267097;20.184223;25.944157;14.967077;25.916666
45.25948;44.689095;20.65813;27.566822;0.0;31.411102
32.5018;33.583057;16.453922;22.195337;11.899849;23.972868
31.88894;32.416153;14.787125;17.597025;11.587079;21.366108
28.370953;25.172916;14.401054;18.26607;10.256098;17.27432
27.054663;25.158562;12.183949;16.817734;8.85856;16.329922
26.998566;24.62006;12.992763;15.954384;10.421433;18.76374
28.017567;26.869709;13.628927;17.075418;10.871077;18.849173
0.0;49.64249;27.521622;0.0;19.370127;35.58123
33.245113;35.740215;18.779034;23.687923;13.070356;25.054085
39.218204;39.999935;18.85313;24.359802;15.768222;25.329704
38.389534;40.1921;20.703072;25.961084;16.010437;27.22667
41.357475;40.700905;21.670675;24.961706;16.477692;28.443203
41.101665;38.725845;22.312674;26.242786;14.832777;29.42985
0.0;57.5703;27.91715;32.44457;20.183926;37.27906
44.381973;43.185883;20.154276;26.380482;15.698352;28.305462
53.533;0.0;26.740973;35.653687;19.601475;37.631508
35.287483;35.99479;18.366598;23.704708;13.943504;25.017258
37.736465;35.993374;17.409964;20.959574;12.330412;22.316782
37.140144;35.392906;20.992851;23.419504;14.787082;26.609783
41.79775;43.959587;20.175125;22.637997;16.962528;28.988825
45.35625;47.557335;25.488152;0.0;18.011793;33.894157
39.65316;35.1267;18.496803;23.82489;14.36218;25.613857
39.506863;40.845493;19.297113;24.505016;0.0;27.826645
42.96233;43.976357;19.817837;0.0;15.507075;30.054562
42.417244;40.667107;0.0;26.379156;16.455183;28.993061
45.44002;39.517452;21.899715;30.29267;17.49892;30.283428
42.27514;38.95302;18.480873;23.94769;15.073259;25.026022
41.949078;45.186783;21.628508;0.0;14.98315;28.29958
39.62829;42.935703;20.74493;0.0;14.593634;26.487036
37.31042;35.596832;18.278318;23.703445;0.0;24.424805
44.512856;42.56661;23.603828;26.708624;16.321772;0.0
40.98948;39.20806;23.231709;25.787912;14.740542;26.984125
48.899513;43.670036;24.828445;27.994839;16.3412;31.876999
47.364494;50.237404;24.659122;31.679081;19.224958;35.98176
48.92081;56.928772;26.8198;32.70906;21.849667;37.59062
59.50639;53.823822;29.4917;33.122185;21.596977;38.24796
58.78784;54.191994;27.915222;32.975212;20.365753;37.93565
51.332253;54.813393;28.05813;35.815132;21.895102;40.059124
49.931572;54.156578;26.203241;33.5232;20.220436;38.289986
49.299873;51.369373;25.932602;32.470554;18.096212;35.401527
47.269417;49.903526;25.509197;30.343693;18.54148;33.011093
48.567734;48.003685;21.505701;27.156408;17.344515;32.71569
49.505104;51.00772;22.931665;30.229513;18.973545;34.38393
54.18688;52.564674;27.762604;30.43389;20.250072;34.12845
53.602562;56.342052;24.405277;33.358257;22.214405;37.419155
56.95098;61.750526;29.554056;0.0;22.583012;39.597992
47.3837;44.76717;23.754122;30.3137;17.694942;31.974442
49.22102;46.59201;24.999136;28.83642;18.17109;33.317158
48.453022;48.720573;23.494547;30.410015;17.184711;32.62602
47.659603;47.358864;23.249796;29.263052;17.650095;30.84599
45.3519;47.461784;20.87328;26.560425;15.859665;29.333176
39.841206;39.49488;20.973845;26.45404;12.878279;28.22195
33.51446;33.814507;17.808792;22.618;12.409437;23.865852
