1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
46.525993;46.289005;23.044529;30.63561;14.885837;31.82229
41.88147;39.958313;18.426321;24.53503;14.706907;28.237873
37.711292;37.0344;16.704885;22.477608;14.818973;24.836864
41.457634;37.73453;19.227705;25.28038;0.0;27.54037
33.96938;33.497864;17.425041;22.580112;12.628575;22.275017
37.163277;37.52906;17.679546;22.505878;13.591812;24.849136
50.69694;47.751236;24.071339;0.0;17.36113;36.3842
54.336647;53.77842;26.578945;35.396492;0.0;36.979805
49.5888;52.539165;26.451385;34.230114;19.84991;36.471844
58.1652;59.53713;26.989008;33.740368;19.068697;34.895275
58.615517;57.483795;28.891567;33.537212;22.834444;35.824944
52.352806;60.156464;29.85705;34.572712;20.370419;40.170914
69.964264;71.960976;33.11065;40.815716;24.651525;0.0
59.730263;52.74743;29.3419;35.283356;20.489004;40.73271
56.4092;49.427994;25.697357;33.761223;18.351086;34.524635
47.42733;51.4239;24.309444;29.413443;20.710281;34.52795
67.94249;62.832237;31.389988;0.0;0.0;44.632374
72.698715;0.0;33.404324;41.25443;22.794476;45.997314
53.7347;51.91976;28.628025;33.62809;20.939682;36.647434
60.006775;53.828156;26.970123;33.335106;20.206486;39.263237
52.64347;43.35285;23.490772;35.234097;18.58849;36.552395
52.57729;51.93398;26.126125;32.617317;0.0;36.840935
54.94645;53.460243;25.473614;30.903122;18.628447;38.150227
66.027306;0.0;35.50097;44.514713;22.242765;47.910873
49.702324;42.90461;24.87658;29.181513;16.966558;32.864117
43.626118;45.342026;19.909378;26.016422;16.075542;28.510574
39.56131;39.543068;20.166065;26.305532;15.445959;28.305185
44.42629;48.86512;21.345657;0.0;15.128845;27.75474
36.085495;37.274582;20.304554;22.964201;15.670103;24.849272
40.417213;39.202717;19.231256;25.783466;14.880155;25.450863
41.176422;43.66137;22.793608;28.865368;16.6664;32.26031
49.905403;47.663788;25.91192;32.331165;19.186142;37.06348
51.417126;55.215614;29.891376;37.161476;20.455328;36.980118
57.42503;58.979553;30.456121;35.673897;20.92286;44.79029
63.662037;58.56054;31.710073;36.85555;22.526041;42.399982
63.65377;61.983936;28.728214;39.310112;22.753332;38.91118
62.10658;60.31011;28.33693;37.688972;23.98803;40.79612
66.44733;65.73418;31.002008;39.579872;0.0;41.88554
59.074993;56.047863;30.700089;33.669044;19.633114;35.977013
54.236095;51.472023;28.052578;34.286163;21.10964;36.366432
51.861126;50.574394;25.508142;30.852802;19.131985;37.081142
50.57771;55.673393;30.044327;35.47251;20.911396;37.83312
72.13884;68.706726;35.7242;0.0;24.716251;49.141212
61.159687;59.015736;31.279013;39.27479;22.260952;40.428913
56.90928;51.808037;28.493088;32.642952;22.011019;38.79223
55.208904;53.867847;24.213871;33.25783;18.414364;34.779903
53.046547;54.603455;24.694149;32.985065;20.274061;35.21104
49.58737;53.45802;27.899134;31.846348;20.884586;37.22287
53.816418;54.33592;26.922775;32.06188;0.0;37.983986
44.724594;43.19113;22.54523;27.146801;16.706064;29.95667
41.958233;40.142715;19.999565;26.268269;14.868418;25.790302
46.19142;49.18607;22.568987;27.355366;17.219397;0.0
39.222828;35.598534;17.79037;23.03218;13.757624;25.814617
42.08703;36.684135;21.374063;22.55123;14.959989;25.941936
47.376816;43.381844;24.582104;29.625935;19.815538;30.470367
0.0;76.19454;32.02879;43.09143;25.00229;41.175186
57.60747;55.510384;30.708462;35.20907;21.702742;37.34417
59.002502;59.01012;32.1346;40.233135;23.529837;42.86077
59.697773;60.30379;31.491123;39.76165;24.028852;44.730827
61.65679;60.097435;30.8753;40.83276;22.393261;43.17137
60.088585;61.56034;30.448517;40.59328;21.592258;39.085358
59.351067;56.09801;30.776398;37.580032;22.783455;41.09174
65.47013;71.551346;0.0;36.974716;23.424936;44.311577
54.983387;51.075962;29.876179;32.71535;21.427547;37.339703
58.88912;62.298523;32.47887;39.686302;22.190567;0.0
54.993156;52.954277;27.427908;31.643536;20.499256;39.00146
62.957195;59.845257;31.175747;36.195827;22.211048;38.208183
59.429893;61.85473;27.346766;35.901695;21.515564;42.596355
56.544304;52.902565;28.526068;31.15152;21.061539;36.17907
54.50003;51.501427;26.51073;31.889227;19.796232;36.27569
61.803413;59.747444;0.0;37.944344;23.892342;40.875145
51.00572;53.069183;28.165396;33.407402;20.282772;39.021584
44.29414;47.669888;25.656818;30.435467;18.397884;35.9924
44.53012;39.346664;22.141201;28.403118;15.91408;28.981686
37.90666;40.829365;19.402725;23.353262;15.819651;27.77917
36.2715;36.25042;19.220165;22.483389;14.213275;24.539759
49.2927;53.196728;24.076756;28.831732;0.0;0.0
41.21417;39.17588;18.169792;22.12712;14.4224415;27.671864
46.72189;46.425148;22.030725;26.89675;18.406982;33.08725
51.2867;52.15741;23.512651;32.17525;20.106941;38.596428
53.632618;54.66155;26.59512;36.83616;20.118294;35.37499
