1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
54.115246;57.609547;0.0;34.264206;21.52358;38.045124
48.094917;49.73763;0.0;32.48237;20.167423;34.830334
0.0;53.082405;25.62598;32.999153;17.905636;36.19387
38.46746;36.521507;18.295755;22.159529;14.885165;24.505774
36.08145;36.814186;16.971842;21.359854;13.205815;25.26523
44.676357;49.94288;21.198782;24.786345;0.0;28.974289
46.9813;44.08003;22.386885;26.22289;16.665356;30.379353
51.36195;51.973625;24.990522;32.32238;19.131378;33.566547
57.903893;54.178978;28.492361;37.456226;20.403082;42.12981
57.119976;61.062824;29.942835;33.943623;21.885061;41.982407
58.582176;62.71227;29.465076;34.397087;23.011509;40.98602
65.7821;60.297474;30.849377;43.637753;25.452007;44.35434
73.08576;74.206924;0.0;43.747063;24.978743;45.651527
56.128204;58.846954;30.98844;39.143604;23.276737;41.580166
53.12865;55.42611;30.993862;34.26961;21.959171;39.19838
51.418785;48.29126;25.257439;29.879414;19.167856;33.731335
49.53559;52.688072;24.924673;33.410255;19.696285;35.2658
66.32387;70.04472;31.062109;38.39949;24.164104;0.0
59.678505;60.978325;29.257778;35.52798;21.22071;40.998665
53.098106;59.009766;33.57467;39.007248;20.538223;41.196735
51.142097;57.56745;27.258636;36.771336;21.918827;35.456146
58.938316;62.643982;0.0;37.95227;23.35529;36.874123
55.71438;57.625916;27.501453;34.508186;19.885386;37.08036
51.12736;55.70635;27.94953;33.016308;21.012333;37.84429
68.706726;65.95361;31.840237;39.583103;25.278006;47.19566
63.30604;56.833942;29.848263;37.659275;22.354313;40.816048
55.73062;53.283955;26.423832;32.575092;19.085371;37.008102
52.30004;50.01168;22.880087;33.255924;19.100292;32.699654
53.78544;50.463875;25.097391;31.656658;17.478043;32.965218
50.992474;55.982136;25.424728;34.793495;19.925976;34.61785
58.67519;60.194786;33.614937;38.390522;21.224514;39.431328
69.545105;68.684074;32.48815;44.12159;28.126873;45.117195
83.04772;79.19578;35.298504;41.943336;28.744867;51.775524
82.38766;67.96808;39.668003;43.567585;32.64855;47.947975
66.13667;72.693054;35.39461;47.18771;26.918264;49.93981
65.035324;70.95233;38.614082;44.340584;25.083298;45.43145
72.11235;72.66369;38.728508;45.31733;25.243107;47.26226
79.102646;79.49922;38.17445;47.79737;25.226383;55.67047
76.83098;67.79777;38.160095;47.559483;26.816961;46.48713
71.334656;68.76674;35.488434;40.707054;25.24467;44.065407
68.24111;73.12355;35.594288;45.91906;27.764511;47.09498
70.80005;69.92586;33.78825;47.08532;27.697235;51.370228
62.288643;58.55661;30.598846;40.39939;23.886816;44.74151
56.58092;52.80066;28.501293;32.477848;19.710526;36.97763
64.90163;63.20536;32.839645;39.00402;23.03535;0.0
47.553276;49.153667;22.942814;29.735052;18.00891;31.58603
52.538036;50.813667;0.0;34.396465;21.640276;39.21653
