1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
45.192627;43.522934;22.59068;27.939264;16.92754;0.0
43.127083;41.82272;21.367353;24.370163;16.541483;31.415798
47.16746;53.14564;24.514362;28.878742;19.229448;0.0
39.185463;36.577343;18.938852;24.537329;13.761305;28.305231
36.821846;32.943974;18.270044;24.518774;14.265798;25.789524
39.538612;38.201393;17.322;22.73222;13.134928;22.254553
37.079338;35.25454;18.914095;20.663904;13.275655;23.96724
33.477192;36.42151;18.789028;24.111092;13.62673;25.578707
34.317455;33.322376;16.547714;20.634317;12.423819;20.037228
30.580164;31.303232;15.486536;19.287106;11.092647;21.330135
24.534883;28.020452;13.874239;17.46355;9.79318;20.253536
36.093006;0.0;18.96799;22.96174;12.919302;25.084042
30.76319;29.521616;14.709587;18.486225;9.731792;20.363192
33.74958;36.220528;15.5613985;19.615854;12.209605;22.642838
37.66693;37.38067;20.752506;25.371311;13.942528;26.254208
49.58876;49.219032;25.594995;30.294611;18.724308;0.0
45.0017;44.070198;22.283657;28.039951;18.495554;31.448568
49.68966;43.691364;23.372385;28.538395;18.315634;31.205023
45.704353;44.186237;22.825779;26.708836;17.799759;31.401815
49.38098;48.657845;23.263811;27.37917;18.024069;29.199062
48.283318;43.12309;22.549406;27.380865;17.261162;29.438126
44.572567;43.782837;21.802263;25.632137;16.419338;30.39188
38.100132;39.44929;20.291813;24.329105;13.988663;29.113419
38.08486;36.357025;18.691635;25.113285;14.114774;24.598736
42.859066;40.11181;20.544088;23.633305;15.068334;28.504639
44.84974;41.814056;21.882578;29.189917;17.642727;34.16582
44.810986;47.549385;21.79545;26.40562;17.202408;30.992193
49.340504;47.88318;0.0;30.387964;17.836018;32.39342
40.844513;36.845417;20.403788;25.450928;14.391599;28.685358
42.467438;39.5655;19.624126;24.214975;16.324072;29.154816
45.713005;46.90755;23.783464;0.0;17.43154;31.249104
36.970707;35.38845;20.110588;22.628422;14.459811;26.235981
30.909664;32.51548;17.440475;20.951395;12.211257;21.53487
27.966167;32.798363;14.777211;18.514446;11.351202;19.992426
28.972998;31.010681;14.294245;16.39685;11.344511;19.673485
32.16629;31.99678;0.0;20.525387;13.050336;20.201462
27.606989;29.198416;14.807637;19.935986;9.993527;20.004719
34.43131;34.635212;16.4225;18.782932;13.031729;22.073895
43.276024;43.57234;22.206982;27.017752;0.0;31.247501
66.055305;0.0;0.0;43.079338;26.429096;44.172226
46.56768;44.594933;22.907978;28.915472;16.419083;31.803766
46.397762;43.854908;24.11667;30.029129;17.803013;30.452423
48.878807;48.74605;24.35007;32.885582;17.307302;30.72576
49.69064;47.498974;22.089802;29.097134;18.566326;32.832115
46.286964;45.130615;21.136515;28.73267;17.382456;30.420994
43.35078;43.735077;23.81004;27.277826;16.121317;27.177444
46.262623;43.525463;23.088041;28.237003;0.0;32.324535
47.15459;45.302597;25.077715;0.0;17.920084;31.033031
40.339767;39.2491;21.086864;26.385641;17.14625;27.714441
45.92812;44.289177;21.708298;25.677586;17.637447;30.335577
44.078648;44.636314;23.519184;28.909338;16.10535;30.236954
46.196735;48.120403;21.372204;26.787811;0.0;30.971045
40.155327;40.074005;17.883648;24.915434;15.599057;26.662807
0.0;54.52775;23.931515;31.283377;18.801155;36.76499
40.078617;37.95345;20.947136;25.87965;15.191305;27.023602
36.843742;38.81507;19.471695;24.920881;13.816229;25.29388
33.478256;34.765755;16.178617;21.619905;11.727671;22.799612
31.716045;36.17503;0.0;20.42358;12.75719;22.362717
35.27469;0.0;18.53303;22.314665;13.616084;26.775778
26.360693;27.026264;13.638263;17.426994;9.357087;18.998539
28.2272;29.5462;13.465236;18.284151;10.745417;20.387882
44.515137;0.0;24.11458;25.695414;16.788473;31.301758
