1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
0.0;51.975006;24.47957;28.994995;17.891577;33.760544
49.212753;48.30828;0.0;27.142889;17.061478;34.50943
0.0;51.842834;27.976685;32.39291;19.315418;37.205254
45.03234;42.447502;21.816624;25.919415;17.3936;0.0
0.0;47.53415;23.30275;32.486603;17.163868;31.04931
38.77686;37.661438;18.474644;24.058506;14.84895;23.773691
0.0;49.561424;23.467733;28.58074;20.580341;31.943966
34.313374;34.38945;16.505125;22.082565;13.521347;22.766829
36.844;31.982672;0.0;22.107882;12.617696;23.506512
29.605585;27.593304;14.62858;16.552303;11.223467;20.889116
32.742146;0.0;17.643162;20.653433;12.659119;24.313387
24.704123;26.701324;14.009097;15.730087;10.299779;16.46334
31.280096;33.190807;0.0;18.676891;11.833828;21.048214
45.982258;37.22329;0.0;22.90538;0.0;25.882671
40.387993;44.900898;0.0;25.67837;15.5259905;27.286373
46.92667;46.1451;23.540989;31.131332;19.951157;0.0
42.088882;40.206963;20.870346;24.918827;14.769277;25.280294
46.777824;45.93445;22.350288;28.430096;0.0;31.137384
44.868317;44.84532;20.689726;26.049347;16.311665;27.605738
46.430817;40.980827;20.753183;25.54887;16.405697;29.815817
46.38016;56.65513;25.361258;31.734955;17.417942;0.0
39.68172;38.050186;18.477194;24.215324;15.020508;28.343088
38.9456;35.997147;19.4939;23.089123;14.699588;26.474995
38.534058;38.917385;19.191395;22.911003;14.238579;23.737661
39.04154;42.74515;20.43079;24.975891;0.0;30.271389
43.733757;38.98592;21.554577;24.874239;14.142215;28.492971
50.264683;52.50898;25.41635;32.54357;16.572657;0.0
36.459003;37.946796;18.56873;24.813631;14.662234;27.420452
34.28599;38.790527;19.06709;23.003666;13.798627;25.289019
33.413963;39.256626;18.979336;21.684057;13.93051;25.182749
0.0;45.642937;22.970964;29.5846;18.954613;33.56182
31.649948;32.373203;15.728419;20.220734;13.330373;21.971933
28.357382;28.717377;13.809198;17.904367;11.402685;19.260822
24.789978;26.738663;12.557966;17.144228;9.761032;17.88166
35.32707;35.687405;0.0;20.789066;13.044688;0.0
